player_id,position,toi_total_sec,toi_ES_sec,toi_PP_sec,toi_PK_sec,toi_total_min
8474161,F,91986.0,78425.0,8481.0,5080.0,1533.1
8474162,D,62454.0,53912.0,5643.0,2899.0,1040.9
8474166,D,229580.0,203590.0,16326.0,9664.0,3826.33
8474176,F,46336.0,40267.0,3973.0,2096.0,772.27
8474189,F,309403.0,260279.0,31067.0,18057.0,5156.72
8474190,F,48433.0,45002.0,2539.0,892.0,807.22
8474207,D,155599.0,129869.0,17531.0,8199.0,2593.32
8474218,D,644.0,644.0,0.0,0.0,10.73
8474291,F,27162.0,23085.0,2790.0,1287.0,452.7
8474563,D,418820.0,346878.0,46284.0,25658.0,6980.33
8474564,F,404938.0,335024.0,47491.0,22423.0,6748.97
8474565,D,405353.0,339682.0,41916.0,23755.0,6755.88
8474567,D,255150.0,228189.0,19175.0,7786.0,4252.5
8474568,D,285462.0,251736.0,22185.0,11541.0,4757.7
8474573,F,134073.0,111642.0,13700.0,8731.0,2234.55
8474574,D,431670.0,368868.0,41753.0,21049.0,7194.5
8474578,D,485054.0,412112.0,47346.0,25596.0,8084.23
8474584,D,28458.0,23947.0,2931.0,1580.0,474.3
8474586,F,337911.0,288848.0,32419.0,16644.0,5631.85
8474589,F,42974.0,36753.0,4480.0,1741.0,716.23
8474590,D,460079.0,374221.0,54828.0,31030.0,7667.98
8474593,G,846953.0,712123.0,84361.0,50469.0,14115.88
8474596,G,552574.0,463951.0,59062.0,29561.0,9209.57
8474600,D,487585.0,406479.0,52949.0,28157.0,8126.42
8474602,D,223796.0,192955.0,20563.0,10278.0,3729.93
8474610,F,7425.0,6798.0,401.0,226.0,123.75
8474612,D,242717.0,209283.0,22067.0,11367.0,4045.28
8474613,F,77342.0,68789.0,5467.0,3086.0,1289.03
8474618,D,147812.0,129786.0,11321.0,6705.0,2463.53
8474628,D,50920.0,45111.0,3542.0,2267.0,848.67
8474636,G,52928.0,44324.0,5710.0,2894.0,882.13
8474641,F,308991.0,253152.0,36716.0,19123.0,5149.85
8474651,G,77512.0,64893.0,7976.0,4643.0,1291.87
8474667,G,17769.0,15244.0,1864.0,661.0,296.15
8474673,D,329306.0,288768.0,26116.0,14422.0,5488.43
8474679,F,329394.0,269588.0,36848.0,22958.0,5489.9
8474682,G,132949.0,111300.0,14955.0,6694.0,2215.82
8474683,F,101775.0,83691.0,12183.0,5901.0,1696.25
8474688,D,8472.0,6780.0,1107.0,585.0,141.2
8474697,D,47375.0,40299.0,4785.0,2291.0,789.58
8474709,F,149799.0,140096.0,6610.0,3093.0,2496.65
8474715,F,166583.0,136938.0,17704.0,11941.0,2776.38
8474716,D,338439.0,280178.0,39358.0,18903.0,5640.65
8474722,D,558.0,540.0,18.0,0.0,9.3
8474818,D,46522.0,41261.0,3767.0,1494.0,775.37
8474849,F,38591.0,32583.0,3989.0,2019.0,643.18
8474870,F,144713.0,123358.0,13514.0,7841.0,2411.88
8474884,F,184148.0,157428.0,17144.0,9576.0,3069.13
8474889,G,347383.0,293450.0,34371.0,19562.0,5789.72
8475098,F,37570.0,31778.0,3481.0,2311.0,626.17
8475149,F,327331.0,275819.0,35100.0,16412.0,5455.52
8475151,F,302605.0,255528.0,29570.0,17507.0,5043.42
8475156,G,158694.0,132923.0,18189.0,7582.0,2644.9
8475158,F,388079.0,315672.0,47347.0,25060.0,6467.98
8475160,F,14145.0,12921.0,838.0,386.0,235.75
8475163,F,61220.0,51922.0,5908.0,3390.0,1020.33
8475164,F,190495.0,151464.0,25897.0,13134.0,3174.92
8475166,F,386012.0,327582.0,37803.0,20627.0,6433.53
8475167,D,472713.0,384477.0,58036.0,30200.0,7878.55
8475168,F,364346.0,307045.0,36416.0,20885.0,6072.43
8475169,F,209948.0,180205.0,20484.0,9259.0,3499.13
8475170,F,372362.0,313314.0,38902.0,20146.0,6206.03
8475171,D,409487.0,343602.0,42006.0,23879.0,6824.78
8475172,F,398377.0,332958.0,42991.0,22428.0,6639.62
8475176,D,5341.0,4333.0,662.0,346.0,89.02
8475177,D,222351.0,197243.0,15976.0,9132.0,3705.85
8475178,F,69065.0,63736.0,4009.0,1320.0,1151.08
8475179,D,341102.0,292932.0,32496.0,15674.0,5685.03
8475181,D,361404.0,318223.0,29504.0,13677.0,6023.4
8475184,F,379803.0,302958.0,50735.0,26110.0,6330.05
8475186,D,7378.0,6020.0,901.0,457.0,122.97
8475188,D,422273.0,374683.0,29467.0,18123.0,7037.88
8475191,F,313877.0,264296.0,30845.0,18736.0,5231.28
8475193,F,240944.0,210636.0,19128.0,11180.0,4015.73
8475197,D,240899.0,202070.0,26377.0,12452.0,4014.98
8475200,D,421723.0,363831.0,36209.0,21683.0,7028.72
8475208,D,424379.0,371279.0,34592.0,18508.0,7072.98
8475209,F,3587.0,2863.0,475.0,249.0,59.78
8475215,G,151313.0,130171.0,14236.0,6906.0,2521.88
8475218,D,453383.0,378398.0,48783.0,26202.0,7556.38
8475220,F,265435.0,220230.0,29995.0,15210.0,4423.92
8475225,F,189795.0,170041.0,13226.0,6528.0,3163.25
8475227,D,94423.0,81261.0,8610.0,4552.0,1573.72
8475231,F,288898.0,248484.0,25612.0,14802.0,4814.97
8475233,D,303939.0,257341.0,30402.0,16196.0,5065.65
8475234,G,18363.0,15621.0,1354.0,1388.0,306.05
8475235,F,156003.0,140060.0,9977.0,5966.0,2600.05
8475236,F,57734.0,50445.0,5081.0,2208.0,962.23
8475246,D,30775.0,28348.0,1548.0,879.0,512.92
8475253,F,1562.0,1407.0,155.0,0.0,26.03
8475278,F,15621.0,14218.0,1051.0,352.0,260.35
8475279,D,447623.0,386141.0,40217.0,21265.0,7460.38
8475287,F,335877.0,276891.0,36722.0,22264.0,5597.95
8475311,G,772765.0,653991.0,77132.0,41642.0,12879.42
8475314,F,366442.0,317298.0,31284.0,17860.0,6107.37
8475324,D,394269.0,345422.0,32077.0,16770.0,6571.15
8475343,F,280748.0,237349.0,27830.0,15569.0,4679.13
8475413,F,44600.0,40422.0,2916.0,1262.0,743.33
8475455,D,411648.0,361088.0,33076.0,17484.0,6860.8
8475461,F,5077.0,4281.0,454.0,342.0,84.62
8475462,D,359010.0,305805.0,34968.0,18237.0,5983.5
8475622,G,6958.0,5677.0,607.0,674.0,115.97
8475625,D,60770.0,55620.0,3232.0,1918.0,1012.83
8475660,G,679501.0,571204.0,71339.0,36958.0,11325.02
8475683,G,849774.0,704043.0,95008.0,50723.0,14162.9
8475690,D,361560.0,310834.0,32062.0,18664.0,6026.0
8475692,F,365211.0,304203.0,41701.0,19307.0,6086.85
8475714,F,211382.0,172270.0,26178.0,12934.0,3523.03
8475717,G,216491.0,185054.0,20776.0,10661.0,3608.18
8475718,D,284429.0,248315.0,23671.0,12443.0,4740.48
8475722,F,269689.0,231453.0,24495.0,13741.0,4494.82
8475726,F,353358.0,293074.0,39758.0,20526.0,5889.3
8475728,F,42178.0,35672.0,4373.0,2133.0,702.97
8475735,F,28769.0,24836.0,2463.0,1470.0,479.48
8475744,F,249565.0,201361.0,29235.0,18969.0,4159.42
8475745,F,390100.0,312837.0,49651.0,27612.0,6501.67
8475747,D,143623.0,120666.0,16256.0,6701.0,2393.72
8475750,D,244788.0,219934.0,16856.0,7998.0,4079.8
8475752,F,91230.0,84161.0,4768.0,2301.0,1520.5
8475753,D,461526.0,391457.0,46131.0,23938.0,7692.1
8475754,F,397662.0,330314.0,43116.0,24232.0,6627.7
8475755,D,27203.0,24935.0,1670.0,598.0,453.38
8475760,F,261849.0,224228.0,25853.0,11768.0,4364.15
8475762,D,231785.0,198641.0,21735.0,11409.0,3863.08
8475763,F,261338.0,219135.0,26462.0,15741.0,4355.63
8475764,D,489200.0,407190.0,55446.0,26564.0,8153.33
8475765,F,327610.0,280140.0,32357.0,15113.0,5460.17
8475766,F,112895.0,96276.0,10897.0,5722.0,1881.58
8475768,F,280254.0,240943.0,25720.0,13591.0,4670.9
8475772,F,50877.0,42564.0,5580.0,2733.0,847.95
8475780,F,17567.0,16332.0,956.0,279.0,292.78
8475784,F,300766.0,259366.0,27363.0,14037.0,5012.77
8475786,F,402563.0,337316.0,44632.0,20615.0,6709.38
8475789,G,301923.0,253872.0,32457.0,15594.0,5032.05
8475790,D,309107.0,267434.0,27507.0,14166.0,5151.78
8475791,F,256539.0,214987.0,27396.0,14156.0,4275.65
8475792,F,4534.0,4282.0,84.0,168.0,75.57
8475793,F,181012.0,149800.0,20956.0,10256.0,3016.87
8475794,F,254041.0,208859.0,28381.0,16801.0,4234.02
8475795,D,19960.0,18586.0,942.0,432.0,332.67
8475796,D,74407.0,65680.0,5870.0,2857.0,1240.12
8475797,D,97661.0,86020.0,7421.0,4220.0,1627.68
8475798,F,408029.0,325950.0,52858.0,29221.0,6800.48
8475799,F,307119.0,264173.0,28291.0,14655.0,5118.65
8475809,G,455096.0,386285.0,46543.0,22268.0,7584.93
8475810,F,359982.0,294222.0,42062.0,23698.0,5999.7
8475820,F,66620.0,54319.0,8375.0,3926.0,1110.33
8475825,D,245537.0,209637.0,23507.0,12393.0,4092.28
8475831,G,575410.0,487349.0,58875.0,29186.0,9590.17
8475839,G,14288.0,12762.0,743.0,783.0,238.13
8475842,F,216600.0,185798.0,20212.0,10590.0,3610.0
8475848,F,245195.0,208856.0,24090.0,12249.0,4086.58
8475852,G,519573.0,442238.0,50160.0,27175.0,8659.55
8475855,F,198882.0,170360.0,17503.0,11019.0,3314.7
8475857,D,26112.0,23270.0,2046.0,796.0,435.2
8475883,G,496763.0,413026.0,54707.0,29030.0,8279.38
8475906,D,251135.0,215678.0,23365.0,12092.0,4185.58
8475913,F,275470.0,226799.0,31774.0,16897.0,4591.17
8475920,G,7200.0,5996.0,813.0,391.0,120.0
8475958,F,24089.0,21826.0,1621.0,642.0,401.48
8475968,F,29488.0,25498.0,2554.0,1436.0,491.47
8476166,D,2656.0,2517.0,47.0,92.0,44.27
8476234,G,8871.0,7417.0,1017.0,437.0,147.85
8476278,F,189892.0,163593.0,16936.0,9363.0,3164.87
8476285,F,2890.0,2614.0,263.0,13.0,48.17
8476288,F,25946.0,22837.0,2083.0,1026.0,432.43
8476292,F,285457.0,247137.0,24607.0,13713.0,4757.62
