goalie_id,goalie_name,faced,goals,saves,P6_save_pct,P6_lo95,P6_hi95,rank
8473503,James Reimer,232,33,199,0.85776,0.80697,0.89689,1
8482982,Jet Greaves,130,19,111,0.85385,0.78299,0.90439,2
8481611,Pyotr Kochetkov,203,31,172,0.84729,0.7914,0.89028,3
8476932,Anthony Stolarz,215,34,181,0.84186,0.78715,0.88457,4
8479312,Alex Lyon,195,31,164,0.84103,0.78319,0.88569,5
8478009,Ilya Sorokin,440,71,369,0.83864,0.80136,0.87005,6
8478499,Adin Hill,200,33,167,0.835,0.77734,0.88003,7
8478406,Mackenzie Blackwood,283,48,235,0.83039,0.78231,0.86962,8
8482137,Yaroslav Askarov,108,19,89,0.82407,0.7415,0.88438,9
8477424,Juuse Saros,499,89,410,0.82164,0.78564,0.85274,10
8476883,Andrei Vasilevskiy,465,83,382,0.82151,0.78411,0.85363,11
8475311,Darcy Kuemper,417,76,341,0.81775,0.77785,0.85184,12
8476914,Joonas Korpisalo,263,48,215,0.81749,0.76635,0.85949,13
8474593,Jacob Markstrom,348,64,284,0.81609,0.77201,0.85327,14
8477967,Thatcher Demko,298,55,243,0.81544,0.76747,0.85537,15
8481020,Justus Annunen,107,20,87,0.81308,0.72885,0.87562,16
8479979,Jake Oettinger,402,76,326,0.81095,0.76979,0.84621,17
8479361,Joseph Woll,184,35,149,0.80978,0.74696,0.85993,18
8479406,Filip Gustavsson,290,56,234,0.8069,0.75757,0.8482,19
8480045,Ukko-Pekka Luukkonen,252,49,203,0.80556,0.75225,0.84968,20
8479394,Carter Hart,199,39,160,0.80402,0.74333,0.85319,21
8478048,Igor Shesterkin,478,94,384,0.80335,0.76536,0.8365,22
8478024,Ville Husso,193,38,155,0.80311,0.74133,0.85306,23
8476341,Anton Forsberg,248,49,199,0.80242,0.74841,0.8472,24
8478435,Dan Vladar,177,35,142,0.80226,0.73743,0.85424,25
8478971,Connor Ingram,217,43,174,0.80184,0.74376,0.84943,26
8478470,Samuel Montembeault,362,72,290,0.8011,0.75692,0.83897,27
8475809,Scott Wedgewood,191,38,153,0.80105,0.73874,0.85148,28
8475883,Frederik Andersen,264,53,211,0.79924,0.74679,0.84311,29
8480313,Logan Thompson,240,49,191,0.79583,0.74036,0.84198,30
8476945,Connor Hellebuyck,473,97,376,0.79493,0.75623,0.82887,31
8480843,Lukas Dostal,307,63,244,0.79479,0.7461,0.83619,32
8477968,Alex Nedeljkovic,218,45,173,0.79358,0.73499,0.842,33
8475660,Cam Talbot,295,61,234,0.79322,0.74338,0.83552,34
8478872,Karel Vejmelka,450,94,356,0.79111,0.75117,0.82613,35
8480193,Daniil Tarasov,134,28,106,0.79104,0.71458,0.85129,36
8476999,Linus Ullmark,353,74,279,0.79037,0.74489,0.82959,37
8479496,David Rittich,150,32,118,0.78667,0.71438,0.84464,38
8480382,Alexandar Georgiev,375,80,295,0.78667,0.7424,0.82511,38
8477480,Eric Comrie,126,27,99,0.78571,0.70618,0.84834,40
8478007,Elvis Merzlikins,275,59,216,0.78545,0.73318,0.82987,41
8476434,John Gibson,348,75,273,0.78448,0.7383,0.82445,42
8481519,Spencer Knight,231,50,181,0.78355,0.72604,0.83179,43
8479193,Casey DeSmith,207,45,162,0.78261,0.72155,0.83337,44
8477293,Antti Raanta,115,25,90,0.78261,0.69875,0.84819,44
8481035,Samuel Ersson,160,35,125,0.78125,0.71101,0.8383,46
8474596,Jake Allen,306,68,238,0.77778,0.72791,0.82075,47
8475683,Sergei Bobrovsky,540,121,419,0.77593,0.73888,0.80908,48
8475831,Philipp Grubauer,231,52,179,0.77489,0.71679,0.824,49
8479292,Charlie Lindgren,204,46,158,0.77451,0.71239,0.82648,50
8480947,Kevin Lankinen,223,51,172,0.7713,0.71186,0.82155,51
8479973,Stuart Skinner,350,81,269,0.76857,0.72161,0.8097,52
8477970,Vitek Vanecek,220,51,169,0.76818,0.70811,0.81905,53
8480981,Joel Hofer,142,33,109,0.76761,0.69165,0.82947,54
8481692,Dustin Wolf,197,46,151,0.7665,0.70267,0.82013,55
8477484,Spencer Martin,111,26,85,0.76577,0.67891,0.83484,56
8478039,Kaapo Kahkonen,145,34,111,0.76552,0.69025,0.82707,57
8482821,Arvid Soderblom,162,38,124,0.76543,0.6945,0.82407,58
8475789,Jack Campbell,127,30,97,0.76378,0.68284,0.82923,59
8476412,Jordan Binnington,341,81,260,0.76246,0.71453,0.80455,60
8471734,Jonathan Quick,218,52,166,0.76147,0.70067,0.81321,61
8480280,Jeremy Swayman,359,86,273,0.76045,0.71368,0.80169,62
8478492,Ilya Samsonov,179,43,136,0.75978,0.69215,0.81648,63
8474889,Martin Jones,137,33,104,0.75912,0.68108,0.82303,64
8470594,Marc-Andre Fleury,226,55,171,0.75664,0.69671,0.80799,65
8477465,Tristan Jarry,241,59,182,0.75519,0.69718,0.80519,66
8477992,Jonas Johansson,106,26,80,0.75472,0.66485,0.82676,67
8478916,Joey Daccord,190,47,143,0.75263,0.68668,0.80857,68
8475852,Petr Mrazek,240,60,180,0.75,0.69157,0.80055,69
8473575,Semyon Varlamov,104,27,77,0.74038,0.64863,0.81501,70
