player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8480893,Kirill Marchenko,R,226.88,1,0.2645,0.0467,1.4717,1,0.2645,0.0467,1.4717,0,0.0,0.0,0.9985,2,0.5289,0.1452,1.893,0.0678,305
8473563,Nicklas Backstrom,C,100.85,0,0.0,0.0,2.1985,1,0.5949,0.105,3.2381,0,0.0,0.0,2.1985,1,0.5949,0.105,3.2381,0.066,306
8478042,Viktor Arvidsson,L,186.12,1,0.3224,0.057,1.7893,1,0.3224,0.057,1.7893,0,0.0,0.0,1.2141,2,0.6448,0.1772,2.3011,0.0633,307
8481618,Alex Newhook,C,246.62,1,0.2433,0.0429,1.3544,1,0.2433,0.0429,1.3544,0,0.0,0.0,0.9189,2,0.4866,0.1334,1.7423,0.06,308
8476393,Nick Cousins,C,109.62,1,0.5474,0.0964,2.9824,0,0.0,0.0,2.0247,0,0.0,0.0,2.0247,1,0.5474,0.0964,2.9824,0.0588,309
8476960,Andreas Athanasiou,C,111.8,1,0.5367,0.0947,2.931,0,0.0,0.0,1.9898,0,0.0,0.0,1.9898,1,0.5367,0.0947,2.931,0.0577,310
8470794,Joe Pavelski,C,239.5,1,0.2505,0.0442,1.3932,1,0.2505,0.0442,1.3932,1,0.2505,0.0442,1.3932,3,0.7516,0.2556,2.166,0.0564,311
8481577,Philip Tomasino,C,154.3,0,0.0,0.0,1.4603,1,0.3889,0.0688,2.1517,1,0.3889,0.0688,2.1517,2,0.7777,0.2141,2.7667,0.0562,312
8475225,Craig Smith,C,108.8,0,0.0,0.0,2.0427,1,0.5515,0.0973,3.0088,0,0.0,0.0,2.0427,1,0.5515,0.0973,3.0088,0.0543,313
8477511,Anthony Mantha,R,177.85,1,0.3374,0.0595,1.8679,0,0.0,0.0,1.2676,0,0.0,0.0,1.2676,1,0.3374,0.0595,1.8679,0.0533,314
8478444,Brock Boeser,R,376.72,1,0.1593,0.0281,0.8922,2,0.3185,0.0874,1.1481,0,0.0,0.0,0.6052,3,0.4778,0.1626,1.3879,0.0505,315
8482109,Alexis Lafrenière,L,256.9,2,0.4671,0.1282,1.6756,0,0.0,0.0,0.8837,0,0.0,0.0,0.8837,2,0.4671,0.1282,1.6756,0.0502,316
8478010,Brayden Point,C,375.35,2,0.3197,0.0878,1.1541,1,0.1599,0.0283,0.8969,0,0.0,0.0,0.6084,3,0.4796,0.1635,1.3952,0.0501,317
8475692,Mats Zuccarello,R,321.78,1,0.1865,0.0329,1.0428,1,0.1865,0.0329,1.0428,0,0.0,0.0,0.7074,2,0.3729,0.1023,1.3416,0.0501,317
8471215,Evgeni Malkin,C,327.97,1,0.1829,0.0323,1.0239,1,0.1829,0.0323,1.0239,0,0.0,0.0,0.6946,2,0.3659,0.1004,1.3174,0.0492,319
8478420,Mikko Rantanen,R,399.53,2,0.3004,0.0823,1.0827,0,0.0,0.0,0.5708,0,0.0,0.0,0.5708,2,0.3004,0.0823,1.0827,0.0474,320
8479525,Ross Colton,C,208.18,1,0.2882,0.0509,1.6036,0,0.0,0.0,1.0881,0,0.0,0.0,1.0881,1,0.2882,0.0509,1.6036,0.0455,321
8476346,Johnny Gaudreau,L,222.25,1,0.27,0.0477,1.5042,0,0.0,0.0,1.0206,0,0.0,0.0,1.0206,1,0.27,0.0477,1.5042,0.0426,322
8480078,Filip Chytil,C,141.57,0,0.0,0.0,1.5805,1,0.4238,0.0747,2.3286,0,0.0,0.0,1.5805,1,0.4238,0.0747,2.3286,0.0417,323
8471675,Sidney Crosby,C,420.2,0,0.0,0.0,0.5438,2,0.2856,0.0784,1.0317,2,0.2856,0.0784,1.0317,4,0.5712,0.2226,1.4537,0.0406,324
8474884,Mike Hoffman,L,159.6,1,0.3759,0.0662,2.073,0,0.0,0.0,1.4068,0,0.0,0.0,1.4068,1,0.3759,0.0662,2.073,0.0404,325
8475799,Nino Niederreiter,R,244.25,1,0.2456,0.0434,1.3708,0,0.0,0.0,0.93,0,0.0,0.0,0.93,1,0.2456,0.0434,1.3708,0.0388,326
8477940,Nikolaj Ehlers,L,250.05,1,0.24,0.0424,1.3384,0,0.0,0.0,0.908,0,0.0,0.0,0.908,1,0.24,0.0424,1.3384,0.0379,327
8481533,Trevor Zegras,C,256.13,1,0.2343,0.0414,1.3075,0,0.0,0.0,0.8871,0,0.0,0.0,0.8871,1,0.2343,0.0414,1.3075,0.037,328
8482146,Luke Evangelista,R,182.95,1,0.328,0.0579,1.818,0,0.0,0.0,1.2336,0,0.0,0.0,1.2336,1,0.328,0.0579,1.818,0.0353,329
8474141,Patrick Kane,R,277.08,1,0.2165,0.0383,1.2098,0,0.0,0.0,0.8207,0,0.0,0.0,0.8207,1,0.2165,0.0383,1.2098,0.0342,330
8474564,Steven Stamkos,C,373.72,1,0.1605,0.0283,0.8993,1,0.1605,0.0283,0.8993,0,0.0,0.0,0.61,2,0.3211,0.0881,1.1572,0.0331,331
8480830,Andrei Svechnikov,R,291.53,1,0.2058,0.0363,1.1485,0,0.0,0.0,0.7791,0,0.0,0.0,0.7791,1,0.2058,0.0363,1.1485,0.0325,332
8480028,Morgan Frost,C,284.53,0,0.0,0.0,0.798,1,0.2109,0.0372,1.1763,2,0.4217,0.1156,1.5133,3,0.6326,0.2152,1.8292,0.0319,333
8477494,Jonathan Drouin,L,213.78,0,0.0,0.0,1.0581,1,0.2807,0.0495,1.5594,0,0.0,0.0,1.0581,1,0.2807,0.0495,1.5594,0.0311,334
8483515,Juraj Slafkovský,L,208.17,1,0.2882,0.0509,1.6036,0,0.0,0.0,1.0881,0,0.0,0.0,1.0881,1,0.2882,0.0509,1.6036,0.031,335
8478975,Mason Marchment,L,230.6,0,0.0,0.0,0.9815,1,0.2602,0.0459,1.4466,0,0.0,0.0,0.9815,1,0.2602,0.0459,1.4466,0.0289,336
8475166,John Tavares,C,343.78,1,0.1745,0.0308,0.9768,0,0.0,0.0,0.6626,0,0.0,0.0,0.6626,1,0.1745,0.0308,0.9768,0.0276,337
8477503,Max Domi,C,256.82,1,0.2336,0.0412,1.3025,0,0.0,0.0,0.8837,0,0.0,0.0,0.8837,1,0.2336,0.0412,1.3025,0.0251,338
8478445,Mathew Barzal,C,288.28,1,0.2081,0.0368,1.1642,0,0.0,0.0,0.7898,0,0.0,0.0,0.7898,1,0.2081,0.0368,1.1642,0.0224,339
8478414,Timo Meier,R,289.2,1,0.2075,0.0367,1.1602,0,0.0,0.0,0.7871,0,0.0,0.0,0.7871,1,0.2075,0.0367,1.1602,0.0223,340
8478440,Dylan Strome,C,342.67,0,0.0,0.0,0.6646,1,0.1751,0.0309,0.9796,0,0.0,0.0,0.6646,1,0.1751,0.0309,0.9796,0.0194,341
8474586,Jordan Eberle,R,277.4,0,0.0,0.0,0.8207,1,0.2163,0.0383,1.2098,0,0.0,0.0,0.8207,1,0.2163,0.0383,1.2098,0.0192,342
8484801,Macklin Celebrini,C,115.2,0,0.0,0.0,1.9395,0,0.0,0.0,1.9395,1,0.5208,0.0922,2.8571,1,0.5208,0.0922,2.8571,0.0191,343
8476453,Nikita Kucherov,R,389.73,0,0.0,0.0,0.5853,1,0.154,0.0272,0.8628,0,0.0,0.0,0.5853,1,0.154,0.0272,0.8628,0.0152,344
8477956,David Pastrnak,R,441.2,1,0.136,0.024,0.7639,0,0.0,0.0,0.5182,0,0.0,0.0,0.5182,1,0.136,0.024,0.7639,0.0146,345
8478438,Tommy Novak,C,200.9,0,0.0,0.0,1.1252,0,0.0,0.0,1.1252,1,0.2987,0.0527,1.6583,1,0.2987,0.0527,1.6583,0.0086,346
8482679,Matt Coronato,R,118.68,0,0.0,0.0,1.8764,0,0.0,0.0,1.8764,0,0.0,0.0,1.8764,0,0.0,0.0,1.8764,0.0,347
8477416,Oliver Bjorkstrand,R,289.37,0,0.0,0.0,0.7871,0,0.0,0.0,0.7871,0,0.0,0.0,0.7871,0,0.0,0.0,0.7871,0.0,347
8476887,Filip Forsberg,L,343.77,0,0.0,0.0,0.6626,0,0.0,0.0,0.6626,0,0.0,0.0,0.6626,0,0.0,0.0,0.6626,0.0,347
8476539,Jonathan Marchessault,R,277.58,0,0.0,0.0,0.8178,0,0.0,0.0,0.8178,0,0.0,0.0,0.8178,0,0.0,0.0,0.8178,0.0,347
8482079,Marco Rossi,C,163.17,0,0.0,0.0,1.3815,0,0.0,0.0,1.3815,0,0.0,0.0,1.3815,0,0.0,0.0,1.3815,0.0,347
8482745,Mason McTavish,C,206.53,0,0.0,0.0,1.0932,0,0.0,0.0,1.0932,0,0.0,0.0,1.0932,0,0.0,0.0,1.0932,0.0,347
8475791,Taylor Hall,L,235.93,0,0.0,0.0,0.961,0,0.0,0.0,0.961,0,0.0,0.0,0.961,0,0.0,0.0,0.961,0.0,347
8484144,Connor Bedard,C,169.25,0,0.0,0.0,1.3336,0,0.0,0.0,1.3336,0,0.0,0.0,1.3336,0,0.0,0.0,1.3336,0.0,347
8475314,Anders Lee,L,297.67,0,0.0,0.0,0.7636,0,0.0,0.0,0.7636,0,0.0,0.0,0.7636,0,0.0,0.0,0.7636,0.0,347
8482117,Lukas Reichel,L,119.58,0,0.0,0.0,1.8612,0,0.0,0.0,1.8612,0,0.0,0.0,1.8612,0,0.0,0.0,1.8612,0.0,347
8481582,Nicholas Robertson,L,113.78,0,0.0,0.0,1.956,0,0.0,0.0,1.956,0,0.0,0.0,1.956,0,0.0,0.0,1.956,0.0,347
