player_id,player_name,reb_attempts,league_denom,es_toi_min,P1b,P1b_lo,P1b_hi,P1b_pct,P1b_lo_pct,P1b_hi_pct,P1b_rank,P1b_per60,P1b_per60_lo95,P1b_per60_hi95,P1b_per60_rank,rank_delta_pct_vs_per60,toi_flag
8482740,Wyatt Johnston,55,16187,4193.05,0.003398,0.002612,0.00442,0.3398,0.2612,0.442,26,0.787,0.6055,1.022,38,-12,
8480289,Morgan Barron,37,16187,2829.8333333333335,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.7845,0.57,1.0781,39,91,TOI_DEFLATED
8480459,Pius Suter,59,16187,4526.55,0.003645,0.002827,0.004698,0.3645,0.2827,0.4698,18,0.7821,0.6071,1.0064,40,-22,TOI_INFLATED
8481535,Nils Hoglander,37,16187,2844.0666666666666,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.7806,0.5672,1.0728,41,89,TOI_DEFLATED
8480849,Barrett Hayton,50,16187,3881.0666666666666,0.003089,0.002344,0.00407,0.3089,0.2344,0.407,51,0.773,0.5872,1.0166,42,9,
8478508,Yakov Trenin,55,16187,4298.183333333333,0.003398,0.002612,0.00442,0.3398,0.2612,0.442,26,0.7678,0.5907,0.9971,43,-17,
8475287,Erik Haula,59,16187,4614.85,0.003645,0.002827,0.004698,0.3645,0.2827,0.4698,18,0.7671,0.5955,0.9873,44,-26,TOI_INFLATED
8482155,Alex Laferriere,36,16187,2820.0833333333335,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.7659,0.5541,1.0573,45,95,TOI_DEFLATED
8478449,Roope Hintz,59,16187,4644.75,0.003645,0.002827,0.004698,0.3645,0.2827,0.4698,18,0.7622,0.5916,0.9809,46,-28,TOI_INFLATED
8481656,Aliaksei Protas,47,16187,3704.0,0.002904,0.002184,0.003859,0.2904,0.2184,0.3859,61,0.7613,0.5734,1.0099,47,14,
8477425,Miles Wood,31,16187,2448.3333333333335,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.7597,0.5361,1.0751,48,138,TOI_DEFLATED
8475784,Jeff Skinner,54,16187,4322.766666666666,0.003336,0.002558,0.00435,0.3336,0.2558,0.435,29,0.7495,0.5752,0.9757,49,-20,
8477998,Warren Foegele,53,16187,4244.4,0.003274,0.002504,0.00428,0.3274,0.2504,0.428,31,0.7492,0.5736,0.9779,50,-19,
8479661,Tanner Jeannot,46,16187,3718.5,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.7422,0.5573,0.9877,51,15,
8475231,Casey Cizikas,51,16187,4141.4,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.7389,0.5628,0.9694,52,-9,
8479318,Auston Matthews,67,16187,5452.95,0.004139,0.003261,0.005253,0.4139,0.3261,0.5253,10,0.7372,0.5812,0.9344,53,-43,TOI_INFLATED
8480002,Nico Hischier,67,16187,5469.116666666667,0.004139,0.003261,0.005253,0.4139,0.3261,0.5253,10,0.735,0.5795,0.9317,54,-44,TOI_INFLATED
8473422,Nick Foligno,46,16187,3761.8166666666666,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.7337,0.5508,0.9762,55,11,
8478498,Jake DeBrusk,56,16187,4626.783333333334,0.00346,0.002665,0.004489,0.346,0.2665,0.4489,24,0.7262,0.5599,0.941,56,-32,TOI_INFLATED
8478904,Steven Lorentz,34,16187,2865.9333333333334,0.0021,0.001504,0.002934,0.21,0.1504,0.2934,160,0.7118,0.5101,0.9919,57,103,TOI_DEFLATED
8477508,Curtis Lazar,31,16187,2632.2,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.7066,0.4986,1.0002,58,128,TOI_DEFLATED
8477952,Robby Fabbri,32,16187,2724.983333333333,0.001977,0.001401,0.002789,0.1977,0.1401,0.2789,176,0.7046,0.4998,0.9918,59,117,TOI_DEFLATED
8481596,Shane Pinto,38,16187,3236.733333333333,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.7044,0.5139,0.9643,60,59,TOI_DEFLATED
8476871,Tanner Pearson,32,16187,2735.9333333333334,0.001977,0.001401,0.002789,0.1977,0.1401,0.2789,176,0.7018,0.4978,0.9879,61,115,TOI_DEFLATED
8479314,Matthew Tkachuk,56,16187,4792.65,0.00346,0.002665,0.004489,0.346,0.2665,0.4489,24,0.7011,0.5405,0.9084,62,-38,TOI_INFLATED
8476887,Filip Forsberg,59,16187,5068.333333333333,0.003645,0.002827,0.004698,0.3645,0.2827,0.4698,18,0.6985,0.5422,0.8992,63,-45,TOI_INFLATED
8477501,Valeri Nichushkin,46,16187,3959.883333333333,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.697,0.5232,0.9275,64,2,
8476480,Vladislav Namestnikov,46,16187,3981.65,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.6932,0.5203,0.9224,65,1,
8477015,Connor Brown,40,16187,3463.05,0.002471,0.001815,0.003363,0.2471,0.1815,0.3363,109,0.693,0.5096,0.9414,66,43,TOI_DEFLATED
8482745,Mason McTavish,42,16187,3650.7,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.6903,0.5113,0.9307,67,31,TOI_DEFLATED
8480014,Gabriel Vilardi,43,16187,3739.266666666667,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.69,0.513,0.9273,68,21,TOI_DEFLATED
8477404,Jake Guentzel,66,16187,5762.883333333333,0.004077,0.003206,0.005184,0.4077,0.3206,0.5184,12,0.6872,0.5407,0.8726,69,-57,TOI_INFLATED
8475722,Jason Zucker,44,16187,3857.55,0.002718,0.002026,0.003647,0.2718,0.2026,0.3647,83,0.6844,0.5104,0.9165,70,13,
8480829,Jesperi Kotkaniemi,43,16187,3779.4333333333334,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.6826,0.5075,0.9175,71,18,
8476479,Phillip Danault,58,16187,5106.883333333333,0.003583,0.002773,0.004629,0.3583,0.2773,0.4629,22,0.6814,0.5278,0.8791,72,-50,TOI_INFLATED
8481528,Dylan Cozens,57,16187,5070.683333333333,0.003521,0.002719,0.004559,0.3521,0.2719,0.4559,23,0.6745,0.5212,0.8721,73,-50,TOI_INFLATED
8477497,Sean Monahan,42,16187,3736.133333333333,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.6745,0.4997,0.9096,73,25,TOI_DEFLATED
8480748,Kiefer Sherwood,31,16187,2769.5666666666666,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.6716,0.4737,0.9505,75,111,TOI_DEFLATED
8479675,Trevor Moore,52,16187,4646.25,0.003212,0.002451,0.00421,0.3212,0.2451,0.421,37,0.6715,0.5127,0.8788,76,-39,TOI_INFLATED
8477451,Ryan Hartman,51,16187,4560.95,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.6709,0.5109,0.8803,77,-34,TOI_INFLATED
8478414,Timo Meier,60,16187,5486.516666666666,0.003707,0.002881,0.004768,0.3707,0.2881,0.4768,16,0.6562,0.5103,0.8429,78,-62,TOI_INFLATED
8482146,Luke Evangelista,30,16187,2752.266666666667,0.001853,0.001299,0.002645,0.1853,0.1299,0.2645,202,0.654,0.4588,0.9312,79,123,TOI_DEFLATED
8478402,Connor McDavid,69,16187,6331.433333333333,0.004263,0.00337,0.005391,0.4263,0.337,0.5391,7,0.6539,0.5173,0.8262,80,-73,TOI_INFLATED
8475754,Brock Nelson,60,16187,5505.233333333334,0.003707,0.002881,0.004768,0.3707,0.2881,0.4768,16,0.6539,0.5086,0.8402,80,-64,TOI_INFLATED
8478042,Viktor Arvidsson,40,16187,3687.4333333333334,0.002471,0.001815,0.003363,0.2471,0.1815,0.3363,109,0.6509,0.4786,0.8843,82,27,TOI_DEFLATED
8475810,Bryan Rust,53,16187,4903.7,0.003274,0.002504,0.00428,0.3274,0.2504,0.428,31,0.6485,0.4963,0.8465,83,-52,TOI_INFLATED
8479520,Brandon Duhaime,36,16187,3342.0333333333333,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.6463,0.4675,0.8926,84,56,TOI_DEFLATED
