season,team,state,zone,for_att,for_gl,ag_att,ag_gl
20222023,MTL,PP,MNFI,43,6,89,10
20222023,MTL,PP,FNFI,63,2,77,0
20222023,MTL,PP,Wide,165,18,263,20
20222023,MTL,PP,lane_other,28,2,45,2
20222023,MTL,PP,unk,0,0,0,0
20222023,MTL,PK,CNFI,18,3,20,2
20222023,MTL,PK,MNFI,13,4,9,0
20222023,MTL,PK,FNFI,5,0,4,0
20222023,MTL,PK,Wide,69,0,54,0
20222023,MTL,PK,lane_other,205,0,136,0
20222023,MTL,PK,unk,0,0,0,0
20212022,LAK,ES,CNFI,605,74,572,70
20212022,LAK,ES,MNFI,463,35,430,38
20212022,LAK,ES,FNFI,295,6,230,4
20212022,LAK,ES,Wide,1733,35,1342,26
20212022,LAK,ES,lane_other,911,9,923,14
20212022,LAK,ES,unk,0,0,0,0
20212022,LAK,PP,CNFI,127,13,113,21
20212022,LAK,PP,MNFI,95,5,75,11
20212022,LAK,PP,FNFI,73,3,46,3
20212022,LAK,PP,Wide,238,15,206,16
20212022,LAK,PP,lane_other,31,2,34,1
20212022,LAK,PP,unk,0,0,0,0
20212022,LAK,PK,CNFI,19,7,21,4
20212022,LAK,PK,MNFI,22,4,15,3
20212022,LAK,PK,FNFI,4,0,2,0
20212022,LAK,PK,Wide,57,0,53,1
20212022,LAK,PK,lane_other,142,0,169,0
20212022,LAK,PK,unk,0,0,0,0
20222023,LAK,ES,CNFI,567,67,518,68
20222023,LAK,ES,MNFI,494,49,410,36
20222023,LAK,ES,FNFI,290,6,290,7
20222023,LAK,ES,Wide,1643,36,1371,41
20222023,LAK,ES,lane_other,974,15,902,8
20222023,LAK,ES,unk,0,0,0,0
20222023,LAK,PP,CNFI,125,25,102,22
20222023,LAK,PP,MNFI,84,8,97,12
20222023,LAK,PP,FNFI,86,5,57,4
20222023,LAK,PP,Wide,199,26,232,21
20222023,LAK,PP,lane_other,42,4,22,2
20222023,LAK,PP,unk,0,0,0,0
20222023,LAK,PK,CNFI,13,3,11,2
20222023,LAK,PK,MNFI,12,2,15,4
20222023,LAK,PK,FNFI,1,0,2,0
20222023,LAK,PK,Wide,59,2,56,2
20222023,LAK,PK,lane_other,198,0,176,0
20222023,LAK,PK,unk,0,0,0,0
20242025,MIN,ES,CNFI,456,43,454,54
20242025,MIN,ES,MNFI,345,42,358,38
20242025,MIN,ES,FNFI,276,10,368,9
20242025,MIN,ES,Wide,1772,31,1855,26
20242025,MIN,ES,lane_other,964,9,840,14
20242025,MIN,ES,unk,0,0,0,0
20242025,MIN,PP,CNFI,124,18,81,14
20242025,MIN,PP,MNFI,64,7,71,13
20242025,MIN,PP,FNFI,61,5,93,3
20242025,MIN,PP,Wide,162,7,184,22
20242025,MIN,PP,lane_other,22,1,22,0
20242025,MIN,PP,unk,0,0,0,0
20242025,MIN,PK,CNFI,6,2,5,0
20242025,MIN,PK,MNFI,5,1,10,3
20242025,MIN,PK,FNFI,3,0,4,0
20242025,MIN,PK,Wide,45,0,58,0
20242025,MIN,PK,lane_other,124,0,121,1
20242025,MIN,PK,unk,0,0,0,0
20222023,TOR,ES,CNFI,682,79,538,56
20222023,TOR,ES,MNFI,526,48,458,47
20222023,TOR,ES,FNFI,288,12,254,4
20222023,TOR,ES,Wide,1383,34,1424,29
20222023,TOR,ES,lane_other,982,11,920,10
20222023,TOR,ES,unk,0,0,0,0
20222023,TOR,PP,CNFI,167,30,105,13
20222023,TOR,PP,MNFI,120,20,79,4
20222023,TOR,PP,FNFI,57,2,61,5
20222023,TOR,PP,Wide,178,9,209,14
20222023,TOR,PP,lane_other,31,2,37,6
20222023,TOR,PP,unk,0,0,0,0
20222023,TOR,PK,CNFI,30,4,20,3
20222023,TOR,PK,MNFI,13,1,14,3
20222023,TOR,PK,FNFI,8,0,7,0
20222023,TOR,PK,Wide,49,2,57,1
20222023,TOR,PK,lane_other,161,0,154,1
20222023,TOR,PK,unk,0,0,0,0
20222023,COL,ES,CNFI,544,83,586,68
20222023,COL,ES,MNFI,492,40,404,33
20222023,COL,ES,FNFI,470,16,296,9
20222023,COL,ES,Wide,1467,33,1459,30
20222023,COL,ES,lane_other,831,9,1091,8
20222023,COL,ES,unk,0,0,0,0
20222023,COL,PP,CNFI,126,21,163,30
20222023,COL,PP,MNFI,93,10,80,7
20222023,COL,PP,FNFI,89,3,83,2
20222023,COL,PP,Wide,220,27,147,9
20222023,COL,PP,lane_other,32,2,26,3
20222023,COL,PP,unk,0,0,0,0
20222023,COL,PK,CNFI,17,1,8,1
20222023,COL,PK,MNFI,12,2,12,3
20222023,COL,PK,FNFI,9,0,1,0
20222023,COL,PK,Wide,38,1,51,0
20222023,COL,PK,lane_other,137,1,157,0
20222023,COL,PK,unk,0,0,0,0
20252026,WSH,ES,CNFI,366,43,385,49
20252026,WSH,ES,MNFI,254,28,252,22
20252026,WSH,ES,FNFI,202,12,212,10
20252026,WSH,ES,Wide,993,21,1031,12
20252026,WSH,ES,lane_other,621,6,549,4
20252026,WSH,ES,unk,0,0,0,0
20252026,WSH,PP,CNFI,98,13,80,10
20252026,WSH,PP,MNFI,34,4,49,3
20252026,WSH,PP,FNFI,54,4,56,4
20252026,WSH,PP,Wide,130,6,160,9
20252026,WSH,PP,lane_other,27,1,28,1
20252026,WSH,PP,unk,0,0,0,0
20252026,WSH,PK,CNFI,8,2,13,4
20252026,WSH,PK,MNFI,6,1,10,1
20252026,WSH,PK,FNFI,0,0,0,0
20252026,WSH,PK,Wide,44,0,49,1
20252026,WSH,PK,lane_other,108,0,84,0
20252026,WSH,PK,unk,0,0,0,0
20222023,FLA,ES,CNFI,692,93,601,65
20222023,FLA,ES,MNFI,468,36,394,37
20222023,FLA,ES,FNFI,350,12,307,10
20222023,FLA,ES,Wide,1626,41,1476,36
20222023,FLA,ES,lane_other,803,12,1031,13
20222023,FLA,ES,unk,0,0,0,0
20222023,FLA,PP,CNFI,196,27,138,27
20222023,FLA,PP,MNFI,101,16,100,15
20222023,FLA,PP,FNFI,103,2,81,3
20222023,FLA,PP,Wide,248,12,233,18
20222023,FLA,PP,lane_other,58,3,44,1
20222023,FLA,PP,unk,0,0,0,0
20222023,FLA,PK,CNFI,18,1,17,3
20222023,FLA,PK,MNFI,19,2,20,3
20222023,FLA,PK,FNFI,8,0,3,0
20222023,FLA,PK,Wide,68,1,72,1
20222023,FLA,PK,lane_other,188,0,177,0
20222023,FLA,PK,unk,0,0,0,0
20222023,BOS,ES,CNFI,591,77,525,53
20222023,BOS,ES,MNFI,504,51,398,28
20222023,BOS,ES,FNFI,322,20,259,6
20222023,BOS,ES,Wide,1393,47,1398,22
20222023,BOS,ES,lane_other,955,12,986,9
20222023,BOS,ES,unk,0,0,0,0
20222023,BOS,PP,CNFI,135,19,118,19
20222023,BOS,PP,MNFI,109,17,93,5
20222023,BOS,PP,FNFI,82,0,97,0
20222023,BOS,PP,Wide,222,19,176,10
20222023,BOS,PP,lane_other,35,4,45,2
20222023,BOS,PP,unk,0,0,0,0
20222023,BOS,PK,CNFI,23,2,18,3
20222023,BOS,PK,MNFI,20,3,12,2
20222023,BOS,PK,FNFI,8,0,4,0
20222023,BOS,PK,Wide,59,0,54,2
20222023,BOS,PK,lane_other,147,1,200,0
20222023,BOS,PK,unk,0,0,0,0
20212022,OTT,ES,CNFI,527,62,566,84
20212022,OTT,ES,MNFI,444,42,530,52
20212022,OTT,ES,FNFI,261,5,306,8
20212022,OTT,ES,Wide,1509,32,1495,27
20212022,OTT,ES,lane_other,969,10,933,11
20212022,OTT,ES,unk,0,0,0,0
20212022,OTT,PP,CNFI,152,25,118,18
20212022,OTT,PP,MNFI,75,6,102,10
20212022,OTT,PP,FNFI,49,0,76,4
20212022,OTT,PP,Wide,192,12,252,12
20212022,OTT,PP,lane_other,38,3,44,5
20212022,OTT,PP,unk,0,0,0,0
20212022,OTT,PK,CNFI,23,4,15,1
20212022,OTT,PK,MNFI,22,3,10,2
20212022,OTT,PK,FNFI,3,0,4,0
20212022,OTT,PK,Wide,47,1,53,0
20212022,OTT,PK,lane_other,154,0,128,1
20212022,OTT,PK,unk,0,0,0,0
20222023,OTT,ES,CNFI,572,72,547,72
20222023,OTT,ES,MNFI,469,48,439,46
20222023,OTT,ES,FNFI,266,7,274,8
20222023,OTT,ES,Wide,1600,22,1483,43
20222023,OTT,ES,lane_other,963,7,915,10
20222023,OTT,ES,unk,0,0,0,0
20222023,OTT,PP,CNFI,217,36,151,22
20222023,OTT,PP,MNFI,105,10,112,10
20222023,OTT,PP,FNFI,70,4,93,5
20222023,OTT,PP,Wide,240,13,266,16
20222023,OTT,PP,lane_other,62,7,41,4
20222023,OTT,PP,unk,0,0,0,0
20222023,OTT,PK,CNFI,19,2,27,3
20222023,OTT,PK,MNFI,19,2,23,5
20222023,OTT,PK,FNFI,3,0,4,0
20222023,OTT,PK,Wide,62,1,61,1
20222023,OTT,PK,lane_other,223,1,217,1
20222023,OTT,PK,unk,0,0,0,0
20252026,CAR,ES,CNFI,446,47,364,49
20252026,CAR,ES,MNFI,283,34,219,20
20252026,CAR,ES,FNFI,212,6,117,7
20252026,CAR,ES,Wide,1221,21,888,17
20252026,CAR,ES,lane_other,463,9,660,11
20252026,CAR,ES,unk,0,0,0,0
20252026,CAR,PP,CNFI,85,11,72,13
20252026,CAR,PP,MNFI,53,12,38,2
20252026,CAR,PP,FNFI,51,6,30,2
20252026,CAR,PP,Wide,115,8,77,7
20252026,CAR,PP,lane_other,19,4,23,3
20252026,CAR,PP,unk,0,0,0,0
20252026,CAR,PK,CNFI,16,2,6,0
20252026,CAR,PK,MNFI,16,1,5,1
20252026,CAR,PK,FNFI,2,0,5,0
20252026,CAR,PK,Wide,39,1,32,0
20252026,CAR,PK,lane_other,77,1,101,0
20252026,CAR,PK,unk,0,0,0,0
20232024,BUF,ES,CNFI,515,59,584,70
