rank_gsax,rank_gsax_calibrated,goalie_id,goalie_name,faced_CNFI,faced_MNFI,faced_FNFI,total_faced,total_goals,xG,NFI_GSAx,xG_calibrated,NFI_GSAx_calibrated
59,57,8478499,Adin Hill,773.0,551.0,402.0,1726.0,248.0,169.83,-78.17,244.41,-3.59
23,58,8481020,Justus Annunen,351.0,196.0,171.0,718.0,106.0,71.3,-34.7,102.16,-3.84
13,59,8482661,Jesper Wallstedt,175.0,121.0,113.0,409.0,60.0,38.81,-21.19,55.89,-4.11
71,60,8474596,Jake Allen,951.0,632.0,429.0,2012.0,295.0,202.13,-92.87,290.37,-4.63
54,61,8478916,Joey Daccord,668.0,465.0,364.0,1497.0,215.0,146.2,-68.8,210.37,-4.63
17,62,8474682,Dustin Tokarski,209.0,137.0,106.0,452.0,69.0,44.63,-24.37,64.13,-4.87
64,63,8471734,Jonathan Quick,851.0,523.0,376.0,1750.0,258.0,176.34,-81.66,252.97,-5.03
43,64,8481611,Pyotr Kochetkov,582.0,365.0,232.0,1179.0,178.0,120.49,-57.51,172.83,-5.17
60,65,8480947,Kevin Lankinen,792.0,533.0,396.0,1721.0,250.0,170.31,-79.69,244.82,-5.18
66,66,8480843,Lukas Dostal,858.0,525.0,445.0,1828.0,264.0,179.78,-84.22,258.08,-5.92
70,67,8476914,Joonas Korpisalo,888.0,583.0,405.0,1876.0,277.0,188.17,-88.83,270.28,-6.72
36,68,8474889,Martin Jones,487.0,351.0,227.0,1065.0,161.0,106.5,-54.5,153.22,-7.78
29,69,8477484,Spencer Martin,321.0,242.0,154.0,717.0,111.0,71.41,-39.59,102.84,-8.16
30,70,8481033,Akira Schmid,331.0,236.0,161.0,728.0,113.0,72.35,-40.65,104.1,-8.9
38,71,8480193,Daniil Tarasov,489.0,326.0,234.0,1049.0,160.0,104.49,-55.51,150.15,-9.85
85,72,8478007,Elvis Merzlikins,1098.0,725.0,564.0,2387.0,348.0,235.22,-112.78,338.06,-9.94
25,73,8482137,Yaroslav Askarov,296.0,178.0,152.0,626.0,99.0,61.66,-37.34,88.48,-10.52
79,74,8475660,Cam Talbot,924.0,626.0,544.0,2094.0,301.0,201.87,-99.13,290.45,-10.55
35,75,8477992,Jonas Johansson,406.0,266.0,191.0,863.0,137.0,86.17,-50.83,123.79,-13.21
49,76,8481692,Dustin Wolf,553.0,391.0,235.0,1179.0,185.0,119.4,-65.6,171.68,-13.32
46,77,8475789,Jack Campbell,461.0,349.0,239.0,1049.0,163.0,103.3,-59.7,148.82,-14.18
84,78,8478470,Samuel Montembeault,1070.0,666.0,501.0,2237.0,335.0,223.52,-111.48,320.8,-14.2
55,79,8478435,Dan Vladar,560.0,470.0,343.0,1373.0,205.0,131.87,-73.13,190.47,-14.53
74,80,8480045,Ukko-Pekka Luukkonen,860.0,609.0,420.0,1889.0,285.0,187.62,-97.38,269.91,-15.09
47,81,8479496,David Rittich,514.0,329.0,257.0,1100.0,173.0,108.83,-64.17,156.31,-16.69
32,82,8481668,Arturs Silovs,277.0,194.0,168.0,639.0,105.0,61.32,-43.68,88.28,-16.72
27,83,8480051,Cayden Primeau,227.0,165.0,114.0,506.0,89.0,50.06,-38.94,72.05,-16.95
93,84,8479973,Stuart Skinner,1178.0,857.0,569.0,2604.0,391.0,259.07,-131.93,372.86,-18.14
62,85,8479292,Charlie Lindgren,647.0,431.0,364.0,1442.0,221.0,140.05,-80.95,201.4,-19.6
75,86,8475852,Petr Mrazek,862.0,526.0,342.0,1730.0,275.0,176.94,-98.06,253.68,-21.32
58,87,8478039,Kaapo Kahkonen,517.0,404.0,303.0,1224.0,194.0,118.29,-75.71,170.6,-23.4
78,88,8477970,Vitek Vanecek,782.0,555.0,367.0,1704.0,269.0,170.23,-98.77,244.86,-24.14
42,89,8475717,Calvin Pickard,317.0,234.0,169.0,720.0,128.0,70.59,-57.41,101.66,-26.34
65,90,8482821,Arvid Soderblom,631.0,394.0,233.0,1258.0,213.0,129.83,-83.17,186.17,-26.83
88,91,8475831,Philipp Grubauer,899.0,577.0,437.0,1913.0,307.0,190.09,-116.91,273.0,-34.0
82,92,8473503,James Reimer,691.0,547.0,440.0,1678.0,267.0,159.99,-107.01,230.88,-36.12
69,93,8481035,Samuel Ersson,567.0,346.0,254.0,1167.0,205.0,117.36,-87.64,168.35,-36.65
