player_id,player_name,es_toi_min,TNFI_SA,TNFI_SA_per60,P2_weighted,blocks_total,blocks_CNFI,blocks_MNFI,blocks_FNFI,blocks_per60,blocks_xG_per60,P2_net,P2_weighted_rank,P2_net_rank,rank_delta_net_vs_weighted
8476624,Barclay Goodrow,4269.92,1521,21.3728,2.1403,176,39,90,47,2.473,0.2152,1.9251,543,493,50
8479344,Jesse Puljujarvi,2247.62,768,20.5017,2.0235,47,7,21,19,1.255,0.0983,1.9252,469,494,-25
8479346,Dillon Dube,2275.8,763,20.116,1.9958,35,5,15,15,0.923,0.0702,1.9256,431,495,-64
8482097,Jack Quinn,2800.1,931,19.9493,1.9951,36,9,17,10,0.771,0.0694,1.9257,428,496,-68
8482475,Egor Chinakhov,2619.6,905,20.7284,2.0372,53,9,30,14,1.214,0.1091,1.9281,480,497,-17
8482109,Alexis Lafrenière,5219.73,1757,20.1964,2.0502,106,38,46,22,1.218,0.12,1.9302,488,498,-10
8477934,Leon Draisaitl,6061.42,2056,20.3517,2.0205,93,27,46,20,0.921,0.0889,1.9316,461,499,-38
8478550,Artemi Panarin,6005.47,1949,19.4723,1.9605,33,3,21,9,0.33,0.0282,1.9323,390,500,-110
8476981,Josh Anderson,4495.53,1587,21.181,2.0918,124,28,68,28,1.655,0.1565,1.9353,517,501,16
8477953,Kasperi Kapanen,3717.83,1269,20.4797,2.0185,57,15,25,17,0.92,0.0829,1.9356,459,502,-43
8476871,Tanner Pearson,2735.93,953,20.8996,2.0616,67,14,33,20,1.469,0.123,1.9386,499,503,-4
8479415,Michael McLeod,2363.37,832,21.1224,2.0432,57,6,26,25,1.447,0.1039,1.9393,485,504,-19
8474157,Max Pacioretty,1642.27,557,20.3499,2.0555,32,13,11,8,1.169,0.1142,1.9413,492,505,-13
8478398,Kyle Connor,6085.47,2066,20.3698,2.001,73,11,37,25,0.72,0.0578,1.9432,441,506,-65
8473986,Alex Killorn,5008.28,1693,20.2824,2.0289,75,24,25,26,0.899,0.0815,1.9474,474,507,-33
8478463,Anthony Beauvillier,4521.37,1621,21.5112,2.0879,104,28,63,13,1.38,0.1403,1.9476,513,508,5
8477425,Miles Wood,2448.33,902,22.1048,2.1364,77,31,28,18,1.887,0.1886,1.9478,541,509,32
8476410,Josh Leivo,618.77,203,19.6843,2.012,8,0,5,3,0.776,0.0598,1.9522,453,510,-57
8478432,Christian Fischer,2820.8,1023,21.7598,2.1199,74,27,37,10,1.574,0.1673,1.9526,532,511,21
8471669,Paul Stastny,1764.22,573,19.4874,2.0554,31,8,15,8,1.054,0.101,1.9544,491,512,-21
8473548,Phil Kessel,2084.05,715,20.5849,2.0412,34,7,19,8,0.979,0.0857,1.9555,484,513,-29
8481147,Reese Johnson,1309.17,462,21.1738,2.1259,38,10,20,8,1.742,0.1677,1.9582,536,514,22
8471218,Blake Wheeler,2668.27,920,20.6876,2.0831,59,10,38,11,1.327,0.1234,1.9597,511,515,-4
8482117,Lukas Reichel,2139.22,752,21.0918,2.0939,59,14,23,22,1.655,0.134,1.9599,521,516,5
8482222,Alexander Barabanov,2743.08,964,21.0858,2.0558,48,10,24,14,1.05,0.095,1.9608,493,517,-24
8478067,Oskar Lindblom,1619.12,598,22.1602,2.1161,47,9,24,14,1.742,0.1533,1.9628,529,518,11
8479580,Dylan Gambrell,1198.8,444,22.2222,2.2379,53,17,31,5,2.653,0.2734,1.9645,575,519,56
8471214,Alex Ovechkin,5143.35,1775,20.7063,2.0215,61,14,20,27,0.712,0.0566,1.9649,464,520,-56
8478975,Mason Marchment,4106.85,1451,21.1987,2.0929,96,27,34,35,1.403,0.124,1.9689,519,521,-2
8482652,Walker Duehr,775.17,271,20.9761,2.063,16,1,10,5,1.238,0.093,1.97,500,522,-22
8479314,Matthew Tkachuk,4792.65,1639,20.5189,2.0384,64,18,20,26,0.801,0.0678,1.9706,482,523,-41
8474870,Tyler Johnson,2055.97,695,20.2824,2.0667,35,8,19,8,1.021,0.0956,1.9711,502,524,-22
8478400,Colin White,1143.05,390,20.4715,2.1557,36,10,19,7,1.89,0.1817,1.974,547,525,22
8477964,Ivan Barbashev,5222.82,1828,21.0002,2.0916,115,28,50,37,1.321,0.1144,1.9772,516,526,-10
8478477,Mitchell Stephens,663.47,232,20.9807,2.0594,10,2,5,3,0.904,0.0821,1.9773,497,527,-30
8475744,Evgeny Kuznetsov,3356.02,1152,20.5958,2.0529,39,13,24,2,0.697,0.0756,1.9773,489,527,-38
8482775,Oliver Kapanen,738.13,266,21.6221,2.2151,30,10,13,7,2.439,0.2325,1.9826,571,529,42
8479772,Zack MacEwen,1602.28,558,20.8952,2.1386,48,5,30,13,1.797,0.1559,1.9827,542,530,12
8479991,Jake Leschyshyn,716.3,253,21.1922,2.1679,20,7,11,2,1.675,0.1833,1.9846,556,531,25
8478458,Jack Roslovic,4192.5,1457,20.8515,2.1481,109,39,53,17,1.56,0.1631,1.985,545,532,13
8481517,Brett Leason,2284.92,831,21.8214,2.1671,76,20,32,24,1.996,0.1792,1.9879,555,533,22
8481058,Jesse Ylonen,1095.13,413,22.6274,2.2325,45,15,20,10,2.465,0.2419,1.9906,574,534,40
8476438,Brandon Saad,4305.37,1487,20.723,2.0805,72,20,33,19,1.003,0.089,1.9915,507,535,-28
8477979,Nicolas Aube-Kubel,2207.82,787,21.3876,2.094,48,6,21,21,1.304,0.1003,1.9937,522,536,-14
8480870,Bo Groulx,821.52,300,21.9107,2.1207,21,3,11,7,1.534,0.1269,1.9938,533,537,-4
8478051,Max Willman,665.05,239,21.5623,2.0725,10,0,8,2,0.902,0.0767,1.9958,504,538,-34
8474149,Evgenii Dadonov,3630.35,1308,21.6178,2.1138,89,15,39,35,1.471,0.1155,1.9983,527,539,-12
8480821,Filip Zadina,2085.7,725,20.8563,2.1255,50,13,21,16,1.438,0.1255,2.0,535,540,-5
8471276,David Krejci,954.37,333,20.9353,2.1344,22,6,13,3,1.383,0.1341,2.0003,540,541,-1
8479379,Givani Smith,967.92,339,21.0142,2.1738,30,5,17,8,1.86,0.1682,2.0056,558,542,16
8484210,Gabe Perreault,530.22,177,20.0295,2.0793,8,1,3,4,0.905,0.068,2.0113,505,543,-38
8481133,Cole Reinhardt,546.73,183,20.0829,2.1282,12,3,6,3,1.317,0.1142,2.014,537,544,-7
8475784,Jeff Skinner,4322.77,1480,20.5424,2.0814,53,13,25,15,0.736,0.0643,2.0171,509,545,-36
8474161,Jakub Voracek,1307.08,468,21.4829,2.1187,23,4,13,6,1.056,0.1011,2.0176,531,546,-15
8482745,Mason McTavish,3650.7,1365,22.4341,2.1998,106,40,52,14,1.742,0.1811,2.0187,568,547,21
8479393,Noah Gregor,2803.58,1050,22.4712,2.1976,102,14,54,34,2.183,0.1783,2.0193,567,548,19
8478495,Denis Gurianov,1843.63,659,21.4468,2.1504,43,9,22,12,1.399,0.128,2.0224,546,549,-3
8480025,MacKenzie Entwistle,1870.32,683,21.9107,2.1786,53,10,32,11,1.7,0.1554,2.0232,563,550,13
8475765,Vladimir Tarasenko,4669.0,1732,22.2574,2.1619,120,19,69,32,1.542,0.136,2.0259,551,551,0
8484144,Connor Bedard,3278.65,1153,21.1001,2.1045,49,15,19,15,0.897,0.0754,2.0291,524,552,-28
8480011,Klim Kostin,1733.18,631,21.8442,2.1585,44,6,25,13,1.523,0.1275,2.031,550,553,-3
8473544,Derick Brassard,1120.95,391,20.9287,2.0887,11,3,7,1,0.589,0.0563,2.0324,515,554,-39
8483516,Jimmy Snuggerud,643.78,240,22.3678,2.1785,22,2,9,11,2.05,0.1456,2.0329,562,555,7
8474884,Mike Hoffman,2623.8,879,20.1006,2.1177,40,6,25,9,0.915,0.0812,2.0365,530,556,-26
8479328,Julien Gauthier,1211.12,428,21.2036,2.1635,25,7,13,5,1.239,0.1196,2.0439,554,557,-3
8477401,John Hayden,772.58,288,22.3665,2.2775,34,2,25,7,2.64,0.2319,2.0456,582,558,24
8474034,Patrick Maroon,2899.45,1065,22.0387,2.124,38,15,13,10,0.786,0.0761,2.0479,534,559,-25
8483445,Cutter Gauthier,1587.7,565,21.3516,2.1328,30,7,7,16,1.134,0.0836,2.0492,539,560,-21
8480762,Eric Robinson,3430.78,1203,21.0389,2.163,63,30,16,17,1.102,0.1118,2.0512,552,561,-9
8480216,Jacob Peterson,889.23,320,21.5916,2.1764,21,6,9,6,1.417,0.1252,2.0512,559,561,-2
8481554,Kaapo Kakko,3978.07,1414,21.3269,2.1314,61,11,34,16,0.92,0.0795,2.0519,538,563,-25
8470626,Loui Eriksson,814.03,284,20.9328,2.1423,11,4,7,0,0.811,0.0896,2.0527,544,564,-20
8474849,Antoine Roussel,543.05,200,22.0974,2.238,16,4,11,1,1.768,0.1791,2.0589,576,565,11
8477126,Jayson Megna,676.33,253,22.4446,2.2472,22,7,11,4,1.952,0.188,2.0592,579,566,13
8478131,Ondrej Kase,602.35,222,22.1134,2.2034,20,1,11,8,1.992,0.1411,2.0623,569,567,2
8483499,Liam Ohgren,851.05,316,22.2784,2.2164,26,4,14,8,1.833,0.1526,2.0638,572,568,4
8479368,Max Jones,1754.02,641,21.9268,2.1567,29,9,11,9,0.992,0.0896,2.0671,548,569,-21
8477952,Robby Fabbri,2724.98,1001,22.0405,2.1773,59,12,27,20,1.299,0.1088,2.0685,561,570,-9
8480029,Alex Formenton,1005.78,349,20.8196,2.1083,10,1,3,6,0.597,0.0365,2.0718,525,571,-46
8470606,Dustin Brown,807.45,283,21.0292,2.1633,15,2,8,5,1.115,0.0906,2.0727,553,572,-19
8474683,Derek Grant,1394.85,538,23.1423,2.2202,35,7,23,5,1.506,0.1443,2.0759,573,573,0
8476994,Vinnie Hinostroza,2029.12,720,21.2901,2.1767,37,7,21,9,1.094,0.0987,2.078,560,574,-14
8480074,Alexandre Texier,2147.67,772,21.5676,2.172,32,8,18,6,0.894,0.0859,2.0861,557,575,-18
8476326,Josh Archibald,559.07,216,23.1815,2.2381,15,3,8,4,1.61,0.1442,2.0939,577,576,1
8482460,Matt Rempe,507.45,180,21.2829,2.2922,17,7,7,3,2.01,0.1954,2.0968,586,577,9
8477941,Nick Ritchie,1485.02,546,22.0604,2.208,30,4,17,9,1.212,0.1066,2.1014,570,578,-8
8477935,Sam Bennett,4531.28,1710,22.6426,2.2785,128,47,62,19,1.695,0.1698,2.1087,583,579,4
8478075,Anders Bjork,820.7,303,22.1518,2.1794,10,4,4,2,0.731,0.0675,2.1119,564,580,-16
8477409,Carter Verhaeghe,5289.5,1937,21.9718,2.196,86,24,31,31,0.976,0.083,2.113,566,581,-15
8484241,Matthew Wood,510.2,195,22.9322,2.3343,18,5,10,3,2.117,0.2168,2.1175,593,582,11
8483450,Ryan Greene,721.33,280,23.2902,2.3369,30,7,16,7,2.495,0.2166,2.1203,596,583,13
8478366,Frank Vatrano,4564.9,1771,23.2776,2.3052,150,34,76,40,1.972,0.1793,2.1259,589,584,5
8478431,Evgeny Svechnikov,1335.7,524,23.5382,2.2456,28,4,18,6,1.258,0.1174,2.1282,578,585,-7
8474573,Josh Bailey,1860.7,693,22.3464,2.2565,36,11,19,6,1.161,0.1157,2.1408,580,586,-6
8480078,Filip Chytil,2587.6,974,22.5846,2.2889,63,19,36,8,1.461,0.147,2.1419,585,587,-2
8479366,Logan Brown,631.63,242,22.988,2.2795,14,4,7,3,1.33,0.1194,2.1601,584,588,-4
8482172,Landon Slaggert,812.6,312,23.0372,2.3851,30,13,10,7,2.215,0.2185,2.1666,601,589,12
8484158,Easton Cowan,566.9,219,23.1787,2.3353,16,3,10,3,1.693,0.1581,2.1772,595,590,5
8480853,Liam Foudy,818.93,314,23.0055,2.2598,12,2,8,2,0.879,0.08,2.1798,581,591,-10
8476960,Andreas Athanasiou,1856.82,708,22.8779,2.3283,46,17,19,10,1.486,0.139,2.1893,591,592,-1
8475794,Tyler Seguin,3480.98,1374,23.683,2.2987,55,26,18,11,0.948,0.097,2.2017,587,593,-6
8471794,Darren Helm,684.35,264,23.1461,2.3028,12,3,6,3,1.052,0.0952,2.2076,588,594,-6
8477460,Laurent Dauphin,637.78,244,22.9545,2.3687,16,3,13,0,1.505,0.1603,2.2084,599,595,4
8480021,Jack Studnicka,923.12,359,23.334,2.3832,25,9,10,6,1.625,0.1628,2.2204,600,596,4
8475098,Tyler Bozak,529.63,214,24.2432,2.3208,11,1,6,4,1.246,0.0945,2.2263,590,597,-7
8477503,Max Domi,4449.13,1724,23.2495,2.3344,72,18,39,15,0.971,0.0909,2.2435,594,598,-4
8477357,Saku Maenalanen,555.0,222,24.0,2.3985,15,5,5,5,1.622,0.1515,2.247,602,599,3
8480031,Maxime Comtois,1447.45,571,23.6692,2.332,25,4,9,12,1.036,0.0748,2.2572,592,600,-8
8477407,Anthony Duclair,3188.15,1270,23.901,2.4178,89,26,40,23,1.675,0.1592,2.2586,603,601,2
8476458,Ryan Strome,4916.42,1927,23.5171,2.3628,74,23,38,13,0.903,0.0859,2.2769,598,602,-4
8477944,Jakub Vrana,1182.47,432,21.9203,2.3554,13,3,7,3,0.66,0.0577,2.2977,597,603,-6
8470595,Eric Staal,831.82,352,25.3902,2.5365,30,15,8,7,2.164,0.2112,2.3253,604,604,0
8478967,Lane Pederson,573.9,233,24.3596,2.5729,17,1,12,4,1.777,0.153,2.4199,605,605,0
8484186,Ryan Leonard,600.47,258,25.7799,2.6718,22,6,8,8,2.198,0.1946,2.4772,609,606,3
8475169,Evander Kane,3003.42,1293,25.8306,2.6044,70,17,28,25,1.398,0.1183,2.4861,606,607,-1
8476851,Alex Galchenyuk,780.75,346,26.5898,2.674,21,5,14,2,1.614,0.1686,2.5054,610,608,2
8479514,Rem Pitlick,1459.45,613,25.2013,2.6237,30,5,15,10,1.233,0.1052,2.5185,607,609,-2
8475178,Zack Kassian,1062.27,458,25.8692,2.6467,7,2,2,3,0.395,0.0286,2.6181,608,610,-2
