player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P2_weighted,rank
8478466,Daniel Sprong,R,152.4,7,2.7559,1.349,5.5201,2,0.7874,0.2169,2.8021,3,1.1811,0.4041,3.385,12,4.7244,2.7441,7.9751,0.4734,1
8475722,Jason Zucker,L,229.02,12,3.1439,1.8136,5.3608,7,1.8339,0.893,3.7045,6,1.5719,0.7237,3.3584,25,6.5497,4.5028,9.3715,0.6926,2
8480830,Andrei Svechnikov,R,291.53,20,4.1162,2.6864,6.2052,8,1.6465,0.8368,3.1873,6,1.2349,0.567,2.6458,34,6.9975,5.0718,9.4984,0.7002,3
8471214,Alex Ovechkin,L,518.75,32,3.7012,2.6406,5.1447,15,1.7349,1.0555,2.8281,11,1.2723,0.7125,2.253,58,6.7084,5.247,8.5058,0.7107,4
8478042,Viktor Arvidsson,L,186.12,9,2.9014,1.5397,5.3634,9,2.9014,1.5397,5.3634,3,0.9671,0.33,2.7805,21,6.7699,4.5024,9.9859,0.7235,5
8475799,Nino Niederreiter,R,244.25,17,4.176,2.6371,6.524,8,1.9652,1.0023,3.8011,2,0.4913,0.135,1.7633,27,6.6325,4.6303,9.3726,0.78,6
8471215,Evgeni Malkin,C,327.97,23,4.2077,2.8306,6.1812,12,2.1953,1.263,3.771,5,0.9147,0.3917,2.111,40,7.3178,5.4509,9.7084,0.8271,7
8482809,Jackson Blake,R,106.7,8,4.4986,2.3022,8.4383,3,1.687,0.5748,4.7526,3,1.687,0.5748,4.7526,14,7.8725,4.7739,12.4624,0.853,8
8477330,Dominik Kubalik,L,179.92,12,4.0019,2.3126,6.774,8,2.6679,1.3614,5.1143,5,1.6674,0.7153,3.8021,25,8.3372,5.7526,11.8196,0.8562,9
8478445,Mathew Barzal,C,288.28,22,4.5788,3.0591,6.7768,11,2.2894,1.2875,4.0253,5,1.0406,0.4463,2.3994,38,7.9089,5.8596,10.5551,0.8813,10
8482679,Matt Coronato,R,118.68,9,4.5499,2.4178,8.2504,4,2.0222,0.7889,4.995,3,1.5166,0.5166,4.2904,16,8.0888,5.0691,12.4372,0.8926,11
8479339,Patrik Laine,L,173.5,14,4.8415,2.9118,7.8308,4,1.3833,0.5385,3.4566,4,1.3833,0.5385,3.4566,22,7.6081,5.0999,11.0408,0.8967,12
8474102,David Perron,L,272.9,19,4.1774,2.7003,6.3681,11,2.4185,1.3587,4.2419,5,1.0993,0.4709,2.529,35,7.6951,5.6187,10.385,0.8993,13
8474037,James van Riemsdyk,L,214.5,16,4.4755,2.7925,7.0793,9,2.5175,1.3368,4.679,5,1.3986,0.6012,3.2112,30,8.3916,5.9996,11.5843,0.9086,14
8475791,Taylor Hall,L,235.93,21,5.3405,3.5362,7.9318,6,1.5259,0.7022,3.2609,5,1.2715,0.545,2.9177,32,8.1379,5.8626,11.109,0.9362,15
8477956,David Pastrnak,R,441.2,41,5.5757,4.1563,7.422,14,1.9039,1.1402,3.1546,3,0.408,0.139,1.1885,58,7.8876,6.188,9.9762,0.9687,16
8477416,Oliver Bjorkstrand,R,289.37,25,5.1837,3.5567,7.4748,11,2.2808,1.283,4.0116,4,0.8294,0.3237,2.1025,40,8.294,6.199,10.9792,0.9705,17
8482149,Cole Perfetti,C,165.45,10,3.6265,1.995,6.4775,10,3.6265,1.995,6.4775,5,1.8132,0.7807,4.1381,25,9.0662,6.2869,12.8464,0.9788,18
8477511,Anthony Mantha,R,177.85,14,4.7231,2.8456,7.6608,7,2.3615,1.1507,4.7363,5,1.6868,0.7234,3.8437,26,8.7714,6.1002,12.3252,0.9794,19
8476539,Jonathan Marchessault,R,277.58,25,5.4038,3.6992,7.7629,8,1.7292,0.8791,3.3449,3,0.6485,0.2206,1.8745,36,7.7814,5.7015,10.4441,0.9812,20
8482146,Luke Evangelista,R,182.95,16,5.2473,3.272,8.2378,8,2.6237,1.3389,5.0328,5,1.6398,0.7035,3.7414,29,9.5108,6.7596,13.0994,0.9922,21
8475314,Anders Lee,L,297.67,25,5.0392,3.4481,7.2545,13,2.6204,1.5401,4.3918,7,1.411,0.6854,2.8611,45,9.0705,6.8887,11.7652,0.9931,22
8482702,Logan Stankoven,C,119.92,11,5.5038,3.1174,9.4026,4,2.0014,0.7822,4.9549,4,2.0014,0.7822,4.9549,19,9.5066,6.2261,14.0457,0.9952,23
8478414,Timo Meier,R,289.2,22,4.5643,3.0484,6.7539,15,3.112,1.9022,5.0316,10,2.0747,1.1341,3.7508,47,9.751,7.4735,12.5732,1.0175,24
8481604,Pavel Dorofeyev,L,113.07,11,5.8373,3.3137,9.9564,2,1.0613,0.292,3.7348,4,2.1226,0.831,5.2499,17,9.0212,5.766,13.6663,1.0205,25
8478047,Michael Bunting,L,295.02,27,5.4912,3.8198,7.7933,10,2.0338,1.1109,3.6759,6,1.2203,0.5612,2.6194,43,8.7453,6.603,11.435,1.0261,26
8478440,Dylan Strome,C,342.67,30,5.2529,3.7171,7.3269,11,1.9261,1.08,3.3903,12,2.1012,1.2075,3.6089,53,9.2802,7.2068,11.7946,1.028,27
8481553,Bobby Brink,R,126.17,12,5.7067,3.3193,9.5464,3,1.4267,0.4878,4.06,4,1.9022,0.7448,4.7272,19,9.0357,5.9227,13.4124,1.0461,28
8477947,Sonny Milano,L,119.4,12,6.0302,3.5178,10.081,4,2.0101,0.7889,4.995,2,1.005,0.2773,3.5528,18,9.0452,5.8723,13.5877,1.0489,29
8480027,Jason Robertson,L,350.72,32,5.4745,3.9191,7.5522,16,2.7373,1.695,4.3654,5,0.8554,0.366,1.9745,53,9.0671,7.0398,11.5333,1.0629,30
8482475,Egor Chinakhov,R,154.75,16,6.2036,3.8725,9.6661,5,1.9386,0.8313,4.3971,5,1.9386,0.8313,4.3971,26,10.0808,7.0271,14.0662,1.0778,31
8478438,Tommy Novak,C,200.9,23,6.8691,4.6482,9.9509,4,1.1946,0.4659,3.0026,5,1.4933,0.6403,3.4141,32,9.557,6.9051,12.9663,1.0899,32
8481582,Nicholas Robertson,L,113.78,11,5.8005,3.2841,9.8733,3,1.582,0.5394,4.4716,8,4.2185,2.1591,7.9434,22,11.601,7.8623,16.4967,1.101,33
8478495,Denis Gurianov,R,101.0,9,5.3465,2.8553,9.6444,5,2.9703,1.2797,6.6417,2,1.1881,0.3268,4.1609,16,9.505,5.9956,14.5163,1.119,34
8475848,Brendan Gallagher,R,204.15,17,4.9963,3.1607,7.7635,14,4.1146,2.479,6.7131,4,1.1756,0.459,2.9594,35,10.2866,7.5615,13.7551,1.1243,35
8481577,Philip Tomasino,C,154.3,16,6.2216,3.8981,9.7263,8,3.1108,1.5933,5.9491,1,0.3889,0.0688,2.1517,25,9.7213,6.7465,13.7202,1.1272,36
8477444,Andre Burakovsky,L,208.28,19,5.4733,3.5555,8.2953,12,3.4568,1.9984,5.8872,2,0.5761,0.1584,2.0625,33,9.5063,6.9154,12.8659,1.1316,37
8476346,Johnny Gaudreau,L,222.25,27,7.2891,5.0968,10.2702,3,0.8099,0.2764,2.3383,4,1.0799,0.4217,2.7243,34,9.1789,6.7028,12.3835,1.1435,38
8478444,Brock Boeser,R,376.72,36,5.7338,4.1864,7.7621,22,3.504,2.331,5.2063,13,2.0705,1.2156,3.4858,71,11.3082,9.1248,13.852,1.1503,39
8480078,Filip Chytil,C,141.57,13,5.5098,3.2569,9.02,6,2.543,1.1704,5.3469,6,2.543,1.1704,5.3469,25,10.5957,7.3313,14.8194,1.1539,40
8475166,John Tavares,C,343.78,33,5.7594,4.1474,7.8997,17,2.967,1.8648,4.6626,8,1.3962,0.7098,2.7127,58,10.1227,7.9649,12.7068,1.1569,41
8482222,Alexander Barabanov,L,136.05,15,6.6152,4.0792,10.4407,4,1.7641,0.6897,4.391,1,0.441,0.0779,2.4284,20,8.8203,5.8355,12.975,1.1646,42
8479385,Jordan Kyrou,C,306.35,29,5.6798,4.0078,7.9677,18,3.5254,2.2517,5.4635,7,1.371,0.6674,2.7875,54,10.5761,8.2707,13.3872,1.1783,43
