season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_twoway,F_band,D_top4_twoway,D_band,starter_goalie_name,starter_NFI_GSAx_per60,g_high,archetype_q,arche_g_q,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20212022,SJS,W,82,77,0.4695,32,-50,-0.6097560975609756,0.4674068767908309,-10.802094127349996,0.0223591474985298,Middle,0.4272095000362553,Middle,James Reimer,-0.31,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,12,False
20212022,STL,W,82,109,0.6646,49,69,0.8414634146341463,0.4719065656565656,-2.6187283966580273,-0.025906637490099,Low,-1.3633502709722485,Low,Ville Husso,0.03,True,D_LowF_LowD,D_LowF_LowD_Ghi,True,True,False,False,False,4,True
20212022,TBL,E,82,110,0.6707,51,54,0.6585365853658537,0.5140740740740741,12.461859337193417,0.9049176486418622,Middle,0.6801433763265778,Middle,Andrei Vasilevskiy,0.25,True,MIDDLE,MIDDLE_Ghi,True,True,True,True,False,4,True
20212022,TOR,E,82,115,0.7012,54,62,0.7560975609756098,0.5545181727242414,13.5137769976682,1.6326260285983258,High,1.0921039710842908,High,Jack Campbell,-0.2,False,A_HighF_HighD,A_HighF_HighD_Glo,True,False,False,False,False,3,True
20212022,VAN,W,82,92,0.561,40,13,0.1585365853658536,0.4821037253469686,3.741636371641074,0.2832050627788011,Middle,0.4757653817194613,Middle,Thatcher Demko,0.26,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,10,False
20212022,VGK,W,82,94,0.5732,43,18,0.2195121951219512,0.5365679628968962,14.273647943761242,0.5065072027532334,Middle,1.5208612304474731,High,Robin Lehner,0.19,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,9,False
20212022,WPG,W,82,89,0.5427,39,-5,-0.0609756097560975,0.5001630257580698,6.855093048193355,0.4122554304690799,Middle,0.5695579167360748,Middle,Connor Hellebuyck,0.22,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,11,False
20212022,WSH,E,82,100,0.6098,44,30,0.3658536585365853,0.4994567185802245,0.0788780941387732,0.1449104779593657,Middle,0.4408350721503685,Middle,Vitek Vanecek,-0.19,False,MIDDLE,MIDDLE_Glo,True,False,False,False,False,8,False
20222023,ANA,W,82,58,0.3537,23,-129,-1.5731707317073171,0.38498957609451,-34.341733853968776,-1.7383206587686608,Low,-0.9834587855940632,Low,John Gibson,-0.01,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,16,False
20222023,ARI,W,82,70,0.4268,28,-71,-0.8658536585365854,0.4450058297706957,-17.84213756719522,-0.4222429706220973,Low,-0.5843413578405903,Low,Karel Vejmelka,-0.0,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,13,False
20222023,BOS,E,82,135,0.8232,65,128,1.5609756097560976,0.5411639460610362,25.992588679735977,1.369661033151475,High,1.0492369022475154,High,Linus Ullmark,0.1,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,False,False,False,False,1,True
20222023,BUF,E,81,89,0.5494,41,-7,-0.0864197530864197,0.4973876698014629,-3.668454906508762,-0.0988843138703555,Low,-0.3623053394436233,Low,Ukko-Pekka Luukkonen,-0.11,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,10,False
20222023,CAR,E,82,113,0.689,52,53,0.6463414634146342,0.5821042281219272,33.20590210681015,2.1964428092270807,High,1.8979382837864625,High,Frederik Andersen,-0.03,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,True,False,False,2,True
20222023,CBJ,E,81,59,0.3642,25,-113,-1.3950617283950617,0.4406409322651129,-21.987978491071814,-0.6497321210769622,Low,-0.5849587791942946,Low,Elvis Merzlikins,-0.06,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,16,False
