player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8479999,Casey Mittelstadt,C,268.82,6,1.3392,0.6157,2.868,5,1.116,0.4779,2.566,11,2.4552,1.3791,4.3037,0.2303,262
8477942,Kevin Fiala,L,348.93,7,1.2037,0.5849,2.449,10,1.7195,0.9382,3.116,17,2.9232,1.8379,4.597,0.221,263
8482660,Kent Johnson,C,174.08,2,0.6893,0.1895,2.4561,6,2.068,0.9539,4.3908,8,2.7573,1.4087,5.2854,0.219,264
8477479,Tyler Bertuzzi,L,279.78,6,1.2867,0.5914,2.7573,6,1.2867,0.5914,2.7573,12,2.5734,1.481,4.4043,0.2096,265
8480821,Filip Zadina,R,102.95,2,1.1656,0.3205,4.0832,2,1.1656,0.3205,4.0832,4,2.3312,0.9122,5.7378,0.2026,266
8479314,Matthew Tkachuk,L,370.07,10,1.6213,0.8847,2.9418,6,0.9728,0.4472,2.0954,16,2.5941,1.6074,4.145,0.2026,266
8479987,Morgan Geekie,C,222.9,6,1.6151,0.7433,3.4468,4,1.0767,0.4198,2.7123,10,2.6918,1.4722,4.8339,0.1972,268
8484166,Adam Fantilli,C,166.93,1,0.3594,0.0635,1.9881,4,1.4377,0.5612,3.5976,5,1.7971,0.7713,4.0899,0.1862,269
8482475,Egor Chinakhov,R,154.75,2,0.7754,0.2127,2.7493,4,1.5509,0.6048,3.8682,6,2.3263,1.0716,4.9124,0.1853,270
8478873,Troy Terry,R,309.23,5,0.9701,0.4159,2.2388,6,1.1642,0.5357,2.5025,11,2.1343,1.1995,3.7567,0.182,271
8479996,Cody Glass,C,157.68,0,0.0,0.0,1.4242,7,2.6636,1.2974,5.317,7,2.6636,1.2974,5.317,0.1796,272
8477407,Anthony Duclair,L,153.0,2,0.7843,0.2155,2.7843,2,0.7843,0.2155,2.7843,4,1.5686,0.6128,3.9173,0.1795,273
8481554,Kaapo Kakko,R,186.68,6,1.9284,0.8872,4.0934,2,0.6428,0.1763,2.2891,8,2.5712,1.3101,4.9281,0.1744,274
8481557,Matt Boldy,L,344.45,3,0.5226,0.1782,1.5194,6,1.0451,0.4811,2.2515,9,1.5677,0.8294,2.9381,0.174,275
8482665,Matty Beniers,C,303.87,1,0.1975,0.0349,1.1037,9,1.7771,0.9391,3.3179,10,1.9746,1.0778,3.569,0.1636,276
8482077,Dylan Holloway,L,119.85,2,1.0013,0.2749,3.5242,2,1.0013,0.2749,3.5242,4,2.0025,0.7822,4.9549,0.1636,276
8474149,Evgenii Dadonov,R,170.45,3,1.056,0.3612,3.0356,2,0.704,0.1939,2.5125,5,1.76,0.7576,4.0197,0.1531,278
