rank,goalie_name,tier_label_text,games_est,ES_TOI_min,total_faced,spatial_save_pct,sv_lo,sv_hi,NFI_GSAx_cumulative,NFI_GSAx_per60,rank_cumulative,rank_per60,tier
51,Filip Gustavsson,Qualified,262,9183.93,2176.0,0.8286,0.8095,0.8462,-2.14,-0.014,51.0,50.0,1
52,Devin Cooley,Insufficient Sample,31,1089.07,396.0,0.8431,0.7996,0.8786,-2.24,-0.123,52.0,71.0,3
53,Joel Hofer,Qualified,130,4559.27,1024.0,0.8268,0.7987,0.8516,-2.98,-0.039,53.0,55.0,1
54,Thomas Greiss,Small Sample,63,2191.63,604.0,0.8201,0.7831,0.8519,-3.07,-0.084,54.0,66.0,2
55,Nico Daws,Small Sample,68,2379.3,476.0,0.8203,0.7788,0.8555,-3.2,-0.081,55.0,65.0,2
56,Frederik Andersen,Qualified,197,6883.77,1728.0,0.8278,0.8072,0.8466,-3.22,-0.028,56.0,52.0,1
57,Adin Hill,Qualified,215,7539.1,1726.0,0.8255,0.8042,0.845,-3.59,-0.029,57.0,53.0,1
58,Justus Annunen,Small Sample,88,3084.72,718.0,0.8282,0.7943,0.8575,-3.84,-0.075,58.0,64.0,2
59,Jesper Wallstedt,Insufficient Sample,36,1267.98,409.0,,,,-4.11,-0.194,59.0,82.0,3
60,Jake Allen,Qualified,221,7732.52,2012.0,0.8244,0.8049,0.8423,-4.63,-0.036,60.0,54.0,1
