xb,yb,shots,goals,save_pct,is_inflection
-100,-25,14,0,1.0,0
-100,-20,11,0,1.0,0
-100,-15,15,0,1.0,0
-100,-10,36,0,1.0,0
-100,-5,47,0,1.0,0
-100,0,47,0,1.0,0
-100,5,35,0,1.0,0
-100,10,30,0,1.0,0
-100,15,21,0,1.0,0
-100,20,7,0,1.0,0
-100,25,5,0,1.0,0
-95,-35,13,0,1.0,0
-95,-30,47,0,1.0,0
-95,-25,54,0,1.0,0
-95,-20,49,0,1.0,0
-95,-15,53,0,1.0,0
-95,-10,33,0,1.0,0
-95,-5,9,0,1.0,0
-95,0,9,0,1.0,0
-95,5,54,0,1.0,0
-95,10,52,0,1.0,0
-95,15,78,0,1.0,0
-95,20,69,0,1.0,0
-95,25,68,0,1.0,0
-95,30,28,0,1.0,0
-90,-40,10,0,1.0,0
-90,-35,66,0,1.0,0
-90,-30,64,0,1.0,0
-90,-25,54,0,1.0,0
-90,-20,52,0,1.0,0
-90,-15,31,0,1.0,0
-90,-10,14,0,1.0,0
-90,-5,4,0,1.0,0
-90,0,1,0,1.0,0
-90,5,15,0,1.0,0
-90,10,23,0,1.0,0
-90,15,31,0,1.0,0
-90,20,74,0,1.0,0
-90,25,70,0,1.0,0
-90,30,70,0,1.0,0
-90,35,18,0,1.0,0
-85,-40,56,0,1.0,0
-85,-35,51,0,1.0,0
-85,-30,48,0,1.0,0
-85,-25,34,0,1.0,0
-85,-20,28,0,1.0,0
-85,-15,24,0,1.0,0
-85,-10,18,0,1.0,0
-85,-5,21,0,1.0,0
-85,0,24,0,1.0,0
-85,5,14,0,1.0,0
-85,10,17,0,1.0,0
-85,15,27,0,1.0,0
-85,20,48,0,1.0,0
-85,25,38,0,1.0,0
-85,30,68,0,1.0,0
-85,35,80,0,1.0,0
-85,40,2,0,1.0,0
-80,-45,1,0,1.0,0
-80,-40,77,0,1.0,0
-80,-35,52,0,1.0,0
-80,-30,44,0,1.0,0
-80,-25,15,0,1.0,0
-80,-20,25,0,1.0,0
-80,-15,34,0,1.0,0
-80,-10,31,0,1.0,0
-80,-5,36,0,1.0,0
-80,0,46,0,1.0,0
-80,5,24,0,1.0,0
-80,10,27,0,1.0,0
-80,15,22,0,1.0,0
-80,20,28,0,1.0,0
-80,25,37,0,1.0,0
-80,30,39,0,1.0,0
-80,35,75,0,1.0,0
-80,40,21,0,1.0,0
-75,-45,14,0,1.0,0
-75,-40,73,0,1.0,0
-75,-35,33,0,1.0,0
-75,-30,24,0,1.0,0
-75,-25,23,0,1.0,0
-75,-20,18,0,1.0,0
-75,-15,24,0,1.0,0
-75,-10,25,0,1.0,0
-75,-5,38,0,1.0,0
-75,0,47,0,1.0,0
-75,5,21,0,1.0,0
-75,10,25,0,1.0,0
-75,15,21,0,1.0,0
-75,20,17,0,1.0,0
-75,25,26,0,1.0,0
-75,30,33,0,1.0,0
-75,35,70,0,1.0,0
-75,40,37,0,1.0,0
-70,-45,21,0,1.0,0
-70,-40,81,0,1.0,0
