term,beta,se,t,p
intercept,91.08740891259104,0.7511925342589936,121.25707426318249,0.0
P1_NF_F,6.652344998617885,1.0656926537267375,6.242273487909079,4.097410855052885e-09
P2_DefF,-6.653982305786401,1.0324617423285656,-6.4447737218614245,1.4490089128571526e-09
P3_OffF,5.217703002525935,1.2555984593950387,4.155550656728173,5.3980593217151096e-05
P4_DefD,1.0309221234573538,1.0712368054477028,0.9623662277235702,0.3373941497641717
P5_OffD,2.448995036300062,1.128050787200332,2.1709971431145694,0.03148307446506937
P6_SvPct,3.6868188242356936,0.8112203534859335,4.544780969058394,1.1146305924469857e-05
P7_SvPct,3.6881950709312057,0.7713857156068099,4.781259227790977,4.079251395561201e-06
