season,team,CF,CF_adj,HD_CF,HD_CF_adj,TNFI_CF,TNFI_CF_adj,CNFI_CF,MNFI_CF,FNFI_CF,CA,CA_adj,HD_CA,HD_CA_adj,TNFI_CA,TNFI_CA_adj,CNFI_CA,MNFI_CA,FNFI_CA,CF_pct,CF_score_adj_pct,HD_CF_pct,HD_CF_score_adj_pct,TNFI_pct,TNFI_score_adj_pct,CNFI_pct,MNFI_pct,FNFI_pct,CF_zone_adj_pct,CF_score_zone_adj_pct,HD_CF_score_zone_adj_pct,TNFI_zone_adj_pct,TNFI_score_zone_adj_pct
20212022,ANA,3675.0,3829.2999999999997,999,1055.55,1280,1354.6499999999999,572,414,294,3858.0,3885.5499999999997,1078,1076.6,1448,1457.1,617,451,380,0.48785344484269216,0.4963544333331173,0.4809821858449687,0.49506366812841507,0.46920821114369504,0.4817818084822619,0.48107653490328006,0.47861271676300576,0.4362017804154303,0.48785344484269216,0.4963544333331173,0.49506366812841507,0.46920821114369504,0.4817818084822619
20212022,ARI,3385.0,3784.7999999999997,834,926.1999999999999,1160,1313.85,490,405,265,3947.0,3716.9,1091,1033.25,1535,1436.1,656,534,345,0.4616748499727223,0.5045256408547396,0.43324675324675327,0.47268366123146804,0.43042671614100186,0.4777723231331479,0.42757417102966844,0.43130990415335463,0.4344262295081967,0.4616748499727223,0.5045256408547396,0.47268366123146804,0.43042671614100186,0.4777723231331479
20212022,BOS,4255.0,4263.3,1032,1037.95,1459,1460.25,523,564,372,3598.0,3758.95,807,851.65,1185,1249.45,404,467,314,0.5418311473322297,0.5314344479416623,0.5611745513866232,0.5492961473327689,0.5518154311649016,0.5388972949034949,0.564185544768069,0.5470417070805044,0.5422740524781341,0.5418311473322297,0.5314344479416623,0.5492961473327689,0.5518154311649016,0.5388972949034949
20212022,BUF,3393.0,3605.5,835,885.8,1279,1366.85,481,454,344,3739.0,3703.7,1004,1009.0,1417,1420.1499999999999,601,471,345,0.47574312955692655,0.49328243857056864,0.4540511147362697,0.46748997255647035,0.47440652818991097,0.49043774668101897,0.444547134935305,0.4908108108108108,0.49927431059506533,0.47574312955692655,0.49328243857056864,0.46748997255647035,0.47440652818991097,0.49043774668101897
20212022,CAR,4571.0,4572.2,1314,1322.3999999999999,1752,1768.6,782,572,398,4166.0,4418.05,1143,1232.85,1386,1486.3999999999999,626,457,303,0.523177291976651,0.5085731764967604,0.5347985347985348,0.5175227472850014,0.5583173996175909,0.5433486943164362,0.5553977272727273,0.5558794946550049,0.5677603423680456,0.523177291976651,0.5085731764967604,0.5175227472850014,0.5583173996175909,0.5433486943164362
20212022,CBJ,3627.0,3816.25,842,891.9499999999999,1251,1321.8999999999999,481,448,322,4063.0,4035.7999999999997,1079,1061.8,1517,1509.6499999999999,629,548,340,0.4716514954486346,0.4860195745060208,0.43831337844872464,0.45653230966090846,0.45195086705202314,0.46684678003213786,0.43333333333333335,0.4497991967871486,0.486404833836858,0.4716514954486346,0.4860195745060208,0.45653230966090846,0.45195086705202314,0.46684678003213786
20212022,CGY,4643.0,4485.9,1187,1144.6499999999999,1804,1736.1499999999999,662,709,433,4222.0,4575.95,986,1065.6,1454,1579.35,527,517,410,0.5237450648618162,0.49503136776706747,0.5462494247583985,0.5178825924669155,0.5537139349294046,0.5236465088221988,0.5567703952901598,0.5783034257748777,0.5136417556346382,0.5237450648618162,0.49503136776706747,0.5178825924669155,0.5537139349294046,0.5236465088221988
20212022,CHI,3535.0,3766.5,812,862.9,1129,1206.2,409,427,293,3817.0,3748.0499999999997,1011,1001.6999999999999,1361,1350.45,491,500,370,0.4808215451577802,0.5012276184202648,0.4454196379594076,0.4627802209589188,0.4534136546184739,0.4717892554710265,0.45444444444444443,0.46062567421790723,0.4419306184012066,0.4808215451577802,0.5012276184202648,0.4627802209589188,0.4534136546184739,0.4717892554710265
20212022,COL,4896.0,4719.15,1201,1164.6499999999999,1846,1800.8999999999999,671,622,553,4739.0,5123.65,1109,1215.2,1494,1623.75,664,501,329,0.5081473793461339,0.4794519852074613,0.5199134199134199,0.48937958274681176,0.5526946107784431,0.5258639569007052,0.5026217228464419,0.553873552983081,0.626984126984127,0.5081473793461339,0.4794519852074613,0.48937958274681176,0.5526946107784431,0.5258639569007052
20212022,DAL,4077.0,4166.5,1094,1127.0,1476,1531.3,650,525,301,4140.0,4310.0,1057,1106.95,1432,1498.85,584,488,360,0.49616648411829134,0.4915354214593287,0.5086006508600651,0.5044875668658655,0.5075653370013755,0.5053545204032804,0.526742301458671,0.5182625863770978,0.45537065052950076,0.49616648411829134,0.4915354214593287,0.5044875668658655,0.5075653370013755,0.5053545204032804
20212022,DET,3452.0,3705.85,955,1018.15,1165,1241.0,546,379,240,3853.0,3754.45,1166,1147.2,1430,1402.6499999999999,647,511,272,0.4725530458590007,0.4967427583341153,0.45025931164545024,0.47020112222042626,0.4489402697495183,0.4694267395457039,0.45766974015088013,0.4258426966292135,0.46875,0.4725530458590007,0.4967427583341153,0.47020112222042626,0.4489402697495183,0.4694267395457039
20212022,EDM,4627.0,4673.05,1324,1326.0,1715,1729.7,777,533,405,4676.0,4818.95,1151,1193.85,1604,1660.95,640,619,345,0.49736644093303234,0.4923145806995365,0.534949494949495,0.5262217989166021,0.5167219041880085,0.5101381740964122,0.5483415666901905,0.4626736111111111,0.54,0.49736644093303234,0.4923145806995365,0.5262217989166021,0.5167219041880085,0.5101381740964122
20212022,FLA,4586.0,4555.05,1338,1331.75,1809,1802.75,757,659,393,4082.0,4320.349999999999,1075,1144.6,1366,1446.85,615,477,274,0.5290724503922474,0.513221939292877,0.5544964774140074,0.537787469461102,0.5697637795275591,0.5547605859182668,0.5517492711370262,0.5801056338028169,0.5892053973013494,0.5290724503922474,0.513221939292877,0.537787469461102,0.5697637795275591,0.5547605859182668
20212022,LAK,4398.0,4524.2,1172,1217.75,1470,1520.6499999999999,652,505,313,3894.0,3961.25,1105,1131.45,1378,1398.85,644,466,268,0.5303907380607815,0.533171487664178,0.5147123407992973,0.5183679550485272,0.5161516853932584,0.5208597362562082,0.5030864197530864,0.5200823892893924,0.5387263339070568,0.5303907380607815,0.533171487664178,0.5183679550485272,0.5161516853932584,0.5208597362562082
20212022,MIN,3939.0,3940.45,965,968.6,1439,1445.35,549,532,358,3798.0,4025.2,817,872.6999999999999,1282,1368.3,471,454,357,0.5091120589375727,0.494680283467137,0.5415263748597082,0.5260413838049205,0.5288496876148475,0.5136921791978392,0.538235294117647,0.539553752535497,0.5006993006993007,0.5091120589375727,0.494680283467137,0.5260413838049205,0.5288496876148475,0.5136921791978392
20212022,MTL,3527.0,3887.7999999999997,936,1039.1,1150,1279.2,512,408,230,3891.0,3694.65,1060,999.55,1458,1379.6,639,530,289,0.47546508492855216,0.5127366484447639,0.46893787575150303,0.5097000465994653,0.4409509202453988,0.4811193019407251,0.4448305821025195,0.4349680170575693,0.44315992292870904,0.47546508492855216,0.5127366484447639,0.5097000465994653,0.4409509202453988,0.4811193019407251
20212022,NJD,3861.0,4161.7,972,1050.3,1387,1492.85,525,538,324,3893.0,3809.5,845,826.4,1337,1322.3,487,530,320,0.49793654887799843,0.5220920313127259,0.53494771601541,0.5596525816592957,0.5091776798825257,0.5302914587144557,0.5187747035573123,0.5037453183520599,0.5031055900621118,0.49793654887799843,0.5220920313127259,0.5596525816592957,0.5091776798825257,0.5302914587144557
20212022,NSH,3792.0,3899.0499999999997,906,934.8,1323,1368.3,489,516,318,3764.0,3866.2999999999997,921,943.6999999999999,1300,1341.85,462,471,367,0.501852832186342,0.502108726586696,0.49589490968801314,0.4976310886345488,0.5043842927945101,0.5048798037009022,0.5141955835962145,0.5227963525835866,0.4642335766423358,0.501852832186342,0.502108726586696,0.4976310886345488,0.5043842927945101,0.5048798037009022
20212022,NYI,3617.0,3652.5,974,991.05,1298,1320.0,556,460,282,3883.0,4032.65,1001,1035.3999999999999,1499,1563.6499999999999,562,575,362,0.4822666666666667,0.47526723616324995,0.4931645569620253,0.48905721828813936,0.4640686449767608,0.4577531947358383,0.49731663685152055,0.4444444444444444,0.43788819875776397,0.4822666666666667,0.47526723616324995,0.48905721828813936,0.4640686449767608,0.4577531947358383
20212022,NYR,4440.0,4485.55,1202,1220.05,1447,1480.35,669,460,318,4691.0,4903.75,1379,1458.0,1765,1859.35,813,583,369,0.4862556127477823,0.4777299692202827,0.4657109647423479,0.45557401840891687,0.45049813200498134,0.4432583765008833,0.451417004048583,0.44103547459252157,0.462882096069869,0.4862556127477823,0.4777299692202827,0.45557401840891687,0.45049813200498134,0.4432583765008833
20212022,OTT,3710.0,3821.95,894,928.25,1232,1272.6,527,444,261,3830.0,3896.0,1060,1089.1,1402,1432.2,566,530,306,0.4920424403183024,0.49520274166067413,0.45752302968270214,0.46013334324732946,0.4677296886864085,0.4704968944099378,0.48215919487648673,0.45585215605749485,0.4603174603174603,0.4920424403183024,0.49520274166067413,0.46013334324732946,0.4677296886864085,0.4704968944099378
20212022,PHI,3696.0,3945.0,858,919.8,1177,1266.6499999999999,475,430,272,3918.0,3854.9,1023,1003.05,1436,1411.0,583,506,347,0.4854215918045705,0.5057757150732702,0.45614035087719296,0.4783524455885795,0.45044010715652505,0.4730453942822998,0.44896030245746693,0.4594017094017094,0.4394184168012924,0.4854215918045705,0.5057757150732702,0.4783524455885795,0.45044010715652505,0.4730453942822998
20212022,PIT,4382.0,4361.3,1190,1186.05,1643,1639.1,667,585,391,3952.0,4182.65,938,999.6999999999999,1432,1529.55,541,480,411,0.5257979361651068,0.5104547662380983,0.5592105263157895,0.5426283884250257,0.5343089430894309,0.5172865415871113,0.5521523178807947,0.5492957746478874,0.48753117206982544,0.5257979361651068,0.5104547662380983,0.5426283884250257,0.5343089430894309,0.5172865415871113
20212022,SEA,3505.0,3760.25,857,927.6,1230,1331.6,477,441,312,3558.0,3466.1,900,872.8,1170,1146.55,516,407,247,0.4962480532351692,0.5203525984764092,0.4877632327831531,0.5152188402577205,0.5125,0.5373363194318342,0.48036253776435045,0.5200471698113207,0.5581395348837209,0.4962480532351692,0.5203525984764092,0.5152188402577205,0.5125,0.5373363194318342
20212022,SJS,3816.0,4019.75,851,899.1,1305,1388.8,507,457,341,3869.0,3841.2,947,935.9,1487,1478.55,541,534,412,0.496551724137931,0.5113567698560607,0.4733036707452725,0.48997275204359675,0.4674068767908309,0.48434966083666103,0.48377862595419846,0.4611503531786075,0.45285524568393093,0.496551724137931,0.5113567698560607,0.48997275204359675,0.4674068767908309,0.48434966083666103
20212022,STL,3912.0,3878.15,1059,1055.5,1495,1474.35,511,642,342,4366.0,4637.7,1177,1252.95,1673,1779.1499999999999,621,676,376,0.47257791737134575,0.45540374713035103,0.473613595706619,0.4572332084298989,0.47190656565656564,0.4531581373905025,0.45141342756183744,0.48710166919575115,0.4763231197771588,0.47257791737134575,0.45540374713035103,0.4572332084298989,0.47190656565656564,0.4531581373905025
20212022,TBL,4611.0,4587.95,1243,1239.95,1735,1728.8,721,629,385,4557.0,4779.2,1200,1265.8999999999999,1640,1730.05,620,624,396,0.5029450261780105,0.4897914520425103,0.5088006549324601,0.4948221162479798,0.5140740740740741,0.4998193041039652,0.5376584638329605,0.5019952114924182,0.49295774647887325,0.5029450261780105,0.4897914520425103,0.4948221162479798,0.5140740740740741,0.4998193041039652
20212022,TOR,4261.0,4235.9,1267,1268.45,1663,1646.85,693,615,355,4027.0,4313.4,1025,1097.85,1336,1448.2,539,499,298,0.5141167953667953,0.4954674651725872,0.5527923211169284,0.5360478383974981,0.5545181727242414,0.5320915655643689,0.5625,0.552064631956912,0.5436447166921899,0.5141167953667953,0.4954674651725872,0.5360478383974981,0.5545181727242414,0.5320915655643689
20212022,VAN,3827.0,3970.25,945,986.3,1320,1383.3,499,501,320,3804.0,3864.7999999999997,988,1013.25,1418,1453.1,548,512,358,0.5015070108766871,0.5067293763281664,0.48887739265390584,0.4932609837213373,0.4821037253469686,0.4876956705683261,0.47659980897803245,0.4945705824284304,0.471976401179941,0.5015070108766871,0.5067293763281664,0.4932609837213373,0.4821037253469686,0.4876956705683261
20212022,VGK,4211.0,4249.95,1081,1107.45,1504,1522.1,634,500,370,3752.0,3926.35,980,1029.5,1299,1371.0,567,493,239,0.5288207961823433,0.5197889020706188,0.5245026686074721,0.5182386111046118,0.5365679628968962,0.5261138571082922,0.5278934221482098,0.5035246727089627,0.6075533661740559,0.5288207961823433,0.5197889020706188,0.5182386111046118,0.5365679628968962,0.5261138571082922
