player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,CNFI_centrality,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,MNFI_centrality,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,FNFI_centrality,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P2_weighted,TNFI_rank_raw,P2_weighted_rank,rank_delta,weighting_flag
8475763,Kevin Hayes,3652.25,498,8.1813,7.5369,8.8726,4.209,394,6.4727,5.894,7.1018,7.142,259,4.2549,3.7823,4.7822,7.212,1151,18.9089,18.0182,19.8255,1.889,263,295,-32,HIGH_DANGER_MIX
8476919,Chris Tierney,1500.65,193,7.7167,6.7554,8.7881,4.311,159,6.3572,5.4812,7.351,7.289,121,4.8379,4.0732,5.7288,7.438,473,18.9118,17.5271,20.3443,1.8346,264,227,37,LOW_DANGER_MIX
8479536,Axel Jonsson-Fjallby,919.65,110,7.1766,6.0099,8.5277,4.173,99,6.459,5.3515,7.7574,6.899,81,5.2846,4.2842,6.4865,6.272,290,18.9202,17.161,20.7573,1.7897,265,166,99,LOW_DANGER_MIX
8477456,J.T. Compher,5138.43,698,8.1503,7.6052,8.7295,4.205,493,5.7566,5.2919,6.2586,7.351,430,5.021,4.5855,5.4946,7.163,1621,18.9279,18.1756,19.7,1.8315,266,219,47,LOW_DANGER_MIX
8474141,Patrick Kane,5057.98,678,8.0427,7.496,8.6228,4.173,558,6.6192,6.1188,7.1551,7.258,360,4.2705,3.8645,4.7154,6.667,1596,18.9324,18.1726,19.709,1.8824,267,288,-21,HIGH_DANGER_MIX
8480014,Gabriel Vilardi,3739.27,511,8.1995,7.5618,8.8831,4.577,421,6.7553,6.1716,7.3878,7.613,248,3.9794,3.5273,4.4855,7.456,1180,18.9342,18.0535,19.8403,1.871,268,273,-5,
8481601,Simon Holmstrom,3099.07,460,8.9059,8.1812,9.6833,4.217,271,5.2467,4.6803,5.8747,8.343,247,4.7821,4.2408,5.386,7.486,978,18.9347,17.9676,19.9301,1.8644,269,264,5,
8476389,Vincent Trocheck,5892.17,871,8.8694,8.3397,9.4272,4.25,574,5.845,5.4065,6.3154,7.46,415,4.2259,3.8506,4.6351,6.94,1860,18.9404,18.2363,19.66,1.9054,270,316,-46,HIGH_DANGER_MIX
8476459,Mika Zibanejad,5759.13,846,8.8138,8.2796,9.3767,4.113,602,6.2718,5.8135,6.762,7.435,371,3.8652,3.502,4.2634,7.445,1819,18.9508,18.2384,19.6787,1.9404,271,370,-99,HIGH_DANGER_MIX
8481641,Joel Kiviranta,2887.38,394,8.1873,7.466,8.9688,4.269,280,5.8184,5.2032,6.4994,7.321,238,4.9457,4.3771,5.5821,7.685,912,18.9514,17.9517,19.9855,1.8307,272,218,54,LOW_DANGER_MIX
