season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_n,F_top6_twoway,F_bot6_n,F_bot6_twoway,D_top4_n,D_top4_twoway,starter_goalie_id,starter_goalie_name,starter_goalie_toi_min,starter_NFI_GSAx_per60,g_high,archetype,arche_g,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20212022,NSH,W,82,97,0.5915,45,14,0.17073170731707318,0.5043842927945101,-3.2119358019613795,6,0.24187947297814594,6,0.2722234754892215,4,1.293115078572387,8477424,Juuse Saros,3895.383333333333,0.07,True,C_LowF_HighD,C_LowF_HighD_Ghi,True,False,False,False,False,8,False
20212022,NYI,E,82,84,0.5122,37,-6,-0.07317073170731707,0.4640686449767608,-3.957587870974899,6,0.15930032250756468,6,-0.9044633953539636,4,-0.32758432095280743,8478009,Ilya Sorokin,3037.0666666666666,0.34,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,9,False
20212022,NYR,E,82,110,0.6707,52,47,0.573170731707317,0.4504981320049813,-5.064318447882731,6,-0.7760719100178849,6,-1.3789221132618534,4,-0.28604059947584637,8478048,Igor Shesterkin,3096.15,0.37,True,D_LowF_LowD,D_LowF_LowD_Ghi,True,True,True,False,False,4,True
20212022,OTT,E,82,73,0.4451,33,-39,-0.47560975609756095,0.4677296886864085,-13.636378741987423,6,0.5490797160966668,6,-1.128645431879901,4,-0.09169774826380417,8476341,Anton Forsberg,2547.0333333333333,0.11,True,B_HighF_LowD,B_HighF_LowD_Ghi,False,False,False,False,False,13,False
20212022,PHI,E,82,61,0.372,25,-87,-1.0609756097560976,0.450440107156525,-16.72736267116252,6,-0.19515693735021358,6,-0.24366370589139227,4,-0.41089932758909753,8479394,Carter Hart,2575.366666666667,0.05,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,15,False
20212022,PIT,E,82,103,0.628,46,43,0.524390243902439,0.5343089430894309,12.169421006209626,6,0.6445802369210935,6,0.7149728198187746,4,0.39132770676725276,8477465,Tristan Jarry,3449.1,0.0,True,B_HighF_LowD,B_HighF_LowD_Ghi,True,False,False,False,False,7,False
20212022,SEA,W,82,60,0.3659,27,-69,-0.8414634146341463,0.5125,-12.253924483445292,6,0.3470933831981206,6,0.43940805468935623,4,0.5435658935224237,8475831,Philipp Grubauer,3084.1666666666665,-0.25,False,C_LowF_HighD,C_LowF_HighD_Glo,False,False,False,False,False,15,False
20212022,SJS,W,82,77,0.4695,32,-50,-0.6097560975609756,0.4674068767908309,-10.802094127349996,6,0.02235914749852988,6,-0.905501496069431,4,0.4272095000362553,8473503,James Reimer,2638.5333333333333,-0.31,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,12,False
20212022,STL,W,82,109,0.6646,49,69,0.8414634146341463,0.4719065656565656,-2.6187283966580273,6,-0.02590663749009901,6,-0.993050588794182,4,-1.3633502709722483,8478024,Ville Husso,2323.2833333333333,0.03,True,D_LowF_LowD,D_LowF_LowD_Ghi,True,True,False,False,False,4,True
20212022,TBL,E,82,110,0.6707,51,54,0.6585365853658537,0.5140740740740741,12.461859337193417,6,0.9049176486418622,6,0.5633200588673577,4,0.6801433763265778,8476883,Andrei Vasilevskiy,3717.75,0.25,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,True,True,False,4,True
20212022,TOR,E,82,115,0.7012,54,62,0.7560975609756098,0.5545181727242414,13.5137769976682,6,1.6326260285983258,6,0.026739861915237778,4,1.0921039710842908,8475789,Jack Campbell,2760.4666666666667,-0.2,False,A_HighF_HighD,A_HighF_HighD_Glo,True,False,False,False,False,3,True
20212022,VAN,W,82,92,0.561,40,13,0.15853658536585366,0.4821037253469686,3.741636371641074,6,0.2832050627788011,6,-0.5178199924209929,4,0.47576538171946137,8477967,Thatcher Demko,3664.05,0.26,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,10,False
20212022,VGK,W,82,94,0.5732,43,18,0.21951219512195122,0.5365679628968962,14.273647943761242,6,0.5065072027532334,6,0.5064794993932862,4,1.5208612304474731,8475215,Robin Lehner,2521.883333333333,0.19,True,C_LowF_HighD,C_LowF_HighD_Ghi,False,False,False,False,False,9,False
20212022,WPG,W,82,89,0.5427,39,-5,-0.06097560975609756,0.5001630257580698,6.855093048193355,6,0.4122554304690799,6,-0.4911969732540178,4,0.5695579167360748,8476945,Connor Hellebuyck,3859.5666666666666,0.22,True,C_LowF_HighD,C_LowF_HighD_Ghi,False,False,False,False,False,11,False
20212022,WSH,E,82,100,0.6098,44,30,0.36585365853658536,0.4994567185802245,0.0788780941387732,6,0.14491047795936576,6,0.1020110308783929,4,0.4408350721503685,8477970,Vitek Vanecek,2401.6833333333334,-0.19,False,D_LowF_LowD,D_LowF_LowD_Glo,True,False,False,False,False,8,False
20222023,ANA,W,82,58,0.3537,23,-129,-1.5731707317073171,0.38498957609451,-34.341733853968776,6,-1.7383206587686608,6,-2.155991387765892,4,-0.9834587855940633,8476434,John Gibson,2964.45,-0.01,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,16,False
20222023,ARI,W,82,70,0.4268,28,-71,-0.8658536585365854,0.4450058297706957,-17.84213756719522,6,-0.4222429706220973,6,-1.2838789099480798,4,-0.5843413578405903,8478872,Karel Vejmelka,2913.9,-0.0,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,13,False
20222023,BOS,E,82,135,0.8232,65,128,1.5609756097560976,0.5411639460610362,25.992588679735977,6,1.369661033151475,6,0.4249185630920413,4,1.0492369022475154,8476999,Linus Ullmark,2867.366666666667,0.1,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,False,False,False,False,1,True
20222023,BUF,E,81,89,0.5494,41,-7,-0.08641975308641975,0.4973876698014629,-3.668454906508762,6,-0.09888431387035555,6,-0.3795422561768594,4,-0.36230533944362336,8480045,Ukko-Pekka Luukkonen,1883.6833333333334,-0.11,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,10,False
20222023,CAR,E,82,113,0.689,52,53,0.6463414634146342,0.5821042281219272,33.20590210681015,6,2.1964428092270807,6,2.119352883126815,4,1.8979382837864622,8475883,Frederik Andersen,1959.7833333333333,-0.03,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,True,False,False,2,True
