player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P4_weighted,rank
8482730,Brandt Clarke,D,118.35,14,7.0976,4.3202,11.36,7,3.5488,1.7418,7.0442,1,0.507,0.0899,2.7868,22,11.1534,7.5881,15.9711,1.3588,1
8482142,Jamie Drysdale,D,192.48,22,6.8577,4.6138,10.0434,12,3.7406,2.1666,6.3632,15,4.6757,2.8748,7.4932,49,15.274,11.9256,19.2756,1.4831,2
8474602,Justin Schultz,D,171.3,26,9.1068,6.3553,12.8077,15,5.2539,3.2327,8.3806,10,3.5026,1.9243,6.2574,51,17.8634,14.0832,22.2382,1.8608,3
8480884,Calen Addison,D,125.05,20,9.5962,6.3617,14.0549,10,4.7981,2.642,8.4608,3,1.4394,0.4917,4.0914,33,15.8337,11.6758,20.8486,1.8652,4
8480871,Adam Boqvist,D,136.88,22,9.6432,6.5102,13.8708,11,4.8216,2.7254,8.2834,2,0.8767,0.2408,3.0999,35,15.3415,11.3885,20.0688,1.892,5
8478407,Vince Dunn,D,333.0,55,9.9099,7.7487,12.5294,26,4.6847,3.2302,6.7166,19,3.4234,2.2097,5.2434,100,18.018,15.2143,21.095,1.9713,6
8475906,John Klingberg,D,201.53,30,8.9315,6.3632,12.2458,23,6.8475,4.6248,9.9034,11,3.2749,1.8405,5.6919,64,19.0539,15.396,23.034,1.9936,7
8480878,Nils Lundkvist,D,111.22,19,10.2503,6.7445,15.116,9,4.8554,2.5945,8.8168,4,2.1579,0.8461,5.3407,32,17.2636,12.7333,22.7111,2.0355,8
8482684,Luke Hughes,D,206.13,35,10.1876,7.4865,13.627,20,5.8215,3.8238,8.7118,18,5.2393,3.3591,8.0328,73,21.2484,17.5357,25.3085,2.1915,9
8476979,Erik Gustafsson,D,211.95,42,11.8896,9.0025,15.4159,18,5.0955,3.2628,7.8124,14,3.9632,2.3845,6.4669,74,20.9483,17.2856,24.9236,2.3802,10
8476462,Dougie Hamilton,D,284.43,53,11.1801,8.7359,14.1603,30,6.3284,4.5,8.8076,36,7.594,5.5791,10.23,119,25.1025,21.7851,28.6263,2.3856,11
8481606,Jordan Spence,D,162.38,29,10.7154,7.6577,14.716,19,7.0204,4.5829,10.555,13,4.8034,2.8496,7.9468,61,22.5393,18.3363,27.1921,2.408,12
8480873,Rasmus Sandin,D,275.15,52,11.3393,8.8328,14.3721,34,7.4141,5.3903,10.0682,30,6.5419,4.6494,9.0878,116,25.2953,21.8952,28.8523,2.5024,13
8476906,Shayne Gostisbehere,D,358.65,71,11.8779,9.5917,14.5249,54,9.0339,7.029,11.4653,41,6.8591,5.1186,9.0763,166,27.7708,24.6894,30.8458,2.7408,14
8483495,Simon Nemec,D,113.33,24,12.7059,8.825,17.7965,15,7.9412,4.9273,12.4509,20,10.5882,7.0558,15.4576,59,31.2353,25.8492,36.7184,2.9174,15
8477447,Shea Theodore,D,228.55,61,16.014,12.799,19.6286,22,5.7755,3.858,8.4701,20,5.2505,3.4348,7.8626,103,27.04,23.2023,30.8709,2.9186,16
8477504,Josh Morrissey,D,413.63,97,14.0704,11.7634,16.6457,51,7.3979,5.697,9.5013,51,7.3979,5.697,9.5013,199,28.8661,25.9768,31.7257,2.9258,17
8480800,Quinn Hughes,D,483.83,113,14.0131,11.8783,16.3901,65,8.0606,6.407,10.0543,58,7.1926,5.6312,9.1082,236,29.2663,26.6007,31.9234,2.9445,18
8477950,Tony DeAngelo,D,262.13,64,14.649,11.7713,17.9851,35,8.0112,5.8587,10.8073,19,4.3489,2.8148,6.6287,118,27.0092,23.4771,30.6547,2.9581,19
8483457,Lane Hutson,D,135.83,33,14.5767,10.6989,19.2672,18,7.9509,5.1231,11.9712,13,5.7423,3.4029,9.4009,64,28.2699,23.3198,33.2477,2.9651,20
8476792,Torey Krug,D,214.43,52,14.55,11.4233,18.2795,28,7.8346,5.5259,10.9563,20,5.5961,3.6789,8.3964,100,27.9807,24.0965,32.0475,3.0206,21
8477986,Brandon Montour,D,391.0,100,15.3453,12.9019,18.0738,47,7.2123,5.4966,9.3713,39,5.9847,4.4295,8.0071,186,28.5422,25.6007,31.5121,3.048,22
8479345,Jakob Chychrun,D,323.45,82,15.211,12.5694,18.2422,39,7.2345,5.3758,9.6483,45,8.3475,6.3467,10.8803,166,30.793,27.5749,34.0773,3.0968,23
