season,team,CF,CF_adj,HD_CF,HD_CF_adj,TNFI_CF,TNFI_CF_adj,CNFI_CF,MNFI_CF,FNFI_CF,CA,CA_adj,HD_CA,HD_CA_adj,TNFI_CA,TNFI_CA_adj,CNFI_CA,MNFI_CA,FNFI_CA,CF_pct,CF_score_adj_pct,HD_CF_pct,HD_CF_score_adj_pct,TNFI_pct,TNFI_score_adj_pct,CNFI_pct,MNFI_pct,FNFI_pct,CF_zone_adj_pct,CF_score_zone_adj_pct,HD_CF_score_zone_adj_pct,TNFI_zone_adj_pct,TNFI_score_zone_adj_pct,gp,points,points_pct,wins,reg_wins,goal_diff,NFI_composite,P1_NF_F,P2_DefF,P3_OffF,P4_DefD,P5_OffD,P6_SvPct,P7_SvPct
20212022,ANA,3675.0,3829.3,999,1055.55,1280,1354.65,572,414,294,3858.0,3885.55,1078,1076.6,1448,1457.1,617,451,380,0.4878534448426921,0.4963544333331173,0.4809821858449687,0.495063668128415,0.469208211143695,0.4817818084822619,0.48107653490328,0.4786127167630057,0.4362017804154303,0.4878534448426921,0.4963544333331173,0.495063668128415,0.469208211143695,0.4817818084822619,82,76,0.4634,31,22,-39,-9.80375043817989,8.71951219512195,22.07317073170731,6.310975609756097,58.8109756097561,4.4817073170731705,0.9253910950661852,0.8703403565640194
20212022,ARI,3385.0,3784.8,834,926.2,1160,1313.85,490,405,265,3947.0,3716.9,1091,1033.25,1535,1436.1,656,534,345,0.4616748499727223,0.5045256408547396,0.4332467532467532,0.472683661231468,0.4304267161410018,0.4777723231331479,0.4275741710296684,0.4313099041533546,0.4344262295081967,0.4616748499727223,0.5045256408547396,0.472683661231468,0.4304267161410018,0.4777723231331479,82,57,0.3476,25,18,-106,-25.33391975161645,7.469512195121951,23.39939024390244,6.173780487804878,60.167682926829265,4.039634146341463,0.931740614334471,0.8445121951219512
20212022,BOS,4255.0,4263.3,1032,1037.95,1459,1460.25,523,564,372,3598.0,3758.95,807,851.65,1185,1249.45,404,467,314,0.5418311473322297,0.5314344479416623,0.5611745513866232,0.5492961473327689,0.5518154311649016,0.5388972949034949,0.564185544768069,0.5470417070805044,0.5422740524781341,0.5418311473322297,0.5314344479416623,0.5492961473327689,0.5518154311649016,0.5388972949034949,82,107,0.6524,51,40,35,11.059226406933446,7.972560975609756,18.064024390243905,8.597560975609756,54.84756097560976,5.670731707317073,0.9256198347107438,0.8652291105121294
20212022,BUF,3393.0,3605.5,835,885.8,1279,1366.85,481,454,344,3739.0,3703.7,1004,1009.0,1417,1420.15,601,471,345,0.4757431295569265,0.4932824385705686,0.4540511147362697,0.4674899725564703,0.4744065281899109,0.4904377466810189,0.444547134935305,0.4908108108108108,0.4992743105950653,0.4757431295569265,0.4932824385705686,0.4674899725564703,0.4744065281899109,0.4904377466810189,82,75,0.4573,32,25,-58,-16.481112071174756,7.3323170731707314,21.60060975609756,6.920731707317073,56.9969512195122,5.2439024390243905,0.9142156862745098,0.8569051580698835
20212022,CAR,4571.0,4572.2,1314,1322.4,1752,1768.6,782,572,398,4166.0,4418.05,1143,1232.85,1386,1486.4,626,457,303,0.523177291976651,0.5085731764967604,0.5347985347985348,0.5175227472850014,0.5583173996175909,0.5433486943164362,0.5553977272727273,0.5558794946550049,0.5677603423680456,0.523177291976651,0.5085731764967604,0.5175227472850014,0.5583173996175909,0.5433486943164362,82,116,0.7073,54,47,76,26.56046541403106,11.920731707317072,21.1280487804878,8.71951219512195,63.5060975609756,6.067073170731708,0.9335347432024168,0.8720292504570384
20212022,CBJ,3627.0,3816.25,842,891.9499999999999,1251,1321.9,481,448,322,4063.0,4035.8,1079,1061.8,1517,1509.65,629,548,340,0.4716514954486346,0.4860195745060208,0.4383133784487246,0.4565323096609084,0.4519508670520231,0.4668467800321378,0.4333333333333333,0.4497991967871486,0.486404833836858,0.4716514954486346,0.4860195745060208,0.4565323096609084,0.4519508670520231,0.4668467800321378,82,81,0.4939,37,26,-38,-19.138484448538144,7.3323170731707314,23.125,6.829268292682927,61.9359756097561,4.908536585365853,0.920045045045045,0.8616852146263911
20212022,CGY,4643.0,4485.9,1187,1144.65,1804,1736.15,662,709,433,4222.0,4575.95,986,1065.6,1454,1579.35,527,517,410,0.5237450648618162,0.4950313677670674,0.5462494247583985,0.5178825924669155,0.5537139349294046,0.5236465088221988,0.5567703952901598,0.5783034257748777,0.5136417556346382,0.5237450648618162,0.4950313677670674,0.5178825924669155,0.5537139349294046,0.5236465088221988,82,111,0.6768,50,44,85,29.258146863453135,10.091463414634148,22.164634146341463,10.807926829268292,64.35975609756098,6.600609756097561,0.940813810110974,0.8818380743982495
20212022,CHI,3535.0,3766.5,812,862.9,1129,1206.2,409,427,293,3817.0,3748.05,1011,1001.7,1361,1350.45,491,500,370,0.4808215451577802,0.5012276184202648,0.4454196379594076,0.4627802209589188,0.4534136546184739,0.4717892554710265,0.4544444444444444,0.4606256742179072,0.4419306184012066,0.4808215451577802,0.5012276184202648,0.4627802209589188,0.4534136546184739,0.4717892554710265,82,68,0.4146,28,16,-72,-25.11776656753016,6.234756097560975,20.74695121951219,6.509146341463415,58.1859756097561,4.466463414634147,0.9126436781609196,0.8472505091649695
20212022,COL,4896.0,4719.15,1201,1164.65,1846,1800.9,671,622,553,4739.0,5123.65,1109,1215.2,1494,1623.75,664,501,329,0.5081473793461339,0.4794519852074613,0.5199134199134199,0.4893795827468117,0.5526946107784431,0.5258639569007052,0.5026217228464419,0.553873552983081,0.626984126984127,0.5081473793461339,0.4794519852074613,0.4893795827468117,0.5526946107784431,0.5258639569007052,82,119,0.7256,56,46,78,28.647111241673223,10.228658536585366,22.77439024390244,9.48170731707317,72.2408536585366,8.429878048780488,0.9397944199706314,0.8790613718411553
20212022,DAL,4077.0,4166.5,1094,1127.0,1476,1531.3,650,525,301,4140.0,4310.0,1057,1106.95,1432,1498.85,584,488,360,0.4961664841182913,0.4915354214593287,0.5086006508600651,0.5044875668658655,0.5075653370013755,0.5053545204032804,0.526742301458671,0.5182625863770978,0.4553706505295007,0.4961664841182913,0.4915354214593287,0.5044875668658655,0.5075653370013755,0.5053545204032804,82,98,0.5976,46,31,-8,11.86728094638358,9.908536585365852,21.82926829268293,8.003048780487806,63.109756097560975,4.588414634146342,0.9479305740987984,0.8728971962616823
