player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8473504,Cal Clutterbuck,R,229.4,30,7.8466,5.5997,10.8514,12,3.1386,1.8136,5.3608,9,2.354,1.2487,4.3796,51,13.3391,10.4187,16.8552,1.4379,422
8480845,Rasmus Kupari,C,186.53,28,9.0064,6.3403,12.4738,5,1.6083,0.6884,3.6633,6,1.9299,0.8872,4.0934,39,12.5447,9.389,16.3418,1.4312,423
8476822,Luke Glendening,C,421.23,54,7.6917,5.9792,9.8161,18,2.5639,1.6328,3.994,4,0.5698,0.222,1.4503,76,10.8254,8.8034,13.206,1.4213,424
8480144,David Kampf,C,502.28,51,6.0922,4.6871,7.8672,45,5.3755,4.0601,7.0708,12,1.4335,0.8236,2.4788,108,12.9011,10.8856,15.1907,1.4205,425
8480068,Ryan Poehling,C,405.97,47,6.9464,5.2909,9.033,18,2.6603,1.6935,4.1392,23,3.3993,2.2825,5.0142,88,13.006,10.7655,15.563,1.3828,426
8478831,Kevin Stenlund,C,403.13,43,6.3999,4.8111,8.4386,25,3.7209,2.5421,5.3983,23,3.4232,2.2997,5.0509,91,13.5439,11.261,16.1464,1.3798,427
8479944,Zachary Aston-Reese,C,223.13,22,5.9157,3.9633,8.6909,18,4.8402,3.0999,7.4383,6,1.6134,0.7433,3.4468,46,12.3693,9.5017,15.8486,1.3741,428
8476873,Mark Jankowski,L,237.27,30,7.5864,5.4075,10.4972,9,2.2759,1.2063,4.235,8,2.023,1.0321,3.911,47,11.8854,9.1522,15.2227,1.3724,429
8480840,Oskar Bäck,C,151.03,19,7.548,4.9232,11.2901,7,2.7808,1.358,5.5554,2,0.7945,0.2184,2.8202,28,11.1234,7.8914,15.2968,1.3693,430
8477931,Tomas Nosek,L,314.13,37,7.0671,5.2025,9.4919,18,3.438,2.1939,5.3272,8,1.528,0.7779,2.9677,63,12.0331,9.6047,14.9059,1.3651,431
8482496,Nils Aman,C,137.27,15,6.5566,4.0489,10.3679,8,3.4968,1.793,6.6598,3,1.3113,0.4485,3.7441,26,11.3647,7.9758,15.8133,1.3338,432
8478472,Mathieu Joseph,R,414.75,35,5.0633,3.6759,6.9021,40,5.7866,4.2949,7.7156,23,3.3273,2.2326,4.9073,98,14.1772,11.8691,16.7587,1.3305,433
8476921,Jordan Martinook,L,419.43,50,7.1525,5.5019,9.233,18,2.5749,1.6406,4.0128,22,3.1471,2.0956,4.693,90,12.8745,10.6895,15.3971,1.3301,434
8481517,Brett Leason,R,232.18,21,5.4267,3.5979,8.0645,19,4.9099,3.1832,7.4616,12,3.101,1.7899,5.2932,52,13.4377,10.5132,16.9226,1.3147,435
8480281,Alexey Toropchenko,R,296.4,29,5.8704,4.145,8.2299,21,4.251,2.8121,6.3611,12,2.4291,1.4004,4.1708,62,12.5506,10.0183,15.5635,1.3114,436
8478904,Steven Lorentz,C,293.72,30,6.1284,4.3449,8.516,16,3.2685,2.0264,5.1939,14,2.8599,1.7145,4.7,60,12.2567,9.7181,15.2298,1.2977,437
8478413,Jordan Greenway,L,376.32,39,6.2182,4.6084,8.3193,22,3.5077,2.3372,5.2199,17,2.7105,1.705,4.2724,78,12.4363,10.1712,15.0774,1.2814,438
8475842,Sam Carrick,C,336.87,37,6.5901,4.8426,8.8602,16,2.8498,1.7659,4.5434,13,2.3155,1.3608,3.8924,66,11.7554,9.4202,14.4927,1.2753,439
8477903,Garnet Hathaway,R,377.88,45,7.1451,5.4103,9.3353,14,2.2229,1.3313,3.6721,7,1.1115,0.5399,2.2636,66,10.4794,8.3795,12.9657,1.2541,440
8481186,Logan O'Connor,R,431.88,45,6.2517,4.7259,8.1928,23,3.1953,2.1441,4.7173,11,1.5282,0.8566,2.7009,79,10.9752,8.956,13.3239,1.253,441
8475766,Austin Watson,L,181.62,22,7.2681,4.8718,10.5741,6,1.9822,0.9117,4.2029,2,0.6607,0.1811,2.3506,30,9.911,7.0782,13.5334,1.2512,442
8481477,Nico Sturm,C,419.33,43,6.1526,4.6251,8.1231,22,3.1479,2.0956,4.693,18,2.5755,1.6406,4.0128,83,11.876,9.7647,14.3353,1.2506,443
8470595,Eric Staal,C,127.83,9,4.2243,2.2458,7.6942,12,5.6323,3.2666,9.4039,4,1.8774,0.7331,4.6559,25,11.734,8.1563,16.3465,1.2446,444
8481481,Blake Lizotte,C,381.17,44,6.9261,5.2297,9.0892,15,2.3612,1.4401,3.8361,12,1.8889,1.0864,3.2543,71,11.1762,9.0271,13.7108,1.2406,445
8480855,Jack McBain,C,414.18,40,5.7945,4.3054,7.7338,25,3.6216,2.474,5.2574,15,2.173,1.3247,3.5348,80,11.5891,9.4856,14.0413,1.2367,446
8482062,Cole Smith,L,351.08,37,6.3233,4.6469,8.5153,17,2.9053,1.8274,4.5713,11,1.8799,1.0552,3.3143,65,11.1085,8.8819,13.7493,1.233,447
8478432,Christian Fischer,R,313.2,32,6.1303,4.4012,8.4459,17,3.2567,2.051,5.115,12,2.2989,1.3239,3.9484,61,11.6858,9.2888,14.5417,1.2269,448
8479293,Brandon Tanev,L,419.2,39,5.5821,4.1302,7.4829,23,3.292,2.2112,4.8612,13,1.8607,1.0932,3.1412,75,10.7347,8.7155,13.1142,1.1901,449
8477353,Tyler Motte,C,303.3,28,5.5391,3.8825,7.8189,19,3.7587,2.4305,5.7513,10,1.9782,1.0814,3.5806,57,11.276,8.8873,14.1555,1.1895,450
8481556,John Beecher,C,157.2,15,5.7252,3.5253,9.0989,8,3.0534,1.5626,5.8391,6,2.2901,1.0578,4.8517,29,11.0687,7.9079,15.1613,1.1855,451
8471699,Andrew Cogliano,C,292.1,26,5.3406,3.6893,7.6361,17,3.492,2.1998,5.4749,6,1.2325,0.567,2.6458,49,10.065,7.7592,12.8954,1.1775,452
8476934,Brock McGinn,L,263.95,30,6.8195,4.846,9.4553,11,2.5005,1.4053,4.3835,3,0.6819,0.2323,1.9723,44,10.0019,7.5936,12.9801,1.1762,453
8479580,Dylan Gambrell,C,166.47,20,7.2087,4.7617,10.7262,6,2.1626,1.0001,4.5963,0,0.0,0.0,1.3571,26,9.3712,6.551,13.1762,1.1701,454
8477446,Michael McCarron,C,340.32,34,5.9944,4.3467,8.1896,17,2.9972,1.8869,4.7164,8,1.4105,0.7182,2.7442,59,10.4021,8.2189,13.0423,1.1643,455
8479370,Tyson Jost,C,300.47,29,5.791,4.089,8.123,14,2.7957,1.6799,4.6079,13,2.596,1.5298,4.3631,56,11.1826,8.7982,14.0772,1.1568,456
8479359,Beck Malenstyn,L,302.48,30,5.9507,4.2283,8.2962,14,2.777,1.6687,4.578,15,2.9754,1.8197,4.8194,59,11.7031,9.2754,14.6274,1.1482,457
8473453,Trevor Lewis,C,357.0,38,6.3866,4.7122,8.5637,16,2.6891,1.6663,4.2933,7,1.1765,0.5718,2.3949,61,10.2521,8.1227,12.802,1.1367,458
8476278,Colin Blackwell,C,282.27,26,5.5267,3.8217,7.8998,12,2.5508,1.4704,4.3737,12,2.5508,1.4704,4.3737,50,10.6282,8.2292,13.5678,1.1213,459
8475231,Casey Cizikas,C,426.87,42,5.9035,4.4156,7.8174,17,2.3895,1.5002,3.7697,18,2.5301,1.6097,3.9387,77,10.8231,8.8058,13.1756,1.1147,460
8477846,Ryan Carpenter,C,172.85,16,5.5539,3.4638,8.6968,9,3.1241,1.6565,5.7541,2,0.6942,0.1906,2.47,27,9.3723,6.5719,13.053,1.1122,461
8479520,Brandon Duhaime,R,365.85,35,5.7401,4.1738,7.8056,17,2.788,1.7519,4.3872,8,1.312,0.667,2.552,60,9.8401,7.772,12.3191,1.1013,462
8475235,Nicolas Deslauriers,L,166.28,16,5.7733,3.6121,9.0497,4,1.4433,0.5646,3.6187,6,2.165,1.0001,4.5963,26,9.3816,6.551,13.1762,1.0917,463
