goalie_id,goalie_name,total_faced,total_goals,toi_ES_min,spatial_save_pct,sv_lo,sv_hi,rank_spatial_savepct,NFI_GSAx_cumulative,rank_cumulative,NFI_GSAx_per60,rank_per60,rank_diff_per60_vs_cum,flag_gt20_shift,xG_calibrated,xG,NFI_GSAx,meets_4000min,rank_per60_4000min,rank_cumulative_4000min,tier,tier_label,rank_per60_tier2
8476412,Jordan Binnington,2707.0,381.0,11375.8,0.8343,0.8179,0.8494,34.0,11.07,21.0,0.058,31.0,-10.0,0,392.07,272.71,-108.29,1,18.0,18.0,1,Qualified,
8470594,Marc-Andre Fleury,1757.0,233.0,7813.33,0.8368,0.8156,0.856,31.0,7.56,24.0,0.058,31.0,-7.0,0,240.56,166.64,-66.36,1,18.0,19.0,1,Qualified,
8479394,Carter Hart,1486.0,208.0,6780.52,0.8392,0.817,0.8591,28.0,5.99,28.0,0.053,33.0,-5.0,0,213.99,148.8,-59.2,1,20.0,21.0,1,Qualified,
8479979,Jake Oettinger,3202.0,443.0,12246.8,0.8267,0.8111,0.8413,55.0,6.7,27.0,0.033,34.0,-7.0,0,449.7,312.88,-130.12,1,21.0,20.0,1,Qualified,
8478024,Ville Husso,1628.0,229.0,6631.35,0.8424,0.8213,0.8614,21.0,3.59,30.0,0.032,35.0,-5.0,0,232.59,161.55,-67.45,1,22.0,22.0,1,Qualified,
8477361,Cal Petersen,531.0,78.0,2494.77,0.8333,0.7956,0.8653,37.0,0.64,41.0,0.015,36.0,5.0,0,78.64,54.66,-23.34,0,,,2,Small Sample,9.0
8477480,Eric Comrie,967.0,136.0,3830.32,0.8415,0.8134,0.866,23.0,0.9,38.0,0.014,37.0,1.0,0,136.9,95.26,-40.74,0,,,2,Small Sample,10.0
8467950,Craig Anderson,669.0,98.0,2833.93,0.833,0.7994,0.862,38.0,0.6,42.0,0.013,38.0,4.0,0,98.6,68.62,-29.38,0,,,2,Small Sample,10.0
8479312,Alex Lyon,1315.0,189.0,5262.45,0.8261,0.8018,0.848,57.0,1.01,37.0,0.012,39.0,-2.0,0,190.01,132.33,-56.67,1,23.0,24.0,1,Qualified,
8478971,Connor Ingram,1354.0,190.0,5910.75,0.8348,0.8109,0.8562,33.0,0.9,38.0,0.009,40.0,-2.0,0,190.9,132.72,-57.28,1,24.0,25.0,1,Qualified,
