player_id,player_name,position,pos_group,es_toi_min,CNFI_blocks,CNFI_blocks_per60,CNFI_blocks_lo95,CNFI_blocks_hi95,MNFI_blocks,MNFI_blocks_per60,MNFI_blocks_lo95,MNFI_blocks_hi95,FNFI_blocks,FNFI_blocks_per60,FNFI_blocks_lo95,FNFI_blocks_hi95,TNFI_blocks,TNFI_blocks_per60,TNFI_blocks_lo95,TNFI_blocks_hi95,blocks_xG_prevented_total,blocks_xG_prevented_per60,TNFI_blocks_per60_rank,xG_prevented_per60_rank,PK_TOI_min,PK_CNFI_blocks,PK_CNFI_blocks_per60,PK_CNFI_blocks_lo95,PK_CNFI_blocks_hi95,PK_MNFI_blocks,PK_MNFI_blocks_per60,PK_MNFI_blocks_lo95,PK_MNFI_blocks_hi95,PK_FNFI_blocks,PK_FNFI_blocks_per60,PK_FNFI_blocks_lo95,PK_FNFI_blocks_hi95,PK_TNFI_blocks,PK_TNFI_blocks_per60,PK_TNFI_blocks_lo95,PK_TNFI_blocks_hi95,PK_blocks_xG_prevented_total,PK_blocks_xG_prevented_per60,PK_TNFI_blocks_per60_rank,PK_xG_prevented_per60_rank
8476292,Ondrej Palat,L,F,4118.95,55,0.8012,0.6164,1.0403,106,1.5441,1.2794,1.8618,43,0.6264,0.4656,0.8419,204,2.9716,2.5986,3.3949,19.26155,0.2806,269,323,228.55,3.0,0.7876,0.2679,2.2681,3.0,0.7876,0.2679,2.2681,2.0,0.525,0.1439,1.8768,8.0,2.1002,1.0684,4.0445,0.75948,0.1994,545.0,562.0
8476792,Torey Krug,D,D,3534.7833333333333,70,1.1882,0.9422,1.4966,98,1.6635,1.3681,2.0201,7,0.1188,0.0576,0.2449,175,2.9705,2.5698,3.4295,19.208,0.326,270,262,214.43333333333334,0.0,0.0,0.0,1.0581,6.0,1.6788,0.7747,3.5885,1.0,0.2798,0.0495,1.5594,7.0,1.9587,0.956,3.9581,0.6355500000000001,0.1778,556.0,576.0
8478178,Darren Raddysh,D,D,3645.0833333333335,98,1.6131,1.3267,1.9594,68,1.1193,0.8846,1.4149,14,0.2304,0.1374,0.3862,180,2.9629,2.5687,3.4142,20.0989,0.3308,271,252,193.7,4.0,1.239,0.4828,3.1084,6.0,1.8585,0.855,3.9493,1.0,0.3098,0.0546,1.717,11.0,3.4073,1.9171,5.9199,1.1572300000000002,0.3585,464.0,462.0
8477205,Andrej Sustr,D,D,506.45,12,1.4217,0.817,2.4595,13,1.5401,0.9045,2.6074,0,0.0,0.0,0.4521,25,2.9618,2.0212,4.3151,2.8716,0.3402,272,240,,,,,,,,,,,,,,,,,,,,,
8475718,Justin Holl,D,D,4138.583333333333,98,1.4208,1.1681,1.7262,90,1.3048,1.0635,1.5991,16,0.232,0.1429,0.3762,204,2.9575,2.586,3.3786,22.3707,0.3243,273,266,207.38333333333333,24.0,6.9437,4.7497,10.0031,41.0,11.8621,8.9695,15.4588,0.0,0.0,0.0,1.0932,65.0,18.8058,15.2795,22.8083,7.243200000000001,2.0956,69.0,61.0
8471724,Kris Letang,D,D,6860.533333333334,180,1.5742,1.3626,1.8174,145,1.2681,1.0793,1.4889,12,0.1049,0.06,0.1833,337,2.9473,2.6551,3.2693,38.4684,0.3364,274,247,506.15,24.0,2.845,1.9247,4.1763,22.0,2.6079,1.7331,3.8971,2.0,0.2371,0.0651,0.8578,48.0,5.69,4.3378,7.4119,5.404380000000001,0.6406,367.0,319.0
8482726,Samuel Helenius,C,F,652.3166666666667,20,1.8396,1.1966,2.8143,9,0.8278,0.4367,1.5615,3,0.2759,0.094,0.8064,32,2.9434,2.0986,4.1079,3.6179,0.3328,275,250,,,,,,,,,,,,,,,,,,,,,
8483620,Marcus Bjork,D,D,513.3166666666667,9,1.052,0.5554,1.9802,15,1.7533,1.0679,2.8608,1,0.1169,0.0207,0.6575,25,2.9222,1.9934,4.257,2.71345,0.3172,276,275,,,,,,,,,,,,,,,,,,,,,
8476958,Jaccob Slavin,D,D,6326.583333333333,110,1.0432,0.8667,1.2547,155,1.47,1.2581,1.7163,43,0.4078,0.303,0.5485,308,2.921,2.6188,3.2557,31.3626,0.2974,277,300,422.25,28.0,3.9787,2.7781,5.6535,50.0,7.1048,5.4622,9.1688,7.0,0.9947,0.4835,2.0304,85.0,12.0782,9.9556,14.5382,8.903170000000001,1.2651,169.0,159.0
8476891,Matt Grzelcyk,D,D,5326.633333333333,120,1.3517,1.1324,1.6121,134,1.5094,1.2768,1.7829,5,0.0563,0.0241,0.1317,259,2.9174,2.5898,3.2837,29.285300000000003,0.3299,278,256,251.11666666666667,2.0,0.4779,0.1313,1.715,4.0,0.9557,0.3729,2.4151,0.0,0.0,0.0,0.9045,6.0,1.4336,0.66,3.0697,0.66212,0.1582,602.0,594.0
