archetype_q,n,mean_points,mean_goal_diff_per_game,mean_TNFI_pct,mean_starter_GSAx,playoff_rate,contender_rate,cup_rate
A_HighF_HighD,22,107.455,0.641,0.545,0.01,0.636,0.727,0.0
D_LowF_LowD,31,76.839,-0.605,0.451,0.006,0.129,0.097,0.0
