player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P5_weighted,rank
8474090,Brendan Smith,D,129.23,20,9.2855,6.1597,13.6421,16,7.4284,4.6684,11.5201,7,3.2499,1.5918,6.4666,43,19.9639,15.4706,25.1077,2.052,1
8478970,Jalen Chatfield,D,184.43,32,10.4103,7.5581,14.1117,18,5.8558,3.7666,8.9595,6,1.9519,0.9017,4.1584,56,18.218,14.5455,22.4564,2.0225,2
8479458,Nikita Zaitsev,D,122.92,18,8.7864,5.677,13.1693,13,6.3458,3.7688,10.3472,0,0.0,0.0,1.8172,31,15.1322,11.0166,20.1285,1.9702,3
8479576,Vincent Desharnais,D,151.27,18,7.1397,4.6048,10.8335,22,8.7263,5.8935,12.6448,7,2.7766,1.358,5.5554,47,18.6426,14.5717,23.3412,1.9531,4
8476879,Cody Ceci,D,318.28,51,9.6141,7.4481,12.2836,32,6.0324,4.3311,8.3164,12,2.2621,1.3029,3.8875,95,17.9086,15.0648,21.0725,1.9525,5
8476372,Nick Seeler,D,221.28,32,8.6767,6.2682,11.8357,27,7.3209,5.1202,10.3151,8,2.1692,1.1073,4.1876,67,18.1668,14.7814,22.0022,1.9021,6
8475718,Justin Holl,D,207.38,27,7.8116,5.4728,10.9874,22,6.365,4.2743,9.3401,10,2.8932,1.5869,5.1978,59,17.0698,13.6728,21.0001,1.8842,7
8474673,TJ Brodie,D,240.37,30,7.4886,5.3387,10.3702,30,7.4886,5.3387,10.3702,6,1.4977,0.6904,3.2076,66,16.4748,13.3433,20.0821,1.8714,8
8477498,Darnell Nurse,D,418.25,55,7.89,6.1501,10.042,50,7.1727,5.5152,9.2545,18,2.5822,1.6446,4.0222,123,17.6449,15.1562,20.3796,1.8449,9
8480817,K'Andre Miller,D,380.22,56,8.8371,6.9156,11.1921,37,5.8388,4.288,7.8797,12,1.8937,1.0893,3.2628,105,16.5695,14.0257,19.4008,1.8447,10
8477365,Connor Clifton,D,226.72,29,7.6748,5.4265,10.6473,29,7.6748,5.4265,10.6473,10,2.6465,1.4461,4.7508,68,17.996,14.6226,21.7249,1.8318,11
8475762,Derek Forbort,D,190.15,21,6.6263,4.4061,9.7833,28,8.8351,6.2381,12.2847,5,1.5777,0.6775,3.6069,54,17.0392,13.4908,21.1276,1.7933,12
8476902,Esa Lindell,D,419.47,58,8.2962,6.5178,10.4874,42,6.0076,4.501,7.9635,7,1.0013,0.4869,2.0447,107,15.3051,12.9581,17.953,1.7574,13
8476967,Brett Kulak,D,246.87,27,6.5622,4.5732,9.2622,34,8.2636,6.0123,11.1719,7,1.7013,0.8277,3.44,68,16.5271,13.4017,20.0477,1.7425,14
8478416,Erik Cernak,D,280.37,36,7.7042,5.6601,10.3718,31,6.6342,4.746,9.1719,7,1.498,0.7297,3.0418,74,15.8364,12.9647,19.1324,1.7397,15
8479324,Ryan Lindgren,D,264.97,33,7.4726,5.4037,10.1836,28,6.3404,4.4472,8.9083,10,2.2644,1.2374,4.0835,71,16.0775,13.0918,19.4571,1.7292,16
8470966,Mark Giordano,D,210.32,28,7.988,5.6331,11.1574,19,5.4204,3.5212,8.2188,4,1.1411,0.4459,2.8766,51,14.5495,11.389,18.3082,1.7235,17
