player_id,position,ind_att,ind_gl,of_att,of_gl,ag_att,ag_gl,tnfi_of,tnfi_ag,hd_of,hd_ag,cnfi_of,cnfi_ag,mnfi_of,mnfi_ag,fnfi_of,fnfi_ag,toi_total_min,toi_ES_sec,CF_pct,HD_CF_pct,TNFI_pct,CNFI_pct,MNFI_pct,FNFI_pct,Rel_CF,Rel_HD_CF,Rel_TNFI,CF_score_adj_pct,TNFI_score_adj_pct,HD_CF_score_adj_pct,CF_zone_adj_pct,CF_score_zone_adj_pct,TNFI_zone_adj_pct,TNFI_score_zone_adj_pct,HD_CF_score_zone_adj_pct
8465009,D,162,2,1070,49,1166,53,376,441,297,343,146,167,151,176,79,98,1389.68,74356.0,0.4785330948121646,0.4640625,0.4602203182374541,0.46645367412140576,0.4617737003058104,0.4463276836158192,-0.020962048711758052,-0.034555008691334155,-0.038444898836088426,0.4795542181929511,0.46185030716162634,0.4656952606568445,0.4785330948121646,0.4795542181929511,0.4602203182374541,0.46185030716162634,0.4656952606568445
8467950,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347.38,170036.0,,,,,,,,,,,,,,,,,
8469455,F,132,7,597,30,612,30,245,206,194,162,108,81,86,81,51,44,763.22,38447.0,0.49379652605459057,0.5449438202247191,0.5432372505543237,0.5714285714285714,0.5149700598802395,0.5368421052631579,-0.00569861746933209,0.046326311533384956,0.044572033480781204,0.494850219484725,0.5451612653500905,0.5468611542688478,0.49379652605459057,0.494850219484725,0.5432372505543237,0.5451612653500905,0.5468611542688478
8469608,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569.48,78344.0,,,,,,,,,,,,,,,,,
8470281,D,160,1,1012,57,1037,49,356,361,259,294,139,156,120,138,97,67,1270.77,64643.0,0.49389946315275746,0.46835443037974683,0.496513249651325,0.4711864406779661,0.46511627906976744,0.5914634146341463,-0.0055956803711652014,-0.03026307831158731,-0.0021519674222175156,0.4949533762364098,0.49827177935017863,0.47000229179363584,0.49389946315275746,0.4949533762364098,0.496513249651325,0.49827177935017863,0.47000229179363584
8470594,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9351.33,468800.0,,,,,,,,,,,,,,,,,
8470595,F,157,12,818,38,851,35,278,286,219,208,142,124,77,84,59,78,1026.92,49909.0,0.49011384062312763,0.5128805620608899,0.4929078014184397,0.5338345864661654,0.4782608695652174,0.4306569343065693,-0.00938130290079503,0.0142630533695558,-0.005757415655102793,0.49115967571234703,0.49465356149271705,0.5146850845193807,0.49011384062312763,0.49115967571234703,0.4929078014184397,0.49465356149271705,0.5146850845193807
8470600,D,811,9,5371,229,5530,202,1905,1708,1477,1305,810,752,667,553,428,403,6712.87,348286.0,0.49270709109256033,0.5309130122214234,0.5272626626072516,0.5185659411011524,0.5467213114754098,0.5150421179302046,-0.006788052431362324,0.03229550353008925,0.02859744553370913,0.4937584598192968,0.5291300992807798,0.5327809801752269,0.49270709109256033,0.4937584598192968,0.5272626626072516,0.5291300992807798,0.5327809801752269
8470604,F,534,23,2379,125,2479,128,744,931,568,659,324,357,244,302,176,272,3320.32,159168.0,0.4897076986414162,0.46291768541157297,0.44417910447761194,0.47577092511013214,0.4468864468864469,0.39285714285714285,-0.009787444882506435,-0.03569982327976118,-0.05448611259593056,0.4907526670798691,0.4457522793070503,0.4645464181449818,0.4897076986414162,0.4907526670798691,0.44417910447761194,0.4457522793070503,0.4645464181449818
8470606,F,191,7,749,37,673,34,238,255,192,206,122,121,70,85,46,49,940.8,48447.0,0.5267229254571026,0.4824120603015075,0.4827586206896552,0.5020576131687243,0.45161290322580644,0.4842105263157895,0.027227781933179984,-0.016205448389826627,-0.015906596383887306,0.5278468792655464,0.4844684348234302,0.4841093821761421,0.5267229254571026,0.5278468792655464,0.4827586206896552,0.4844684348234302,0.4841093821761421
8470610,F,441,27,2334,102,2388,87,814,848,640,644,387,335,253,309,174,204,2983.03,147355.0,0.49428208386277,0.4984423676012461,0.4897713598074609,0.53601108033241,0.4501779359430605,0.4603174603174603,-0.0052130596611526525,-0.0001751410900880379,-0.008893857266081606,0.4953368134060511,0.4915060113650461,0.5001960906181323,0.49428208386277,0.4953368134060511,0.4897713598074609,0.4915060113650461,0.5001960906181323
8470612,F,129,1,734,24,747,25,261,293,200,219,105,125,95,94,61,74,1049.5,54117.0,0.49561107359891965,0.477326968973747,0.4711191335740072,0.45652173913043476,0.5026455026455027,0.45185185185185184,-0.0038840699250030086,-0.021290539717587154,-0.0275460834995353,0.4966686390223251,0.47278772346293746,0.479006399428462,0.49561107359891965,0.4966686390223251,0.4711191335740072,0.47278772346293746,0.479006399428462
8470613,D,1766,36,6654,270,6236,247,2248,2009,1759,1509,1023,852,736,657,489,500,8312.42,409980.0,0.5162141194724593,0.5382496940024479,0.5280714117923421,0.5456,0.5283560660445082,0.49443882709807885,0.016718975948536663,0.03963218531111379,0.029406194718799572,0.5173156489436703,0.529941712859644,0.5401434753873385,0.5162141194724593,0.5173156489436703,0.5280714117923421,0.529941712859644,0.5401434753873385
8470619,F,115,10,558,29,480,17,172,181,127,147,74,75,53,72,45,34,723.03,34967.0,0.5375722543352601,0.4635036496350365,0.48725212464589235,0.4966442953020134,0.424,0.569620253164557,0.03807711081133747,-0.03511385905629766,-0.011413092427650151,0.5387193591096525,0.4889778536825718,0.46513444402895526,0.5375722543352601,0.5387193591096525,0.48725212464589235,0.4889778536825718,0.46513444402895526
8470621,F,707,41,3270,150,3259,150,1148,1011,899,757,563,411,336,346,249,254,4265.43,219024.0,0.5008423954663808,0.5428743961352657,0.5317276516905975,0.5780287474332649,0.49266862170087977,0.49502982107355864,0.0013472519424581053,0.044256887443931525,0.03306243461705505,0.5019111238064772,0.5336109022742552,0.5447844491036006,0.5008423954663808,0.5019111238064772,0.5317276516905975,0.5336109022742552,0.5447844491036006
