player_id,player_name,es_toi_min,TNFI_SA,TNFI_SA_per60,P4_weighted,blocks_total,blocks_CNFI,blocks_MNFI,blocks_FNFI,blocks_per60,blocks_xG_per60,P4_net,P4_weighted_rank,P4_net_rank,rank_delta_net_vs_weighted
8480831,Alec Regula,528.98,145,16.4466,1.5848,55,29,25,1,6.238,0.705,0.8798,11,1,10
8482730,Brandt Clarke,2213.1,583,15.8059,1.5557,206,99,100,7,5.585,0.6281,0.9276,7,2,5
8476372,Nick Seeler,4433.52,1302,17.6203,1.7027,473,204,256,13,6.401,0.7117,0.991,29,3,26
8479985,Cale Fleury,573.8,154,16.1032,1.615,52,24,25,3,5.437,0.5931,1.0219,17,4,13
8480426,Charle-Edouard D'Astous,748.9,201,16.1036,1.4329,47,28,13,6,3.766,0.3976,1.0353,1,5,-4
8474716,Jared Spurgeon,4669.63,1282,16.4724,1.5389,325,157,147,21,4.176,0.4665,1.0724,6,6,0
8481546,Cam York,4892.8,1265,15.5126,1.5332,305,153,139,13,3.74,0.4245,1.1087,3,7,-4
8481527,Kaedan Korczak,1774.95,471,15.9216,1.5387,111,58,45,8,3.752,0.4143,1.1244,5,8,-3
8479421,Jacob Moverare,1086.35,283,15.6303,1.5647,76,31,37,8,4.198,0.4343,1.1304,8,9,-1
8475188,Brayden McNabb,6244.72,1799,17.285,1.7363,553,284,244,25,5.313,0.6007,1.1356,42,10,32
8481178,Egor Zamula,2359.32,634,16.1233,1.5974,158,82,68,8,4.018,0.4569,1.1405,13,11,2
8482858,Ryker Evans,2452.28,683,16.711,1.5788,153,83,59,11,3.743,0.4223,1.1565,10,12,-2
8475177,Calvin de Haan,3287.38,912,16.6455,1.6264,209,87,117,5,3.815,0.4368,1.1896,18,13,5
8481719,Max Crozier,582.7,161,16.578,1.5377,32,13,16,3,3.295,0.3477,1.19,4,14,-10
8478502,Dennis Gilbert,996.18,298,17.9485,1.8087,88,50,32,6,5.3,0.6182,1.1905,78,15,63
8482762,Simon Edvinsson,2749.87,794,17.3245,1.6497,194,84,97,13,4.233,0.4531,1.1966,21,16,5
8480990,Declan Chisholm,1605.3,423,15.8101,1.5097,75,30,37,8,2.803,0.2911,1.2186,2,17,-15
8477541,Dakota Mermis,738.75,210,17.0558,1.5986,41,24,15,2,3.33,0.3781,1.2205,14,18,-4
8476463,Jonas Brodin,5368.75,1552,17.3448,1.6308,332,146,163,23,3.71,0.4061,1.2247,19,19,0
8482178,Ian Moore,552.85,172,18.6669,1.8503,49,28,18,3,5.318,0.6252,1.2251,118,20,98
8477346,MacKenzie Weegar,7040.17,2000,17.0451,1.7298,494,250,226,18,4.21,0.4836,1.2462,38,21,17
8474013,Ian Cole,5734.87,1649,17.2524,1.7113,399,168,210,21,4.174,0.4618,1.2495,32,22,10
8475690,Chris Tanev,5180.57,1625,18.8203,1.8,412,191,201,20,4.772,0.5447,1.2553,69,23,46
8475625,Matt Irwin,927.0,279,18.0583,1.7377,67,27,37,3,4.337,0.4809,1.2568,46,24,22
8481219,Jonathan Aspirot,523.75,177,20.2768,1.9647,57,29,20,8,6.53,0.7055,1.2592,214,25,189
8484258,Sam Malinski,2140.27,619,17.353,1.6563,133,63,52,18,3.729,0.3966,1.2597,23,26,-3
8479576,Vincent Desharnais,2728.53,786,17.284,1.7265,187,96,84,7,4.112,0.4662,1.2603,37,27,10
8481743,Marc Del Gaizo,769.85,202,15.7433,1.5731,36,22,12,2,2.806,0.3088,1.2643,9,28,-19
8478021,William Lagesson,987.55,277,16.8295,1.6515,58,29,23,6,3.524,0.3845,1.267,22,29,-7
8482105,Jake Sanderson,4934.65,1333,16.2078,1.5915,251,101,135,15,3.052,0.3229,1.2686,12,30,-18
8480434,Sean Durzi,4699.42,1406,17.9512,1.8107,372,192,164,16,4.75,0.5391,1.2716,81,31,50
8480084,Nick DeSimone,934.53,260,16.6928,1.6341,49,25,22,2,3.146,0.3597,1.2744,20,32,-12
8479325,Charlie McAvoy,5978.92,1709,17.1503,1.7262,392,197,180,15,3.934,0.4508,1.2754,36,33,3
8477018,Ben Hutton,2373.4,698,17.6456,1.7373,156,76,77,3,3.944,0.4582,1.2791,44,34,10
8482095,Tyler Kleven,1778.77,526,17.7426,1.7447,125,60,58,7,4.216,0.4647,1.28,50,35,15
8474166,Alec Martinez,3393.17,1214,21.4667,2.1499,411,227,178,6,7.268,0.8698,1.2801,297,36,261
8476473,Connor Murphy,5184.4,1626,18.818,1.8409,438,195,223,20,5.069,0.5564,1.2845,112,37,75
8482126,Emil Andrae,1211.62,362,17.9265,1.7249,76,40,33,3,3.764,0.4379,1.287,34,38,-4
8481606,Jordan Spence,3280.15,877,16.0419,1.6133,157,86,62,9,2.872,0.3262,1.2871,16,39,-23
8474697,Mark Borowiecki,671.65,224,20.0104,1.8803,61,19,39,3,5.449,0.5834,1.2969,140,40,100
8478399,Jonas Siegenthaler,5494.52,1655,18.0726,1.7419,357,176,165,16,3.898,0.444,1.2979,49,41,8
8481564,Ryan Johnson,610.58,165,16.214,1.6046,27,15,12,0,2.653,0.2967,1.3079,15,42,-27
8481542,Moritz Seider,7249.85,2164,17.9093,1.7741,494,253,197,44,4.088,0.4592,1.3149,61,43,18
8481525,Matthew Robertson,760.23,216,17.0474,1.7124,46,22,22,2,3.63,0.3964,1.316,33,44,-11
8482245,Artem Zub,5541.63,1577,17.0744,1.6876,306,141,148,17,3.313,0.3709,1.3167,27,45,-18
8477810,Joel Hanley,2659.63,810,18.2732,1.8175,200,83,111,6,4.512,0.5001,1.3174,94,46,48
8478450,Parker Wotherspoon,2488.45,746,17.9871,1.7362,149,90,53,6,3.593,0.4166,1.3196,41,47,-6
8475762,Derek Forbort,3310.68,941,17.0539,1.6639,169,72,93,4,3.063,0.3396,1.3243,24,48,-24
8477948,Travis Sanheim,7187.88,2047,17.0871,1.7016,408,193,191,24,3.406,0.3763,1.3253,28,49,-21
8480879,Jacob Bernard-Docker,2383.57,740,18.6275,1.8618,189,91,86,12,4.758,0.5361,1.3257,125,50,75
8470966,Mark Giordano,3199.85,966,18.1133,1.7879,228,73,146,9,4.275,0.4608,1.3271,66,51,15
8482122,Brock Faber,4264.25,1304,18.3479,1.6817,221,107,98,16,3.11,0.3519,1.3298,25,52,-27
8477938,Haydn Fleury,2045.45,664,19.4774,1.838,150,79,67,4,4.4,0.5072,1.3308,109,53,56
8483485,Denton Mateychuk,1448.53,443,18.3496,1.7324,89,47,31,11,3.686,0.4012,1.3312,39,54,-15
8478136,Jake Middleton,5770.23,1895,19.7046,1.816,416,179,208,29,4.326,0.478,1.338,92,55,37
8478469,Thomas Chabot,5730.4,1672,17.5066,1.7374,341,163,152,26,3.57,0.3982,1.3392,45,56,-11
8480865,Noah Dobson,6690.12,2072,18.5826,1.812,468,214,234,20,4.197,0.4708,1.3412,83,57,26
8475750,Jon Merrill,3665.57,1163,19.0366,1.7492,226,96,115,15,3.699,0.4025,1.3467,51,58,-7
