season,team,points,NFI_composite,P1_NF_F,P2_DefF,P3_OffF,P4_DefD,P5_OffD,P6_SvPct,P7_SvPct
20212022,ANA,76,-9.80375043817989,8.71951219512195,22.073170731707314,6.310975609756097,58.8109756097561,4.4817073170731705,0.9253910950661853,0.8703403565640194
20212022,ARI,57,-25.33391975161645,7.469512195121951,23.39939024390244,6.173780487804878,60.167682926829265,4.039634146341463,0.931740614334471,0.8445121951219512
20212022,BOS,107,11.059226406933446,7.972560975609756,18.064024390243905,8.597560975609756,54.84756097560976,5.670731707317073,0.9256198347107438,0.8652291105121294
20212022,BUF,75,-16.481112071174756,7.3323170731707314,21.60060975609756,6.920731707317073,56.9969512195122,5.2439024390243905,0.9142156862745098,0.8569051580698835
20212022,CAR,116,26.56046541403106,11.920731707317072,21.128048780487802,8.71951219512195,63.506097560975604,6.067073170731708,0.9335347432024169,0.8720292504570384
20212022,CBJ,81,-19.138484448538144,7.3323170731707314,23.125,6.829268292682927,61.9359756097561,4.908536585365853,0.920045045045045,0.8616852146263911
20212022,CGY,111,29.258146863453135,10.091463414634147,22.164634146341463,10.807926829268293,64.35975609756098,6.600609756097561,0.9408138101109741,0.8818380743982495
20212022,CHI,68,-25.11776656753016,6.234756097560975,20.746951219512194,6.509146341463415,58.1859756097561,4.466463414634147,0.9126436781609195,0.8472505091649695
20212022,COL,119,28.647111241673223,10.228658536585366,22.774390243902438,9.48170731707317,72.2408536585366,8.429878048780488,0.9397944199706314,0.8790613718411553
20212022,DAL,98,11.86728094638358,9.908536585365853,21.829268292682926,8.003048780487806,63.109756097560975,4.588414634146342,0.9479305740987984,0.8728971962616823
20212022,DET,74,-18.74052720262751,8.323170731707318,21.79878048780488,5.777439024390245,58.734756097560975,3.6585365853658534,0.9233716475095786,0.8578052550231839
20212022,EDM,104,14.188459633724007,11.844512195121952,24.451219512195124,8.125,71.28048780487805,6.173780487804878,0.9294554455445545,0.8752362948960303
20212022,FLA,122,28.79056217635246,11.539634146341463,20.823170731707318,10.045731707317072,62.22560975609756,5.990853658536586,0.9230769230769231,0.8772893772893773
20212022,LAK,99,10.875338724727708,9.939024390243903,21.00609756097561,7.698170731707316,59.359756097560975,4.771341463414634,0.9363636363636364,0.8776223776223776
20212022,MIN,113,5.044442972685855,8.36890243902439,19.542682926829265,8.109756097560975,57.896341463414636,5.4573170731707314,0.9352708058124174,0.847682119205298
20212022,MTL,55,-22.219030612686726,7.8048780487804885,22.225609756097562,6.2195121951219505,59.3140243902439,3.5060975609756095,0.9242979242979243,0.8513302034428795
20212022,NJD,63,-11.140889444523562,8.003048780487806,20.381097560975608,8.201219512195122,59.34451219512196,4.939024390243903,0.9164705882352941,0.8234086242299794
20212022,NSH,97,-3.2119358019613795,7.454268292682927,19.817073170731707,7.865853658536586,57.3780487804878,4.847560975609756,0.9287531806615776,0.8558352402745996
20212022,NYI,84,-3.957587870974899,8.475609756097562,22.850609756097562,7.012195121951219,59.19207317073171,4.298780487804878,0.9445037353255069,0.8772241992882562
20212022,NYR,110,-5.064318447882731,10.198170731707318,26.90548780487805,7.012195121951219,71.50914634146342,4.847560975609756,0.9471598414795245,0.8741721854304636
20212022,OTT,73,-13.636378741987423,8.033536585365853,21.371951219512194,6.7682926829268295,58.38414634146341,3.978658536585366,0.9282296650717703,0.8515901060070672
20212022,PHI,61,-16.72736267116252,7.240853658536586,21.89024390243902,6.554878048780488,59.72560975609756,4.146341463414634,0.9331770222743259,0.8559176672384219
