player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P4_weighted,TNFI_rank_raw,P4_weighted_rank,rank_delta,weighting_flag
8481605,Jackson LaCombe,3430.42,486,8.5004,7.8252,9.2258,298,5.2122,4.6746,5.8065,240,4.1977,3.7144,4.7399,1024,17.9104,17.0076,18.8445,1.8093,58,80,-22,HIGH_DANGER_MIX
8482126,Emil Andrae,1211.62,156,7.7252,6.6615,8.9248,117,5.7939,4.8696,6.8675,89,4.4073,3.6034,5.3703,362,17.9265,16.4149,19.503,1.7249,59,34,25,LOW_DANGER_MIX
8482929,Emil Lilleberg,2034.07,260,7.6694,6.8409,8.5826,191,5.634,4.9189,6.4414,157,4.6311,3.9822,5.376,608,17.9345,16.7651,19.1506,1.7564,60,54,6,
8478502,Dennis Gilbert,996.18,132,7.9503,6.7726,9.3004,101,6.0832,5.0498,7.3027,65,3.9149,3.0919,4.9399,298,17.9485,16.2945,19.7017,1.8087,61,78,-17,HIGH_DANGER_MIX
8481059,Scott Perunovich,1437.27,198,8.2657,7.2557,9.3946,144,6.0114,5.144,7.009,88,3.6736,2.9984,4.4907,430,17.9507,16.5671,19.4053,1.8307,62,106,-44,HIGH_DANGER_MIX
8480434,Sean Durzi,4699.42,638,8.1457,7.5766,8.752,470,6.0007,5.506,6.5358,298,3.8047,3.408,4.2449,1406,17.9512,17.1773,18.7479,1.8107,63,81,-18,HIGH_DANGER_MIX
8476850,Ryan Murray,628.02,77,7.3565,5.9537,9.035,72,6.8788,5.5224,8.5167,39,3.726,2.7455,5.0262,188,17.9613,15.8911,20.1789,1.8072,64,77,-13,HIGH_DANGER_MIX
8478450,Parker Wotherspoon,2488.45,325,7.8362,7.0772,8.6664,230,5.5456,4.9009,6.2677,191,4.6053,4.0169,5.2737,746,17.9871,16.9293,19.0884,1.7362,65,41,24,LOW_DANGER_MIX
8481006,Tyler Tucker,1667.47,243,8.7438,7.7787,9.8115,158,5.6853,4.8982,6.5873,99,3.5623,2.9414,4.3068,500,17.9914,16.7054,19.3426,1.8637,66,129,-63,HIGH_DANGER_MIX
8480891,Michael Kesselring,2604.57,344,7.9245,7.1756,8.7359,270,6.2198,5.5512,6.9565,168,3.8701,3.3411,4.4748,782,18.0145,16.9737,19.0846,1.8066,67,76,-9,
8478454,Noah Juulsen,1803.3,247,8.2183,7.3135,9.2183,165,5.4899,4.7435,6.3424,130,4.3254,3.663,5.0984,542,18.0336,16.7932,19.3308,1.7954,68,67,1,
8479523,Lucas Carlsson,655.32,90,8.2403,6.7887,9.9535,67,6.1344,4.8812,7.6719,40,3.6624,2.7099,4.9255,197,18.0371,16.0133,20.2177,1.8787,69,136,-67,HIGH_DANGER_MIX
8475625,Matt Irwin,927.0,107,6.9256,5.7855,8.2561,103,6.6667,5.5478,7.9781,69,4.466,3.5542,5.5886,279,18.0583,16.3389,19.8762,1.7377,70,46,24,LOW_DANGER_MIX
8478399,Jonas Siegenthaler,5494.52,667,7.2836,6.7807,7.817,563,6.1479,5.6829,6.6453,425,4.641,4.2343,5.0823,1655,18.0726,17.3517,18.8069,1.7419,71,49,22,LOW_DANGER_MIX
8480073,Erik Brannstrom,3290.22,459,8.3703,7.6856,9.1065,327,5.9631,5.3779,6.6053,207,3.7748,3.3072,4.3041,993,18.1082,17.1826,19.064,1.8352,72,108,-36,HIGH_DANGER_MIX
8470966,Mark Giordano,3199.85,407,7.6316,6.9653,8.3508,338,6.3378,5.7267,7.0051,221,4.1439,3.647,4.7025,966,18.1133,17.1729,19.0806,1.7879,73,66,7,
8479998,Mikey Anderson,6154.18,830,8.0921,7.5939,8.6181,556,5.4207,5.0063,5.8661,472,4.6017,4.2186,5.0168,1858,18.1145,17.4344,18.8105,1.7685,74,59,15,LOW_DANGER_MIX
8474600,Roman Josi,6774.65,842,7.4572,6.9982,7.941,691,6.1199,5.7006,6.5656,516,4.57,4.205,4.9633,2049,18.1471,17.4968,18.8089,1.7595,75,55,20,LOW_DANGER_MIX
8476923,Damon Severson,6096.3,776,7.6374,7.1498,8.1539,630,6.2005,5.7572,6.6744,442,4.3502,3.9757,4.7574,1848,18.1881,17.5043,18.8885,1.7839,76,64,12,LOW_DANGER_MIX
8482516,Matthew Kessel,1149.12,171,8.9286,7.765,10.2345,116,6.0568,5.0907,7.1837,62,3.2373,2.5392,4.1144,349,18.2227,16.6705,19.8571,1.9211,77,173,-96,HIGH_DANGER_MIX
8482684,Luke Hughes,3557.35,525,8.8549,8.1792,9.578,328,5.5322,4.9884,6.1299,229,3.8624,3.4065,4.3755,1082,18.2495,17.3573,19.1708,1.8675,78,132,-54,HIGH_DANGER_MIX
8478468,Jeremy Lauzon,4338.93,571,7.8959,7.3118,8.519,453,6.2642,5.739,6.8312,296,4.0932,3.6655,4.5665,1320,18.2533,17.4424,19.0845,1.8057,79,74,5,
8480192,Johnathan Kovacevic,3805.42,514,8.1042,7.4755,8.7789,365,5.755,5.2184,6.3417,279,4.399,3.9279,4.9227,1158,18.2582,17.3952,19.1489,1.8188,80,95,-15,HIGH_DANGER_MIX
8477810,Joel Hanley,2659.63,367,8.2793,7.5231,9.0959,248,5.5948,4.9657,6.2926,195,4.3991,3.8404,5.0304,810,18.2732,17.2389,19.3363,1.8175,81,94,-13,HIGH_DANGER_MIX
8482807,Ethan Del Mastro,676.17,87,7.72,6.3322,9.3634,75,6.6552,5.3661,8.2114,44,3.9044,2.9304,5.1751,206,18.2795,16.2731,20.4273,1.8057,82,74,8,
8475218,Mattias Ekholm,6306.63,842,8.0106,7.5199,8.5272,650,6.184,5.7478,6.6484,431,4.1004,3.7421,4.4898,1923,18.295,17.6195,18.9826,1.8225,83,100,-17,HIGH_DANGER_MIX
8478507,John Marino,5329.9,710,7.9926,7.461,8.5557,536,6.0339,5.5665,6.5356,381,4.289,3.8922,4.7227,1627,18.3155,17.582,19.0652,1.8133,84,85,-1,
8482122,Brock Faber,4264.25,519,7.3026,6.7345,7.9124,377,5.3046,4.8156,5.8386,408,5.7408,5.233,6.2929,1304,18.3479,17.53,19.1889,1.6817,85,25,60,LOW_DANGER_MIX
8483485,Denton Mateychuk,1448.53,189,7.8286,6.844,8.9254,132,5.4676,4.6406,6.4209,122,5.0534,4.2585,5.977,443,18.3496,16.9527,19.7963,1.7324,86,39,47,LOW_DANGER_MIX
8478451,Ethan Bear,2128.33,306,8.6265,7.7718,9.5609,213,6.0047,5.2832,6.8145,132,3.7212,3.153,4.3853,651,18.3524,17.2024,19.5501,1.8937,87,147,-60,HIGH_DANGER_MIX
8477365,Connor Clifton,4663.77,624,8.0278,7.4593,8.6318,469,6.0337,5.5351,6.5712,334,4.297,3.8736,4.7622,1427,18.3586,17.574,19.1605,1.8155,88,90,-2,
8476467,Jamie Oleksiak,5843.93,778,7.9878,7.4795,8.5248,584,5.996,5.5502,6.4731,428,4.3943,4.0101,4.8121,1790,18.378,17.6765,19.0944,1.8036,89,73,16,LOW_DANGER_MIX
8476874,Olli Määttä,5126.98,714,8.3558,7.8033,8.9406,472,5.5237,5.067,6.017,386,4.5173,4.1027,4.97,1572,18.3968,17.6484,19.1625,1.8246,90,102,-12,HIGH_DANGER_MIX
8476854,Hampus Lindholm,5227.93,699,8.0223,7.4848,8.5919,518,5.945,5.4765,6.4487,386,4.43,4.0232,4.8743,1603,18.3973,17.6559,19.1553,1.8087,91,78,13,LOW_DANGER_MIX
8483565,Nick Blankenburg,2289.37,323,8.4652,7.6469,9.3584,226,5.923,5.2306,6.6981,153,4.0098,3.4391,4.6689,702,18.3981,17.2878,19.5531,1.8437,92,114,-22,HIGH_DANGER_MIX
8476457,Adam Larsson,7235.98,973,8.068,7.608,8.5513,751,6.2272,5.8181,6.6615,496,4.1128,3.777,4.476,2220,18.408,17.7767,19.0515,1.8413,93,113,-20,HIGH_DANGER_MIX
8478408,Travis Dermott,1925.58,245,7.6341,6.7838,8.57,212,6.6058,5.8118,7.4901,134,4.1754,3.5428,4.9089,591,18.4152,17.1995,19.6691,1.8224,94,99,-5,
8479976,Juuso Välimäki,3071.63,390,7.6181,6.9387,8.3516,335,6.5437,5.9107,7.2339,218,4.2583,3.7446,4.8354,943,18.4202,17.4543,19.4106,1.7973,95,68,27,LOW_DANGER_MIX
8478038,Devon Toews,6913.8,987,8.5655,8.0824,9.0719,638,5.5368,5.1407,5.9596,498,4.3218,3.9701,4.7017,2123,18.424,17.7777,19.0821,1.8403,96,111,-15,HIGH_DANGER_MIX
8477507,Nikita Zadorov,5828.4,765,7.8752,7.3701,8.4106,586,6.0325,5.5854,6.5121,439,4.5193,4.1296,4.9431,1790,18.427,17.7255,19.1463,1.8162,97,93,4,
8480036,Miro Heiskanen,6471.85,895,8.2975,7.8055,8.8148,601,5.5718,5.1618,6.0106,492,4.5613,4.1887,4.9639,1988,18.4306,17.7628,19.1112,1.8012,98,71,27,LOW_DANGER_MIX
