term,beta_3s,se_3s,t_3s,p_3s,beta_5s,se_5s,t_5s,p_5s,dbeta
P1_NF_F,6.198831960234056,1.5610654316414003,3.970898230522101,0.0001459913279269,6.652344998617885,1.0656926537267375,6.242273487909079,4.097410855052885e-09,0.4535
P2_DefF,-7.495936952919877,1.2534870374047775,-5.980067387405523,4.6816498233681614e-08,-6.653982305786401,1.0324617423285656,-6.4447737218614245,1.4490089128571524e-09,0.842
P3_OffF,5.117628584271292,1.642463576736146,3.115824701842636,0.0024769925773757,5.217703002525935,1.255598459395039,4.155550656728173,5.3980593217151096e-05,0.1001
P4_DefD,2.138746898093556,1.4091266613075446,1.5177818693097385,0.1326538539256074,1.0309221234573538,1.0712368054477028,0.9623662277235702,0.3373941497641717,-1.1078
P5_OffD,2.3728358713254685,1.3675446748135898,1.735106658690262,0.0862227669583246,2.448995036300062,1.128050787200332,2.17099714311457,0.0314830744650693,0.0762
P6_SvPct,4.8870564997534025,0.988401212325281,4.94440561060854,3.625760407466316e-06,3.6868188242356936,0.8112203534859335,4.544780969058394,1.1146305924469855e-05,-1.2002
P7_SvPct,2.8520114923964255,0.9456172159470884,3.016031692633659,0.0033473720918661,3.6881950709312057,0.7713857156068099,4.781259227790977,4.079251395561201e-06,0.8362
intercept,90.74990925009074,0.929798219964573,97.6017240101282,0.0,91.08740891259104,0.7511925342589936,121.25707426318247,0.0,0.3375
