zone_name,conversion_rate,ci_low,ci_high,color_hex,attempts,goals
CNFI,0.13042,0.12826,0.1326,#FF6B35,92405,12051
inner_slot,0.12015,0.11842,0.1219,#FFB700,134383,16146
HD_conventional,0.10908,0.10758,0.11061,#CC3333,162288,17703
MNFI,0.10032,0.09808,0.10259,#2E7DC4,68165,6838
slot,0.08381,0.08283,0.08479,#44AA66,305980,25643
FNFI,0.03363,0.03207,0.03525,#4AB3E8,49575,1667
Wide,0.02792,0.02724,0.02861,#888888,221467,6183
