player_id,player_name,es_toi_min,QoT_spatial_TNFI,P5_weighted,P5_QoT_adj,z_P5_QoT_adj,P4_weighted,P4_QoT_adj,z_P4_QoT_adj,twoway_D_QoT_adj,twoway_D_score,off_rank_QoT_adj,def_rank_QoT_adj,twoway_D_rank_QoT_adj,twoway_D_rank_unadj,rank_delta
8479985,Cale Fleury,573.8,3.0702404661160183,1.9687,0.27863429413178054,1.7368527487521521,1.615,-0.3766595480405779,-1.9937923205044128,3.730645069256565,2.130536861363806,13,9,1,21,20
8481527,Kaedan Korczak,1774.95,3.295291360906825,2.0372,0.15552101086604364,0.9694323380152523,1.5387,-0.39763722294051496,-2.104834579581904,3.074266917597156,2.825788881450201,54,5,2,3,1
8479576,Vincent Desharnais,2728.53,3.2507628350902027,2.0432,0.19943357743742873,1.2431590958500223,1.7265,-0.22078328731294738,-1.1686840942443104,2.4118431900943325,1.8864858681463736,38,36,3,29,26
8474716,Jared Spurgeon,4669.63,3.1869031627809465,1.8074,0.018005107445450586,0.11223392459873942,1.5389,-0.4240813611000349,-2.2448127637513613,2.357046688350101,1.8087712921093473,154,3,4,31,27
8470966,Mark Giordano,3199.85,3.3301082549649523,2.1679,0.2565771412435993,1.5993606042806423,1.7879,-0.13987848544316517,-0.7404263386689097,2.339786942949552,2.1220360773064373,21,71,5,22,17
8477447,Shea Theodore,5559.33,3.3227793687127196,2.1773,0.27221711624470646,1.6968515956739718,1.8156,-0.11398008249188707,-0.6033369241400518,2.3001885198140237,2.021137870609702,16,93,6,25,19
8478017,Mark Friedman,938.62,3.3781027604744263,2.2715,0.319313563305222,1.9904249111497374,1.8627,-0.05328040910456644,-0.2820320659827644,2.272456977132502,2.1953848206411273,8,144,7,19,12
8480990,Declan Chisholm,1605.3,3.12580474432309,1.7032,-0.0341743548271336,-0.21302410854805004,1.5097,-0.4683006596110104,-2.478881163843471,2.265857055295421,1.4982551689527257,205,1,8,46,38
8475625,Matt Irwin,927.0,2.9827660785548287,1.7318,0.11621191226273409,0.7244010644138873,1.7377,-0.2754626240940514,-1.4581211796217262,2.1825222440356136,0.4521278125462206,80,23,9,141,132
8482762,Simon Edvinsson,2749.87,3.0740705403887985,1.7511,0.05777328462883591,0.36012684125873207,1.6497,-0.34101803383654383,-1.8051291691763163,2.1652560104350482,0.9900289064671464,125,13,10,90,80
8474013,Ian Cole,5734.87,3.286576424261937,2.0276,0.1533410996665443,0.9558439720508841,1.7113,-0.22717954083151048,-1.202541728311074,2.158385700361958,1.895686890068772,57,33,11,28,17
8476467,Jamie Oleksiak,5843.93,2.985215612353196,1.7711,0.15342632529356504,0.9563752216769086,1.8036,-0.2089604762764974,-1.106101770302507,2.0624769919794153,0.2869656665946111,55,42,12,167,155
8476422,Mike Reilly,2810.22,3.474403991940775,2.206,0.17182057607025358,1.0710348515055972,1.7091,-0.18320750596116864,-0.9697821821970463,2.0408170337026434,2.6957411441221346,48,49,13,6,-7
8483457,Lane Hutson,2608.85,3.302170455067559,2.0207,0.13316399874770668,0.8300710362321574,1.7072,-0.22744619441157776,-1.2039532201023717,2.034024256334529,1.8862664410199153,68,32,14,30,16
8482126,Emil Andrae,1211.62,3.1399900989183873,1.8584,0.10894792217238591,0.6791213503907362,1.7249,-0.24961359594343313,-1.321293123390817,2.0004144737815532,1.0776788994230426,89,30,15,78,63
8477541,Dakota Mermis,738.75,3.051654835002649,1.657,-0.01724149062788949,-0.10747395787350833,1.5986,-0.39762829382405696,-2.1047873146076976,1.9973133567341894,0.8367955372580423,189,6,16,107,91
8480084,Nick DeSimone,934.53,3.3006690053035617,1.9382,0.05194236611081138,0.323780106240569,1.6341,-0.3009152828883974,-1.5928511125401374,1.9166312187807064,1.897461894399076,129,20,17,27,10
8474697,Mark Borowiecki,671.65,3.0899220956317235,1.9224,0.21557692173817355,1.3437878142573125,1.8803,-0.10652138239996134,-0.5638553842678036,1.907643198525116,0.5614336359443618,33,102,18,126,108
8476854,Hampus Lindholm,5227.93,3.2555511965304915,2.0342,0.1863566611563814,1.161644801069076,1.8087,-0.1374062056197487,-0.7273396864077152,1.8889844874767912,1.4239516311694111,44,73,19,52,33
8479323,Adam Fox,6499.73,3.196269578323336,2.0415,0.2441303351781523,1.5217740695889284,1.8953,-0.06537889575707312,-0.3460736385460444,1.8678477081349727,1.0108541513562157,24,132,20,87,67
