player_id,player_name,es_toi_min,P1a_weighted_CNFI,P1a_weighted_MNFI,P1a_weighted_total,P2_weighted,z_P1a_weighted,z_P2_weighted,twoway_score,off_rank,def_rank,twoway_rank
8470638,Patrice Bergeron,2115.5,1.5792,1.1727,2.7519,1.3556,1.7315567475813327,-2.8631146277312203,4.5946713753125525,35,1,1
8478402,Connor McDavid,6331.43,2.1901,1.1253,3.3154000000000003,1.9266,3.5426430148326804,0.08138088174639845,3.461262133086282,3,348,2
8471887,Patric Hornqvist,870.73,1.7846,1.1694,2.9539999999999997,1.7306,2.381105167477511,-0.9293391180042383,3.3104442854817497,14,96,3
8475786,Zach Hyman,5621.93,2.1918,1.0827,3.2745,1.9379,3.411190613181251,0.13965198377283747,3.2715386294084134,4,364,4
8474613,Derek Stepan,1146.48,1.9402,1.021,2.9612,1.7503,2.404245932560404,-0.8277514445599139,3.231997377120318,13,124,5
8479318,Auston Matthews,5452.95,1.7756,1.1536,2.9292,1.7509,2.30139808774755,-0.8246574037443511,3.126055491491901,15,125,6
8475855,Jesper Fast,2839.33,2.0207,0.9709,2.9916,1.7996,2.5019513851326156,-0.5735244242144728,3.0754758093470884,11,174,7
8482659,Josh Doan,1392.23,1.5453,0.8458,2.3911,1.4457,0.5719472973164059,-2.398492831927484,2.97044012924389,152,4,8
8479314,Matthew Tkachuk,4792.65,2.0578,1.2715,3.3293,2.0384,3.5873175474232624,0.65790382037967,2.9294137270435923,2,482,9
8482093,Seth Jarvis,4795.28,1.8148,1.0005,2.8152999999999997,1.7214,1.9353240401167981,-0.9767810771762063,2.9121051172930046,30,84,10
8478483,Mitch Marner,5815.55,1.5186,1.0751,2.5937,1.6092,1.2231027147877873,-1.5553667096865198,2.778469424474307,70,26,11
8473533,Jordan Staal,4845.65,1.8548,0.9369,2.7917,1.7446,1.85947375456732,-0.8571448323077643,2.716618586875084,31,111,12
8480027,Jason Robertson,5700.35,1.6013,1.1226,2.7239,1.7091,1.6415648833700855,-1.0402089138952513,2.681773797265337,38,73,13
8476921,Jordan Martinook,4310.43,1.888,0.9705,2.8585,1.7957,2.0741686306141514,-0.5936356895156335,2.6678043201297847,20,171,14
8482809,Jackson Blake,1590.02,1.7111,1.1129,2.824,1.8068,1.9632857979252933,-0.5363959344277154,2.4996817323530087,28,186,15
8483525,Danila Yurov,504.48,1.3998,0.8697,2.2695,1.4643,0.18112548702756184,-2.3025775666450254,2.4837030536725875,234,6,16
8476455,Gabriel Landeskog,1382.55,1.9601,1.3106,3.2706999999999997,2.0993,3.3989774316097234,0.9719489631593304,2.427028468450393,5,523,17
8481559,Jack Hughes,4893.55,1.4455,1.0415,2.487,1.6186,0.880169432239928,-1.5068934035760295,2.3870628358159576,105,27,18
8478427,Sebastian Aho,5445.97,1.6792,1.0092,2.6884,1.7483,1.5274680555308264,-0.8380649139451245,2.365532969475951,50,120,19
8477478,William Carrier,2618.8,2.113,0.9848,3.0978,2.0086,2.8432776701052735,0.504233126540031,2.3390445435652425,9,450,20
8479407,Jesper Bratt,5495.63,1.616,1.0318,2.6478,1.7289,1.3969798524245183,-0.9381055669816664,2.3350854194061847,56,92,21
8481604,Pavel Dorofeyev,2703.15,1.4209,0.8591,2.2800000000000002,1.504,0.21487243610678075,-2.0978551993485954,2.312727635455376,227,9,22
8470794,Joe Pavelski,3634.52,1.6298,1.1262,2.7560000000000002,1.8024,1.7447341276979804,-0.5590855670751784,2.303819694773159,34,177,23
8477492,Nathan MacKinnon,6339.42,1.6871,1.2386,2.9257,1.9089,2.2901491047211446,-0.009893322312715351,2.30004242703386,16,320,24
8480830,Andrei Svechnikov,4550.57,1.763,1.1086,2.8716,1.8808,2.1162719670844137,-0.15479756717492393,2.2710695342593374,19,285,25
8478449,Roope Hintz,4644.75,1.6484,1.1176,2.766,1.8183,1.7768740792019964,-0.47709348546275426,2.253967564664751,33,198,26
8481532,Alex Turcotte,1309.02,1.5062,0.8873,2.3935,1.597,0.5796608856773705,-1.618278872936304,2.1979397586136744,150,23,27
8478843,Denis Malgin,637.78,1.6891,1.2079,2.8970000000000002,1.9261,2.1979074439046173,0.07880251440009495,2.1191049295045223,18,347,28
8476437,Victor Rask,515.93,1.3829,0.9277,2.3106,1.5631,0.31322068770907135,-1.7930921790156236,2.106312866724695,197,14,29
8480801,Brady Tkachuk,5399.25,1.5146,1.0062,2.5208,1.6962,0.9888024683235043,-1.10673079142986,2.0955332597533642,95,64,30
8477942,Kevin Fiala,5062.83,1.3874,0.9466,2.334,1.5804,0.3884281742284709,-1.7038806688335515,2.0923088430620225,185,16,31
8478233,Andrew Mangiapane,4442.67,1.5108,1.1779,2.6887,1.8033,1.528432254075946,-0.5544445058518341,2.08287675992778,49,181,32
8480835,Jack Drury,2452.15,1.5679,0.9841,2.552,1.723,1.089079117016037,-0.9685303016680377,2.0576094186840748,84,85,33
8477476,Artturi Lehkonen,4310.0,1.5781,1.2546,2.8327,1.8985,1.9912475557337885,-0.06352336311581014,2.0547709188495986,26,307,34
8476461,Sean Couturier,3335.18,1.3662,0.7657,2.1319,1.4624,-0.26112024566770914,-2.3123753625609758,2.0512551168932665,337,5,35
8476448,William Karlsson,3910.15,1.4109,1.059,2.4699,1.6792,0.825210115168059,-1.1943952812041494,2.0196053963722083,116,47,36
8482702,Logan Stankoven,1933.95,1.9434,1.1902,3.1336,2.0937,2.958338696489654,0.9430712488807417,2.0152674476089123,8,520,37
8477998,Warren Foegele,4244.4,1.8801,1.0454,2.9255000000000004,1.9661,2.2895063056910656,0.28507190210430655,2.004434403586759,17,397,38
8478047,Michael Bunting,4782.8,1.6438,1.0782,2.722,1.8434,1.6354582925843224,-0.34765944467836213,1.9831177372626845,39,238,39
8479542,Brandon Hagel,5531.02,1.5626,1.0087,2.5713,1.75,1.151109223418789,-0.8292984649676953,1.9804076883864843,76,123,40
8475791,Taylor Hall,3583.12,1.565,1.1318,2.6967999999999996,1.8293,1.554465614794199,-0.42036940384409666,1.9748350186382957,47,216,41
8479344,Jesse Puljujarvi,2247.62,1.8648,1.1411,3.0059,2.0235,2.5479115157833596,0.5810684734598494,1.9668430423235104,10,469,42
8476399,Blake Coleman,5073.65,1.4605,1.085,2.5454999999999997,1.7399,1.0681881485384248,-0.8813814853630088,1.9495696339014335,87,106,43
8476873,Mark Jankowski,2106.02,1.619,0.9217,2.5407,1.741,1.0527609718164985,-0.8757090772011424,1.928470049017641,89,108,44
8478403,Jack Eichel,4691.88,1.4183,0.9427,2.3609999999999998,1.6333,0.47520604328931526,-1.4310894035947324,1.9062954468840476,168,30,45
8476474,Stefan Noesen,2833.75,1.7231,0.8904,2.6135,1.7913,1.2867398187657406,-0.6163253221630977,1.9030651409288382,65,167,46
8478493,Joel Eriksson Ek,4789.73,1.2669,0.7073,1.9742,1.3935,-0.7679672808860539,-2.6676743828814797,1.8997071019954257,485,2,47
8477934,Leon Draisaitl,6061.42,1.854,1.1251,2.9791,2.0205,2.461776445752594,0.5655982693820352,1.8961781763705587,12,461,48
8475913,Mark Stone,3779.98,1.4435,0.9773,2.4208,1.6763,0.667402953283336,-1.2093498118127053,1.8767527650960414,133,46,49
8477903,Garnet Hathaway,3661.17,1.4493,0.8472,2.2965,1.6012,0.26790335608840765,-1.596620587227362,1.8645239433157696,213,24,50
8477933,Sam Reinhart,5525.77,1.5414,0.9876,2.529,1.7471,1.015157228556798,-0.8442529955762502,1.8594102241330481,91,118,51
8478864,Kirill Kaprizov,5318.2,1.3386,0.9422,2.2808,1.594,0.21744363222710184,-1.6337490770141194,1.8511927092412213,226,21,52
8482146,Luke Evangelista,2752.27,1.4969,0.9171,2.4139999999999997,1.682,0.6455477862606042,-1.179956424064855,1.8255042103254593,136,50,53
8484762,Beckett Sennecke,711.52,1.809,0.915,2.724,1.8783,1.6418862828851264,-0.16768940390643688,1.8095756867915633,37,283,54
8477493,Aleksander Barkov,4356.22,1.6659,1.0845,2.7504,1.8975,1.72673575485573,-0.068680097808416,1.7954158526641462,36,305,55
8482077,Dylan Holloway,2523.98,1.4734,0.9462,2.4196,1.6918,0.6635461591028544,-1.1294204240773231,1.7929665831801775,134,61,56
8482159,Tyson Foerster,2548.98,1.2677,0.7953,2.063,1.4742,-0.48256451153038404,-2.251525893188233,1.768961381657849,407,7,57
8480002,Nico Hischier,5469.12,1.5038,0.8958,2.3996,1.6841,0.5992662560948208,-1.1691272812103841,1.7683935373052049,148,52,58
8478420,Mikko Rantanen,6306.27,1.5809,1.1407,2.7216,1.8956,1.634172694524162,-0.0784778937243661,1.7126505882485281,40,303,59
8479675,Trevor Moore,4646.25,1.5666,0.9143,2.4809,1.7461,0.8605640618224778,-0.849409730268856,1.7099737920913338,108,114,60
8476439,Brett Ritchie,849.42,1.3269,1.146,2.4729,1.7436,0.8348521006192643,-0.862301567000369,1.6971536676196333,115,110,61
8477501,Valeri Nichushkin,3959.88,1.637,1.1385,2.7755,1.9333,1.8074070331308125,0.11593100418685348,1.691476028943959,32,360,62
8474150,Mikael Backlund,5475.02,1.3394,1.0485,2.3879,1.6924,0.5616625128351217,-1.1263263832617603,1.6879888960968819,154,62,63
