name,display_name,height_in,weight_lbs,avg_gsax,qualifying_seasons,total_gsax,weight_height_ratio
michael hutchinson,Michael Hutchinson,75.0,198.0,-3.236666666666667,3,-9.71,2.64
louis domingue,Louis Domingue,75.0,208.0,-3.606666666666669,3,-10.820000000000007,2.7733333333333334
alex nedeljkovic,Alex Nedeljkovic,72.0,205.0,-3.7366666666666695,3,-11.210000000000008,2.8472222222222223
carter hutton,Carter Hutton,72.0,208.0,-3.741999999999996,5,-18.70999999999998,2.888888888888889
jhonas enroth,Jhonas Enroth,70.0,175.0,-3.8599999999999994,3,-11.579999999999998,2.5
philipp grubauer,Philipp Grubauer,73.0,188.0,-4.0500000000000025,8,-32.40000000000002,2.5753424657534247
jonas hiller,Jonas Hiller,74.0,191.0,-4.123999999999997,5,-20.619999999999983,2.581081081081081
michal neuvirth,Michal Neuvirth,73.0,209.0,-4.142499999999998,4,-16.569999999999993,2.863013698630137
petr mrazek,Petr MrÃ¡zek,74.0,192.0,-4.182500000000001,8,-33.46000000000001,2.5945945945945947
jack campbell,Jack Campbell,75.0,200.0,-4.217500000000001,4,-16.870000000000005,2.6666666666666665
cam ward,Cam Ward,73.0,194.0,-4.552857142857142,7,-31.86999999999999,2.6575342465753424
david rittich,David Rittich,75.0,200.0,-4.723333333333329,3,-14.169999999999987,2.6666666666666665
aaron dell,Aaron Dell,72.0,213.0,-4.8566666666666665,3,-14.57,2.9583333333333335
craig anderson,Craig Anderson,74.0,187.0,-5.23,8,-41.84,2.527027027027027
mikko koskinen,Mikko Koskinen,79.0,202.0,-5.716666666666669,3,-17.150000000000006,2.5569620253164556
ray emery,Ray Emery,74.0,196.0,-5.75333333333333,3,-17.25999999999999,2.6486486486486487
keith kinkaid,Keith Kinkaid,75.0,186.0,-5.819999999999998,3,-17.459999999999994,2.48
joonas korpisalo,Joonas Korpisalo,76.0,200.0,-6.141666666666669,6,-36.850000000000016,2.6315789473684212
scott darling,Scott Darling,77.0,226.0,-6.843333333333334,3,-20.53,2.935064935064935
alex stalock,Alex Stalock,71.0,170.0,-6.9700000000000015,3,-20.910000000000004,2.3943661971830985
martin jones,Martin Jones,77.0,203.0,-7.626249999999999,8,-61.00999999999999,2.6363636363636362
matt murray,Matt Murray,77.0,220.0,-7.922,5,-39.61,2.857142857142857
