name,name_raw,season_end_year,age,height_in,weight_lbs
jonas hiller,Jonas Hiller,2012,29.0,74.0,191.0
pekka rinne,Pekka Rinne,2012,29.0,77.0,217.0
miikka kiprusoff,Miikka Kiprusoff,2012,35.0,73.0,185.0
jonathan quick,Jonathan Quick,2012,26.0,73.0,219.0
antti niemi,Antti Niemi,2012,28.0,74.0,209.0
ondaej pavelec,OndÅej Pavelec,2012,24.0,75.0,212.0
cam ward,Cam Ward,2012,27.0,73.0,194.0
marc andra fleury,Marc-AndrÃ© Fleury,2012,27.0,74.0,185.0
mike smith,Mike Smith,2012,29.0,77.0,220.0
carey price,Carey Price,2012,24.0,75.0,217.0
craig anderson,Craig Anderson,2012,30.0,74.0,187.0
henrik lundqvist,Henrik Lundqvist,2012,29.0,73.0,182.0
ryan miller,Ryan Miller,2012,31.0,74.0,168.0
martin brodeur,Martin Brodeur,2012,39.0,74.0,220.0
ilya bryzgalov,Ilya Bryzgalov,2012,31.0,75.0,213.0
kari lehtonen,Kari Lehtonen,2012,28.0,76.0,209.0
tim thomas,Tim Thomas,2012,37.0,71.0,201.0
corey crawford,Corey Crawford,2012,27.0,74.0,216.0
jimmy howard,Jimmy Howard,2012,27.0,73.0,218.0
roberto luongo,Roberto Luongo,2012,32.0,75.0,215.0
josa thaodore,JosÃ© ThÃ©odore,2012,35.0,71.0,172.0
semyon varlamov,Semyon Varlamov,2012,23.0,74.0,201.0
mathieu garon,Mathieu Garon,2012,34.0,73.0,206.0
tomaa vokoun,TomÃ¡Å¡ Vokoun,2012,35.0,73.0,210.0
devan dubnyk,Devan Dubnyk,2012,25.0,78.0,224.0
niklas backstram,Niklas BÃ¤ckstrÃ¶m,2012,33.0,74.0,192.0
jaroslav halak,Jaroslav HalÃ¡k,2012,26.0,71.0,189.0
steve mason,Steve Mason,2012,23.0,76.0,210.0
jonas gustavsson,Jonas Gustavsson,2012,27.0,76.0,201.0
evgeni nabokov,Evgeni Nabokov,2012,36.0,72.0,202.0
nikolai khabibulin,Nikolai Khabibulin,2012,39.0,73.0,208.0
dwayne roloson,Dwayne Roloson,2012,42.0,73.0,170.0
brian elliott,Brian Elliott,2012,26.0,74.0,221.0
michal neuvirth,Michal Neuvirth,2012,23.0,73.0,209.0
curtis sanford,Curtis Sanford,2012,32.0,71.0,187.0
ray emery,Ray Emery,2012,29.0,74.0,196.0
josh harding,Josh Harding,2012,27.0,73.0,202.0
james reimer,James Reimer,2012,23.0,74.0,200.0
cory schneider,Cory Schneider,2012,25.0,74.0,210.0
jean sabastien gigua re,Jean-SÃ©bastien GiguÃ¨re,2012,34.0,73.0,202.0
al montoya,Al Montoya,2012,26.0,74.0,200.0
scott clemmensen,Scott Clemmensen,2012,34.0,74.0,201.0
sergei bobrovsky,Sergei Bobrovsky,2012,23.0,74.0,180.0
johan hedberg,Johan Hedberg,2012,38.0,72.0,190.0
jhonas enroth,Jhonas Enroth,2012,23.0,70.0,175.0
tuukka rask,Tuukka Rask,2012,24.0,75.0,176.0
