name,name_raw,season_end_year,age,height_in,weight_lbs
laurent brossoit,Laurent Brossoit,2015,21.0,75.0,203.0
tyler bunz,Tyler Bunz,2015,22.0,73.0,205.0
chris driedger,Chris Driedger,2015,20.0,76.0,210.0
philipp grubauer,Philipp Grubauer,2015,23.0,73.0,188.0
andrey makarov,Andrey Makarov,2015,21.0,73.0,193.0
mike mckenna,Mike McKenna,2015,31.0,74.0,183.0
kevin poulin,Kevin Poulin,2015,24.0,74.0,205.0
malcolm subban,Malcolm Subban,2015,21.0,74.0,200.0
jeff zatkoff,Jeff Zatkoff,2015,27.0,74.0,186.0
league average,League Average,2015,,,
jonathan quick,Jonathan Quick,2016,30.0,73.0,219.0
devan dubnyk,Devan Dubnyk,2016,29.0,78.0,224.0
braden holtby,Braden Holtby,2016,26.0,73.0,215.0
pekka rinne,Pekka Rinne,2016,33.0,77.0,217.0
martin jones,Martin Jones,2016,26.0,77.0,203.0
henrik lundqvist,Henrik Lundqvist,2016,33.0,73.0,182.0
tuukka rask,Tuukka Rask,2016,28.0,75.0,176.0
roberto luongo,Roberto Luongo,2016,36.0,75.0,215.0
ben bishop,Ben Bishop,2016,29.0,79.0,210.0
craig anderson,Craig Anderson,2016,34.0,74.0,187.0
corey crawford,Corey Crawford,2016,31.0,74.0,216.0
marc andra fleury,Marc-AndrÃ© Fleury,2016,31.0,74.0,185.0
cory schneider,Cory Schneider,2016,29.0,74.0,210.0
semyon varlamov,Semyon Varlamov,2016,27.0,74.0,201.0
cam talbot,Cam Talbot,2016,28.0,75.0,202.0
mike condon,Mike Condon,2016,25.0,74.0,195.0
steve mason,Steve Mason,2016,27.0,76.0,210.0
petr mrazek,Petr MrÃ¡zek,2016,23.0,74.0,192.0
cam ward,Cam Ward,2016,31.0,73.0,194.0
ryan miller,Ryan Miller,2016,35.0,74.0,168.0
antti niemi,Antti Niemi,2016,32.0,74.0,209.0
jake allen,Jake Allen,2016,25.0,74.0,197.0
chad johnson,Chad Johnson,2016,29.0,75.0,197.0
frederik andersen,Frederik Andersen,2016,26.0,76.0,229.0
kari lehtonen,Kari Lehtonen,2016,32.0,76.0,209.0
brian elliott,Brian Elliott,2016,30.0,74.0,221.0
thomas greiss,Thomas Greiss,2016,30.0,74.0,219.0
john gibson,John Gibson,2016,22.0,75.0,209.0
james reimer,James Reimer,2016,27.0,74.0,200.0
louis domingue,Louis Domingue,2016,23.0,75.0,208.0
jonathan bernier,Jonathan Bernier,2016,27.0,72.0,185.0
sergei bobrovsky,Sergei Bobrovsky,2016,27.0,74.0,180.0
jimmy howard,Jimmy Howard,2016,31.0,73.0,218.0
karri rama,Karri RÃ¤mÃ¶,2016,29.0,74.0,206.0
jaroslav halak,Jaroslav HalÃ¡k,2016,30.0,71.0,189.0
eddie lack,Eddie LÃ¤ck,2016,28.0,76.0,187.0
jacob markstram,Jacob MarkstrÃ¶m,2016,26.0,78.0,207.0
ondaej pavelec,OndÅej Pavelec,2016,28.0,75.0,212.0
michal neuvirth,Michal Neuvirth,2016,27.0,73.0,209.0
mike smith,Mike Smith,2016,33.0,77.0,220.0
joonas korpisalo,Joonas Korpisalo,2016,21.0,76.0,200.0
michael hutchinson,Michael Hutchinson,2016,25.0,75.0,198.0
scott darling,Scott Darling,2016,27.0,77.0,226.0
anders nilsson,Anders Nilsson,2016,25.0,78.0,232.0
connor hellebuyck,Connor Hellebuyck,2016,22.0,76.0,207.0
jonas hiller,Jonas Hiller,2016,33.0,74.0,191.0
al montoya,Al Montoya,2016,30.0,74.0,200.0
antti raanta,Antti Raanta,2016,26.0,72.0,195.0
jonas gustavsson,Jonas Gustavsson,2016,31.0,76.0,201.0
andrew hammond,Andrew Hammond,2016,27.0,74.0,224.0
andrei vasilevskiy,Andrei Vasilevskiy,2016,21.0,76.0,223.0
keith kinkaid,Keith Kinkaid,2016,26.0,75.0,186.0
philipp grubauer,Philipp Grubauer,2016,24.0,73.0,188.0
joni ortio,Joni Ortio,2016,24.0,73.0,190.0
darcy kuemper,Darcy Kuemper,2016,25.0,77.0,215.0
robin lehner,Robin Lehner,2016,24.0,76.0,240.0
calvin pickard,Calvin Pickard,2016,23.0,73.0,206.0
linus ullmark,Linus Ullmark,2016,22.0,76.0,223.0
anders lindback,Anders LindbÃ¤ck,2016,27.0,78.0,215.0
curtis mcelhinney,Curtis McElhinney,2016,32.0,74.0,203.0
carter hutton,Carter Hutton,2016,30.0,72.0,208.0
garret sparks,Garret Sparks,2016,22.0,75.0,205.0
jhonas enroth,Jhonas Enroth,2016,27.0,70.0,175.0
ben scrivens,Ben Scrivens,2016,29.0,74.0,181.0
reto berra,Reto Berra,2016,29.0,76.0,218.0
jeff zatkoff,Jeff Zatkoff,2016,28.0,74.0,186.0
matt murray,Matt Murray,2016,21.0,77.0,220.0
alex stalock,Alex Stalock,2016,28.0,71.0,170.0
carey price,Carey Price,2016,28.0,75.0,217.0
anton khudobin,Anton Khudobin,2016,29.0,71.0,195.0
jean franaois baruba,Jean-FranÃ§ois BÃ©rubÃ©,2016,24.0,73.0,176.0
dustin tokarski,Dustin Tokarski,2016,26.0,72.0,198.0
laurent brossoit,Laurent Brossoit,2016,22.0,75.0,203.0
niklas backstram,Niklas BÃ¤ckstrÃ¶m,2016,37.0,74.0,192.0
anton forsberg,Anton Forsberg,2016,23.0,75.0,200.0
christopher gibson,Christopher Gibson,2016,23.0,74.0,217.0
scott wedgewood,Scott Wedgewood,2016,23.0,74.0,201.0
yann danis,Yann Danis,2016,34.0,72.0,185.0
niklas treutle,Niklas Treutle,2016,24.0,73.0,185.0
richard bachman,Richard Bachman,2016,28.0,70.0,183.0
jordan binnington,Jordan Binnington,2016,22.0,74.0,172.0
peter budaj,Peter Budaj,2016,33.0,73.0,196.0
pheonix copley,Pheonix Copley,2016,24.0,76.0,205.0
chris driedger,Chris Driedger,2016,21.0,76.0,210.0
kristers gudlevskis,Kristers Gudlevskis,2016,23.0,75.0,214.0
magnus hellberg,Magnus Hellberg,2016,24.0,78.0,206.0
jason kasdorf,Jason Kasdorf,2016,23.0,75.0,172.0
michael leighton,Michael Leighton,2016,34.0,75.0,186.0
charlie lindgren,Charlie Lindgren,2016,22.0,74.0,190.0
matt o connor,Matt O'Connor,2016,23.0,78.0,205.0
juuse saros,Juuse Saros,2016,20.0,71.0,180.0
roman will,Roman Will,2016,23.0,73.0,195.0
league average,League Average,2016,,,
cam talbot,Cam Talbot,2017,29.0,75.0,202.0
frederik andersen,Frederik Andersen,2017,27.0,76.0,229.0
devan dubnyk,Devan Dubnyk,2017,30.0,78.0,224.0
martin jones,Martin Jones,2017,27.0,77.0,203.0
tuukka rask,Tuukka Rask,2017,29.0,75.0,176.0
sergei bobrovsky,Sergei Bobrovsky,2017,28.0,74.0,180.0
braden holtby,Braden Holtby,2017,27.0,73.0,215.0
carey price,Carey Price,2017,29.0,75.0,217.0
jake allen,Jake Allen,2017,26.0,74.0,197.0
pekka rinne,Pekka Rinne,2017,34.0,77.0,217.0
cam ward,Cam Ward,2017,32.0,73.0,194.0
cory schneider,Cory Schneider,2017,30.0,74.0,210.0
peter budaj,Peter Budaj,2017,34.0,73.0,196.0
robin lehner,Robin Lehner,2017,25.0,76.0,240.0
kari lehtonen,Kari Lehtonen,2017,33.0,76.0,209.0
steve mason,Steve Mason,2017,28.0,76.0,210.0
henrik lundqvist,Henrik Lundqvist,2017,34.0,73.0,182.0
connor hellebuyck,Connor Hellebuyck,2017,23.0,76.0,207.0
corey crawford,Corey Crawford,2017,32.0,74.0,216.0
mike smith,Mike Smith,2017,34.0,77.0,220.0
ryan miller,Ryan Miller,2017,36.0,74.0,168.0
john gibson,John Gibson,2017,23.0,75.0,209.0
thomas greiss,Thomas Greiss,2017,31.0,74.0,219.0
petr mrazek,Petr MrÃ¡zek,2017,24.0,74.0,192.0
calvin pickard,Calvin Pickard,2017,24.0,73.0,206.0
andrei vasilevskiy,Andrei Vasilevskiy,2017,22.0,76.0,223.0
brian elliott,Brian Elliott,2017,31.0,74.0,221.0
matt murray,Matt Murray,2017,22.0,77.0,220.0
james reimer,James Reimer,2017,28.0,74.0,200.0
mike condon,Mike Condon,2017,26.0,74.0,195.0
craig anderson,Craig Anderson,2017,35.0,74.0,187.0
roberto luongo,Roberto Luongo,2017,37.0,75.0,215.0
jonathan bernier,Jonathan Bernier,2017,28.0,72.0,185.0
ben bishop,Ben Bishop,2017,30.0,79.0,210.0
marc andra fleury,Marc-AndrÃ© Fleury,2017,32.0,74.0,185.0
antti niemi,Antti Niemi,2017,33.0,74.0,209.0
chad johnson,Chad Johnson,2017,30.0,75.0,197.0
scott darling,Scott Darling,2017,28.0,77.0,226.0
louis domingue,Louis Domingue,2017,24.0,75.0,208.0
carter hutton,Carter Hutton,2017,31.0,72.0,208.0
antti raanta,Antti Raanta,2017,27.0,72.0,195.0
jaroslav halak,Jaroslav HalÃ¡k,2017,31.0,71.0,189.0
michael hutchinson,Michael Hutchinson,2017,26.0,75.0,198.0
michal neuvirth,Michal Neuvirth,2017,28.0,73.0,209.0
jimmy howard,Jimmy Howard,2017,32.0,73.0,218.0
keith kinkaid,Keith Kinkaid,2017,27.0,75.0,186.0
jacob markstram,Jacob MarkstrÃ¶m,2017,27.0,78.0,207.0
anders nilsson,Anders Nilsson,2017,26.0,78.0,232.0
philipp grubauer,Philipp Grubauer,2017,25.0,73.0,188.0
semyon varlamov,Semyon Varlamov,2017,28.0,74.0,201.0
juuse saros,Juuse Saros,2017,21.0,71.0,180.0
curtis mcelhinney,Curtis McElhinney,2017,33.0,74.0,203.0
aaron dell,Aaron Dell,2017,27.0,72.0,213.0
eddie lack,Eddie LÃ¤ck,2017,29.0,76.0,187.0
al montoya,Al Montoya,2017,31.0,74.0,200.0
darcy kuemper,Darcy Kuemper,2017,26.0,77.0,215.0
jonathan quick,Jonathan Quick,2017,31.0,73.0,219.0
anton khudobin,Anton Khudobin,2017,30.0,71.0,195.0
jean franaois baruba,Jean-FranÃ§ois BÃ©rubÃ©,2017,25.0,73.0,176.0
jared coreau,Jared Coreau,2017,25.0,77.0,214.0
joonas korpisalo,Joonas Korpisalo,2017,22.0,76.0,200.0
jeff zatkoff,Jeff Zatkoff,2017,29.0,74.0,186.0
jeremy smith,Jeremy Smith,2017,27.0,73.0,177.0
laurent brossoit,Laurent Brossoit,2017,23.0,75.0,203.0
zane mcintyre,Zane McIntyre,2017,24.0,74.0,206.0
ondaej pavelec,OndÅej Pavelec,2017,29.0,75.0,212.0
reto berra,Reto Berra,2017,30.0,76.0,218.0
jonas gustavsson,Jonas Gustavsson,2017,32.0,76.0,201.0
anthony stolarz,Anthony Stolarz,2017,23.0,78.0,248.0
jhonas enroth,Jhonas Enroth,2017,28.0,70.0,175.0
andrew hammond,Andrew Hammond,2017,28.0,74.0,224.0
richard bachman,Richard Bachman,2017,29.0,70.0,183.0
michael leighton,Michael Leighton,2017,35.0,75.0,186.0
marek mazanec,Marek Mazanec,2017,25.0,76.0,202.0
spencer martin,Spencer Martin,2017,21.0,75.0,191.0
justin peters,Justin Peters,2017,30.0,73.0,210.0
antoine bibeau,Antoine Bibeau,2017,22.0,75.0,205.0
magnus hellberg,Magnus Hellberg,2017,25.0,78.0,206.0
charlie lindgren,Charlie Lindgren,2017,23.0,74.0,190.0
alex stalock,Alex Stalock,2017,29.0,71.0,170.0
jorge alves,Jorge Alves,2017,38.0,,
jack campbell,Jack Campbell,2017,25.0,75.0,200.0
eric comrie,Eric Comrie,2017,21.0,73.0,190.0
pheonix copley,Pheonix Copley,2017,25.0,76.0,205.0
chris driedger,Chris Driedger,2017,22.0,76.0,210.0
anton forsberg,Anton Forsberg,2017,24.0,75.0,200.0
jon gillies,Jon Gillies,2017,23.0,78.0,223.0
kristers gudlevskis,Kristers Gudlevskis,2017,24.0,75.0,214.0
tristan jarry,Tristan Jarry,2017,21.0,76.0,201.0
marek langhamer,Marek Langhamer,2017,22.0,74.0,190.0
alex nedeljkovic,Alex Nedeljkovic,2017,21.0,72.0,205.0
david rittich,David Rittich,2017,24.0,75.0,200.0
malcolm subban,Malcolm Subban,2017,23.0,74.0,200.0
dustin tokarski,Dustin Tokarski,2017,27.0,72.0,198.0
linus ullmark,Linus Ullmark,2017,23.0,76.0,223.0
league average,League Average,2017,,,
connor hellebuyck,Connor Hellebuyck,2018,24.0,76.0,207.0
cam talbot,Cam Talbot,2018,30.0,75.0,202.0
frederik andersen,Frederik Andersen,2018,28.0,76.0,229.0
sergei bobrovsky,Sergei Bobrovsky,2018,29.0,74.0,180.0
andrei vasilevskiy,Andrei Vasilevskiy,2018,23.0,76.0,223.0
jonathan quick,Jonathan Quick,2018,32.0,73.0,219.0
henrik lundqvist,Henrik Lundqvist,2018,35.0,73.0,182.0
devan dubnyk,Devan Dubnyk,2018,31.0,78.0,224.0
john gibson,John Gibson,2018,24.0,75.0,209.0
jimmy howard,Jimmy Howard,2018,33.0,73.0,218.0
martin jones,Martin Jones,2018,28.0,77.0,203.0
jacob markstram,Jacob MarkstrÃ¶m,2018,28.0,78.0,207.0
jake allen,Jake Allen,2018,27.0,74.0,197.0
pekka rinne,Pekka Rinne,2018,35.0,77.0,217.0
craig anderson,Craig Anderson,2018,36.0,74.0,187.0
mike smith,Mike Smith,2018,35.0,77.0,220.0
jaroslav halak,Jaroslav HalÃ¡k,2018,32.0,71.0,189.0
braden holtby,Braden Holtby,2018,28.0,73.0,215.0
tuukka rask,Tuukka Rask,2018,30.0,75.0,176.0
ben bishop,Ben Bishop,2018,31.0,79.0,210.0
robin lehner,Robin Lehner,2018,26.0,76.0,240.0
semyon varlamov,Semyon Varlamov,2018,29.0,74.0,201.0
matt murray,Matt Murray,2018,23.0,77.0,220.0
carey price,Carey Price,2018,30.0,75.0,217.0
antti raanta,Antti Raanta,2018,28.0,72.0,195.0
marc andra fleury,Marc-AndrÃ© Fleury,2018,33.0,74.0,185.0
james reimer,James Reimer,2018,29.0,74.0,200.0
scott darling,Scott Darling,2018,29.0,77.0,226.0
brian elliott,Brian Elliott,2018,32.0,74.0,221.0
cam ward,Cam Ward,2018,33.0,73.0,194.0
keith kinkaid,Keith Kinkaid,2018,28.0,75.0,186.0
cory schneider,Cory Schneider,2018,31.0,74.0,210.0
petr mrazek,Petr MrÃ¡zek,2018,25.0,74.0,192.0
jonathan bernier,Jonathan Bernier,2018,29.0,72.0,185.0
kari lehtonen,Kari Lehtonen,2018,34.0,76.0,209.0
chad johnson,Chad Johnson,2018,31.0,75.0,197.0
anton forsberg,Anton Forsberg,2018,25.0,75.0,200.0
philipp grubauer,Philipp Grubauer,2018,26.0,73.0,188.0
roberto luongo,Roberto Luongo,2018,38.0,75.0,215.0
carter hutton,Carter Hutton,2018,32.0,72.0,208.0
mike condon,Mike Condon,2018,27.0,74.0,195.0
anton khudobin,Anton Khudobin,2018,31.0,71.0,195.0
aaron dell,Aaron Dell,2018,28.0,72.0,213.0
darcy kuemper,Darcy Kuemper,2018,27.0,77.0,215.0
corey crawford,Corey Crawford,2018,33.0,74.0,216.0
ryan miller,Ryan Miller,2018,37.0,74.0,168.0
alex stalock,Alex Stalock,2018,30.0,71.0,170.0
thomas greiss,Thomas Greiss,2018,32.0,74.0,219.0
anders nilsson,Anders Nilsson,2018,27.0,78.0,232.0
tristan jarry,Tristan Jarry,2018,22.0,76.0,201.0
juuse saros,Juuse Saros,2018,22.0,71.0,180.0
antti niemi,Antti Niemi,2018,34.0,74.0,209.0
michal neuvirth,Michal Neuvirth,2018,29.0,73.0,209.0
malcolm subban,Malcolm Subban,2018,24.0,74.0,200.0
david rittich,David Rittich,2018,25.0,75.0,200.0
scott wedgewood,Scott Wedgewood,2018,25.0,74.0,201.0
ondaej pavelec,OndÅej Pavelec,2018,30.0,75.0,212.0
louis domingue,Louis Domingue,2018,25.0,75.0,208.0
joonas korpisalo,Joonas Korpisalo,2018,23.0,76.0,200.0
curtis mcelhinney,Curtis McElhinney,2018,34.0,74.0,203.0
maxime lagace,Maxime Lagace,2018,25.0,74.0,190.0
jeff glass,Jeff Glass,2018,32.0,75.0,206.0
laurent brossoit,Laurent Brossoit,2018,24.0,75.0,203.0
casey desmith,Casey DeSmith,2018,26.0,72.0,188.0
charlie lindgren,Charlie Lindgren,2018,24.0,74.0,190.0
jean franaois baruba,Jean-FranÃ§ois BÃ©rubÃ©,2018,26.0,73.0,176.0
steve mason,Steve Mason,2018,29.0,76.0,210.0
al montoya,Al Montoya,2018,32.0,74.0,200.0
jon gillies,Jon Gillies,2018,24.0,78.0,223.0
alex lyon,Alex Lyon,2018,25.0,73.0,199.0
alexandar georgiev,Alexandar Georgiev,2018,21.0,73.0,178.0
harri sateri,Harri SÃ¤teri,2018,28.0,73.0,205.0
peter budaj,Peter Budaj,2018,35.0,73.0,196.0
christopher gibson,Christopher Gibson,2018,25.0,74.0,217.0
eddie lack,Eddie LÃ¤ck,2018,30.0,76.0,187.0
jared coreau,Jared Coreau,2018,26.0,77.0,214.0
reto berra,Reto Berra,2018,31.0,76.0,218.0
jack campbell,Jack Campbell,2018,26.0,75.0,200.0
linus ullmark,Linus Ullmark,2018,24.0,76.0,223.0
oscar dansk,Oscar Dansk,2018,23.0,75.0,204.0
adin hill,Adin Hill,2018,21.0,76.0,222.0
kenneth appleby,Kenneth Appleby,2018,22.0,77.0,216.0
eric comrie,Eric Comrie,2018,22.0,73.0,190.0
michael hutchinson,Michael Hutchinson,2018,27.0,75.0,198.0
collin delia,Collin Delia,2018,23.0,74.0,208.0
mike mckenna,Mike McKenna,2018,34.0,74.0,183.0
thatcher demko,Thatcher Demko,2018,22.0,76.0,192.0
dylan ferguson,Dylan Ferguson,2018,19.0,74.0,194.0
scott foster,Scott Foster,2018,36.0,72.0,185.0
brandon halverson,Brandon Halverson,2018,21.0,77.0,235.0
andrew hammond,Andrew Hammond,2018,29.0,74.0,224.0
marek langhamer,Marek Langhamer,2018,23.0,74.0,190.0
calvin pickard,Calvin Pickard,2018,25.0,73.0,206.0
daniel taylor,Daniel Taylor,2018,31.0,72.0,198.0
adam wilcox,Adam Wilcox,2018,25.0,72.0,189.0
league average,League Average,2018,,,
devan dubnyk,Devan Dubnyk,2019,32.0,78.0,224.0
carey price,Carey Price,2019,31.0,75.0,217.0
connor hellebuyck,Connor Hellebuyck,2019,25.0,76.0,207.0
sergei bobrovsky,Sergei Bobrovsky,2019,30.0,74.0,180.0
martin jones,Martin Jones,2019,29.0,77.0,203.0
marc andra fleury,Marc-AndrÃ© Fleury,2019,34.0,74.0,185.0
frederik andersen,Frederik Andersen,2019,29.0,76.0,229.0
jacob markstram,Jacob MarkstrÃ¶m,2019,29.0,78.0,207.0
braden holtby,Braden Holtby,2019,29.0,73.0,215.0
john gibson,John Gibson,2019,25.0,75.0,209.0
pekka rinne,Pekka Rinne,2019,36.0,77.0,217.0
jimmy howard,Jimmy Howard,2019,34.0,73.0,218.0
mikko koskinen,Mikko Koskinen,2019,30.0,79.0,202.0
darcy kuemper,Darcy Kuemper,2019,28.0,77.0,215.0
andrei vasilevskiy,Andrei Vasilevskiy,2019,24.0,76.0,223.0
henrik lundqvist,Henrik Lundqvist,2019,36.0,73.0,182.0
craig anderson,Craig Anderson,2019,37.0,74.0,187.0
carter hutton,Carter Hutton,2019,33.0,72.0,208.0
matt murray,Matt Murray,2019,24.0,77.0,220.0
semyon varlamov,Semyon Varlamov,2019,30.0,74.0,201.0
jake allen,Jake Allen,2019,28.0,74.0,197.0
ben bishop,Ben Bishop,2019,32.0,79.0,210.0
robin lehner,Robin Lehner,2019,27.0,76.0,240.0
jonathan quick,Jonathan Quick,2019,33.0,73.0,219.0
tuukka rask,Tuukka Rask,2019,31.0,75.0,176.0
david rittich,David Rittich,2019,26.0,75.0,200.0
thomas greiss,Thomas Greiss,2019,33.0,74.0,219.0
roberto luongo,Roberto Luongo,2019,39.0,75.0,215.0
mike smith,Mike Smith,2019,36.0,77.0,220.0
anton khudobin,Anton Khudobin,2019,32.0,71.0,195.0
keith kinkaid,Keith Kinkaid,2019,29.0,75.0,186.0
jaroslav halak,Jaroslav HalÃ¡k,2019,33.0,71.0,189.0
petr mrazek,Petr MrÃ¡zek,2019,26.0,74.0,192.0
corey crawford,Corey Crawford,2019,34.0,74.0,216.0
philipp grubauer,Philipp Grubauer,2019,27.0,73.0,188.0
linus ullmark,Linus Ullmark,2019,25.0,76.0,223.0
casey desmith,Casey DeSmith,2019,27.0,72.0,188.0
james reimer,James Reimer,2019,30.0,74.0,200.0
anders nilsson,Anders Nilsson,2019,28.0,78.0,232.0
jonathan bernier,Jonathan Bernier,2019,30.0,72.0,185.0
cam talbot,Cam Talbot,2019,31.0,75.0,202.0
alexandar georgiev,Alexandar Georgiev,2019,22.0,73.0,178.0
curtis mcelhinney,Curtis McElhinney,2019,35.0,74.0,203.0
cam ward,Cam Ward,2019,34.0,73.0,194.0
jordan binnington,Jordan Binnington,2019,25.0,74.0,172.0
jack campbell,Jack Campbell,2019,27.0,75.0,200.0
carter hart,Carter Hart,2019,20.0,74.0,196.0
juuse saros,Juuse Saros,2019,23.0,71.0,180.0
pheonix copley,Pheonix Copley,2019,27.0,76.0,205.0
joonas korpisalo,Joonas Korpisalo,2019,24.0,76.0,200.0
louis domingue,Louis Domingue,2019,26.0,75.0,208.0
brian elliott,Brian Elliott,2019,33.0,74.0,221.0
cory schneider,Cory Schneider,2019,32.0,74.0,210.0
aaron dell,Aaron Dell,2019,29.0,72.0,213.0
mackenzie blackwood,Mackenzie Blackwood,2019,22.0,76.0,225.0
laurent brossoit,Laurent Brossoit,2019,25.0,75.0,203.0
alex stalock,Alex Stalock,2019,31.0,71.0,170.0
malcolm subban,Malcolm Subban,2019,25.0,74.0,200.0
ryan miller,Ryan Miller,2019,38.0,74.0,168.0
garret sparks,Garret Sparks,2019,25.0,75.0,205.0
chad johnson,Chad Johnson,2019,32.0,75.0,197.0
anthony stolarz,Anthony Stolarz,2019,25.0,78.0,248.0
antti niemi,Antti Niemi,2019,35.0,74.0,209.0
calvin pickard,Calvin Pickard,2019,26.0,73.0,206.0
collin delia,Collin Delia,2019,24.0,74.0,208.0
adin hill,Adin Hill,2019,22.0,76.0,222.0
antti raanta,Antti Raanta,2019,29.0,72.0,195.0
sam montembeault,Sam Montembeault,2019,22.0,75.0,218.0
calvin petersen,Calvin Petersen,2019,24.0,74.0,185.0
mike mckenna,Mike McKenna,2019,35.0,74.0,183.0
thatcher demko,Thatcher Demko,2019,23.0,76.0,192.0
michael hutchinson,Michael Hutchinson,2019,28.0,75.0,198.0
scott darling,Scott Darling,2019,30.0,77.0,226.0
michal neuvirth,Michal Neuvirth,2019,30.0,73.0,209.0
kevin boyle,Kevin Boyle,2019,26.0,73.0,197.0
marcus hagberg,Marcus HÃ¶gberg,2019,24.0,77.0,232.0
peter budaj,Peter Budaj,2019,36.0,73.0,196.0
eddie pasquale,Eddie Pasquale,2019,28.0,74.0,215.0
landon bow,Landon Bow,2019,23.0,77.0,210.0
mike condon,Mike Condon,2019,28.0,74.0,195.0
pavel francouz,Pavel Francouz,2019,28.0,72.0,179.0
christopher gibson,Christopher Gibson,2019,26.0,74.0,217.0
tristan jarry,Tristan Jarry,2019,23.0,76.0,201.0
alex lyon,Alex Lyon,2019,26.0,73.0,199.0
richard bachman,Richard Bachman,2019,31.0,70.0,183.0
eric comrie,Eric Comrie,2019,23.0,73.0,190.0
joey daccord,Joey Daccord,2019,22.0,74.0,201.0
michael dipietro,Michael DiPietro,2019,19.0,73.0,205.0
kaden fulcher,Kaden Fulcher,2019,20.0,75.0,201.0
maxime lagace,Maxime Lagace,2019,26.0,74.0,190.0
charlie lindgren,Charlie Lindgren,2019,25.0,74.0,190.0
hunter miska,Hunter Miska,2019,23.0,73.0,175.0
alex nedeljkovic,Alex Nedeljkovic,2019,23.0,72.0,205.0
league average,League Average,2019,,,
connor hellebuyck,Connor Hellebuyck,2020,26.0,76.0,207.0
carey price,Carey Price,2020,32.0,75.0,217.0
frederik andersen,Frederik Andersen,2020,30.0,76.0,229.0
andrei vasilevskiy,Andrei Vasilevskiy,2020,25.0,76.0,223.0
john gibson,John Gibson,2020,26.0,75.0,209.0
jordan binnington,Jordan Binnington,2020,26.0,74.0,172.0
sergei bobrovsky,Sergei Bobrovsky,2020,31.0,74.0,180.0
marc andra fleury,Marc-AndrÃ© Fleury,2020,35.0,74.0,185.0
braden holtby,Braden Holtby,2020,30.0,73.0,215.0
david rittich,David Rittich,2020,27.0,75.0,200.0
mackenzie blackwood,Mackenzie Blackwood,2020,23.0,76.0,225.0
jonathan bernier,Jonathan Bernier,2020,31.0,72.0,185.0
semyon varlamov,Semyon Varlamov,2020,31.0,74.0,201.0
ben bishop,Ben Bishop,2020,33.0,79.0,210.0
carter hart,Carter Hart,2020,21.0,74.0,196.0
jacob markstram,Jacob MarkstrÃ¶m,2020,30.0,78.0,207.0
jonathan quick,Jonathan Quick,2020,34.0,73.0,219.0
martin jones,Martin Jones,2020,30.0,77.0,203.0
tuukka rask,Tuukka Rask,2020,32.0,75.0,176.0
corey crawford,Corey Crawford,2020,35.0,74.0,216.0
petr mrazek,Petr MrÃ¡zek,2020,27.0,74.0,192.0
juuse saros,Juuse Saros,2020,24.0,71.0,180.0
mike smith,Mike Smith,2020,37.0,77.0,220.0
mikko koskinen,Mikko Koskinen,2020,31.0,79.0,202.0
matt murray,Matt Murray,2020,25.0,77.0,220.0
alex stalock,Alex Stalock,2020,32.0,71.0,170.0
joonas korpisalo,Joonas Korpisalo,2020,25.0,76.0,200.0
philipp grubauer,Philipp Grubauer,2020,28.0,73.0,188.0
pekka rinne,Pekka Rinne,2020,37.0,77.0,217.0
robin lehner,Robin Lehner,2020,28.0,76.0,240.0
craig anderson,Craig Anderson,2020,38.0,74.0,187.0
pavel francouz,Pavel Francouz,2020,29.0,72.0,179.0
alexandar georgiev,Alexandar Georgiev,2020,23.0,73.0,178.0
linus ullmark,Linus Ullmark,2020,26.0,76.0,223.0
aaron dell,Aaron Dell,2020,30.0,72.0,213.0
tristan jarry,Tristan Jarry,2020,24.0,76.0,201.0
elvis merza ikins,Elvis MerzÄ¼ikins,2020,25.0,75.0,190.0
antti raanta,Antti Raanta,2020,30.0,72.0,195.0
brian elliott,Brian Elliott,2020,34.0,74.0,221.0
thomas greiss,Thomas Greiss,2020,34.0,74.0,219.0
jaroslav halak,Jaroslav HalÃ¡k,2020,34.0,71.0,189.0
carter hutton,Carter Hutton,2020,34.0,72.0,208.0
devan dubnyk,Devan Dubnyk,2020,33.0,78.0,224.0
anton khudobin,Anton Khudobin,2020,33.0,71.0,195.0
henrik lundqvist,Henrik Lundqvist,2020,37.0,73.0,182.0
darcy kuemper,Darcy Kuemper,2020,29.0,77.0,215.0
thatcher demko,Thatcher Demko,2020,24.0,76.0,192.0
jimmy howard,Jimmy Howard,2020,35.0,73.0,218.0
ilya samsonov,Ilya Samsonov,2020,22.0,75.0,208.0
cam talbot,Cam Talbot,2020,32.0,75.0,202.0
jack campbell,Jack Campbell,2020,28.0,75.0,200.0
james reimer,James Reimer,2020,31.0,74.0,200.0
jake allen,Jake Allen,2020,29.0,74.0,197.0
marcus hagberg,Marcus HÃ¶gberg,2020,25.0,77.0,232.0
ryan miller,Ryan Miller,2020,39.0,74.0,168.0
malcolm subban,Malcolm Subban,2020,26.0,74.0,200.0
anders nilsson,Anders Nilsson,2020,29.0,78.0,232.0
laurent brossoit,Laurent Brossoit,2020,26.0,75.0,203.0
curtis mcelhinney,Curtis McElhinney,2020,36.0,74.0,203.0
louis domingue,Louis Domingue,2020,27.0,75.0,208.0
michael hutchinson,Michael Hutchinson,2020,29.0,75.0,198.0
sam montembeault,Sam Montembeault,2020,23.0,75.0,218.0
