shooter_player_id,name,x_coord_norm,y_coord_norm,shot_type,season,game_id
8476885,Jacob Trouba,52,-21,slap,20252026,2025020460
8482745,Mason McTavish,81,-11,wrist,20252026,2025020460
8484762,Beckett Sennecke,66,-29,snap,20252026,2025020460
8473986,Alex Killorn,78,1,wrist,20252026,2025020460
8484153,Leo Carlsson,56,19,snap,20252026,2025020460
8484153,Leo Carlsson,82,0,snap,20252026,2025020460
8478366,Frank Vatrano,74,-11,snap,20252026,2025020460
8481605,Jackson LaCombe,88,16,wrist,20252026,2025020470
8478873,Troy Terry,79,-12,wrist,20252026,2025020470
8484762,Beckett Sennecke,82,12,,20252026,2025020470
8484153,Leo Carlsson,82,-7,backhand,20252026,2025020470
8484153,Leo Carlsson,65,23,snap,20252026,2025020482
8478873,Troy Terry,80,-1,wrist,20252026,2025020482
8478873,Troy Terry,66,-4,snap,20252026,2025020495
8481605,Jackson LaCombe,84,-1,wrist,20252026,2025020515
8483445,Cutter Gauthier,49,8,snap,20252026,2025020515
8483445,Cutter Gauthier,70,6,wrist,20252026,2025020515
8483490,Pavel Mintyukov,68,10,snap,20252026,2025020515
8475798,Mikael Granlund,68,11,wrist,20252026,2025020525
8481605,Jackson LaCombe,93,20,wrist,20252026,2025020525
8474590,John Carlson,61,-37,slap,20252026,2025020539
8480068,Ryan Poehling,84,2,snap,20252026,2025020548
8484762,Beckett Sennecke,51,18,snap,20252026,2025020548
8475798,Mikael Granlund,81,1,snap,20252026,2025020548
8475798,Mikael Granlund,65,5,snap,20252026,2025020560
8476885,Jacob Trouba,37,13,slap,20252026,2025020560
8482745,Mason McTavish,65,-8,snap,20252026,2025020560
8483490,Pavel Mintyukov,75,9,wrist,20252026,2025020560
8475798,Mikael Granlund,76,-6,tip-in,20252026,2025020573
8474590,John Carlson,59,-18,snap,20252026,2025020576
8482745,Mason McTavish,83,-4,wrist,20252026,2025020597
8478873,Troy Terry,86,0,backhand,20252026,2025020615
8483445,Cutter Gauthier,83,-5,tip-in,20252026,2025020615
8483490,Pavel Mintyukov,64,3,snap,20252026,2025020615
8478873,Troy Terry,82,12,wrist,20252026,2025020615
8478424,Jansen Harkins,87,8,wrist,20252026,2025020624
8484762,Beckett Sennecke,78,17,snap,20252026,2025020624
8482745,Mason McTavish,59,-2,snap,20252026,2025020624
8484762,Beckett Sennecke,55,10,snap,20252026,2025020643
8478873,Troy Terry,85,-6,snap,20252026,2025020643
8475184,Chris Kreider,70,-23,slap,20252026,2025020663
8473986,Alex Killorn,73,-9,snap,20252026,2025020663
8476885,Jacob Trouba,29,-28,slap,20252026,2025020663
8484762,Beckett Sennecke,65,0,snap,20252026,2025020663
8474590,John Carlson,-83,-24,wrist,20252026,2025020663
8483445,Cutter Gauthier,50,-18,slap,20252026,2025020670
8473986,Alex Killorn,62,10,snap,20252026,2025020670
8480068,Ryan Poehling,79,-8,snap,20252026,2025020688
8475798,Mikael Granlund,86,3,tip-in,20252026,2025020688
8482803,Olen Zellweger,79,5,backhand,20252026,2025020701
8484153,Leo Carlsson,57,28,wrist,20252026,2025020701
8482745,Mason McTavish,83,9,wrist,20252026,2025020701
8475184,Chris Kreider,54,-9,snap,20252026,2025020734
8484762,Beckett Sennecke,84,-4,backhand,20252026,2025020734
8476885,Jacob Trouba,-72,-15,wrist,20252026,2025020734
8485512,Tim Washe,86,11,wrist,20252026,2025020753
8484762,Beckett Sennecke,76,6,backhand,20252026,2025020753
8482745,Mason McTavish,80,-6,backhand,20252026,2025020753
8482745,Mason McTavish,70,13,snap,20252026,2025020766
8475798,Mikael Granlund,71,-10,snap,20252026,2025020766
8482745,Mason McTavish,73,-15,snap,20252026,2025020779
8479705,Jeffrey Viel,82,0,snap,20252026,2025020779
8473986,Alex Killorn,85,2,backhand,20252026,2025020779
8483445,Cutter Gauthier,55,-4,snap,20252026,2025020779
8483445,Cutter Gauthier,37,-28,snap,20252026,2025020779
8479705,Jeffrey Viel,59,13,wrist,20252026,2025020789
8475798,Mikael Granlund,79,10,wrist,20252026,2025020789
8483445,Cutter Gauthier,65,-3,wrist,20252026,2025020789
8483445,Cutter Gauthier,77,-11,snap,20252026,2025020809
8480068,Ryan Poehling,78,5,wrist,20252026,2025020809
8475184,Chris Kreider,80,7,wrist,20252026,2025020809
8483490,Pavel Mintyukov,-75,6,wrist,20252026,2025020809
8484762,Beckett Sennecke,74,-10,snap,20252026,2025020824
8484762,Beckett Sennecke,83,9,wrist,20252026,2025020824
8475184,Chris Kreider,67,-14,snap,20252026,2025020824
8484762,Beckett Sennecke,57,-10,wrist,20252026,2025020824
8475798,Mikael Granlund,77,16,snap,20252026,2025020829
8473986,Alex Killorn,82,1,wrist,20252026,2025020829
8475798,Mikael Granlund,64,-22,snap,20252026,2025020829
8475798,Mikael Granlund,78,-18,snap,20252026,2025020829
8475184,Chris Kreider,84,0,deflected,20252026,2025020875
8475184,Chris Kreider,74,7,tip-in,20252026,2025020875
8483445,Cutter Gauthier,63,-23,snap,20252026,2025020875
8480068,Ryan Poehling,9,-33,wrist,20252026,2025020875
8474590,John Carlson,-92,-7,snap,20252026,2025020878
8483445,Cutter Gauthier,57,-22,snap,20252026,2025020892
8476885,Jacob Trouba,31,-31,slap,20252026,2025020892
8473986,Alex Killorn,79,-25,snap,20252026,2025020892
8477527,Ross Johnston,83,0,snap,20252026,2025020892
8482178,Ian Moore,62,-26,slap,20252026,2025020917
8473986,Alex Killorn,82,3,wrist,20252026,2025020917
8484153,Leo Carlsson,80,-2,wrist,20252026,2025020917
8482803,Olen Zellweger,38,29,snap,20252026,2025020917
8484762,Beckett Sennecke,64,-11,snap,20252026,2025020917
8483445,Cutter Gauthier,87,-7,wrist,20252026,2025020917
8476885,Jacob Trouba,35,-35,slap,20252026,2025020933
