metric,N,r,R2_DZ,p
V1a,126,0.3757606495090972,0.1411960657194986,1.4519557946929228e-05
V1b,126,0.5054302021832237,0.25545968927897433,1.5784529450233516e-09
V2,126,0.34878110961420744,0.12164826242371779,6.268385816171265e-05
