metric,season,iter,max_delta,beta_IOC,beta_IOL
V5,20222023,1,2.737603287045849,-0.6469820906924354,1.0770750295426896
V5,20222023,2,1.381180187109341,-2.7001597100997463,1.430650968608579
V5,20222023,3,0.7027136982124889,4.3241124799250805,-1.0527732488019632
V5,20222023,4,0.534993993891616,-3.8538816432357224,0.6939369357516991
V5,20222023,5,0.6576066534639811,5.250523819687308,-0.9069774666699365
V5,20222023,6,0.6269824123108925,-5.322905685700571,0.7606114894995406
V5,20222023,7,0.6980037500366979,6.0321458299101876,-0.8468990860045224
V5,20222023,8,0.6874694835298157,-6.360114450661345,0.7445115639979378
V5,20222023,9,0.7261968550016825,6.462118667169327,-0.8639770066959113
V5,20222023,10,0.6370922206071477,-6.325373039331295,0.7549082216774922
V5,20222023,11,0.6274933494497097,5.908082420098243,-0.8490364994498543
V5,20222023,12,0.5503897318337582,-5.554170067707604,0.7485263663498821
V5,20222023,13,0.5193889622948239,5.131906964495395,-0.8257587399620283
V5,20222023,14,0.4547059299606089,-4.66935889074435,0.7378740842123626
V5,20222023,15,0.4196685420295083,4.252618007036015,-0.7812061895354125
V5,20222023,16,0.37923478296626745,-3.8779148160493144,0.7064787101339428
V5,20222023,17,0.3499285394833773,3.552359408176271,-0.7376427884328435
V5,20222023,18,0.3155445658934919,-3.230152675918645,0.6713622762957778
V5,20222023,19,0.3139032339258465,2.9447567099467125,-0.6877782967072184
V5,20222023,20,0.27012224540959195,-2.6847838257798644,0.6288773943570016
V5,20222023,21,0.2814184478476838,2.439299029592576,-0.6359608286747644
V5,20222023,22,0.24536024785659283,-2.230936741789621,0.5833645122964954
V5,20222023,23,0.2515832219174454,2.0166322483375474,-0.5835985842684155
V5,20222023,24,0.22405085765514454,-1.84967704223262,0.5365341336039936
V5,20222023,25,0.22396967406251544,1.6601005239925473,-0.5318429468859079
V5,20222023,26,0.20579258016666846,-1.5254784438603348,0.48966914858085125
V5,20222023,27,0.19828673568360777,1.355363980691375,-0.48146425822366373
V5,20222023,28,0.18742176628305662,-1.2455095166241386,0.44360680028806204
V5,20222023,29,0.17816343676020097,1.0904308144913633,-0.4329147173818123
V5,20222023,30,0.16927447073979307,-0.9991716832596657,0.3988366818739215
V5,20222023,31,0.15990298615878062,0.8552947707267914,-0.386392163660468
V5,20222023,32,0.15154807106007318,-0.7775570016953058,0.35557984455579983
V5,20222023,33,0.14222256568962055,0.6414486857452733,-0.3418929373261174
V5,20222023,34,0.13432639379292532,-0.5729185253453069,0.31384657091955265
V5,20222023,35,0.12510798308878046,0.4413922275291715,-0.2992510920636024
V5,20222023,36,0.11760100956518937,-0.3781809440006549,0.27347532437151406
V5,20222023,37,0.10846893156085269,0.24817304159743603,-0.25816419258904894
V5,20222023,38,0.1012871207609849,-0.18648774908642496,0.2341558576643525
V5,20222023,39,0.09214746803738527,0.05496724863146451,-0.21820734872512118
V5,20222023,40,0.08523433129195723,0.009228256907809849,0.19543949719002063
V5,20222023,41,0.0759209268331098,-0.1453020347311798,-0.17883807903576615
V5,20222023,42,0.06923403557959018,0.2166578885557336,0.15674021754939244
V5,20222023,43,0.06411846104954555,-0.36029722253691504,-0.13939592491089026
V5,20222023,44,0.06617078161696827,0.44449211019035895,0.1173323382832467
V5,20222023,45,0.06985763724436433,-0.5985034896996225,-0.09910343170481188
V5,20222023,46,0.07408582517794343,0.7026772065820014,0.07635632610081931
V5,20222023,47,0.07731496062769716,-0.8692517847478204,-0.057080441341849274
V5,20222023,48,0.09388312629852091,1.0023194417930874,0.03285627664002546
V5,20222023,49,0.10369792988292648,-1.1822730208717942,-0.012393185242089653
V5,20222023,50,0.1270325703135965,1.3547167216226859,-0.014105661104485363
V5,20232024,1,2.117288783234075,-0.6388233221604434,1.0585817453533217
V5,20232024,2,0.6109070077288717,0.6158390820200786,1.0215727892460529
V5,20232024,3,0.6033073467131045,-1.2536641421754997,-1.0884428481355748
V5,20232024,4,0.5940922651534918,0.9119745551592726,0.9571921066667289
V5,20232024,5,0.5887887398255276,-1.4274039439085064,-1.0602990682771014
V5,20232024,6,0.5668469347729858,1.074094886961679,0.9378905582556845
V5,20232024,7,0.576371728503891,-1.600171771147268,-1.032082651464752
V5,20232024,8,0.536944683355286,1.2423904414262197,0.9166301184224722
V5,20232024,9,0.5712592421003977,-1.8067198451573985,-1.0013090030860727
V5,20232024,10,0.5302574335991841,1.445536921750958,0.8919293761611573
V5,20232024,11,0.5645161783545787,-2.065308378586002,-0.9672402075669244
V5,20232024,12,0.5312206106883599,1.7033027398738305,0.8629584319707221
V5,20232024,13,0.556147261184303,-2.3908235909074462,-0.929787343908121
V5,20232024,14,0.5315420754534459,2.035020612248383,0.829194809913143
V5,20232024,15,0.5448752726992137,-2.7933167686088307,-0.8882003203042308
V5,20232024,16,0.5304919147214959,2.4603028816993815,0.7896737864132002
V5,20232024,17,0.5280033725389441,-3.2722495980633393,-0.840709353391441
V5,20232024,18,0.5256870911871836,2.99309263632201,0.7427031973301408
V5,20232024,19,0.5015812928359871,-3.8058052904574584,-0.7839999973605849
V5,20232024,20,0.5125786080153085,3.6253411445497754,0.6854239967757628
V5,20232024,21,0.4626770185915554,-4.344703876720908,-0.7144108179916472
V5,20232024,22,0.48637948884508764,4.303213179670983,0.6145224257454973
V5,20232024,23,0.4777427816282205,-4.8247765397338895,-0.6312583270879634
V5,20232024,24,0.47973207918291294,4.931826727070378,0.5298985799909909
V5,20232024,25,0.48595466284008104,-5.201326381264863,-0.5395076718282018
V5,20232024,26,0.4946361946739213,5.439946137242166,0.4386648450387679
V5,20232024,27,0.5145378502441167,-5.474888587328648,-0.4479116935593907
V5,20232024,28,0.4909717895049086,5.821467439808333,0.35119219438062527
V5,20232024,29,0.5418745435782556,-5.675209159136731,-0.3646347151116606
V5,20232024,30,0.4818287680107755,6.096988789312379,0.27467712857916843
V5,20232024,31,0.5523215088892914,-5.824888996534539,-0.29359707142847175
V5,20232024,32,0.4858086262617408,6.276610769178738,0.21157216104314464
V5,20232024,33,0.5469660741671696,-5.932193432911765,-0.23522348208274274
V5,20232024,34,0.4772232990362444,6.364007092063042,0.16127367791994845
V5,20232024,35,0.5290174786340271,-5.996019240910071,-0.1875378100661126
V5,20232024,36,0.4606001318160674,6.371667611120546,0.12118725365277169
V5,20232024,37,0.5037313091343874,-6.022504030872865,-0.14879636208502883
V5,20232024,38,0.4404064672974977,6.326601245125454,0.0889647498424288
V5,20232024,39,0.47662464265998156,-6.018927739187306,-0.11622975257542949
V5,20232024,40,0.4213915544254071,6.261856571450284,0.06175974795836253
V5,20232024,41,0.4522417580414744,-6.0117731994019294,-0.08926860890517713
V5,20232024,42,0.4053735639931425,6.2110759675025795,0.03870747455701205
V5,20232024,43,0.4330861306133976,-6.01404733220198,-0.06521162031415002
V5,20232024,44,0.39496299943532237,6.196837181181617,0.017428344959007195
V5,20232024,45,0.4204668408758698,-6.058696779975343,-0.04482129470934717
V5,20232024,46,0.3892101078843929,6.240873249927465,-0.0016890392326387507
V5,20232024,47,0.41457630084018715,-6.14709010606949,-0.02494650845962039
V5,20232024,48,0.3902110764884695,6.3510568327716985,-0.021389145197121186
V5,20232024,49,0.4154947701016119,-6.310223666941439,-0.007197052721401427
V5,20232024,50,0.39577267736743793,6.544488084560312,-0.04064646945949815
V5,20242025,1,2.295808032734125,-1.5581870645622988,1.1356980326587771
V5,20242025,2,1.1301683269837257,-0.7060026711489569,1.707875621335517
V5,20242025,3,0.32394329752433637,1.0957621652458596,-0.5835595093748926
V5,20242025,4,0.27948929588433313,-0.9434040688620691,0.4313751966249693
V5,20242025,5,0.3198962526826141,1.3076984195860888,-0.5462446222263014
