metric,R2_raw,R2_DZ_only,R2_ZA_optimal,ZA_best_multiplier,winner_methodology,N
V1a,0.18807452509721298,0.1411960657194986,0.1815266663636531,0.25,ZA,126
V1b,0.518157600012829,0.25545968927897433,0.5230818062357937,0.75,ZA,126
V2,0.21119390733862595,0.12164826242371779,0.2053490088922425,0.25,ZA,126
