metric,multiplier,factor_effective_pct_pts,R2,r,N
Corsi_CF_pct,0.25,0.973008417653215,0.4196645162804259,0.6478151868244723,126
Corsi_CF_pct,0.5,1.94601683530643,0.4204608245800156,0.6484295062533904,126
Corsi_CF_pct,0.75,2.9190252529596448,0.42111813898308037,0.6489361594048219,126
Corsi_CF_pct,1.0,3.89203367061286,0.4216233706032766,0.6493253195458164,126
Corsi_CF_pct,1.25,4.865042088266075,0.4219626853649125,0.6495865495566487,126
Corsi_CF_pct,1.5,5.8380505059192895,0.42212151094504485,0.6497087893395355,126
Corsi_CF_pct,1.75,6.811058923572505,0.4220845541876355,0.6496803477000328,126
Corsi_CF_pct,2.0,7.78406734122572,0.4218358308082426,0.6494888996805431,126
Corsi_CF_pct,2.25,8.757075758878935,0.4213587093321091,0.6491214904254127,126
Corsi_CF_pct,2.5,9.73008417653215,0.42063597130283764,0.6485645467513913,126
Corsi_CF_pct,2.75,10.703092594185366,0.41964988985018115,0.647803897680603,126
Corsi_CF_pct,3.0,11.676101011838579,0.4183823286987628,0.6468248052593243,126
Corsi_CF_pct,traditional_3.5,3.5,0.4214389710393982,0.6491833108139782,126
Fenwick_CF_pct,0.25,2.977537756265072,0.4103281718297793,0.6405686316311308,126
Fenwick_CF_pct,0.5,5.955075512530144,0.41401684718251763,0.643441409284884,126
Fenwick_CF_pct,0.75,8.932613268795217,0.41763605826005057,0.6462476756322227,126
Fenwick_CF_pct,1.0,11.910151025060289,0.42115369399675806,0.6489635536736698,126
Fenwick_CF_pct,1.25,14.887688781325362,0.4245320326948155,0.6515612271266726,126
Fenwick_CF_pct,1.5,17.865226537590434,0.4277270133343097,0.6540084199261579,126
Fenwick_CF_pct,1.75,20.842764293855506,0.430687475100887,0.6562678379296726,126
Fenwick_CF_pct,2.0,23.820302050120578,0.43335439032890555,0.6582965823463658,126
Fenwick_CF_pct,2.25,26.79783980638565,0.4356601286634951,0.6600455504459485,126
Fenwick_CF_pct,2.5,29.775377562650725,0.4375278062853564,0.6614588470081539,126
Fenwick_CF_pct,2.75,32.7529153189158,0.43887079370178883,0.6624732399892005,126
Fenwick_CF_pct,3.0,35.73045307518087,0.4395924786219279,0.6630177061149483,126
Fenwick_CF_pct,traditional_3.5,3.5,0.41097918601568895,0.6410765835808456,126
CNFI_MNFI_team,0.25,2.6774642601877856,0.5963456869009428,0.7722342176444545,126
CNFI_MNFI_team,0.5,5.354928520375571,0.5971182720287678,0.7727342829386876,126
CNFI_MNFI_team,0.75,8.032392780563356,0.5978089270141722,0.7731810441378993,126
CNFI_MNFI_team,1.0,10.709857040751142,0.598413828489687,0.7735721223581464,126
CNFI_MNFI_team,1.25,13.387321300938925,0.5989290757896774,0.7739050818993743,126
CNFI_MNFI_team,1.5,16.064785561126712,0.5993506956449245,0.774177431629807,126
CNFI_MNFI_team,1.75,18.7422498213145,0.5996746475415978,0.7743866266546691,126
CNFI_MNFI_team,2.0,21.419714081502285,0.5998968297787041,0.7745300702869476,126
CNFI_MNFI_team,2.25,24.097178341690068,0.6000130862566615,0.7746051163377773,126
CNFI_MNFI_team,2.5,26.77464260187785,0.6000192140277182,0.7746090717437527,126
CNFI_MNFI_team,2.75,29.45210686206564,0.5999109716364495,0.7745391995479954,126
CNFI_MNFI_team,3.0,32.129571122253424,0.5996840882755259,0.7743927222511365,126
V5,0.25,2.6774642601877856,0.5963456869009428,0.7722342176444545,126
V5,0.5,5.354928520375571,0.5971182720287678,0.7727342829386876,126
V5,0.75,8.032392780563356,0.5978089270141722,0.7731810441378993,126
V5,1.0,10.709857040751142,0.598413828489687,0.7735721223581464,126
V5,1.25,13.387321300938925,0.5989290757896774,0.7739050818993743,126
V5,1.5,16.064785561126712,0.5993506956449245,0.774177431629807,126
V5,1.75,18.7422498213145,0.5996746475415978,0.7743866266546691,126
V5,2.0,21.419714081502285,0.5998968297787041,0.7745300702869476,126
V5,2.25,24.097178341690068,0.6000130862566615,0.7746051163377773,126
V5,2.5,26.77464260187785,0.6000192140277182,0.7746090717437527,126
V5,2.75,29.45210686206564,0.5999109716364495,0.7745391995479954,126
V5,3.0,32.129571122253424,0.5996840882755259,0.7743927222511365,126
