metric,N,r,R2_DZ,p
V5,126,0.6859194626367167,0.47048550922384214,7.847106401398671e-19
Corsi_CF_pct,126,0.4898853644399533,0.23998767029246584,5.8187135152912976e-09
Fenwick_CF_pct,126,0.5529236253103312,0.30572453542631955,1.9017496272094366e-11
CNFI_MNFI_team,126,0.6859194626367167,0.47048550922384214,7.847106401398671e-19
V1,126,0.479050414884379,0.22948930000089565,1.3910806189010054e-08
