metric,oz_mean,dz_mean,Factor_base
V1a,0.2016819424105694,0.10292316769046946,0.09875877472009993
V1b,0.21926948989174416,0.11283645432054695,0.10643303557119721
V2,0.12039714456329709,0.06134884159068711,0.059048302972609976
