player_id,name,pos,n_seasons,toi_total,raw_mean,ZA_mean,CONV_mean,team_recent,rank_raw,rank_ZA,rank_CONV,delta_ZA_to_CONV,delta_raw_to_CONV
8478431,Evgeny Svechnikov,F,1,634.1166666666667,0.45614035087719296,0.46187606516290725,-0.986523701410102,SJS,450,444,511,-67,-61
8480829,Jesperi Kotkaniemi,F,4,3639.3166666666666,0.5262501266145763,0.5183352244416484,-0.9873153628364919,CAR,119,156,512,-356,-393
8481032,Paul Cotter,F,4,3193.5333333333333,0.4786420713023059,0.4796304907852793,-1.0341321385231297,NJD,357,357,513,-156,-156
8471699,Andrew Cogliano,F,2,1793.6666666666665,0.4454221870674313,0.45808228040113014,-1.0349049676238833,COL,486,458,514,-56,-28
8484210,Gabe Perreault,F,1,553.9166666666666,0.46311475409836067,0.4629620925014025,-1.044934476376985,NYR,428,441,515,-74,-87
8477953,Kasperi Kapanen,F,4,3135.25,0.4406446473818999,0.44420882384476934,-1.0742717719954094,EDM,496,499,516,-17,-20
8478366,Frank Vatrano,F,4,4603.566666666667,0.4149818865715338,0.41653054566247705,-1.0746540996072331,ANA,530,529,517,12,13
8483489,Fraser Minten,F,2,990.3666666666667,0.4418492887351019,0.4417236629528741,-1.08306262518574,BOS,493,504,518,-14,-25
8476994,Vinnie Hinostroza,F,3,1239.4166666666667,0.4436153987848816,0.4469238354857914,-1.0965443564296433,FLA,490,496,519,-23,-29
8480789,Oliver Wahlstrom,F,3,1220.2,0.45231924997953005,0.4441369136112478,-1.0974733086240143,NYI,468,500,520,-20,-52
8483690,Noah Laba,F,1,625.4833333333333,0.4567307692307692,0.4645337727643381,-1.1094941103020153,NYR,449,433,521,-88,-72
8479346,Dillon Dube,F,2,1726.1333333333332,0.47873888103749274,0.4728935344851526,-1.1117995457325063,CGY,356,393,522,-129,-166
8479393,Noah Gregor,F,4,2259.0833333333335,0.4179707074728879,0.42424730842000946,-1.1325244619309065,FLA,524,520,523,-3,1
8480074,Alexandre Texier,F,3,1986.3166666666666,0.44972590546363794,0.4517685103370253,-1.1331799753269372,MTL,475,482,524,-42,-49
8477952,Robby Fabbri,F,3,2037.7333333333333,0.39921538574440035,0.4063877996642182,-1.1869946728530227,ANA,544,542,525,17,19
8476919,Chris Tierney,F,2,862.5833333333334,0.4241379310344827,0.42696568338637697,-1.2099466632830416,NJD,517,516,526,-10,-9
8478104,Sammy Blais,F,2,1355.1833333333334,0.4022335423197492,0.4004822311625239,-1.2194157686526228,STL,541,546,527,19,14
8482768,Fedor Svechkov,F,2,1194.8000000000002,0.45991127906021523,0.45097092684617746,-1.2287131224064647,NSH,441,486,528,-42,-87
8478458,Jack Roslovic,F,4,3834.4,0.45945640955367956,0.45295059197075266,-1.2588774786252095,EDM,443,475,529,-54,-86
8473544,Derick Brassard,F,1,755.1833333333333,0.46105919003115264,0.46753499648276553,-1.2589532308150504,OTT,434,421,530,-109,-96
8477962,Brendan Lemieux,F,2,715.1500000000001,0.4810371517027864,0.47482217414260686,-1.2774036167515932,CAR,343,389,531,-142,-188
8474709,Matt Martin,F,3,1666.65,0.40662355578803555,0.41396542823602317,-1.2885911569990247,NYI,538,533,532,1,6
8483431,Logan Cooley,F,3,3123.4333333333334,0.46739049467610766,0.46416124677479087,-1.3456660514590038,UTA,412,435,533,-98,-121
8481704,Juuso Parssinen,F,3,1760.1,0.46138433515482696,0.4618504909658104,-1.3477348053688765,COL,432,445,534,-89,-102
8473473,Milan Lucic,F,1,870.6333333333333,0.46954314720812185,0.4631326430064412,-1.4098005135955936,CGY,403,440,535,-95,-132
