player_id,name,team,pos,season,toi_min,oz_ratio,raw,ZA,TRAD,CONV
8474578,Erik Karlsson,SJS,D,20222023,2100.4333333333334,0.6405172413793103,0.530940594059406,0.48073378371457837,0.03250883277817401,-0.6412553973181594
8474600,Roman Josi,NSH,D,20222023,1686.2,0.5927272727272728,0.5112130479102956,0.4780815933648411,0.02801665970441858,-0.05481528673319375
8475168,Matt Duchene,NSH,F,20222023,1300.5333333333333,0.5967741935483871,0.4915693904020752,0.4569919710472365,0.0008386745999327538,-0.7954338698949422
8475798,Mikael Granlund,NSH,F,20222023,1408.2,0.5143824027072758,0.4788823911630929,0.47374355867578327,-0.02019114140256295,-1.2009239913492946
8476449,Scott Harrington,SJS,D,20222023,739.7166666666667,0.4147465437788018,0.44145873320537427,0.47191979311320836,-0.011653926521012936,-0.4816678158963041
8476881,Tomas Hertl,SJS,F,20222023,1523.2166666666667,0.564935064935065,0.5026455026455027,0.47944420394420395,-0.00011575104080829846,-0.5932052847553015
8476887,Filip Forsberg,NSH,F,20222023,873.6,0.5925925925925926,0.5083415112855741,0.47525817795224085,0.01764036295999577,0.05274245678844684
8478414,Timo Meier,SJS,F,20222023,1512.2833333333333,0.5890227576974565,0.5381088825214899,0.5063010511961887,0.024594879565897565,0.6032440373578727
8478851,Alexandre Carrier,NSH,D,20222023,769.2,0.4305177111716621,0.486870897155361,0.5116969189537262,0.0006590526325201407,0.14472008983657922
8479316,Luke Kunin,SJS,F,20222023,478.3833333333333,0.4497816593886463,0.4673469387755102,0.48528995187594687,-0.012000589131897388,-1.035142515018646
8471709,Marc-Edouard Vlasic,SJS,D,20222023,1363.2666666666667,0.3577981651376147,0.4664981036662453,0.5173068192625756,-0.0036687313742706507,0.4638702947472118
8474053,Logan Couture,SJS,F,20222023,1568.7833333333333,0.44804318488529016,0.47989093387866394,0.49845510391914977,-0.007208925632634977,-0.2009598886541854
8474151,Ryan McDonagh,NSH,D,20222023,1529.1,0.43878954607977994,0.4469739033870072,0.4688443985727018,-0.025267515194511536,-1.1825454493740997
8475218,Mattias Ekholm,NSH,D,20222023,1675.05,0.49206349206349204,0.5264864864864864,0.5293222007722007,0.03631069985474694,1.0041441291389621
8475793,Ryan Johansen,NSH,F,20222023,865.7833333333333,0.539906103286385,0.5102669404517454,0.49600848974752,0.017217804501053702,0.737122229764267
8475799,Nino Niederreiter,NSH,F,20222023,1270.3666666666666,0.5684931506849316,0.5274576271186441,0.502985024378918,0.030250366945065388,0.5446548739527287
8478067,Oskar Lindblom,SJS,F,20222023,773.0833333333334,0.43131868131868134,0.44541484716157204,0.4699546823264072,-0.028103148918489695,-1.5456754844803748
8478099,Kevin Labanc,SJS,F,20222023,1032.0833333333333,0.511744966442953,0.5176194205168363,0.5134229440067692,0.027594173436182978,1.1137212507499386
8479983,Mario Ferraro,SJS,D,20222023,1556.9666666666667,0.45261845386533667,0.45439283715724677,0.47132226359116197,-0.022995625413268883,-1.6513279116417603
8480748,Kiefer Sherwood,NSH,F,20222023,434.93333333333334,0.5614973262032086,0.4600760456273764,0.43810305097497,-0.005610577421615304,0.5794480951531623
8474009,Nick Bonino,SJS,F,20222023,987.9,0.4121338912133891,0.49222797927461137,0.5236225399440675,0.018566707497293333,0.978592774385877
8476442,Matt Nieto,SJS,F,20222023,1095.5,0.4109347442680776,0.4910130718954248,0.5228360877684407,0.00485881009887984,0.33741312754036773
8476925,Colton Sissons,NSH,F,20222023,1297.85,0.3411978221415608,0.4346895074946467,0.49142952564346704,-0.033266560187884986,-0.8724834378231983
8476988,Matt Benning,SJS,D,20222023,1522.95,0.2936046511627907,0.43235117257967526,0.5060962307192102,-0.03923885953405748,-0.03697897450522486
8478508,Yakov Trenin,NSH,F,20222023,1166.3,0.3755186721991701,0.4611239414934565,0.505601119916693,-0.00207048168782642,0.3406850364225188
8479371,Dante Fabbro,NSH,D,20222023,1378.35,0.45896147403685095,0.4826555023923445,0.49731856771897764,0.013881956820447627,0.5749036489260687
8479393,Noah Gregor,SJS,F,20222023,739.5166666666667,0.41284403669724773,0.44706994328922495,0.4782107689772983,-0.025074015035707442,-1.0920826429399384
8479661,Tanner Jeannot,NSH,F,20222023,1084.0333333333333,0.4594594594594595,0.4837133550488599,0.49819849018399504,0.005932853499587887,-0.2803010245650423
8480160,Radim Simek,SJS,D,20222023,643.45,0.33707865168539325,0.47270471464019853,0.5309165123930075,-0.00012349795055466295,1.5739549141552645
8478904,Steven Lorentz,SJS,F,20222023,946.6666666666666,0.4348958333333333,0.4702222222222222,0.4934839409722222,-0.0005404618717450016,-0.16748108135650963
8479996,Cody Glass,NSH,F,20222023,1063.2333333333333,0.5158562367864693,0.48823529411764705,0.48256986071384156,0.009018013322781682,0.7328011979204395
8480009,Eeli Tolvanen,SEA,F,20222023,885.5,0.5088161209068011,0.5368314833501514,0.5336814833501514,4.251784373998646e-05,0.2714347497268756
8482062,Cole Smith,NSH,F,20222023,879.2333333333333,0.3397790055248619,0.46511627906976744,0.5223632403957342,0.0012006548497319747,0.6611263576466022
8479981,Jonah Gadjovich,SJS,F,20222023,314.7,0.4295774647887324,0.48448687350835323,0.5096488453393392,0.014251563341186824,0.881192775739368
8481477,Nico Sturm,SJS,F,20222023,1090.0333333333333,0.36925795053003535,0.47607461476074614,0.5227887490363645,0.007496049568081864,0.8574379461913527
8478468,Jeremy Lauzon,NSH,D,20222023,1128.4,0.38125,0.4518796992481203,0.4943090742481203,-0.015917868908810973,0.017613829189606488
8478431,Evgeny Svechnikov,SJS,F,20222023,634.1166666666667,0.42857142857142855,0.4686746987951807,0.4941961273666093,-0.005571228435313991,-0.38586220168895846
8477034,Jaycob Megna,SJS,D,20222023,1019.4166666666666,0.5798319327731093,0.5489878542510122,0.5204639046711802,0.04455401943903159,1.0842547626039032
8474564,Steven Stamkos,TBL,F,20222023,1541.0166666666667,0.5263835263835264,0.4882742032471437,0.47884736927030974,-0.026637831777598875,-0.8134210797247142
8475167,Victor Hedman,TBL,D,20222023,1802.9166666666667,0.5938271604938271,0.5193213949104618,0.4857969504660174,0.002327674000094815,-0.7250506477434643
8475184,Chris Kreider,NYR,F,20222023,1454.6333333333334,0.48055987558320373,0.5147679324894515,0.5217138889435728,0.010500442064686477,0.3575441048301414
8476453,Nikita Kucherov,TBL,F,20222023,1653.5333333333333,0.6374829001367989,0.5492505353319058,0.5001278951130276,0.027118416032666404,0.6924953531662614
8476459,Mika Zibanejad,NYR,F,20222023,1636.9,0.48246844319775595,0.4993464052287582,0.5056104304742,-0.009435001918730035,-0.6390995200884141
8476885,Jacob Trouba,NYR,D,20222023,1738.0666666666666,0.4767295597484277,0.511520737327189,0.5198352656290758,0.011168008216566161,0.5414024454821988
8478010,Brayden Point,TBL,F,20222023,1612.9166666666667,0.6290760869565217,0.5407772304324029,0.4946583445628377,0.016494152441815957,0.3689166866328695
8479984,Cal Foote,NSH,D,20222023,756.6,0.40893470790378006,0.45374449339207046,0.48628212225804984,-0.024996853986888556,0.5113372996760362
8480817,K'Andre Miller,NYR,D,20222023,1734.2166666666667,0.49687108886107634,0.5203007518796993,0.5214187118296367,0.019895628644950092,0.5446726604277333
8481554,Kaapo Kakko,NYR,F,20222023,1255.8666666666666,0.5359019264448336,0.5111111111111111,0.498283352792372,0.010800588483266926,0.4726939611104498
8476389,Vincent Trocheck,NYR,F,20222023,1583.9,0.5,0.5311004784688995,0.5311004784688995,0.02754126446968419,1.2664368395645158
8478550,Artemi Panarin,NYR,F,20222023,1608.1,0.5308641975308642,0.5303933253873659,0.5193655476095882,0.025317887275745687,0.5898900533571917
