game_id,game_date,period,time,time_secs,shot_type,shooting_player_id,x_coord,y_coord,zone,is_goal,situation_code,is_rebound,is_rush,distance_ft,distance_band,danger_zone,lateral,situation,shoots
2023021220,2024-04-06,1,03:04,184,wrist,8480025,-78,16,O,0,1551,False,False,19.4,18-20ft,High,Right,Even Strength,R
2023021220,2024-04-06,1,03:17,197,deflected,8483466,-34,-41,O,0,1551,False,False,68.6,60ft+,Low,Left,Even Strength,L
2023021220,2024-04-06,1,07:04,424,snap,8480798,-38,12,O,0,1551,False,False,52.4,52-54ft,Low,Center,Even Strength,L
2023021220,2024-04-06,1,15:09,909,wrist,8477450,-63,8,O,0,1551,False,False,27.2,26-28ft,Medium,Center,Even Strength,L
2023021220,2024-04-06,1,17:32,1052,deflected,8476278,-78,-7,O,0,1551,False,False,13.0,12-14ft,High,Center,Even Strength,R
2023021220,2024-04-06,1,17:54,1074,wrist,8482117,-57,-19,O,0,1551,False,False,37.2,36-38ft,Medium,Left,Even Strength,L
2023021220,2024-04-06,2,03:10,190,wrist,8484144,69,19,O,0,1551,False,False,27.6,26-28ft,Medium,Right,Even Strength,R
2023021220,2024-04-06,2,04:48,288,wrist,8484144,71,-20,O,1,1451,False,False,26.9,26-28ft,Medium,Left,Power Play,R
2023021220,2024-04-06,2,05:53,353,wrist,8476960,71,11,O,1,1551,False,False,21.1,20-22ft,Medium,Center,Even Strength,L
2023021220,2024-04-06,2,06:13,373,wrist,8484144,60,-16,O,0,1551,False,False,33.1,32-34ft,Medium,Left,Even Strength,R
2023021220,2024-04-06,2,08:51,531,wrist,8477495,69,17,O,1,1551,False,False,26.2,26-28ft,Medium,Right,Even Strength,R
2023021220,2024-04-06,3,00:40,40,slap,8483466,-35,-14,O,0,1551,False,False,55.8,54-56ft,Low,Center,Even Strength,L
2023021220,2024-04-06,3,01:16,76,slap,8482117,-48,-5,O,0,1551,False,False,41.3,40-42ft,Low,Center,Even Strength,L
2023021220,2024-04-06,3,06:12,372,wrist,8474870,-60,15,O,0,1551,False,False,32.6,32-34ft,Medium,Center,Even Strength,R
2023021220,2024-04-06,3,11:32,692,wrist,8473422,-54,-18,O,0,1551,False,False,39.4,38-40ft,Medium,Left,Even Strength,L
2023021220,2024-04-06,3,11:57,717,wrist,8480798,-65,-17,O,0,1551,False,False,29.4,28-30ft,Medium,Left,Even Strength,L
2023021220,2024-04-06,3,14:04,844,snap,8484144,-57,19,O,0,1551,False,False,37.2,36-38ft,Medium,Right,Even Strength,R
2023021147,2024-03-26,1,00:40,40,wrist,8480188,49,15,O,0,1551,False,False,42.7,42-44ft,Low,Center,Even Strength,R
2023021147,2024-03-26,1,02:22,142,wrist,8471709,48,32,O,0,1551,False,False,52.0,52-54ft,Low,Right,Even Strength,L
2023021147,2024-03-26,1,02:58,178,wrist,8479983,31,27,O,0,1551,False,False,64.0,60ft+,Low,Right,Even Strength,L
2023021147,2024-03-26,1,08:46,526,snap,8480188,55,-7,O,0,1551,False,False,34.7,34-36ft,Medium,Center,Even Strength,R
2023021147,2024-03-26,1,10:15,615,snap,8481477,68,4,O,0,1551,False,False,21.4,20-22ft,Medium,Center,Even Strength,L
2023021147,2024-03-26,1,13:19,799,slap,8480188,45,-8,O,0,1551,False,False,44.7,44-46ft,Low,Center,Even Strength,R
2023021147,2024-03-26,1,13:26,806,slap,8479983,51,35,O,0,1551,False,False,51.7,50-52ft,Low,Right,Even Strength,L
2023021147,2024-03-26,1,16:17,977,snap,8477335,47,-34,O,0,1551,False,False,54.0,54-56ft,Low,Left,Even Strength,R
2023021147,2024-03-26,2,00:54,54,wrist,8482222,-82,8,O,1,1551,False,False,10.6,10-12ft,High,Center,Even Strength,L
2023021147,2024-03-26,2,02:00,120,slap,8482667,-74,10,O,1,1451,False,False,18.0,18-20ft,High,Center,Power Play,L
2023021147,2024-03-26,2,03:39,219,wrist,8482133,-79,-6,O,0,1551,False,False,11.7,10-12ft,High,Center,Even Strength,L
2023021147,2024-03-26,2,07:46,466,wrist,8477846,-71,29,O,0,1551,False,False,34.1,34-36ft,Medium,Right,Even Strength,R
2023021147,2024-03-26,2,08:58,538,snap,8480011,-66,-20,O,1,1551,False,False,30.5,30-32ft,Medium,Left,Even Strength,L
2023021147,2024-03-26,2,09:56,596,snap,8477473,-31,0,O,0,1551,False,False,58.0,58-60ft,Low,Center,Even Strength,R
2023021147,2024-03-26,2,13:13,793,backhand,8482667,-85,-7,O,0,1551,False,False,8.1,8-10ft,High,Center,Even Strength,L
2023021147,2024-03-26,2,13:58,838,backhand,8481477,-83,-5,O,0,1551,False,False,7.8,6-8ft,High,Center,Even Strength,L
2023021147,2024-03-26,2,18:17,1097,wrist,8479983,-74,14,O,0,1551,False,False,20.5,20-22ft,Medium,Center,Even Strength,L
2023021147,2024-03-26,3,08:57,537,wrist,8480188,81,-20,O,0,1551,False,False,21.5,20-22ft,Medium,Left,Even Strength,R
2023021147,2024-03-26,3,10:30,630,wrist,8477473,45,-40,O,0,1551,False,False,59.5,58-60ft,Low,Left,Even Strength,R
2023021147,2024-03-26,3,15:25,925,wrist,8477473,82,6,O,0,1551,False,False,9.2,8-10ft,High,Center,Even Strength,R
2023021068,2024-03-16,1,01:21,81,wrist,8479400,66,39,O,0,1551,False,False,45.3,44-46ft,Low,Right,Even Strength,L
2023021068,2024-03-16,1,01:25,85,wrist,8482155,55,18,O,0,1551,False,False,38.5,38-40ft,Medium,Right,Even Strength,R
2023021068,2024-03-16,1,03:02,182,backhand,8476479,81,-16,O,0,1551,False,False,17.9,16-18ft,High,Left,Even Strength,L
2023021068,2024-03-16,1,03:03,183,snap,8479998,76,-14,O,0,1551,True,False,19.1,18-20ft,High,Center,Even Strength,L
2023021068,2024-03-16,1,04:52,292,snap,8474563,33,-13,O,0,1551,False,False,57.5,56-58ft,Low,Center,Even Strength,R
2023021068,2024-03-16,1,06:19,379,snap,8477942,47,38,O,0,1551,False,False,56.6,56-58ft,Low,Right,Even Strength,L
2023021068,2024-03-16,1,06:38,398,snap,8477960,28,-34,O,0,1551,False,False,69.8,60ft+,Low,Left,Even Strength,L
2023021068,2024-03-16,1,08:59,539,wrist,8476479,47,23,O,0,1551,False,False,47.9,46-48ft,Low,Right,Even Strength,L
2023021068,2024-03-16,1,13:31,811,tip-in,8482124,80,5,O,0,1551,False,False,10.3,10-12ft,High,Center,Even Strength,L
2023021068,2024-03-16,1,14:57,897,slap,8479675,53,28,O,0,1551,False,False,45.6,44-46ft,Low,Right,Even Strength,L
2023021068,2024-03-16,1,14:58,898,deflected,8477942,46,21,O,0,1551,True,False,47.9,46-48ft,Low,Right,Even Strength,L
2023021068,2024-03-16,1,19:01,1141,wrist,8479675,47,-14,O,0,1551,False,False,44.3,44-46ft,Low,Center,Even Strength,L
2023021068,2024-03-16,2,00:44,44,wrist,8482124,-64,-38,O,0,1551,False,False,45.5,44-46ft,Low,Left,Even Strength,L
2023021068,2024-03-16,2,00:48,48,tip-in,8482124,-55,-10,O,0,1551,False,False,35.4,34-36ft,Medium,Center,Even Strength,L
2023021068,2024-03-16,2,02:46,166,wrist,8473453,-66,39,O,0,1551,False,False,45.3,44-46ft,Low,Right,Even Strength,R
2023021068,2024-03-16,2,03:44,224,wrist,8478911,-27,39,O,0,1551,False,False,73.2,60ft+,Low,Right,Even Strength,R
2023021068,2024-03-16,2,16:14,974,wrist,8482155,-49,26,O,0,1551,False,False,47.7,46-48ft,Low,Right,Even Strength,R
