player_id,player_name,es_toi_min,TNFI_SA_per60,P4_weighted,TNFI_SF_per60,P5_weighted,z_P5_weighted,z_P4_weighted,twoway_D_score,off_rank,def_rank,twoway_D_rank
8480803,Evan Bouchard,6717.52,18.7659,1.9106,26.2954,2.6259,3.3601143928304738,-0.15579621870974097,3.515910611540215,1,162,1
8480426,Charle-Edouard D'Astous,748.9,16.1036,1.4329,19.8691,1.9227,0.2511349488792319,-2.6125430700061205,2.8636780188853526,128,1,2
8481527,Kaedan Korczak,1774.95,15.9216,1.5387,19.7752,2.0372,0.75736098177516,-2.068427899675041,2.825788881450201,71,5,3
8476958,Jaccob Slavin,6326.58,18.7969,1.8801,23.6621,2.425,2.471897711530978,-0.3126536165840125,2.7845513281149903,5,138,4
8475218,Mattias Ekholm,6306.63,18.295,1.8225,23.5657,2.3392,2.092559775963549,-0.6088826696187031,2.701442445582252,14,100,5
8476422,Mike Reilly,2810.22,17.6357,1.7091,22.0552,2.206,1.5036575263413856,-1.1920836177807488,2.6957411441221346,28,31,6
8478038,Devon Toews,6913.8,18.424,1.8403,25.4014,2.3517,2.1478246267163805,-0.5173396636461771,2.665164290362558,13,111,7
8482100,Alexander Nikishin,770.43,17.8341,1.9647,25.0768,2.4954,2.7831493509709215,0.12243280506068746,2.660716545910234,3,214,8
8480069,Cale Makar,6873.0,17.5993,1.7371,24.2078,2.2283,1.6022500200844354,-1.0480833836666632,2.6503334037510986,25,43,9
8481719,Max Crozier,582.7,16.578,1.5377,19.4611,1.9714,0.46644680741225997,-2.073570765179115,2.540017572591375,104,4,10
8481606,Jordan Spence,3280.15,16.0419,1.6133,20.5966,2.0563,0.8418056737254848,-1.6847701330710847,2.5265758067965693,61,16,11
8482730,Brandt Clarke,2213.1,15.8059,1.5557,19.8997,1.9794,0.5018163118940716,-1.980999186105774,2.482815497999846,102,7,12
8479421,Jacob Moverare,1086.35,15.6303,1.5647,19.8831,1.9708,0.4637940945761244,-1.9347133965691043,2.398507491145229,105,8,13
8478970,Jalen Chatfield,4257.83,17.1073,1.8494,22.5749,2.2838,1.847625957427003,-0.4705395875590999,2.318165544986103,19,116,14
8484258,Sam Malinski,2140.27,17.353,1.6563,21.6422,2.0548,0.8351738916351468,-1.4636269163958813,2.298800808031028,62,23,15
8480036,Miro Heiskanen,6471.85,18.4306,1.8012,22.6767,2.2198,1.5646699215725117,-0.71842570485549,2.283095626428002,26,71,16
8479523,Lucas Carlsson,655.32,18.0371,1.8787,24.2631,2.3059,1.9453342135580076,-0.31985362828971714,2.265187841847725,15,136,17
8474628,Michael Stone,751.85,21.1478,2.078,27.1331,2.5328,2.9485017844233905,0.7051194666723258,2.2433823177510646,2,261,18
8478017,Mark Friedman,938.62,19.2411,1.8627,23.8436,2.2715,1.7932453442862186,-0.4021394763549089,2.1953848206411273,20,126,19
8479325,Charlie McAvoy,5978.92,17.1503,1.7262,21.1543,2.0997,1.0336852355393134,-1.1041406176610757,2.137825853200389,44,36,20
8479985,Cale Fleury,573.8,16.1032,1.615,20.1812,1.9687,0.45450959964964793,-1.6760272617141578,2.130536861363806,107,17,21
8470966,Mark Giordano,3199.85,18.1133,1.7879,21.7323,2.1679,1.3352102612467576,-0.7868258160596799,2.1220360773064373,36,66,22
8475690,Chris Tanev,5180.57,18.8203,1.8,22.2254,2.1764,1.3727903597586832,-0.7245971434603787,2.097387503219062,33,69,23
8475188,Brayden McNabb,6244.72,17.285,1.7363,21.3204,2.0883,0.9832836916527314,-1.0521976760699236,2.035481367722655,50,42,24
8477447,Shea Theodore,5559.33,17.7647,1.8156,22.5782,2.1773,1.3767694290128856,-0.6443684415968165,2.021137870609702,32,91,25
8481581,Thomas Harley,4255.13,21.2496,2.0804,24.8876,2.4627,2.638576501401516,0.7174623438821056,1.9211141575194102,4,264,26
8480084,Nick DeSimone,934.53,16.6928,1.6341,19.9672,1.9382,0.31966336381274124,-1.5777985305863347,1.897461894399076,122,20,27
8474013,Ian Cole,5734.87,17.2524,1.7113,20.5271,2.0276,0.7149175763969868,-1.1807693136717852,1.895686890068772,80,32,28
8479576,Vincent Desharnais,2728.53,17.284,1.7265,19.0212,2.0432,0.7838881101365197,-1.1025977580098536,1.8864858681463734,68,37,29
8483457,Lane Hutson,2608.85,17.111,1.7072,20.5378,2.0207,0.6844113787814247,-1.2018550622384905,1.8862664410199153,83,30,30
8474716,Jared Spurgeon,4669.63,16.4724,1.5389,18.7595,1.8074,-0.258628034464879,-2.0673993265742263,1.8087712921093473,198,6,31
8478178,Darren Raddysh,3645.08,17.9091,1.7342,20.8555,2.0328,0.7379077543101638,-1.06299769362848,1.8009054479386437,76,40,32
8480336,Sean Walker,4394.1,18.7206,1.9276,22.7623,2.2482,1.690231662482943,-0.06836750514047531,1.7585991676234183,21,181,33
8477488,Brett Pesce,5589.8,18.591,1.8744,21.6823,2.1842,1.4072756266284496,-0.3419679499572372,1.7492435765856869,31,135,34
8470613,Brent Burns,6833.0,19.1863,1.8812,21.522,2.1921,1.4422030123042378,-0.30699646452953117,1.7491994768337689,30,142,35
8479639,Dylan Coghlan,1023.88,18.8107,1.9352,22.2096,2.2396,1.6522094451649938,-0.029281727309508995,1.6814911724745027,23,190,36
8477346,MacKenzie Weegar,7040.17,17.0451,1.7298,21.1955,1.997,0.5796292217540575,-1.0856263018464074,1.665255523600465,93,38,37
8481546,Cam York,4892.8,15.5126,1.5332,17.5114,1.7667,-0.4385703885160954,-2.0967136599474507,1.6581432714313553,231,3,38
