player_id,player_name,es_toi_min,CNFI_SF,CNFI_SF_per60,CNFI_SF_lo95,CNFI_SF_hi95,MNFI_SF,MNFI_SF_per60,MNFI_SF_lo95,MNFI_SF_hi95,FNFI_SF,FNFI_SF_per60,FNFI_SF_lo95,FNFI_SF_hi95,TNFI_SF,TNFI_SF_per60,TNFI_SF_lo95,TNFI_SF_hi95,P5_weighted,TNFI_rank_raw,P5_weighted_rank,rank_delta,weighting_flag
8479410,Mikhail Sergachev,5903.13,887,9.0156,8.4825,9.5763,672,6.8303,6.3593,7.3317,505,5.1329,4.7209,5.5774,2064,20.9787,20.2553,21.7147,2.0849,55,52,3,
8480727,Zach Whitecloud,4809.35,730,9.1073,8.5161,9.7331,548,6.8367,6.3167,7.3946,402,5.0152,4.5659,5.5051,1680,20.9592,20.1597,21.7761,2.0595,56,56,0,
8474818,Jordie Benn,687.68,80,6.98,5.6657,8.5435,96,8.3759,6.9383,10.0461,64,5.584,4.4113,7.0227,240,20.9399,18.8491,23.1121,1.9274,57,127,-70,LOW_DANGER_MIX
8478451,Ethan Bear,2128.33,325,9.1621,8.2841,10.1181,253,7.1323,6.3493,8.0001,163,4.5951,3.9627,5.3206,741,20.8896,19.6958,22.1228,2.0947,58,48,10,
8478178,Darren Raddysh,3645.08,558,9.185,8.5058,9.9084,368,6.0575,5.4957,6.6699,341,5.613,5.0713,6.2064,1267,20.8555,19.9384,21.7927,2.0328,59,76,-17,LOW_DANGER_MIX
8478911,Matt Roy,5898.9,881,8.961,8.4288,9.5203,659,6.7029,6.2356,7.2004,507,5.1569,4.7437,5.6023,2047,20.8208,20.0978,21.5551,2.0485,60,66,-6,
8476869,Brady Skjei,6775.6,1106,9.794,9.2769,10.3328,712,6.305,5.8799,6.7562,521,4.6136,4.247,5.0085,2339,20.7126,20.0376,21.3956,2.0912,61,49,12,HIGH_DANGER_MIX
8476853,Morgan Rielly,6475.82,1041,9.6451,9.1202,10.1936,716,6.6339,6.1892,7.1059,476,4.4103,4.0438,4.8068,2233,20.6893,19.9998,21.3886,2.105,62,43,19,HIGH_DANGER_MIX
8474151,Ryan McDonagh,5919.73,910,9.2234,8.6852,9.7877,630,6.3854,5.929,6.8719,497,5.0374,4.6293,5.4774,2037,20.6462,19.9254,21.3772,2.0501,63,65,-2,
8481606,Jordan Spence,3280.15,540,9.8776,9.1402,10.663,316,5.7802,5.2026,6.415,270,4.9388,4.4035,5.5331,1126,20.5966,19.6341,21.583,2.0563,64,61,3,
