game_id,season,game_type,game_date,home_abbrev,away_abbrev
2020020001,20202021,regular,2021-01-13,PHI,PIT
2020020003,20202021,regular,2021-01-13,TOR,MTL
2020020002,20202021,regular,2021-01-13,TBL,CHI
2020020004,20202021,regular,2021-01-13,EDM,VAN
2020020005,20202021,regular,2021-01-13,COL,STL
2020020006,20202021,regular,2021-01-14,BUF,WSH
2020020007,20202021,regular,2021-01-14,NJD,BOS
2020020008,20202021,regular,2021-01-14,NYR,NYI
2020020010,20202021,regular,2021-01-14,DET,CAR
2020020011,20202021,regular,2021-01-14,NSH,CBJ
2020020012,20202021,regular,2021-01-14,WPG,CGY
2020020013,20202021,regular,2021-01-14,EDM,VAN
2020020014,20202021,regular,2021-01-14,ARI,SJS
2020020015,20202021,regular,2021-01-14,VGK,ANA
2020020016,20202021,regular,2021-01-14,LAK,MIN
2020020017,20202021,regular,2021-01-15,BUF,WSH
2020020018,20202021,regular,2021-01-15,PHI,PIT
2020020019,20202021,regular,2021-01-15,TBL,CHI
2020020021,20202021,regular,2021-01-15,OTT,TOR
2020020022,20202021,regular,2021-01-15,COL,STL
2020020023,20202021,regular,2021-01-16,NJD,BOS
2020020030,20202021,regular,2021-01-16,ARI,SJS
2020020024,20202021,regular,2021-01-16,NYR,NYI
2020020025,20202021,regular,2021-01-16,DET,CAR
2020020027,20202021,regular,2021-01-16,OTT,TOR
2020020029,20202021,regular,2021-01-16,EDM,MTL
2020020026,20202021,regular,2021-01-16,NSH,CBJ
2020020032,20202021,regular,2021-01-16,LAK,MIN
2020020028,20202021,regular,2021-01-16,CGY,VAN
2020020031,20202021,regular,2021-01-16,VGK,ANA
2020020035,20202021,regular,2021-01-17,PIT,WSH
2020020034,20202021,regular,2021-01-17,FLA,CHI
2020020038,20202021,regular,2021-01-18,DET,CBJ
2020020036,20202021,regular,2021-01-18,NYI,BOS
2020020041,20202021,regular,2021-01-18,TOR,WPG
2020020037,20202021,regular,2021-01-18,PHI,BUF
2020020039,20202021,regular,2021-01-18,STL,SJS
2020020040,20202021,regular,2021-01-18,NSH,CAR
2020020042,20202021,regular,2021-01-18,CGY,VAN
2020020043,20202021,regular,2021-01-18,EDM,MTL
2020020045,20202021,regular,2021-01-18,ANA,MIN
2020020044,20202021,regular,2021-01-18,VGK,ARI
2020020046,20202021,regular,2021-01-19,NYR,NJD
2020020047,20202021,regular,2021-01-19,PHI,BUF
2020020049,20202021,regular,2021-01-19,FLA,CHI
2020020050,20202021,regular,2021-01-19,PIT,WSH
2020020053,20202021,regular,2021-01-19,OTT,WPG
2020020051,20202021,regular,2021-01-19,DET,CBJ
2020020054,20202021,regular,2021-01-19,LAK,COL
2020020056,20202021,regular,2021-01-20,TOR,EDM
2020020055,20202021,regular,2021-01-20,STL,SJS
2020020059,20202021,regular,2021-01-20,ANA,MIN
2020020057,20202021,regular,2021-01-20,VAN,MTL
2020020058,20202021,regular,2021-01-20,VGK,ARI
2020020060,20202021,regular,2021-01-21,BOS,PHI
2020020061,20202021,regular,2021-01-21,NYI,NJD
2020020063,20202021,regular,2021-01-21,CBJ,TBL
2020020064,20202021,regular,2021-01-21,OTT,WPG
2020020065,20202021,regular,2021-01-21,VAN,MTL
2020020066,20202021,regular,2021-01-21,LAK,COL
2020020067,20202021,regular,2021-01-22,WSH,BUF
2020020068,20202021,regular,2021-01-22,PIT,NYR
2020020070,20202021,regular,2021-01-22,TOR,EDM
2020020069,20202021,regular,2021-01-22,CHI,DET
2020020071,20202021,regular,2021-01-22,MIN,SJS
2020020072,20202021,regular,2021-01-22,DAL,NSH
2020020073,20202021,regular,2021-01-22,ARI,VGK
2020020074,20202021,regular,2021-01-22,ANA,COL
2020020077,20202021,regular,2021-01-23,CBJ,TBL
2020020075,20202021,regular,2021-01-23,BOS,PHI
2020020080,20202021,regular,2021-01-23,VAN,MTL
2020020078,20202021,regular,2021-01-23,STL,LAK
2020020079,20202021,regular,2021-01-23,WPG,OTT
2020020084,20202021,regular,2021-01-24,CHI,DET
2020020082,20202021,regular,2021-01-24,WSH,BUF
2020020087,20202021,regular,2021-01-24,CGY,TOR
2020020090,20202021,regular,2021-01-24,ARI,VGK
2020020081,20202021,regular,2021-01-24,NJD,NYI
2020020083,20202021,regular,2021-01-24,PIT,NYR
2020020085,20202021,regular,2021-01-24,STL,LAK
2020020088,20202021,regular,2021-01-24,MIN,SJS
2020020089,20202021,regular,2021-01-24,DAL,NSH
2020020091,20202021,regular,2021-01-24,ANA,COL
2020020086,20202021,regular,2021-01-24,WPG,EDM
2020020092,20202021,regular,2021-01-25,VAN,OTT
2020020093,20202021,regular,2021-01-26,BOS,PIT
2020020094,20202021,regular,2021-01-26,BUF,NYR
2020020095,20202021,regular,2021-01-26,NJD,PHI
2020020096,20202021,regular,2021-01-26,WSH,NYI
2020020098,20202021,regular,2021-01-26,CBJ,FLA
2020020099,20202021,regular,2021-01-26,NSH,CHI
2020020100,20202021,regular,2021-01-26,WPG,EDM
2020020102,20202021,regular,2021-01-26,MIN,LAK
2020020103,20202021,regular,2021-01-26,DAL,DET
2020020101,20202021,regular,2021-01-26,CGY,TOR
2020020104,20202021,regular,2021-01-26,COL,SJS
2020020105,20202021,regular,2021-01-26,ARI,ANA
2020020106,20202021,regular,2021-01-26,VGK,STL
2020020107,20202021,regular,2021-01-27,NSH,CHI
2020020108,20202021,regular,2021-01-27,VAN,OTT
2020020109,20202021,regular,2021-01-28,BOS,PIT
2020020110,20202021,regular,2021-01-28,BUF,NYR
2020020111,20202021,regular,2021-01-28,NJD,PHI
2020020112,20202021,regular,2021-01-28,WSH,NYI
2020020113,20202021,regular,2021-01-28,CAR,TBL
2020020114,20202021,regular,2021-01-28,CBJ,FLA
2020020115,20202021,regular,2021-01-28,MTL,CGY
2020020118,20202021,regular,2021-01-28,MIN,LAK
2020020119,20202021,regular,2021-01-28,DAL,DET
2020020120,20202021,regular,2021-01-28,COL,SJS
2020020121,20202021,regular,2021-01-28,ARI,ANA
2020020116,20202021,regular,2021-01-28,EDM,TOR
2020020117,20202021,regular,2021-01-28,VAN,OTT
2020020123,20202021,regular,2021-01-29,CHI,CBJ
2020020124,20202021,regular,2021-01-30,BUF,NJD
2020020125,20202021,regular,2021-01-30,NYR,PIT
2020020126,20202021,regular,2021-01-30,PHI,NYI
2020020127,20202021,regular,2021-01-30,WSH,BOS
2020020128,20202021,regular,2021-01-30,CAR,DAL
2020020129,20202021,regular,2021-01-30,TBL,NSH
2020020130,20202021,regular,2021-01-30,DET,FLA
2020020131,20202021,regular,2021-01-30,MTL,CGY
2020020133,20202021,regular,2021-01-30,EDM,TOR
2020020134,20202021,regular,2021-01-30,MIN,COL
2020020135,20202021,regular,2021-01-30,ANA,STL
2020020132,20202021,regular,2021-01-30,WPG,VAN
2020020136,20202021,regular,2021-01-31,BUF,NJD
2020020138,20202021,regular,2021-01-31,CAR,DAL
2020020139,20202021,regular,2021-01-31,DET,FLA
2020020137,20202021,regular,2021-01-31,PHI,NYI
2020020140,20202021,regular,2021-01-31,CHI,CBJ
2020020142,20202021,regular,2021-01-31,MIN,COL
2020020143,20202021,regular,2021-01-31,ANA,STL
2020020141,20202021,regular,2021-01-31,EDM,OTT
2020020144,20202021,regular,2021-02-01,NYR,PIT
2020020145,20202021,regular,2021-02-01,WSH,BOS
2020020146,20202021,regular,2021-02-01,TBL,NSH
2020020147,20202021,regular,2021-02-01,MTL,VAN
2020020148,20202021,regular,2021-02-01,WPG,CGY
2020020152,20202021,regular,2021-02-02,CBJ,DAL
2020020155,20202021,regular,2021-02-02,MTL,VAN
2020020153,20202021,regular,2021-02-02,CHI,CAR
2020020154,20202021,regular,2021-02-02,STL,ARI
2020020156,20202021,regular,2021-02-02,WPG,CGY
2020020158,20202021,regular,2021-02-02,COL,MIN
2020020157,20202021,regular,2021-02-02,EDM,OTT
2020020161,20202021,regular,2021-02-02,LAK,ANA
2020020160,20202021,regular,2021-02-03,TBL,DET
2020020159,20202021,regular,2021-02-03,PHI,BOS
2020020164,20202021,regular,2021-02-04,NYR,WSH
2020020165,20202021,regular,2021-02-04,FLA,NSH
2020020167,20202021,regular,2021-02-04,CBJ,DAL
2020020170,20202021,regular,2021-02-04,MTL,OTT
2020020171,20202021,regular,2021-02-04,TOR,VAN
2020020168,20202021,regular,2021-02-04,CHI,CAR
2020020169,20202021,regular,2021-02-04,STL,ARI
2020020172,20202021,regular,2021-02-04,WPG,CGY
2020020174,20202021,regular,2021-02-05,PHI,BOS
2020020175,20202021,regular,2021-02-05,TBL,DET
2020020176,20202021,regular,2021-02-05,FLA,NSH
2020020177,20202021,regular,2021-02-05,VGK,LAK
2020020178,20202021,regular,2021-02-05,ANA,SJS
2020020183,20202021,regular,2021-02-06,OTT,MTL
2020020550,20202021,regular,2021-02-06,STL,ARI
2020020181,20202021,regular,2021-02-06,NYI,PIT
2020020184,20202021,regular,2021-02-06,TOR,VAN
2020020185,20202021,regular,2021-02-06,CGY,EDM
2020020187,20202021,regular,2021-02-06,ANA,SJS
2020020188,20202021,regular,2021-02-07,WSH,PHI
2020020189,20202021,regular,2021-02-07,FLA,DET
2020020190,20202021,regular,2021-02-07,CBJ,CAR
2020020193,20202021,regular,2021-02-07,DAL,CHI
2020020194,20202021,regular,2021-02-07,VGK,LAK
2020020196,20202021,regular,2021-02-08,NYR,NYI
2020020197,20202021,regular,2021-02-08,CBJ,CAR
2020020199,20202021,regular,2021-02-08,OTT,EDM
2020020200,20202021,regular,2021-02-08,TOR,VAN
2020020198,20202021,regular,2021-02-08,NSH,TBL
2020020565,20202021,regular,2021-02-08,STL,ARI
2020020203,20202021,regular,2021-02-09,FLA,DET
2020020205,20202021,regular,2021-02-09,OTT,EDM
2020020204,20202021,regular,2021-02-09,NSH,TBL
2020020208,20202021,regular,2021-02-09,DAL,CHI
2020020206,20202021,regular,2021-02-09,CGY,WPG
2020020210,20202021,regular,2021-02-09,VGK,ANA
2020020211,20202021,regular,2021-02-09,LAK,SJS
2020020212,20202021,regular,2021-02-10,NYR,BOS
2020020213,20202021,regular,2021-02-10,MTL,TOR
2020020215,20202021,regular,2021-02-11,NYI,PIT
2020020217,20202021,regular,2021-02-11,FLA,TBL
2020020218,20202021,regular,2021-02-11,CHI,CBJ
2020020219,20202021,regular,2021-02-11,NSH,DET
2020020220,20202021,regular,2021-02-11,MTL,EDM
2020020221,20202021,regular,2021-02-11,WPG,OTT
2020020224,20202021,regular,2021-02-11,DAL,CAR
2020020222,20202021,regular,2021-02-11,VAN,CGY
2020020226,20202021,regular,2021-02-11,VGK,ANA
2020020227,20202021,regular,2021-02-11,LAK,SJS
2020020228,20202021,regular,2021-02-12,NYR,BOS
2020020684,20202021,regular,2021-02-12,ARI,STL
2020020236,20202021,regular,2021-02-13,WPG,OTT
2020020149,20202021,regular,2021-02-13,SJS,VGK
2020020230,20202021,regular,2021-02-13,NYI,BOS
2020020232,20202021,regular,2021-02-13,FLA,TBL
2020020235,20202021,regular,2021-02-13,TOR,MTL
2020020233,20202021,regular,2021-02-13,CHI,CBJ
2020020234,20202021,regular,2021-02-13,NSH,DET
2020020238,20202021,regular,2021-02-13,DAL,CAR
2020020239,20202021,regular,2021-02-13,ARI,STL
2020020237,20202021,regular,2021-02-13,VAN,CGY
2020020242,20202021,regular,2021-02-14,PIT,WSH
