player_name,team,pos,GP,OZI_pooled_score,OZI_23_24,OZI_24_25,OZI_25_26,OZI_trend,OZI_recent,OZI_flag,DZI_pooled_score,DZI_23_24,DZI_24_25,DZI_25_26,DZI_trend,DZI_recent,DZI_flag,NZI_pooled_score,NZI_23_24,NZI_24_25,NZI_25_26,NZI_trend,NZI_recent,NZI_flag,TNZI_pooled_score,TNZI_23_24,TNZI_24_25,TNZI_25_26,TNZI_trend,TNZI_recent,TNZI_flag
Cam York,PHI,D,276,10.0,0.0649,-0.223,-0.0407,-0.0663,-0.0407,STABLE,7.8,-0.2766,0.0531,-0.0397,-0.0877,-0.0397,STABLE,8.0,0.2984,-0.341,0.1314,0.0296,0.1314,RISING,9.0,0.1461,-0.023,0.0332,0.0521,0.0332,STABLE
Samuel Bolduc,NYI,D,52,5.8,,,,,,,2.8,,,,,,,6.0,,,,,,,5.3,,,,,,
Robert Hagg,VGK,D,45,7.1,,,,,,,2.5,,,,,,,3.5,,,,,,,5.7,,,,,,
Drew Helleson,ANA,D,119,6.5,,,0.0403,0.0403,0.0403,STABLE,6.1,,,-0.067,-0.067,-0.067,DECLINING,5.8,,,0.2712,0.2712,0.2712,RISING,6.8,,,0.3976,0.3976,0.3976,RISING
Ryan Johnson,BUF,D,47,6.2,,,,,,,9.7,,,,,,,5.9,,,,,,,5.0,,,,,,
Henry Thrun,TOR,D,124,6.4,,-0.2828,,-0.2828,-0.2828,DECLINING,7.2,,0.2517,,0.2517,0.2517,RISING,4.2,,0.3926,,0.3926,0.3926,RISING,6.1,,0.3874,,0.3874,0.3874,RISING
Alex Vlasic,CHI,D,245,7.1,,-0.1919,-0.1367,-0.1643,-0.1367,DECLINING,6.9,,0.0103,-0.1557,-0.0727,-0.1557,DECLINING,7.2,,0.1779,-0.0897,0.0441,-0.0897,DECLINING,7.7,,0.1851,-0.174,0.0056,-0.174,DECLINING
Thomas Harley,DAL,D,233,6.6,,-0.16,-0.1854,-0.1727,-0.1854,DECLINING,8.2,,0.2427,-0.0402,0.1012,-0.0402,STABLE,8.0,,0.0299,0.2564,0.1431,0.2564,RISING,8.2,,-0.0613,0.0826,0.0107,0.0826,RISING
Brett Pesce,NJD,D,261,8.5,0.0224,-0.2224,0.0255,-0.0582,0.0255,STABLE,7.9,-0.0096,-0.1687,-0.2659,-0.1481,-0.2659,DECLINING,8.7,-0.2305,-0.1597,0.2189,-0.0571,0.2189,RISING,9.6,-0.0183,-0.2276,0.136,-0.0366,0.136,RISING
Seth Jones,FLA,D,254,8.1,0.1693,-0.1256,-0.1831,-0.0465,-0.1831,DECLINING,7.9,-0.1111,0.0939,-0.0347,-0.0173,-0.0347,STABLE,7.2,-0.1233,0.1667,0.0806,0.0414,0.0806,RISING,7.7,-0.1359,0.1664,0.0461,0.0255,0.0461,STABLE
Rasmus Ristolainen,PHI,D,212,9.2,0.0989,-0.0775,0.097,0.0395,0.097,RISING,7.0,-0.3437,0.3098,-0.4482,-0.1607,-0.4482,DECLINING,7.0,-0.0853,-0.1309,0.0613,-0.0516,0.0613,RISING,8.3,-0.1123,0.1305,-0.1533,-0.045,-0.1533,DECLINING
Darnell Nurse,EDM,D,320,7.9,0.0463,0.0427,-0.1156,-0.0089,-0.1156,DECLINING,9.3,-0.1643,0.0598,-0.1784,-0.0943,-0.1784,DECLINING,9.5,0.1559,-0.2553,0.217,0.0392,0.217,RISING,8.9,-0.0232,0.1266,-0.0018,0.0339,-0.0018,STABLE
Ryan Pulock,NYI,D,290,8.4,0.1921,0.3001,-0.2192,0.091,-0.2192,DECLINING,7.9,0.1048,-0.013,-0.3134,-0.0739,-0.3134,DECLINING,7.8,-0.1334,0.1735,-0.2242,-0.0614,-0.2242,DECLINING,7.7,-0.2066,0.1551,-0.0986,-0.05,-0.0986,DECLINING
Nikita Zadorov,BOS,D,319,8.2,-0.1395,-0.1057,-0.1635,-0.1363,-0.1635,DECLINING,7.1,-0.1234,0.0981,0.0218,-0.0012,0.0218,STABLE,6.8,-0.0692,0.0694,0.1142,0.0381,0.1142,RISING,8.0,-0.1307,0.0138,0.004,-0.0376,0.004,STABLE
Josh Morrissey,WPG,D,315,9.4,0.0841,0.0178,-0.0936,0.0028,-0.0936,DECLINING,8.6,-0.1092,0.0013,-0.1241,-0.0773,-0.1241,DECLINING,9.0,-0.0625,0.2624,-0.4219,-0.074,-0.4219,DECLINING,8.9,-0.0244,0.2285,-0.2953,-0.0304,-0.2953,DECLINING
Victor Soderstrom,BOS,D,41,7.0,,,,,,,5.6,,,,,,,4.6,,,,,,,4.7,,,,,,
Jackson LaCombe,ANA,D,229,7.5,,-0.0714,0.0667,-0.0023,0.0667,RISING,8.4,,0.0448,0.0819,0.0633,0.0819,RISING,7.0,,0.328,0.1219,0.225,0.1219,RISING,8.2,,0.2623,0.0853,0.1738,0.0853,RISING
Jordan Spence,OTT,D,229,7.8,,-0.2165,0.2428,0.0131,0.2428,RISING,7.4,,-0.0796,-0.0382,-0.0589,-0.0382,STABLE,7.5,,0.0774,0.2693,0.1733,0.2693,RISING,7.8,,0.2478,0.1419,0.1949,0.1419,RISING
Vladislav Kolyachonok,BOS,D,55,4.1,,,,,,,4.7,,,,,,,4.9,,,,,,,4.8,,,,,,
Albert Johansson,DET,D,143,6.6,,,-0.0288,-0.0288,-0.0288,STABLE,6.0,,,-0.0564,-0.0564,-0.0564,DECLINING,5.6,,,-0.0588,-0.0588,-0.0588,DECLINING,6.9,,,-0.0507,-0.0507,-0.0507,DECLINING
Dakota Mermis,TOR,D,64,7.7,,,,,,,5.4,,,,,,,6.3,,,,,,,6.0,,,,,,
Erik Johnson,COL,D,166,8.2,-0.0843,-0.2962,,-0.1902,-0.2962,DECLINING,6.5,-0.2406,-0.0328,,-0.1367,-0.0328,STABLE,5.6,0.0472,-0.0011,,0.0231,-0.0011,STABLE,7.4,-0.3099,0.1094,,-0.1002,0.1094,RISING
Jeff Petry,MIN,D,245,7.8,0.1915,-0.1593,-0.1802,-0.0493,-0.1802,DECLINING,7.5,-0.2842,0.0767,-0.124,-0.1105,-0.124,DECLINING,7.7,-0.1132,-0.2795,0.5082,0.0385,0.5082,RISING,7.7,-0.019,-0.2521,0.3476,0.0255,0.3476,RISING
Zac Jones,NYR,D,93,3.9,,-0.2729,,-0.2729,-0.2729,DECLINING,4.1,,0.0254,,0.0254,0.0254,STABLE,6.2,,-0.0106,,-0.0106,-0.0106,STABLE,6.6,,0.142,,0.142,0.142,RISING
Maxwell Crozier,TBL,D,53,6.9,,,,,,,9.5,,,,,,,8.3,,,,,,,7.1,,,,,,
Marc Del Gaizo,NSH,D,55,3.2,,,,,,,6.7,,,,,,,5.0,,,,,,,7.2,,,,,,
Louis Crevier,CHI,D,134,6.6,,-0.1629,0.1423,-0.0103,0.1423,RISING,6.5,,-0.1402,0.1244,-0.0079,0.1244,RISING,6.1,,0.3141,0.0477,0.1809,0.0477,STABLE,6.9,,0.4453,0.051,0.2481,0.051,RISING
Joel Hanley,CGY,D,189,7.5,-0.0098,0.2316,-0.0936,0.0427,-0.0936,DECLINING,7.3,0.3017,0.02,0.163,0.1616,0.163,RISING,5.4,0.0576,0.0454,0.0708,0.0579,0.0708,RISING,7.1,0.0521,0.1396,-0.0658,0.042,-0.0658,DECLINING
Trevor van Riemsdyk,WSH,D,295,8.8,0.175,-0.107,-0.0204,0.0159,-0.0204,STABLE,7.8,-0.1679,0.0965,0.0088,-0.0209,0.0088,STABLE,8.6,-0.2812,-0.0715,0.1953,-0.0525,0.1953,RISING,8.8,-0.2225,0.1156,0.1406,0.0113,0.1406,RISING
Jordan Oesterle,NSH,D,112,7.3,-0.1386,-0.0191,,-0.0789,-0.0191,STABLE,6.5,-0.2586,0.2744,,0.0079,0.2744,RISING,5.9,0.1667,-0.1108,,0.028,-0.1108,DECLINING,7.1,-0.2505,0.0398,,-0.1053,0.0398,STABLE
Aaron Ekblad,FLA,D,250,9.8,0.1296,-0.0365,-0.1444,-0.0171,-0.1444,DECLINING,8.4,-0.0163,0.0912,-0.2048,-0.0433,-0.2048,DECLINING,7.4,-0.0969,0.0986,-0.0201,-0.0061,-0.0201,STABLE,8.4,-0.2792,-0.0244,0.3543,0.0169,0.3543,RISING
Haydn Fleury,WPG,D,129,5.0,0.1525,0.1142,-0.4134,-0.0489,-0.4134,DECLINING,6.3,-0.287,0.3215,-0.3046,-0.09,-0.3046,DECLINING,5.1,0.402,-0.2233,-0.3601,-0.0605,-0.3601,DECLINING,6.2,0.2025,-0.0087,-0.3949,-0.067,-0.3949,DECLINING
Travis Sanheim,PHI,D,325,9.6,0.1254,-0.0993,-0.16,-0.0446,-0.16,DECLINING,8.0,-0.1117,0.0637,-0.1914,-0.0798,-0.1914,DECLINING,8.2,0.282,-0.385,0.1265,0.0078,0.1265,RISING,9.1,0.2101,-0.0267,-0.0199,0.0545,-0.0199,STABLE
