player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Dennis Gilbert,OTT,D,94,3,0.7781,0.6737,5.8,5.7,5.6,5.5,4.0,3.8,6.1,5.6,4.7,5.0,1.8,1.9,6.6,6.8,3.7,3.7,,0.1236,,0.1236,0.1236,RISING
Scott Morrow,NYR,D,45,1,0.7666,0.7697,5.2,5.6,4.5,4.6,6.6,6.9,5.2,5.6,8.6,9.2,5.8,5.6,7.9,8.3,4.8,5.1,,,,,,
Luke Hughes,NJD,D,223,3,0.7884,0.7815,7.2,6.9,6.8,6.6,7.7,7.4,5.7,5.6,7.5,6.8,5.9,6.0,8.0,8.0,6.2,5.8,,0.1523,0.0848,0.1186,0.0848,RISING
Zach Bogosian,MIN,D,233,4,0.7706,0.793,7.2,7.0,7.0,6.9,7.4,7.6,5.1,5.6,7.6,8.1,4.4,4.3,7.9,8.1,4.7,4.8,-0.105,-0.211,-0.0209,-0.1123,-0.0209,STABLE
Dmitry Kulikov,FLA,D,232,3,0.7816,0.771,8.4,7.4,8.2,7.7,7.1,6.9,5.5,5.5,7.3,6.9,4.9,5.0,8.5,8.5,6.0,5.7,-0.0906,0.1886,,0.049,0.1886,RISING
Zayne Parekh,CGY,D,37,1,0.7929,0.7242,5.7,6.3,5.2,5.5,6.1,5.4,6.2,5.5,6.5,5.2,1.3,1.8,5.9,6.0,2.3,1.9,,,,,,
Torey Krug,STL,D,140,2,0.7835,0.7789,9.7,8.4,9.4,8.7,7.4,7.2,5.6,5.5,6.4,6.0,3.5,3.7,7.7,7.7,4.8,4.6,-0.1682,,,-0.1682,,
Cam York,PHI,D,276,4,0.7838,0.7948,10.0,9.5,10.0,10.0,7.8,7.6,5.4,5.5,8.0,7.5,5.7,5.8,9.0,9.0,7.4,7.3,-0.2766,0.0531,-0.0397,-0.0877,-0.0397,STABLE
Lian Bichsel,DAL,D,88,2,0.7996,0.6929,1.1,1.0,0.4,0.0,5.2,4.3,6.5,5.4,7.9,7.2,5.5,5.6,7.3,7.3,3.6,3.3,,,-0.1001,-0.1001,-0.1001,DECLINING
Patrik Nemeth,UTA,D,75,1,0.7697,0.7262,7.9,6.0,7.7,6.6,5.1,5.2,5.4,5.4,6.6,7.0,6.4,6.2,6.5,6.7,6.2,6.1,,,,,,
Jani Hakanpää,TOR,D,148,2,0.7788,0.7783,6.1,4.3,5.6,4.4,7.1,7.0,5.4,5.4,7.1,7.1,5.9,5.8,7.0,7.1,5.5,5.3,-0.0617,,,-0.0617,,
Timothy Liljegren,WSH,D,238,4,0.7855,0.7861,8.3,7.0,7.8,7.0,7.6,7.3,5.5,5.4,6.4,5.9,4.3,4.5,7.3,7.3,4.8,4.3,-0.0123,-0.1211,-0.0832,-0.0722,-0.0832,DECLINING
Tim Berni,CBJ,D,59,1,0.7669,0.7491,6.4,4.3,5.9,4.6,5.7,5.9,5.1,5.4,4.8,5.1,1.0,1.1,5.6,5.8,1.7,1.6,,,,,,
Ville Heinola,WPG,D,32,0,0.7696,0.7217,1.6,1.8,1.4,1.3,5.0,5.0,5.4,5.4,4.2,5.2,2.8,2.7,4.9,5.1,2.4,2.3,,,,,,
Tony DeAngelo,NYI,D,212,4,0.7816,0.827,9.2,8.7,9.0,8.9,8.7,8.7,5.1,5.4,8.1,7.9,6.4,6.4,7.5,7.6,5.8,5.6,-0.584,0.2263,0.1134,-0.0814,0.1134,RISING
Gustav Forsling,FLA,D,321,4,0.7924,0.8144,9.3,7.5,9.3,8.5,8.7,8.2,5.5,5.4,7.6,6.6,5.1,5.4,8.3,8.1,6.3,5.7,-0.085,0.1978,-0.2043,-0.0305,-0.2043,DECLINING
Rasmus Andersson,VGK,D,319,4,0.7873,0.7747,9.9,9.0,9.7,9.4,7.3,6.9,5.6,5.4,6.6,5.8,3.4,3.7,8.7,8.7,5.7,5.5,0.0879,-0.0444,-0.1089,-0.0218,-0.1089,DECLINING
Jonas Siegenthaler,NJD,D,274,4,0.7837,0.805,8.5,7.2,7.9,7.1,8.1,7.9,5.3,5.4,7.6,6.9,5.6,5.7,7.9,7.9,5.2,4.7,-0.2486,0.0751,0.0036,-0.0566,0.0036,STABLE
Alex Pietrangelo,VGK,D,209,3,0.7883,0.8568,8.7,7.1,8.4,7.4,9.9,9.6,5.1,5.4,9.1,8.4,7.0,7.1,8.6,8.4,5.7,5.1,-0.2233,0.1799,,-0.0217,0.1799,RISING
Ryker Evans,SEA,D,175,3,0.7842,0.808,6.6,6.8,6.3,6.5,8.1,7.9,5.2,5.3,8.2,7.7,6.2,6.2,6.9,7.0,5.1,5.0,,0.3896,-0.4177,-0.0141,-0.4177,DECLINING
Ryan Suter,STL,D,246,3,0.7895,0.7726,8.1,6.7,7.7,6.9,7.2,6.8,5.6,5.3,7.3,6.6,5.0,5.2,8.1,8.1,5.4,5.0,-0.2411,0.0403,,-0.1004,0.0403,STABLE
David Savard,MTL,D,197,3,0.7788,0.8319,7.1,5.7,6.1,5.0,8.6,8.6,4.9,5.3,7.1,6.9,4.9,5.0,7.4,7.3,4.3,3.9,-0.161,0.0752,,-0.0429,0.0752,RISING
Urho Vaakanainen,NYR,D,176,4,0.7866,0.7266,5.5,5.2,4.8,4.4,5.7,5.3,5.8,5.3,6.5,5.9,3.9,4.1,7.0,7.1,3.7,3.3,0.2875,0.0498,-0.332,0.0018,-0.332,DECLINING
Charle-Edouard D'Astous,TBL,D,70,1,0.7858,0.729,6.5,7.1,5.9,6.2,5.7,5.2,5.7,5.3,6.3,5.8,4.4,4.6,6.2,6.5,4.8,4.9,,,,,,
Jonas Brodin,MIN,D,234,4,0.7872,0.8402,8.6,7.4,8.3,7.6,9.2,9.0,5.1,5.3,8.2,7.3,5.8,6.0,9.4,9.3,6.9,6.6,-0.0161,-0.0919,0.1109,0.001,0.1109,RISING
Mike Matheson,MTL,D,288,4,0.7859,0.8433,7.3,5.9,6.5,5.6,9.2,9.0,5.0,5.3,7.7,7.0,5.2,5.3,7.9,7.8,5.0,4.5,-0.234,-0.1275,0.1191,-0.0808,0.1191,RISING
Tyler Tucker,STL,D,158,4,0.7701,0.7298,7.2,7.9,6.9,7.5,5.2,5.3,5.3,5.3,6.5,6.9,2.7,2.7,6.9,7.3,3.9,4.2,-0.0068,-0.0065,0.2159,0.0676,0.2159,RISING
Jaccob Slavin,CAR,D,276,4,0.784,0.8205,8.2,6.9,8.1,7.3,8.4,8.3,5.1,5.3,9.9,9.5,8.9,8.8,10.0,10.0,9.8,9.7,-0.226,0.2613,-0.1852,-0.05,-0.1852,DECLINING
Jaycob Megna,VGK,D,110,2,0.7654,0.729,7.6,6.1,7.1,6.1,5.0,5.2,5.2,5.3,5.6,6.0,4.0,3.9,7.0,7.2,3.7,3.7,-0.0316,,,-0.0316,,
Jamie Drysdale,PHI,D,190,3,0.7883,0.7763,8.2,8.4,8.2,8.5,7.3,6.9,5.5,5.3,6.5,5.8,3.7,4.0,8.0,8.0,5.9,5.8,,0.1574,0.2788,0.2181,0.2788,RISING
Jake Middleton,MIN,D,301,4,0.7826,0.8518,8.6,7.6,8.4,8.0,9.4,9.4,4.9,5.3,7.4,7.0,5.6,5.7,8.3,8.4,6.9,6.8,-0.1216,0.1179,-0.3261,-0.11,-0.3261,DECLINING
Jeremy Lauzon,VGK,D,242,4,0.7781,0.8097,7.5,6.3,7.1,6.3,7.9,7.9,5.0,5.3,7.9,7.6,5.9,5.9,7.9,8.0,6.0,5.9,-0.1618,-0.033,-0.1129,-0.1026,-0.1129,DECLINING
Drew Doughty,LAK,D,264,4,0.7882,0.8253,8.1,6.5,7.4,6.3,8.8,8.5,5.2,5.3,9.7,8.7,8.1,8.2,9.3,9.2,7.6,7.3,0.0728,-0.4252,0.1608,-0.0639,0.1608,RISING
Roman Josi,NSH,D,270,4,0.7841,0.8176,8.1,6.7,7.7,6.9,8.4,8.2,5.2,5.3,8.2,7.8,5.4,5.5,9.0,9.0,6.5,6.3,-0.1038,-0.0354,-0.0886,-0.076,-0.0886,DECLINING
Justin Schultz,SEA,D,143,2,0.7795,0.7733,8.5,6.8,8.0,7.0,6.8,6.7,5.3,5.3,5.8,6.0,4.8,4.8,6.6,6.8,4.5,4.3,0.0973,,,0.0973,,
Travis Hamonic,DET,D,208,4,0.7802,0.759,6.7,5.9,6.3,5.9,6.4,6.2,5.4,5.3,5.8,5.7,4.3,4.4,7.6,7.7,5.9,5.7,-0.2293,-0.0648,-0.2167,-0.1703,-0.2167,DECLINING
Alex Goligoski,MIN,D,82,2,0.769,0.7759,9.8,7.8,9.4,8.2,6.4,6.6,4.9,5.2,5.1,5.3,4.7,4.6,5.8,6.0,4.7,4.5,-0.5318,,,-0.5318,,
Philip Broberg,STL,D,206,3,0.7815,0.8374,7.8,7.6,7.7,7.8,8.8,8.8,4.9,5.2,8.3,7.8,5.4,5.5,8.5,8.7,5.5,5.5,,,-0.0722,-0.0722,-0.0722,DECLINING
Tobias Bjornfot,FLA,D,47,0,0.7695,0.7837,5.7,6.9,5.3,6.1,6.7,6.9,4.9,5.2,6.6,6.7,6.4,6.3,7.1,7.4,5.6,5.9,,,,,,
Victor Mancini,VAN,D,55,2,0.78,0.7328,4.2,6.1,3.7,4.8,5.4,5.2,5.4,5.2,4.7,4.4,3.3,3.5,4.4,4.8,1.8,1.9,,,-0.2228,-0.2228,-0.2228,DECLINING
Jack Johnson,CBJ,D,204,3,0.7682,0.7785,5.9,5.1,5.4,4.9,6.5,6.7,4.8,5.2,8.0,8.5,4.3,4.2,7.9,8.1,4.9,5.0,0.0094,-0.1709,,-0.0807,-0.1709,DECLINING
Uvis Balinskis,FLA,D,156,3,0.7771,0.7593,6.7,7.2,6.5,7.0,6.2,6.1,5.2,5.2,8.3,8.4,6.0,5.9,8.0,8.1,5.8,5.7,,0.4428,-0.291,0.0759,-0.291,DECLINING
Josh Manson,COL,D,230,4,0.7761,0.8461,8.1,8.1,7.8,7.8,8.9,9.0,4.6,5.2,8.2,7.7,5.9,6.0,9.0,9.1,7.1,7.1,-0.0062,-0.0329,-0.0867,-0.0419,-0.0867,DECLINING
Jacob Trouba,ANA,D,308,4,0.7847,0.8088,8.3,7.4,7.8,7.2,8.0,7.8,5.1,5.2,7.9,7.4,5.4,5.5,8.2,8.2,5.5,5.2,-0.1201,-0.0521,0.153,-0.0064,0.153,RISING
Shayne Gostisbehere,CAR,D,281,4,0.7782,0.8247,7.7,7.0,7.2,6.8,8.2,8.3,4.8,5.2,7.8,7.7,6.5,6.5,8.6,8.7,6.7,6.7,-0.2133,0.0593,0.0394,-0.0382,0.0394,STABLE
Ian Moore,ANA,D,69,1,0.7826,0.7564,8.5,10.0,7.8,8.8,6.3,6.0,5.4,5.2,7.5,7.2,4.0,4.2,7.3,7.7,4.7,5.1,,,,,,
Adam Wilsby,NSH,D,80,2,0.7878,0.7944,5.2,5.8,4.9,5.3,7.6,7.3,5.3,5.2,6.0,5.6,3.6,3.8,6.6,6.8,4.8,4.6,,,0.3108,0.3108,0.3108,RISING
Neal Pionk,WPG,D,284,4,0.785,0.7937,8.8,7.8,8.3,7.7,7.4,7.2,5.1,5.1,7.9,7.6,6.1,6.1,8.5,8.5,6.0,5.7,-0.1172,0.1728,-0.441,-0.1285,-0.441,DECLINING
Johnathan Kovacevic,NJD,D,254,4,0.7796,0.8166,6.8,5.7,6.1,5.3,8.0,8.0,4.9,5.1,6.7,6.3,5.0,5.1,7.8,7.8,4.4,4.0,0.0277,-0.0972,0.0188,-0.0169,0.0188,STABLE
Sean Durzi,UTA,D,238,4,0.7812,0.8225,8.2,7.2,8.0,7.5,8.2,8.1,4.8,5.1,9.0,8.6,6.9,6.9,8.2,8.3,6.5,6.3,-0.6066,0.1965,0.1325,-0.0925,0.1325,RISING
Mattias Samuelsson,BUF,D,236,4,0.7869,0.8018,7.9,6.9,7.8,7.4,7.8,7.4,5.2,5.1,7.1,6.5,3.9,4.1,7.9,7.9,5.6,5.2,-0.1099,0.3154,-0.0114,0.0647,-0.0114,STABLE
Kevin Bahl,CGY,D,273,4,0.7894,0.7763,8.7,7.8,8.5,8.2,7.0,6.6,5.4,5.1,6.8,5.8,4.4,4.6,7.9,7.8,5.9,5.5,-0.1561,-0.0258,-0.1875,-0.1231,-0.1875,DECLINING
Brad Hunt,COL,D,47,1,0.7492,0.7511,4.0,3.3,3.4,2.8,4.8,5.6,4.4,5.1,3.5,4.7,1.5,1.5,6.4,6.8,3.7,4.1,,,,,,
Robert Hagg,VGK,D,45,1,0.7562,0.6672,7.1,6.0,6.4,5.6,2.5,2.8,5.1,5.1,3.5,4.2,2.0,2.0,5.7,5.9,2.3,2.1,,,,,,
Trevor van Riemsdyk,WSH,D,295,4,0.7787,0.8107,8.8,8.0,8.0,7.5,7.8,7.7,4.9,5.1,8.6,8.4,5.0,5.0,8.8,8.8,4.9,4.7,-0.1679,0.0965,0.0088,-0.0209,0.0088,STABLE
Jack Thompson,SJS,D,34,1,0.7799,0.754,1.6,2.9,1.4,2.1,6.1,5.9,5.3,5.1,5.3,5.8,1.3,1.4,8.1,8.1,3.9,3.6,,,,,,
Brendan Smith,CBJ,D,170,3,0.7717,0.7961,7.4,6.6,7.0,6.5,7.1,7.2,4.8,5.1,8.2,8.2,5.4,5.4,8.1,8.2,5.3,5.1,-0.2539,-0.1174,,-0.1857,-0.1174,DECLINING
Nicolas Hague,NSH,D,285,4,0.7814,0.8298,7.7,6.8,7.1,6.6,8.4,8.3,4.8,5.0,7.8,7.6,6.6,6.6,7.1,7.2,5.3,5.1,-0.2932,0.3458,-0.2314,-0.0596,-0.2314,DECLINING
Conor Timmins,BUF,D,159,4,0.774,0.7559,7.5,7.6,6.9,7.0,5.8,5.8,5.0,5.0,5.3,5.3,3.7,3.8,7.3,7.5,5.1,5.1,0.0582,-0.149,0.346,0.0851,0.346,RISING
Rasmus Sandin,WSH,D,294,4,0.7836,0.8122,7.8,7.2,7.3,7.0,7.8,7.6,4.9,5.0,8.0,7.4,5.6,5.7,8.2,8.2,6.0,5.7,-0.0607,-0.0633,0.2404,0.0388,0.2404,RISING
Alexander Romanov,NYI,D,236,3,0.7839,0.832,6.8,5.7,6.6,6.0,8.5,8.3,4.8,5.0,9.2,8.9,6.9,6.9,7.9,7.8,5.1,4.6,0.0265,0.0566,,0.0415,0.0566,RISING
Rasmus Ristolainen,PHI,D,212,4,0.7807,0.7879,9.2,8.8,9.1,9.1,7.0,6.8,5.0,5.0,7.0,6.7,4.6,4.7,8.3,8.4,6.4,6.3,-0.3437,0.3098,-0.4482,-0.1607,-0.4482,DECLINING
Lane Hutson,MTL,D,166,2,0.7842,0.8377,6.2,6.3,5.4,5.3,8.5,8.3,4.6,4.9,7.8,7.5,5.2,5.2,7.7,7.7,4.4,4.0,,,-0.1148,-0.1148,-0.1148,DECLINING
David Jiricek,PHI,D,85,2,0.7745,0.7773,7.8,7.1,7.2,6.8,6.3,6.3,4.8,4.9,5.9,6.1,3.3,3.4,6.6,6.7,3.5,3.3,,,,,,
Ian Mitchell,BOS,D,63,1,0.7633,0.69,7.4,6.4,6.7,6.0,3.2,3.4,5.0,4.9,5.8,6.3,2.7,2.7,6.0,6.1,2.9,2.6,,,,,,
Calle Rosen,STL,D,55,1,0.7665,0.7091,7.6,6.3,7.4,6.7,4.0,4.1,5.0,4.9,5.0,6.0,2.9,2.8,7.1,7.4,4.3,4.4,,,,,,
Radim Simek,SJS,D,44,1,0.7529,0.7685,4.7,2.7,4.2,2.8,5.3,6.0,4.2,4.9,7.3,8.2,1.7,1.6,6.7,7.0,2.8,2.9,,,,,,
Zach Metsa,BUF,D,43,1,0.7757,0.7548,4.2,5.2,4.0,4.7,5.7,5.6,5.0,4.9,7.6,7.0,4.1,4.3,5.4,5.7,3.9,3.8,,,,,,
Adam Larsson,SEA,D,326,4,0.786,0.839,8.2,7.0,7.7,7.0,8.7,8.4,4.7,4.9,8.7,8.4,7.3,7.2,8.6,8.6,6.1,5.9,0.0036,0.2095,-0.3251,-0.0373,-0.3251,DECLINING
Matt Benning,TOR,D,99,1,0.7768,0.7424,7.7,5.6,7.4,6.1,5.3,5.2,5.0,4.9,4.0,3.8,1.8,2.0,6.3,6.4,3.7,3.4,,,,,,
Erik Johnson,COL,D,166,3,0.7621,0.7975,8.2,8.0,7.7,7.5,6.5,6.9,4.3,4.9,5.6,6.2,3.1,3.0,7.4,7.7,4.8,5.0,-0.2406,-0.0328,,-0.1367,-0.0328,STABLE
Ilya Solovyov,PIT,D,45,1,0.7879,0.7634,6.6,6.5,6.0,5.9,6.4,6.0,5.3,4.9,7.4,6.7,3.4,3.6,6.4,6.4,4.2,3.8,,,,,,
John Carlson,ANA,D,271,4,0.7851,0.8327,7.8,6.9,7.2,6.6,8.5,8.3,4.8,4.9,8.2,7.5,5.5,5.6,8.8,8.7,6.0,5.7,-0.1161,-0.0277,0.1758,0.0107,0.1758,RISING
Alexandre Carrier,MTL,D,268,4,0.782,0.8369,7.6,6.7,7.0,6.3,8.4,8.3,4.6,4.8,7.9,7.4,6.0,6.1,8.5,8.6,6.0,5.8,0.0018,-0.1853,0.27,0.0289,0.27,RISING
Vladislav Gavrikov,NYR,D,313,4,0.7897,0.8384,7.6,6.7,7.1,6.5,8.7,8.4,4.8,4.8,7.9,7.0,5.3,5.5,8.1,8.1,5.2,4.9,-0.0707,-0.1529,-0.0067,-0.0768,-0.0067,STABLE
Dante Fabbro,CBJ,D,277,4,0.7799,0.8332,7.6,6.9,7.1,6.6,8.2,8.1,4.5,4.8,8.4,8.1,6.7,6.7,8.5,8.6,6.5,6.4,-0.0925,0.209,-0.1629,-0.0155,-0.1629,DECLINING
Chris Tanev,TOR,D,226,3,0.7932,0.7761,9.3,7.8,9.1,8.4,6.9,6.3,5.2,4.8,4.9,3.7,3.6,4.0,7.9,7.7,5.8,5.2,-0.0364,-0.0297,,-0.033,-0.0297,STABLE
Shakir Mukhamadullin,SJS,D,83,2,0.7739,0.8381,5.3,6.0,4.7,5.1,8.1,8.2,4.3,4.8,4.7,5.4,3.6,3.5,6.3,6.7,3.7,4.1,,,-0.0728,-0.0728,-0.0728,DECLINING
Noah Juulsen,PHI,D,153,3,0.7807,0.764,7.9,8.1,7.7,8.0,6.1,5.9,5.0,4.8,5.5,5.4,4.0,4.0,6.7,6.9,4.5,4.4,,0.1016,-0.0848,0.0084,-0.0848,DECLINING
Jacob Moverare,LAK,D,90,2,0.7722,0.8197,2.6,3.2,2.4,2.7,7.3,7.4,4.2,4.7,7.6,7.7,6.3,6.2,7.9,8.2,5.9,6.0,,-0.1161,,-0.1161,-0.1161,DECLINING
Filip Hronek,VAN,D,287,4,0.7886,0.8153,8.7,8.0,8.4,8.1,7.8,7.4,4.7,4.7,8.0,7.3,6.3,6.4,7.9,7.9,5.0,4.6,-0.2414,0.2692,-0.1103,-0.0275,-0.1103,DECLINING
Marcus Bjork,CBJ,D,33,1,0.7734,0.7924,7.2,5.2,6.5,5.0,6.5,6.6,4.5,4.7,3.5,2.7,2.2,2.6,4.5,4.6,2.0,1.5,,,,,,
Nick DeSimone,UTA,D,97,3,0.7799,0.7645,8.2,8.2,7.9,8.0,5.9,5.7,4.9,4.7,5.9,5.2,4.5,4.7,5.7,5.8,4.3,4.1,,0.3603,0.0423,0.2013,0.0423,STABLE
Dylan DeMelo,WPG,D,320,4,0.7872,0.8291,9.0,8.0,9.0,8.6,8.2,7.9,4.7,4.7,8.2,7.8,7.5,7.5,8.5,8.5,7.0,6.7,-0.165,0.139,-0.1428,-0.0563,-0.1428,DECLINING
Zach Whitecloud,CGY,D,272,4,0.7839,0.8352,6.8,6.5,6.6,6.5,8.3,8.1,4.5,4.7,8.7,8.6,6.1,6.1,8.2,8.3,4.8,4.6,-0.1838,0.3221,-0.198,-0.0199,-0.198,DECLINING
Jake Walman,EDM,D,243,4,0.7884,0.8268,7.4,6.2,6.9,6.2,8.2,7.8,4.7,4.7,7.8,6.9,5.5,5.7,8.6,8.5,6.0,5.6,-0.2843,0.2762,-0.0407,-0.0163,-0.0407,STABLE
Brayden McNabb,VGK,D,310,4,0.7861,0.8664,9.4,8.2,9.2,8.7,9.2,9.1,4.3,4.6,9.4,8.9,8.2,8.1,9.2,9.1,7.3,7.1,-0.0738,0.311,-0.4669,-0.0766,-0.4669,DECLINING
