player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Vinnie Hinostroza,FLA,C,143,3,0.7519,0.7512,6.1,4.8,6.1,5.6,6.3,6.0,4.9,5.1,6.2,5.8,5.4,5.4,5.9,5.9,4.4,4.7,,,-0.0557,-0.0557,-0.0557,DECLINING
Elias Lindholm,BOS,C,306,4,0.7662,0.7435,7.8,4.9,7.8,6.5,6.4,5.7,5.9,5.5,6.1,5.3,4.4,4.5,7.5,7.3,4.8,4.7,-0.0523,0.0659,-0.2365,-0.0743,-0.2365,DECLINING
Cole Schwindt,FLA,R,76,2,0.7459,0.7228,6.1,6.5,5.9,6.5,4.6,4.6,4.2,4.5,6.2,6.3,5.0,4.9,6.7,6.9,4.1,4.7,,,-0.0877,-0.0877,-0.0877,DECLINING
Evgenii Dadonov,NJD,R,228,4,0.7646,0.7394,6.2,3.3,6.1,4.4,5.3,4.4,6.0,5.3,7.0,6.1,4.9,5.0,7.5,7.3,4.7,4.7,0.1085,0.0837,-0.4014,-0.0697,-0.4014,DECLINING
Pavel Zacha,BOS,C,320,4,0.7672,0.7494,7.8,5.1,7.7,6.6,7.2,6.6,4.9,4.8,6.3,5.5,5.6,5.7,7.2,7.0,4.8,4.7,0.0085,0.1331,-0.1151,0.0088,-0.1151,DECLINING
Brock Boeser,VAN,R,304,4,0.7651,0.7496,8.6,5.8,8.7,7.8,5.9,5.0,6.6,6.0,6.7,5.9,5.0,5.1,7.2,7.0,4.8,4.7,0.1379,-0.1096,-0.0084,0.0066,-0.0084,STABLE
Matty Beniers,SEA,C,320,4,0.7644,0.7374,7.3,4.7,7.3,6.2,6.9,6.4,6.0,5.9,7.2,6.6,5.7,5.7,7.7,7.5,4.7,4.7,0.0751,0.049,-0.1334,-0.0031,-0.1334,DECLINING
Matthew Knies,TOR,L,240,3,0.7704,0.7503,7.0,4.4,7.1,5.9,7.6,7.1,4.6,4.6,7.0,6.0,6.1,6.3,7.5,7.3,5.0,4.7,,-0.0776,-0.0587,-0.0682,-0.0587,DECLINING
Auston Matthews,TOR,C,282,4,0.7749,0.7438,8.3,4.8,8.1,6.4,8.6,8.0,6.3,6.2,7.6,6.4,6.0,6.1,7.9,7.5,4.9,4.6,0.0198,-0.0631,-0.1941,-0.0791,-0.1941,DECLINING
Dillon Dube,CGY,C,125,2,0.7572,0.7416,9.2,5.9,9.2,7.9,6.0,5.9,6.5,6.6,5.1,5.1,3.0,3.0,6.6,6.6,4.4,4.6,-0.2858,,,-0.2858,,
Blake Wheeler,NYR,R,126,2,0.76,0.7565,7.8,4.9,7.8,6.5,5.6,5.3,3.9,4.1,5.5,5.4,6.3,6.3,5.9,5.8,4.5,4.6,0.0788,,,0.0788,,
Jonah Gadjovich,FLA,L,126,3,0.7584,0.747,5.8,5.5,5.7,5.8,5.6,5.8,6.4,6.8,7.4,7.3,5.0,4.9,6.3,6.2,4.4,4.6,0.182,0.209,,0.1955,0.209,RISING
