test,N,r,R2,p
PP: TNFI%_PP → PP goals/60,128,0.46771044985347077,0.218753064902136,2.6013542440084822e-08
PK: opp TNFI%_PK → PK goals-against/60,128,0.22647025658378897,0.05128877711712721,0.01015303883501675
