season,team,n_players,NFI_pct,NFI_pct_ZA,NFI_pct_3A,RelNFI_F_pct,RelNFI_A_pct,RelNFI_pct,CF_pct,CF_pct_ZA,CF_pct_3A,RelCF_F_pct,RelCF_A_pct,RelCF_pct,FF_pct,FF_pct_ZA,FF_pct_3A,RelFF_F_pct,RelFF_A_pct,RelFF_pct,points,oz_ratio
20222023,TOR,18,0.548843,0.542691,0.508896,-0.015358,0.031613,0.016255,0.518172,0.51202,0.502528,-0.142091,0.118641,-0.023451,0.521596,0.515444,0.489593,-0.081031,0.110835,0.029804,111.0,0.517578
20222023,UTA,23,0.449984,0.471435,0.503796,-0.04427,0.128846,0.084576,0.474695,0.496146,0.505139,-0.24723,0.387827,0.140597,0.456661,0.478112,0.502869,-0.133665,0.322825,0.189161,,0.438711
20222023,VAN,24,0.487278,0.492538,0.499837,-0.155473,0.198355,0.042882,0.490254,0.495515,0.497468,-0.572657,0.66087,0.088212,0.481208,0.486468,0.492054,-0.296212,0.613901,0.317688,83.0,0.484971
20222023,VGK,23,0.532555,0.538489,0.512811,-0.018672,0.098254,0.079582,0.504772,0.510705,0.503701,-0.087049,0.302552,0.215503,0.490376,0.49631,0.476663,-0.043305,0.249237,0.205933,111.0,0.483047
20222023,WPG,23,0.510658,0.507561,0.497585,0.008019,-0.013462,-0.005444,0.503336,0.500239,0.499461,-0.121081,0.102965,-0.018116,0.511251,0.508154,0.500472,-0.077351,0.068915,-0.008435,95.0,0.508847
20222023,WSH,23,0.492023,0.493528,0.49606,0.022074,-0.014977,0.007098,0.495975,0.49748,0.497993,-0.086155,0.01647,-0.069685,0.496517,0.498022,0.499964,-0.022119,0.027858,0.005739,80.0,0.495701
20232024,ANA,25,0.44307,0.455306,0.486665,-0.034673,0.050686,0.016013,0.484422,0.496658,0.500715,-0.243565,0.257528,0.013962,0.464533,0.476769,0.498076,-0.110256,0.204821,0.094566,59.0,0.46504
20232024,BOS,23,0.512018,0.528728,0.519092,-0.053017,0.05013,-0.002887,0.494261,0.510971,0.509314,-0.492497,0.419192,-0.073305,0.477675,0.494385,0.487634,-0.178836,0.336518,0.157682,109.0,0.452256
20232024,BUF,23,0.489901,0.481259,0.486809,-0.031305,0.083314,0.052009,0.503399,0.494757,0.495673,-0.079702,0.278416,0.198714,0.5089,0.500259,0.504128,-0.016702,0.267937,0.251235,84.0,0.524691
20232024,CAR,20,0.556467,0.535181,0.497345,-0.05778,0.047632,-0.010148,0.526534,0.505248,0.499741,-0.215054,0.147504,-0.067549,0.583871,0.562585,0.536574,-0.186951,0.083677,-0.103274,111.0,0.560816
20232024,CBJ,26,0.4511,0.449719,0.478921,-0.01052,0.025792,0.015272,0.489548,0.488167,0.491615,-0.13738,0.196118,0.058738,0.4792,0.47782,0.497497,-0.081049,0.141352,0.060303,66.0,0.503945
20232024,CGY,26,0.492105,0.488123,0.490562,-0.047516,0.124085,0.076569,0.511592,0.507611,0.50679,-0.415242,0.622565,0.207323,0.515676,0.511695,0.512788,-0.191544,0.46785,0.276306,81.0,0.511375
20232024,CHI,27,0.422991,0.430164,0.47562,-0.090536,0.116727,0.026191,0.469764,0.476937,0.482982,-0.376789,0.49044,0.113651,0.437269,0.444442,0.475409,-0.232456,0.394086,0.161631,52.0,0.479506
20232024,COL,22,0.533543,0.530233,0.512017,0.04067,0.124262,0.164932,0.504373,0.501062,0.499167,-0.223569,0.434259,0.210691,0.521686,0.518375,0.506228,0.008097,0.376883,0.38498,107.0,0.509458
20232024,DAL,21,0.561757,0.563866,0.521298,-0.007182,0.037978,0.030796,0.51157,0.513679,0.507775,-0.132088,0.176363,0.044274,0.529381,0.53149,0.50237,-0.081664,0.116447,0.034783,113.0,0.493974
20232024,DET,22,0.435392,0.451133,0.491428,-0.073697,0.050261,-0.023436,0.480119,0.49586,0.501481,-0.152498,0.242186,0.089688,0.45813,0.473871,0.501452,-0.093116,0.204468,0.111352,91.0,0.455026
20232024,EDM,20,0.580848,0.56843,0.519584,0.097985,0.045234,0.143219,0.519899,0.507482,0.500323,0.038623,0.219754,0.258377,0.549602,0.537184,0.503578,0.16307,0.165421,0.328491,104.0,0.535479
20232024,FLA,22,0.54373,0.527839,0.50012,0.024,0.104367,0.128367,0.498129,0.482238,0.47878,-0.248804,0.27957,0.030766,0.540791,0.524899,0.506129,-0.099006,0.260706,0.1617,110.0,0.545404
20232024,LAK,22,0.518447,0.51235,0.500031,-0.136072,0.113791,-0.022281,0.52982,0.523722,0.522082,-0.468981,0.4428,-0.026181,0.547526,0.541428,0.533036,-0.345375,0.337899,-0.007476,99.0,0.517422
20232024,MIN,24,0.52493,0.5262,0.51009,0.019886,0.079668,0.099553,0.50194,0.503211,0.50104,-0.28015,0.355319,0.075169,0.499325,0.500596,0.489606,-0.158355,0.274687,0.116332,87.0,0.496371
20232024,MTL,25,0.462532,0.478566,0.499997,-0.113822,0.130424,0.016602,0.491463,0.507497,0.509925,-0.389515,0.576277,0.186762,0.464723,0.480758,0.495148,-0.231574,0.393081,0.161507,76.0,0.454187
20232024,NJD,22,0.508393,0.502305,0.496565,0.032079,0.038017,0.070095,0.492593,0.486505,0.48565,-0.160865,0.213971,0.053107,0.509372,0.503283,0.499328,-0.055724,0.178999,0.123274,81.0,0.517395
20232024,NSH,23,0.530006,0.523991,0.502596,-0.064189,0.093391,0.029203,0.510971,0.504956,0.501598,-0.207372,0.299847,0.092474,0.519158,0.513143,0.498313,-0.095198,0.29959,0.204392,99.0,0.517187
20232024,NYI,24,0.50078,0.504911,0.504151,0.047779,0.054571,0.10235,0.506611,0.510743,0.510453,-0.032958,0.177167,0.144209,0.482505,0.486636,0.486025,0.162487,0.255319,0.417806,94.0,0.488197
20232024,NYR,20,0.499196,0.486956,0.490829,0.015004,0.119322,0.134326,0.506881,0.494642,0.495277,-0.324736,0.433076,0.108341,0.505975,0.493735,0.496433,-0.046761,0.447108,0.400348,114.0,0.53497
20232024,OTT,20,0.496318,0.488516,0.48937,0.009776,0.060447,0.070222,0.51262,0.504818,0.504487,-0.1214,0.250947,0.129547,0.514804,0.507002,0.507364,0.068678,0.258717,0.327395,78.0,0.52229
20232024,PHI,21,0.523942,0.510667,0.493811,-0.030211,0.057805,0.027594,0.539673,0.526399,0.523785,-0.298665,0.25097,-0.047695,0.539569,0.526295,0.514627,-0.164562,0.230544,0.065981,87.0,0.537928
20232024,PIT,23,0.514407,0.52229,0.514117,0.141877,0.045453,0.187329,0.497415,0.505298,0.50389,0.042058,0.120638,0.162696,0.507784,0.515667,0.509939,0.213405,0.196509,0.409915,88.0,0.477475
20232024,SEA,21,0.509747,0.506883,0.499185,0.016771,-0.015104,0.001667,0.482631,0.479767,0.478732,-0.00153,-0.079143,-0.080674,0.497347,0.494483,0.489233,0.006309,-0.084368,-0.078059,81.0,0.508184
20232024,SJS,26,0.414508,0.436075,0.488161,-0.033039,0.035771,0.002732,0.468533,0.4901,0.49738,-0.112554,0.192439,0.079885,0.436365,0.457932,0.49359,-0.136131,0.115565,-0.020566,47.0,0.43838
20232024,STL,22,0.42797,0.440833,0.484562,0.012755,0.087997,0.100752,0.482227,0.49509,0.500438,-0.137246,0.324519,0.187273,0.456214,0.469077,0.498635,-0.015522,0.274256,0.258734,92.0,0.463249
20232024,TBL,22,0.512888,0.51299,0.503971,0.041185,0.120438,0.161623,0.498371,0.498473,0.496796,-0.23112,0.387994,0.156875,0.502715,0.502817,0.496436,0.034379,0.292984,0.327363,98.0,0.499709
20232024,TOR,23,0.528361,0.521658,0.504642,0.019164,0.056575,0.075739,0.510762,0.504059,0.501258,-0.264405,0.23973,-0.024676,0.515602,0.508899,0.49704,-0.128589,0.220571,0.091982,102.0,0.519152
20232024,UTA,21,0.4866,0.49826,0.505182,-0.060138,0.047116,-0.013022,0.486598,0.498258,0.499051,-0.234418,0.330602,0.096184,0.482449,0.494108,0.498761,-0.138759,0.292966,0.154207,,0.466686
20232024,VAN,22,0.541784,0.541875,0.516863,-0.030143,0.028136,-0.002007,0.50246,0.502551,0.498912,-0.392125,0.220591,-0.171534,0.513908,0.513999,0.496804,-0.145405,0.275265,0.129861,109.0,0.499739
20232024,VGK,22,0.516363,0.511081,0.496306,-0.077517,0.004572,-0.072946,0.507164,0.501881,0.499927,-0.215198,0.31943,0.104232,0.494976,0.489694,0.479634,-0.159872,0.190619,0.030747,98.0,0.515093
20232024,WPG,21,0.514867,0.507629,0.497142,0.069203,-0.067892,0.001312,0.509008,0.501769,0.50003,0.00121,-0.090894,-0.089684,0.513338,0.5061,0.498785,0.069556,-0.120592,-0.051037,110.0,0.520681
20232024,WSH,25,0.487063,0.493711,0.500853,-0.004948,0.060461,0.055513,0.483014,0.489663,0.48999,-0.244055,0.283849,0.039794,0.464569,0.471217,0.475773,-0.117674,0.226534,0.10886,91.0,0.481004
20242025,ANA,22,0.44199,0.458471,0.490857,0.049129,0.050384,0.099513,0.485715,0.502196,0.508293,0.002306,0.240769,0.243075,0.462918,0.479399,0.50424,0.105689,0.227038,0.332727,80.0,0.452912
20242025,BOS,23,0.481406,0.487291,0.496076,-0.008152,0.074611,0.066458,0.48638,0.492265,0.494951,-0.228028,0.268908,0.04088,0.47599,0.481875,0.488877,-0.089178,0.219098,0.129919,76.0,0.483185
20242025,BUF,23,0.478,0.484928,0.495239,-0.029972,0.060555,0.030583,0.494407,0.501335,0.502672,-0.11594,0.269524,0.153584,0.49572,0.502648,0.510403,-0.019695,0.22641,0.206715,79.0,0.480205
20242025,CAR,19,0.538421,0.516337,0.498733,-0.029132,0.028575,-0.000557,0.522489,0.500406,0.497713,-0.210908,0.146852,-0.064056,0.579999,0.557915,0.54457,-0.172458,0.062612,-0.109846,99.0,0.563096
20242025,CBJ,25,0.484804,0.485473,0.494509,0.027747,0.079989,0.107737,0.498834,0.499504,0.501477,-0.010781,0.292004,0.281223,0.490773,0.491443,0.498443,0.096562,0.298844,0.395406,89.0,0.498088
20242025,CGY,23,0.49247,0.485868,0.487943,-0.037992,0.057318,0.019326,0.502252,0.495651,0.496009,-0.276743,0.525924,0.249181,0.513005,0.506403,0.507986,-0.127922,0.406816,0.278894,96.0,0.518862
20242025,CHI,27,0.419772,0.434743,0.473735,-0.057032,0.111307,0.054276,0.46974,0.48471,0.492592,-0.265915,0.420853,0.154938,0.44165,0.456621,0.486668,-0.170742,0.307658,0.136916,61.0,0.457226
20242025,COL,22,0.529337,0.524875,0.512865,0.096973,0.080813,0.177786,0.506563,0.502101,0.500178,-0.365243,0.441512,0.076269,0.531802,0.52734,0.518215,-0.064798,0.40458,0.339782,102.0,0.512748
20242025,DAL,21,0.514345,0.523902,0.517619,-0.003692,0.059335,0.055643,0.484612,0.494168,0.492805,-0.24306,0.345072,0.102012,0.49046,0.500017,0.495151,-0.217757,0.139214,-0.078543,106.0,0.472696
20242025,DET,21,0.473138,0.476577,0.489114,-0.022074,0.099294,0.077221,0.488942,0.49238,0.494921,-0.271109,0.383146,0.112037,0.478729,0.482167,0.49183,-0.122067,0.304387,0.18232,86.0,0.490176
20242025,EDM,21,0.545988,0.52962,0.5064,0.072201,0.079955,0.152155,0.520666,0.504298,0.499888,-0.07125,0.343385,0.272135,0.541758,0.52539,0.50757,0.149196,0.338299,0.487495,101.0,0.546766
20242025,FLA,19,0.529953,0.507341,0.491555,-0.068176,0.046323,-0.021853,0.512202,0.489591,0.487468,-0.022174,0.197422,0.175248,0.546241,0.52363,0.511738,0.022273,0.140231,0.162503,98.0,0.564603
20242025,LAK,21,0.543898,0.544153,0.521838,-0.04366,0.080038,0.036378,0.519754,0.52001,0.515483,-0.357781,0.26794,-0.089841,0.535592,0.535848,0.518648,-0.188706,0.230517,0.041811,105.0,0.49927
20242025,MIN,23,0.495848,0.505122,0.505703,0.005339,0.02983,0.035169,0.495978,0.505251,0.5055,-0.14012,0.23006,0.08994,0.479654,0.488927,0.489409,-0.061803,0.195865,0.134062,97.0,0.473505
20242025,MTL,19,0.482649,0.486342,0.493128,-0.02487,0.007732,-0.017139,0.491547,0.495241,0.497153,-0.09852,0.171505,0.072985,0.475482,0.479175,0.484542,0.025055,0.125948,0.151002,91.0,0.489448
20242025,NJD,20,0.514631,0.51168,0.502852,0.045601,0.042969,0.08857,0.491633,0.488682,0.488186,0.080661,0.130009,0.21067,0.502328,0.499377,0.492903,0.109778,0.183471,0.293248,91.0,0.508431
20242025,NSH,24,0.508421,0.505774,0.501839,-0.075277,-0.003847,-0.079124,0.494806,0.492159,0.490926,-0.258281,0.156155,-0.102126,0.502757,0.50011,0.496965,-0.129631,0.053636,-0.075995,68.0,0.507564
20242025,NYI,26,0.499086,0.495077,0.493271,-0.043328,0.078915,0.035586,0.507847,0.503838,0.503659,-0.233402,0.240073,0.006671,0.506049,0.50204,0.500695,-0.138389,0.193213,0.054824,82.0,0.511454
20242025,NYR,22,0.485088,0.486147,0.496871,-0.032251,0.17198,0.139729,0.498319,0.499378,0.501277,-0.384248,0.524411,0.140163,0.493008,0.494066,0.502262,-0.140417,0.537465,0.397048,85.0,0.496976
20242025,OTT,22,0.506244,0.512778,0.50876,-0.031014,0.172323,0.141309,0.505806,0.51234,0.511748,-0.283908,0.552283,0.268375,0.50559,0.512124,0.509083,-0.090158,0.474329,0.384172,97.0,0.481332
20242025,PHI,23,0.524735,0.528975,0.515953,-0.027271,0.041339,0.014068,0.520605,0.524845,0.522766,-0.135999,0.103892,-0.032107,0.503124,0.507364,0.49747,-0.085191,0.067917,-0.017274,76.0,0.487887
