player_id,player_name,position,team,season,toi_sec,NFI_pct,NFI_pct_ZA,NFQOC,NFQOL,NFI_pct_3A,CF_pct,CF_pct_ZA,CF_pct_ZA_trad,CFQOC,CFQOL,CF_pct_3A,CF_pct_3A_trad,FF_pct,FF_pct_ZA,FF_pct_ZA_trad,FFQOC,FFQOL,FF_pct_3A,FF_pct_3A_trad,cf_fen,ca_fen,cf_cor,ca_cor,cf_cm,ca_cm,team_es_toi_sec,team_cf_fen,team_ca_fen,team_cf_cor,team_ca_cor,team_cf_cm,team_ca_cm,on60_cf_fen,on60_ca_fen,on60_cf_cor,on60_ca_cor,on60_cf_cm,on60_ca_cm,off60_cf_fen,off60_ca_fen,off60_cf_cor,off60_ca_cor,off60_cf_cm,off60_ca_cm,RelNFI_F_pct,RelNFI_A_pct,RelNFI_pct,RelCF_F_pct,RelCF_A_pct,RelCF_pct,RelFF_F_pct,RelFF_A_pct,RelFF_pct,es_toi_min,NFI_pct_3A_MOM,CF_pct_3A_MOM,FF_pct_3A_MOM,toi_min,prev_toi_min,mom_valid_pooled,mom_valid_current,NFI_pct_3A_MOM_3yr,CF_pct_3A_MOM_3yr,FF_pct_3A_MOM_3yr,NFI_MOM_consistency
8480865,Noah Dobson,D,MTL,20252026,69013.0,0.4631578947368421,0.4637118528596395,0.505727535000101,0.5249453504097045,0.4479282032392626,0.5231532524807057,0.5233545645671167,0.5233342869634643,0.5018602941453152,0.4962526134965342,0.5269304476311137,0.5269426855254356,0.496551724137931,0.4971677664323307,0.4967327586206896,0.5057499881845147,0.4900950633249745,0.5052180272124761,0.5057901842976337,648,657,949,865,220,255,187695.6,1667.2,1706.4,2395.0,2330.4,611.8,608.6,33.802327097793174,34.2718038630403,49.50371669105821,45.12193354875168,11.47609870604089,13.30184168200194,30.91539956151955,31.831456338165836,43.86152645796435,44.44998677143912,11.884471691722288,10.725750868282292,-0.4083729856813978,-2.5760908137196488,-2.9844637994010466,5.6421902330938565,-0.6719467773125629,4.970243455781294,2.8869275362736246,-2.4403475248744613,0.4465800113991633,1150.2166666666667,-0.12838752255169744,0.012072979766851177,-0.033935545327741345,1150.2166666666667,1568.6333333333334,False,True,-0.020887879219808003,0.0057206282477793025,-0.0030872965880224625,mixed
8478434,Keegan Kolesar,F,VGK,20252026,35340.0,0.456,0.4698688796211166,0.4889237498803283,0.5622573655674926,0.4206220077182641,0.475051975051975,0.4800920186542075,0.4795843491526945,0.4975632907858394,0.5128713753039233,0.4699677650854996,0.4693783347064006,0.479196556671449,0.4946197738262033,0.4837289307721685,0.4921254387334278,0.5231230520474123,0.4733484531733532,0.46013628875269,334,363,457,505,114,136,165859.2,1615.2,1442.4,2153.6,2040.2,567.6,451.4,34.02376910016978,36.97792869269949,46.553480475382,51.44312393887945,11.612903225806452,13.853989813242784,35.33824908519206,29.77217145063715,46.795873710534536,42.34411488884394,12.511262710773586,8.699409742014966,-0.8983594849671341,-5.154580071227818,-6.052939556194952,-0.2423932351525337,-9.099009050035512,-9.341402285188046,-1.314479985022281,-7.205757242062344,-8.520237227084625,589.0,-0.1210833943818681,-0.039847989734443645,-0.044319786806315487,589.0,1049.5333333333333,False,True,-0.024517383291036532,-0.003214155370915702,-0.002607916223028824,mixed
8482074,Connor Zary,F,CGY,20252026,38593.0,0.3961538461538461,0.3984488155197214,0.5005419655663372,0.4845289808356845,0.4067970539295237,0.4775224775224775,0.4783564847376088,0.4782724775224775,0.4998815117950138,0.5003982233890918,0.4774518954160688,0.4773613689099726,0.4787535410764872,0.481305716296143,0.4795035410764872,0.4986747408744099,0.4981960738106299,0.4800299680166721,0.4780371313715335,338,368,478,523,103,157,198274.8,1840.2,1913.8,2590.8,2670.6,603.2,696.4,31.529033762599433,34.32746871194258,44.588396859534114,48.78604928354883,9.607959992744798,14.645142901562458,33.86685270331372,34.849807554774564,47.63272959097406,48.41728988525931,11.276926988548478,12.160684561421528,-1.6689669958036806,-2.4844583401409306,-4.153425335944611,-3.044332731439944,-0.3687593982895194,-3.4130921297294634,-2.3378189407142855,0.5223388428319851,-1.8154800978823005,643.2166666666667,-0.12087071912243508,-0.021036616855964474,-0.026599013519325365,643.2166666666667,868.6333333333333,False,True,,,,
8480289,Morgan Barron,F,WPG,20252026,31452.0,0.4330357142857143,0.453559008614907,0.5057997262432226,0.4720580738869412,0.4729059837678981,0.5030599755201959,0.510518277928639,0.5097670239783456,0.4997245758583559,0.4972565846154156,0.5110675604847152,0.5103201380491815,0.4892205638474295,0.5120439810099899,0.4959276123055793,0.4995849802865468,0.5029492116784385,0.5081895855295007,0.4916968557065323,295,308,411,406,97,127,185866.0,1736.8,1697.4,2346.2,2332.0,578.6,622.4,33.7657382678367,35.253719954215946,47.04311331552843,46.47081266692102,11.102632582983594,14.536436474628005,33.61405053945886,32.39239965288122,45.117152589791075,44.90266426619348,11.227997461370084,11.549729946766483,-0.12536487838649,-2.9867065278615197,-3.1120714062480097,1.9259607257373543,-1.5681484007275373,0.3578123250098173,0.1516877283778441,-2.861320301334729,-2.7096325729568846,524.2,-0.11714062418400734,-0.00615821064022104,-0.02981322500273087,524.2,730.4833333333333,False,True,-0.024032688502528765,-0.006607973647549133,-0.0055525207889415285,mixed
8475168,Matt Duchene,F,DAL,20252026,41749.0,0.4434782608695652,0.4392405476520018,0.4984384689858271,0.5445422528243363,0.4066774397255763,0.4819773429454171,0.4804373296225127,0.4805924508590862,0.5006492752065258,0.5069068541548694,0.4770395061220476,0.4771718026081163,0.4449404761904761,0.4402278265043012,0.4435555841041452,0.5026871603548156,0.4922801794327299,0.4451026797283021,0.4489965704781654,299,373,468,503,102,128,169109.8,1341.8,1446.8,1990.4,1979.6,522.0,479.2,25.782653476729983,32.163644638194924,40.35545761575128,43.373493975903614,8.795420249586815,11.037390117128554,29.47594550285488,30.352196280174123,43.03239301260671,41.7378031545028,11.871784724970322,9.927073322403755,-3.0763644753835067,-1.110316794724799,-4.186681270108306,-2.676935396855434,-1.6356908214008143,-4.3126262182562485,-3.693292026124898,-1.811448358020801,-5.504740384145698,695.8166666666667,-0.115694522071564,-0.020313259491789915,-0.056252276630350484,695.8166666666667,1336.5,False,True,-0.022390065865633673,-0.008561547287889715,-0.015165447515940437,mixed
8479996,Cody Glass,F,NJD,20252026,38747.0,0.44140625,0.44306241345991,0.5047310802431937,0.5012118401005553,0.4425108815923686,0.4965786901270772,0.4971805510039761,0.4971199272404792,0.5012047932982413,0.5096817100728419,0.4929872335569077,0.4928994826033313,0.4966442953020134,0.4984860712337238,0.4971855324154154,0.5024615612446819,0.5154785489852709,0.4881070870989829,0.4859894305156418,370,375,508,515,113,143,176147.4,1763.8,1665.6,2392.2,2340.4,584.2,605.6,34.37685498232121,34.84140707667691,47.19849278653832,47.84886571863627,10.49887733243864,13.286189898572792,36.51867097912378,33.81474871979994,49.36754187032934,47.826935001644834,12.345815587145308,12.120488732201654,-1.846938254706668,-1.1657011663711394,-3.0126394210778074,-2.1690490837910232,-0.0219307169914415,-2.190979800782465,-2.1418159968025705,-1.0266583568769718,-3.1684743536795423,645.7833333333333,-0.11449007848189963,-0.02217227436010022,-0.05449820886979451,645.7833333333333,836.1666666666666,False,True,-0.01893191277050345,-0.003906032162514561,-0.0037978258455595437,mixed
8476967,Brett Kulak,D,COL,20252026,58197.0,0.4455205811138014,0.4475318218726279,0.4968716453728335,0.5440412464159534,0.4144894885162616,0.484472049689441,0.4852029480313402,0.4851293266847462,0.5007290489524463,0.5140780745925239,0.4781600960677542,0.4780367902143762,0.476027397260274,0.4782640453400975,0.4766846742555791,0.4965324124299277,0.5308502225394679,0.4544738482208666,0.4505703182087534,556,612,780,830,184,229,181291.4,2016.2,1616.8,2597.6,2422.2,716.2,573.4,34.393525439455644,37.85762152688283,48.24990978916439,51.34285272436724,11.382030001546472,14.165678643229032,42.70478592039931,29.38622715574388,53.15725167026282,46.56523773624145,15.5646398211454,10.072269737697248,-4.1826098195989285,-4.093408905531785,-8.276018725130713,-4.907341881098432,-4.777614988125791,-9.684956869224225,-8.311260480943666,-8.471394371138949,-16.782654852082615,969.95,-0.11404678314426248,-0.04946986093881389,-0.07381427358670795,969.95,1581.65,False,True,-0.02095025094548386,-0.006853367900970964,-0.00970584361972123,mixed
8475191,Reilly Smith,F,VGK,20252026,32896.0,0.4814814814814814,0.4783560368197836,0.4914379205545359,0.5678785369859377,0.4266816744301794,0.5185601799775028,0.5174243724860789,0.5175387791992927,0.4973464973305342,0.5069596910223139,0.5101279246928953,0.5101809593534111,0.5244648318042814,0.5209891067969681,0.5234434310260713,0.4914792821985332,0.5229935571681292,0.4994328622571656,0.4995074439525314,343,311,461,428,104,112,165859.2,1615.2,1442.4,2153.6,2040.2,567.6,451.4,37.53647859922179,34.03453307392996,50.44990272373541,46.83852140077821,11.381322957198444,12.256809338521402,34.44501937378162,30.63283675483141,45.82741690934033,43.65057399340569,12.552044475463887,9.189309523236505,-1.1707215182654434,-3.067499815284899,-4.238221333550342,4.622485814395084,-3.187947407372519,1.4345384070225649,3.0914592254401683,-3.401696319098548,-0.3102370936583796,548.2666666666667,-0.10759404054734428,0.0029418037819674003,-0.0064161442683765,548.2666666666667,1172.7,False,True,-0.020139824089068836,0.0008506654749546039,-0.006497665746611092,mixed
8478519,Anthony Cirelli,F,TBL,20252026,48086.0,0.5331230283911672,0.5307027217152912,0.4991109665007077,0.5728084308664873,0.4797320343895022,0.4794871794871795,0.4786076238554025,0.4786962190352021,0.5022608690345315,0.5084401817896245,0.4762993370174584,0.4763778756614165,0.5271867612293144,0.5244952016756285,0.526395800777337,0.5036378746608619,0.5293829063196398,0.5057232463763248,0.5061116426886108,446,400,561,609,169,148,176954.0,1682.4,1531.4,2182.4,2196.2,601.2,491.4,33.390175934783514,29.94634612985068,41.99975044711558,45.593311982697664,12.652331239861914,11.080148068044751,34.5395288201881,31.60629481329733,45.2947201787876,44.33932395940031,12.073749883601826,9.593071980631343,0.5785813562600879,-1.48707608741341,-0.908494731153322,-3.294969731672019,-1.253988023297353,-4.548957754969372,-1.1493528854045891,1.6599486834466468,0.5105957980420577,801.4333333333333,-0.10731933942203564,-0.04407202838477753,-0.06175329597758805,801.4333333333333,1439.55,False,True,-0.015191956915962498,-0.004972380110455569,0.0029700228015874983,mixed
8482245,Artem Zub,D,OTT,20252026,62732.0,0.531578947368421,0.5426728231875259,0.4995628731218501,0.5855061850736769,0.4835106738268109,0.5184705119896306,0.5225021006524168,0.5220960099975986,0.5003914159458306,0.534217608545298,0.504564299333312,0.5040265711735361,0.5283687943262412,0.5407060025593714,0.5319942923342093,0.5018656347251628,0.5608824231513849,0.5003839434705167,0.4881320428320991,596,532,800,743,202,178,169219.0,1667.6,1396.2,2215.0,2005.6,605.8,463.2,34.20263980105847,30.529873111011927,45.90958362558184,42.63852579225914,11.592169865459416,10.21488235669196,36.227520730229976,29.215960633692376,47.83682515236602,42.68464695221013,13.651243813798866,9.641740306328472,-2.059073948339451,-0.5731420503634883,-2.632215998702939,-1.9272415267841791,0.0461211599509923,-1.881120366833187,-2.024880929171509,-1.3139124773195512,-3.3387934064910603,1045.5333333333333,-0.10381749723657607,-0.01916116956050673,-0.025311185910803502,1045.5333333333333,1095.8666666666666,False,True,-0.005673397646363321,-0.002405017202452897,-0.00015938502348252412,mixed
