rank,player_id,player_name,position,team_recent,n_seasons,toi_total,NFI_pct,NFI_pct_ZA,NFI_pct_3A,CF_pct,CF_pct_ZA,RelNFI_pct,RelNFI_F_pct,RelNFI_A_pct,NFQOC,NFQOL,oz_ratio,NFI_pct_3A_MOM_3yr,rank_NFI_ZA,rank_CF_ZA,rank_change
33,8478856,Conor Garland,F,VAN,4,4601.383333,0.528188,0.53623,0.542932,0.507131,0.515173,2.195735,1.232933,0.962802,0.499874,0.48476,0.477024,-0.010703,116,159,43
34,8478445,Mathew Barzal,F,NYI,4,4386.916667,0.528039,0.483705,0.493149,0.519803,0.47547,2.172288,0.519308,1.65298,0.502109,0.479942,0.626666,0.00528,403,482,79
35,8474031,Kevin Shattenkirk,D,BOS,2,2412.966667,0.465082,0.46837,0.517789,0.48691,0.490199,2.104146,0.510337,1.593809,0.498957,0.425967,0.490604,,471,378,-93
36,8474037,James van Riemsdyk,F,DET,4,3221.883333,0.521116,0.520725,0.533234,0.507032,0.506641,2.053241,1.812079,0.241163,0.498815,0.476489,0.501117,-0.024999,191,226,35
37,8480839,Rasmus Dahlin,D,BUF,4,6954.216667,0.509212,0.487706,0.504972,0.513013,0.491507,2.024768,-0.003313,2.028081,0.501889,0.467144,0.561447,0.016348,381,365,-16
38,8480222,Sebastian Aho,D,NYI,2,2144.183333,0.529503,0.483587,0.485814,0.507553,0.461638,2.023025,1.994049,0.028976,0.499758,0.491834,0.631186,,404,546,142
39,8478438,Tommy Novak,F,PIT,4,3234.85,0.542007,0.488239,0.486392,0.506785,0.453017,2.008938,2.748068,-0.73913,0.500769,0.502306,0.653623,0.034611,374,557,183
40,8476979,Erik Gustafsson,D,DET,3,3686.166667,0.518209,0.480233,0.490576,0.504697,0.466721,2.007481,1.906717,0.100764,0.498938,0.480995,0.608503,,422,532,110
41,8478882,Vladislav Gavrikov,D,NYR,4,6234.566667,0.531514,0.547596,0.546632,0.512216,0.528298,1.988043,0.971393,1.01665,0.502128,0.499644,0.454051,0.011706,66,90,24
42,8476346,Johnny Gaudreau,F,CBJ,2,3082.883333,0.477209,0.473784,0.504348,0.487527,0.484103,1.979728,0.680177,1.299551,0.503429,0.44934,0.509783,,455,437,-18
43,8476923,Damon Severson,D,CBJ,4,5248.433333,0.52839,0.526061,0.530939,0.511663,0.509335,1.975662,1.799568,0.176094,0.501618,0.486752,0.506655,-0.003518,162,205,43
44,8478519,Anthony Cirelli,F,TBL,4,4669.433333,0.554723,0.575171,0.559449,0.49913,0.519578,1.972736,0.798081,1.174654,0.501867,0.520357,0.441578,-0.015192,15,134,119
45,8475177,Calvin de Haan,D,COL,3,2403.233333,0.56884,0.593444,0.574783,0.530591,0.555195,1.947088,1.69728,0.249808,0.497923,0.52524,0.429701,,7,17,10
46,8481559,Jack Hughes,F,NJD,4,4935.716667,0.549437,0.48316,0.47453,0.516689,0.450412,1.931899,0.395579,1.53632,0.500821,0.504563,0.689362,-0.005325,407,563,156
47,8478483,Mitch Marner,F,VGK,4,5830.5,0.573883,0.550713,0.528454,0.511906,0.488736,1.928457,-1.507743,3.436201,0.501238,0.526493,0.566199,0.010325,59,391,332
48,8476392,Adam Lowry,F,WPG,4,4366.633333,0.540086,0.593907,0.594445,0.509497,0.563318,1.917421,0.778061,1.139361,0.502357,0.496526,0.346227,-0.015628,6,10,4
49,8477903,Garnet Hathaway,F,PHI,4,3185.916667,0.552205,0.613756,0.608458,0.528774,0.590324,1.913438,0.472995,1.440442,0.502988,0.504336,0.324142,0.014024,1,3,2
50,8476906,Shayne Gostisbehere,D,CAR,4,5031.1,0.51073,0.488995,0.498707,0.508036,0.486301,1.910857,0.185439,1.725418,0.49801,0.483173,0.562098,0.000926,369,410,41
51,8476448,William Karlsson,F,VGK,3,3514.466667,0.569816,0.559528,0.541068,0.522166,0.511878,1.829603,-1.148419,2.978022,0.500449,0.524125,0.529395,,33,179,146
52,8479390,Taylor Raddysh,F,NYR,4,3856.116667,0.482298,0.505235,0.542576,0.480164,0.503101,1.817381,0.867768,0.949613,0.50107,0.442751,0.434467,-0.002649,272,263,-9
53,8477935,Sam Bennett,F,FLA,4,4436.85,0.544584,0.520237,0.502013,0.507123,0.482776,1.815956,2.927056,-1.111099,0.503379,0.523482,0.569561,-0.015116,193,447,254
54,8476432,Boone Jenner,F,CBJ,4,3638.383333,0.496551,0.509169,0.528287,0.48822,0.500838,1.807835,-0.01,1.817835,0.501093,0.468425,0.463948,0.007484,253,285,32
55,8476453,Nikita Kucherov,F,TBL,4,6007.216667,0.545981,0.505304,0.495432,0.512775,0.472098,1.788367,1.336554,0.451814,0.500439,0.510945,0.616219,-0.015009,271,505,234
56,8482146,Luke Evangelista,F,NSH,4,3247.366667,0.532113,0.497798,0.499369,0.508028,0.473714,1.787492,1.245823,0.541669,0.501606,0.493997,0.598041,0.040265,316,490,174
57,8482730,Brandt Clarke,D,LAK,3,2443.4,0.562733,0.529626,0.528148,0.535782,0.502675,1.772818,1.785039,-0.012221,0.49621,0.502657,0.594593,,144,270,126
58,8475722,Jason Zucker,F,BUF,4,3889.566667,0.516293,0.498939,0.502726,0.509875,0.492521,1.74516,1.988636,-0.243475,0.499451,0.489094,0.549582,-0.01661,311,362,51
59,8482702,Logan Stankoven,F,CAR,3,2259.966667,0.558947,0.544559,0.525288,0.520113,0.505724,1.744393,2.673298,-0.928904,0.497352,0.531102,0.541111,,78,238,160
60,8477335,Kyle Burroughs,D,LAK,3,2473.116667,0.480641,0.497224,0.533096,0.49088,0.507463,1.743818,2.328772,-0.584954,0.500488,0.443878,0.45262,,322,218,-104
61,8481606,Jordan Spence,D,OTT,3,3223.2,0.560037,0.528822,0.512368,0.537637,0.506422,1.739008,2.245688,-0.50668,0.495854,0.528083,0.589187,,150,230,80
62,8480002,Nico Hischier,F,NJD,4,5405.15,0.546711,0.552515,0.536939,0.513359,0.519163,1.728015,-0.360262,2.088277,0.504795,0.516435,0.483417,0.005145,51,137,86
63,8480036,Miro Heiskanen,D,DAL,4,6175.1,0.562173,0.533796,0.514964,0.507707,0.479329,1.727578,-0.411349,2.138927,0.5001,0.524699,0.581078,0.005443,129,462,333
