player_id,player_name,position,n_seasons,toi_total,team_recent,metric_mean
8477478,William Carrier,F,4,2112.0,CAR,3.6975553335014615
8475314,Anders Lee,F,4,4824.966666666666,NYI,3.3344976669470996
8482702,Logan Stankoven,F,3,2259.9666666666667,CAR,3.295397311285406
8479591,Michael Eyssimont,F,4,2734.9,BOS,3.2469877722675773
8475848,Brendan Gallagher,F,4,3247.6833333333334,MTL,3.1888754129151864
8480878,Nils Lundkvist,D,4,3008.95,DAL,2.9944558628492577
8477935,Sam Bennett,F,4,4436.85,FLA,2.837336912239462
8475855,Jesper Fast,F,2,2100.2833333333333,CAR,2.7828294189551013
8478438,Tommy Novak,F,4,3234.85,PIT,2.7746486423242915
8475218,Mattias Ekholm,D,4,5807.633333333333,EDM,2.7339458654666475
8480801,Brady Tkachuk,F,4,5159.633333333333,OTT,2.70543133933117
8480891,Michael Kesselring,D,3,2718.866666666667,BUF,2.58033008364651
8481606,Jordan Spence,D,3,3223.2,OTT,2.5592119116439616
8475786,Zach Hyman,F,4,5252.3,EDM,2.546193569219369
8476873,Mark Jankowski,F,4,2216.45,CAR,2.513207898357441
8479314,Matthew Tkachuk,F,4,4482.283333333334,FLA,2.505829149591621
8481593,Jayden Struble,D,3,2218.5,MTL,2.485854757673613
8475791,Taylor Hall,F,3,2813.7,CAR,2.3695272705113273
8480058,Pierre-Olivier Joseph,D,4,2860.9333333333334,VAN,2.326035849134321
8482762,Simon Edvinsson,D,3,2941.5333333333333,DET,2.322236448256374
8475225,Craig Smith,F,3,2097.9166666666665,CHI,2.3009085345137055
8477492,Nathan MacKinnon,F,4,6361.15,COL,2.215793443410325
8477998,Warren Foegele,F,4,3844.9666666666667,LAK,2.174570713938874
8479398,Samuel Girard,D,4,4937.55,COL,2.1708725872481898
8480871,Adam Boqvist,D,4,2208.5,NYI,2.170757080843609
8479525,Ross Colton,F,4,3504.7,COL,2.169681742604331
8476399,Blake Coleman,F,4,4780.466666666666,CGY,2.1318944522783108
8477335,Kyle Burroughs,D,3,2473.116666666667,LAK,2.1290883215624894
8476438,Brandon Saad,F,4,3820.2166666666667,VGK,2.1232610503401266
8480222,Sebastian Aho,D,2,2144.1833333333334,NYI,2.109274899042388
