player_id,player_name,position,n_seasons,toi_total,team_recent,metric_mean
8475218,Mattias Ekholm,D,4,5807.633333333333,EDM,3.933196803779959
8479542,Brandon Hagel,F,4,5576.55,TBL,3.783097545054574
8480801,Brady Tkachuk,F,4,5159.633333333333,OTT,3.7813572479651527
8483457,Lane Hutson,D,2,3035.85,MTL,3.7798845033263735
8478402,Connor McDavid,F,4,6023.6,EDM,3.7705098881623247
8479323,Adam Fox,D,4,6109.183333333333,NYR,3.69465914757967
8479318,Auston Matthews,F,4,5172.15,TOR,3.5164609198442367
8476873,Mark Jankowski,F,4,2216.45,CAR,3.5162220874102648
8475314,Anders Lee,F,4,4824.966666666666,NYI,3.4126510738838465
8475848,Brendan Gallagher,F,4,3247.6833333333334,MTL,3.1652761759415857
8479314,Matthew Tkachuk,F,4,4482.283333333334,FLA,3.1588873442068586
8475786,Zach Hyman,F,4,5252.3,EDM,3.141469354542114
8478460,Zach Werenski,D,4,5306.866666666667,CBJ,3.139854779316653
8480803,Evan Bouchard,D,4,6454.266666666666,EDM,3.112660420764661
8482762,Simon Edvinsson,D,3,2941.5333333333333,DET,2.9703412976705983
8475855,Jesper Fast,F,2,2100.2833333333333,CAR,2.861934500329161
8475690,Chris Tanev,D,3,4194.033333333334,TOR,2.8503572973539875
8475791,Taylor Hall,F,3,2813.7,CAR,2.753639415192023
8482702,Logan Stankoven,F,3,2259.9666666666667,CAR,2.717041213274319
8476399,Blake Coleman,F,4,4780.466666666666,CGY,2.692224541611812
8480027,Jason Robertson,F,4,5459.383333333333,DAL,2.631693568838257
8477492,Nathan MacKinnon,F,4,6361.15,COL,2.613348992679942
8476881,Tomas Hertl,F,4,4719.25,VGK,2.593879875328924
8476931,Jake McCabe,D,4,5575.583333333333,TOR,2.593656147872346
8478445,Mathew Barzal,F,4,4386.916666666667,NYI,2.573925993989601
8477478,William Carrier,F,4,2112.0,CAR,2.528423127163497
8480849,Barrett Hayton,F,4,3772.15,UTA,2.51256702352443
8479407,Jesper Bratt,F,4,5384.566666666667,NJD,2.4417360253214007
8480023,Robert Thomas,F,4,5302.066666666667,STL,2.4349993962532976
8475799,Nino Niederreiter,F,4,4021.7166666666667,WPG,2.4341591334716655
