player_id,season,toi_sec,cf_fen,ca_fen,cf_cor,ca_cor,cf_cm,ca_cm,pos,name,fen_pct,cor_pct,cm_pct,team,oz_ratio,NFI_pct,CF_pct,FF_pct,ZA_NFI_emp,ZA_CF_emp,ZA_CF_trad,ZA_FF_emp,ZA_FF_trad,IOC_NFI,IOL_NFI,FA_NFI_emp,IOC_CF,IOL_CF,FA_CF_emp,FA_CF_trad,IOC_FF,IOL_FF,FA_FF_emp,FA_FF_trad,toi_min,small_sample
8480876,20252026,12772.0,152,127,197,154,55,42,F,Curtis Douglas,0.5448028673835126,0.5612535612535613,0.5670103092783505,TBL,0.6060606060606061,0.5670103092783505,0.5612535612535613,0.5448028673835126,0.5556513699927054,0.5571256467544264,0.5575414400414401,0.5321708890236001,0.5410907461713914,0.501354456762218,0.4629522676786193,0.5787376830240347,0.500912447755888,0.47695649357011644,0.5696501184335665,0.5701621889192418,0.5011219229449498,0.46915446624025214,0.551228542174598,0.5619105643321858,212.86666666666667,True
8477953,20252026,25649.0,246,226,384,286,74,84,F,Kasperi Kapanen,0.5211864406779662,0.573134328358209,0.46835443037974683,EDM,0.46060606060606063,0.46835443037974683,0.573134328358209,0.5211864406779662,0.4725734649715579,0.5746675537436019,0.5745131162369969,0.525878318354505,0.522565228556754,0.5015490378828451,0.5031155176054252,0.4691103480025895,0.4980032267713734,0.5045806423010291,0.5693810922820693,0.5691821247666708,0.5021577323023573,0.502000788910488,0.5241128965271278,0.5207418975469004,427.48333333333335,True
8482470,20252026,14445.0,194,155,267,206,87,61,D,Ilya Solovyov,0.5558739255014327,0.5644820295983086,0.5878378378378378,PIT,0.41818181818181815,0.5878378378378378,0.5644820295983086,0.5558739255014327,0.5966004481439069,0.5676664207833555,0.567345665961945,0.5656185945219365,0.5587375618650691,0.5102760230803314,0.536173235743231,0.5757228307463813,0.5041972361001629,0.5075128544857904,0.5681111250783162,0.5678063864310678,0.5121099220695631,0.5200711108858163,0.5577604865575401,0.550778772688865,240.75,True
8484958,20252026,16716.0,182,140,256,202,57,51,F,Maxim Tsyplakov,0.5652173913043478,0.5589519650655022,0.5277777777777778,NJD,0.5748031496062992,0.5277777777777778,0.5589519650655022,0.5652173913043478,0.519766467392964,0.5560406012961461,0.5563338548292817,0.5563082232147357,0.5625992810681273,0.5027400558539862,0.47148701400567283,0.5379073563608747,0.49876422093194434,0.49164809575402596,0.5583881222441204,0.5586957891981772,0.5029195664421222,0.48656300348054543,0.5650434095189149,0.5722595623846782,278.6,True
8475220,20252026,21497.0,234,188,340,261,81,59,F,Marcus Foligno,0.5545023696682464,0.5657237936772047,0.5785714285714286,MIN,0.4034090909090909,0.5785714285714286,0.5657237936772047,0.5545023696682464,0.5889161768494269,0.5694831443817739,0.5691044754953866,0.5660064928174524,0.5578830514864282,0.49740301714948215,0.5149306555634425,0.5754653755832548,0.4966810849110955,0.5133281408564832,0.5580867630241403,0.5576143217638241,0.49335443227591397,0.5001752507596783,0.5603991980589111,0.5514255053198305,358.28333333333336,True
8481542,20252026,80262.0,752,619,1031,867,245,214,D,Moritz Seider,0.5485047410649161,0.5432033719704953,0.5337690631808278,DET,0.43257443082311736,0.5337690631808278,0.5432033719704953,0.5485047410649161,0.5409902452485847,0.545827597825462,0.5455632668916862,0.5565352281833893,0.550864635986107,0.5044351994160673,0.44503918341192134,0.5775586707500068,0.5010727244617792,0.4817281518686479,0.5560523450794292,0.5558676635907851,0.5021765597587675,0.4649740439710885,0.5789212796142453,0.5753657113105347,1337.7,False
8481606,20252026,54747.0,698,433,864,672,262,145,D,Jordan Spence,0.6171529619805481,0.5625,0.6437346437346437,OTT,0.6792452830188679,0.6437346437346437,0.5625,0.6171529619805481,0.6245377301710332,0.5555237132319204,0.5562264150943397,0.5958045780677043,0.6108793770748878,0.4983602794458474,0.5208962418626194,0.6076243721141313,0.500136496376429,0.5027342290143715,0.5537001675038681,0.5543902590697798,0.49949529199845843,0.5025466389520774,0.592161385040916,0.6068742642876893,912.45,False
8484142,20252026,23805.0,241,199,341,272,89,64,F,Denver Barkey,0.5477272727272727,0.5562805872756933,0.5816993464052288,PHI,0.5583756345177665,0.5816993464052288,0.5562805872756933,0.5477272727272727,0.5754473994017446,0.5540085879248279,0.5542374400675715,0.5407746464943695,0.5456841255191509,0.49613523282817656,0.5281742658900861,0.5525520771248296,0.4999094812354813,0.50105221657732,0.5527958383929713,0.5530159619621311,0.49662695574747173,0.49156019118589983,0.5426548212018899,0.5475535143300037,396.75,True
8479671,20252026,27791.0,331,267,436,362,107,79,F,Mathieu Olivier,0.5535117056856187,0.5463659147869674,0.5752688172043011,CBJ,0.4139344262295082,0.5752688172043011,0.5463659147869674,0.5535117056856187,0.584486317116423,0.5497156158969211,0.5493782098689346,0.5637622455022689,0.5565240007675859,0.49044575201429896,0.5208553698605721,0.5635000895995351,0.49510689168713773,0.48237610364899547,0.5526102106730802,0.5522806850222157,0.49457866930476757,0.4828951687807288,0.5701210159622337,0.5631707853168759,463.18333333333334,True
8480801,20252026,45501.0,518,337,651,505,193,116,F,Brady Tkachuk,0.6058479532163743,0.5631487889273357,0.6245954692556634,OTT,0.6604774535809018,0.6245954692556634,0.5631487889273357,0.6058479532163743,0.6074085633945111,0.5569029524002248,0.5575320780520041,0.5867348461337178,0.6002312423410427,0.4994839318101741,0.5444759948116996,0.5754310055333985,0.4998670421066111,0.507723089047253,0.5521627760056664,0.5527568332009712,0.5004688231691988,0.5246480437807184,0.5692384546701392,0.5811765070414421,758.35,False
