player_id,name,team,n_seasons,toi_total,raw_mean,ZA_mean,IOC_mean,IOL_mean,FA_mean,small_sample
8479638,Justin Brazeau,BOS,2,1100.35,0.5797101449275363,0.5903521643939991,0.5051773217276248,0.4936381180022197,0.5929643964472907,True
8476326,Josh Archibald,PIT,1,618.5666666666667,0.5551020408163265,0.5783482421450887,0.5014546634573517,0.4861549520009227,0.589258612567384,True
8477478,William Carrier,VGK,2,1141.9333333333334,0.5885151501965391,0.5992242303725696,0.49323684768846227,0.5137638123225641,0.5838321604001883,True
8478421,A.J. Greer,BOS,1,555.7,0.5639097744360902,0.5932755114833111,0.4986937975433151,0.5120401063074573,0.5785738773521526,True
8481726,Adam Edstrom,NYR,2,677.3833333333333,0.5411483253588516,0.5587591918608876,0.49823225756993783,0.48680312615775045,0.5715191818370502,True
8477903,Garnet Hathaway,PHI,3,2193.95,0.5694971914822267,0.582634799265608,0.5028545643900425,0.5119378212843725,0.5704845343459136,False
8478569,Noel Acciari,STL,1,1102.0833333333333,0.5340425531914894,0.5470744588826689,0.5036295940384894,0.4759240488527402,0.5683287555268489,True
8482659,Josh Doan,UTA,1,639.1833333333333,0.6123348017621145,0.605641141111645,0.4931502029488874,0.5386433728210924,0.567007612686587,True
8477846,Ryan Carpenter,SJS,1,688.3833333333333,0.4809160305343511,0.4890086877837933,0.4968696419608856,0.4217297220772903,0.5660041780558484,True
8480064,Josh Norris,BUF,1,572.6666666666666,0.5633802816901409,0.5686997471077325,0.5003575200594457,0.5029801069251599,0.5651430008856915,True
8481532,Alex Turcotte,LAK,2,1132.3833333333334,0.5879820444807182,0.5895827097757342,0.4997298351467663,0.5294791331173145,0.5601986091853723,True
8482659,Josh Doan,BUF,1,838.4666666666667,0.5468277945619335,0.5491227639278088,0.50236170717729,0.49145961554665735,0.558130645410517,True
8479591,Michael Eyssimont,SJS,1,661.7,0.5754985754985755,0.5768117732283679,0.49760160903406553,0.5164329850989727,0.557636445639966,True
