metric,R2_pooled,r_pooled,N_pooled,p_pooled,R2_2526,r_2526,N_2526,p_2526
NFI_pct_ZA,0.5829743683435571,0.7635275819140767,126,2.625349650412801e-25,0.5390199370789507,0.7341797716356333,32,1.730742504322312e-06
NFI_pct,0.5784662606517837,0.7605696948023789,126,5.132663011295739e-25,0.5329223992013727,0.7300153417575365,32,2.1186012821078736e-06
NFI_pct_3A,0.5015167021034264,0.7081784394511219,126,1.7996449930878268e-20,0.5341957925412738,0.7308869902668085,32,2.031424140701746e-06
FF_pct_ZA,0.4287664131732952,0.6548025757228626,126,9.040995689948677e-17,0.45990750517126994,0.678164806792029,32,1.998437415055289e-05
FF_pct,0.4131883891850106,0.6427973157885856,126,4.880140606837258e-16,0.424522861154504,0.6515541889624408,32,5.362623717898346e-05
FF_pct_3A,0.40807329974429624,0.6388061519305338,126,8.408732374011326e-16,0.6085662827621446,0.7801065842320167,32,1.4097011330095873e-07
CF_pct_ZA,0.39849222243683585,0.6312624037885005,126,2.3016700959186086e-15,0.46672494031902506,0.6831727016787373,32,1.6410209403180316e-05
CF_pct,0.39701346790503234,0.63009004745753,126,2.6849397343099264e-15,0.45075134992891863,0.6713801828538869,32,2.59450905287309e-05
CF_pct_3A,0.3432138129805142,0.5858445297009388,126,5.760943388887052e-13,0.5204532124680653,0.7214244329575104,32,3.1789018940586905e-06
RelNFI_pct,0.00988307910089337,0.09941367662898988,126,0.2680603207479092,0.00010607880249519459,-0.010299456417461777,32,0.95538492918004
RelNFI_F_pct,0.00670787485004775,0.0819016168951978,126,0.3619193525742256,0.0021789847343262306,0.0466795965527363,32,0.799733532371841
RelCF_F_pct,0.006658923361899625,-0.08160222645185378,126,0.36368280248863644,3.70115313397624e-05,-0.006083710326746533,32,0.9736381577176364
RelFF_A_pct,0.004160427607405757,0.06450137678690089,126,0.4730298259690069,0.012931260803950724,0.11371570165966846,32,0.535458395435213
RelFF_pct,0.003133518713591619,0.055977841273057494,126,0.5335632598682296,0.024401649256627963,0.15621027257074985,32,0.3932377117134319
RelNFI_A_pct,0.002776881150131048,0.05269612082621498,126,0.5578588869314149,0.004818364425008406,-0.06941443960018986,32,0.7058015975013515
RelCF_A_pct,0.002697009855801662,0.0519327435805356,126,0.563585674452039,0.007814398833102403,0.08839908841782478,32,0.6304389540008727
RelCF_pct,0.0007123296012693132,-0.02668950357854775,126,0.7667291351255106,0.007452981873682214,0.08633065431051831,32,0.638491568307707
RelFF_F_pct,2.2902049059102848e-05,0.0047856085359233936,126,0.9575858970331388,0.015503498162791028,0.12451304414715363,32,0.49715144488100727
