shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8476292,Ondrej Palat,205,52,0.2537,0.199,0.3174,9,0.1731,True
8479661,Tanner Jeannot,150,38,0.2533,0.1905,0.3285,7,0.1842,True
8482659,Josh Doan,206,52,0.2524,0.198,0.3159,7,0.1346,True
8477406,Mattias Janmark,103,26,0.2524,0.1785,0.3442,3,0.1154,True
8477573,Nathan Walker,127,32,0.252,0.1845,0.334,7,0.2188,True
8478133,Jake Evans,151,38,0.2517,0.1892,0.3264,1,0.0263,True
8481580,Connor McMichael,299,75,0.2508,0.2051,0.3029,12,0.16,True
8477903,Garnet Hathaway,164,41,0.25,0.19,0.3215,6,0.1463,True
8477952,Robby Fabbri,133,33,0.2481,0.1825,0.3279,4,0.1212,True
8479353,Brett Howden,211,52,0.2464,0.1932,0.3088,8,0.1538,True
8476981,Josh Anderson,236,58,0.2458,0.1952,0.3045,10,0.1724,True
8482148,Hendrix Lapierre,102,25,0.2451,0.1719,0.3368,3,0.12,True
8478463,Anthony Beauvillier,303,74,0.2442,0.1992,0.2956,9,0.1216,True
8475842,Sam Carrick,168,41,0.244,0.1853,0.3142,4,0.0976,True
8481481,Blake Lizotte,119,29,0.2437,0.1754,0.3281,3,0.1034,True
8478519,Anthony Cirelli,260,63,0.2423,0.1942,0.2979,13,0.2063,True
8481535,Nils Hoglander,190,46,0.2421,0.1867,0.3077,13,0.2826,True
8477478,William Carrier,157,38,0.242,0.1817,0.3147,3,0.0789,True
8475848,Brendan Gallagher,298,72,0.2416,0.1965,0.2933,8,0.1111,True
8482157,Will Cuylle,294,71,0.2415,0.1961,0.2936,16,0.2254,True
8482110,Dawson Mercer,261,63,0.2414,0.1935,0.2968,8,0.127,True
8474102,David Perron,191,46,0.2408,0.1857,0.3062,8,0.1739,True
8476925,Colton Sissons,187,45,0.2406,0.185,0.3067,6,0.1333,True
8478401,Pavel Zacha,212,51,0.2406,0.188,0.3024,9,0.1765,True
8482079,Marco Rossi,200,48,0.24,0.1861,0.3037,10,0.2083,True
8475913,Mark Stone,225,54,0.24,0.1889,0.2999,8,0.1481,True
8481553,Bobby Brink,176,42,0.2386,0.1817,0.3068,8,0.1905,True
8474149,Evgenii Dadonov,172,41,0.2384,0.1809,0.3073,6,0.1463,True
8480220,Noah Cates,202,48,0.2376,0.1842,0.3009,8,0.1667,True
8474679,Gustav Nyquist,177,42,0.2373,0.1806,0.3051,6,0.1429,True
8478891,Mason Appleton,228,54,0.2368,0.1863,0.2961,4,0.0741,True
8480028,Morgan Frost,241,57,0.2365,0.1873,0.294,10,0.1754,True
8482775,Oliver Kapanen,110,26,0.2364,0.1667,0.3238,4,0.1538,True
8470621,Corey Perry,182,43,0.2363,0.1804,0.303,10,0.2326,True
8476483,Rickard Rakell,335,79,0.2358,0.1935,0.2841,10,0.1266,True
8478420,Mikko Rantanen,327,77,0.2355,0.1927,0.2844,11,0.1429,True
8481186,Logan O'Connor,119,28,0.2353,0.1681,0.319,4,0.1429,True
8476921,Jordan Martinook,281,66,0.2349,0.1891,0.2878,7,0.1061,True
8479370,Tyson Jost,145,34,0.2345,0.1729,0.3097,7,0.2059,True
8478440,Dylan Strome,261,61,0.2337,0.1865,0.2887,19,0.3115,True
8482092,Ridly Greig,244,57,0.2336,0.1849,0.2906,7,0.1228,True
8482740,Wyatt Johnston,364,85,0.2335,0.193,0.2796,15,0.1765,True
8480355,Mark Kastelic,163,38,0.2331,0.1748,0.3037,4,0.1053,True
8477496,Elias Lindholm,247,57,0.2308,0.1826,0.2872,3,0.0526,True
8475287,Erik Haula,260,60,0.2308,0.1837,0.2857,7,0.1167,True
8476880,Tom Wilson,256,59,0.2305,0.1831,0.2858,7,0.1186,True
8476460,Mark Scheifele,278,64,0.2302,0.1846,0.2832,8,0.125,True
8480002,Nico Hischier,283,65,0.2297,0.1845,0.2821,11,0.1692,True
8476881,Tomas Hertl,280,64,0.2286,0.1833,0.2812,5,0.0781,True
8478047,Michael Bunting,276,63,0.2283,0.1827,0.2813,4,0.0635,True
8481596,Shane Pinto,228,52,0.2281,0.1784,0.2868,9,0.1731,True
8481641,Joel Kiviranta,137,31,0.2263,0.1642,0.3032,5,0.1613,True
8476479,Phillip Danault,266,60,0.2256,0.1794,0.2795,10,0.1667,True
8482809,Jackson Blake,200,45,0.225,0.1726,0.2877,5,0.1111,True
8476399,Blake Coleman,378,85,0.2249,0.1857,0.2696,9,0.1059,True
8478508,Yakov Trenin,232,52,0.2241,0.1752,0.282,4,0.0769,True
8482074,Connor Zary,211,47,0.2227,0.1718,0.2836,10,0.2128,True
8483515,Juraj Slafkovský,265,59,0.2226,0.1767,0.2765,8,0.1356,True
8475745,Charlie Coyle,216,48,0.2222,0.1719,0.2822,11,0.2292,True
8478474,Lawson Crouse,307,68,0.2215,0.1786,0.2712,4,0.0588,True
8481618,Alex Newhook,163,36,0.2209,0.164,0.2906,4,0.1111,True
8478874,Adam Gaudette,127,28,0.2205,0.1572,0.3002,7,0.25,True
8477425,Miles Wood,218,48,0.2202,0.1703,0.2798,4,0.0833,True
8476889,Radek Faksa,132,29,0.2197,0.1575,0.2977,2,0.069,True
8480980,Connor Dewar,169,37,0.2189,0.1632,0.2871,4,0.1081,True
8478421,A.J. Greer,201,44,0.2189,0.1673,0.281,7,0.1591,True
8478498,Jake DeBrusk,313,68,0.2173,0.1751,0.2662,11,0.1618,True
8478233,Andrew Mangiapane,175,38,0.2171,0.1625,0.284,3,0.0789,True
8480012,Elias Pettersson,212,46,0.217,0.1668,0.2772,8,0.1739,True
8476389,Vincent Trocheck,272,59,0.2169,0.1721,0.2697,10,0.1695,True
8479992,Michael Rasmussen,204,44,0.2157,0.1648,0.2771,8,0.1818,True
8477964,Ivan Barbashev,274,59,0.2153,0.1708,0.2678,14,0.2373,True
8479996,Cody Glass,191,41,0.2147,0.1624,0.2782,8,0.1951,True
8480003,Jesper Boqvist,168,36,0.2143,0.159,0.2824,2,0.0556,True
8481711,Matias Maccelli,210,45,0.2143,0.1642,0.2747,7,0.1556,True
8479336,Carl Grundstrom,182,39,0.2143,0.1609,0.2795,4,0.1026,True
8481028,Martin Pospisil,187,40,0.2139,0.1612,0.2781,4,0.1,True
8480023,Robert Thomas,220,47,0.2136,0.1646,0.2725,5,0.1064,True
8474715,Cam Atkinson,141,30,0.2128,0.1533,0.2875,6,0.2,True
8471215,Evgeni Malkin,268,57,0.2127,0.1679,0.2656,13,0.2281,True
8475191,Reilly Smith,273,58,0.2125,0.1681,0.2648,5,0.0862,True
8482124,Quinton Byfield,311,66,0.2122,0.1704,0.261,10,0.1515,True
8476393,Nick Cousins,217,46,0.212,0.1629,0.2711,5,0.1087,True
8471675,Sidney Crosby,378,80,0.2116,0.1735,0.2556,16,0.2,True
8482745,Mason McTavish,279,59,0.2115,0.1676,0.2631,7,0.1186,True
8480144,David Kampf,123,26,0.2114,0.1485,0.2917,1,0.0385,True
8476454,Ryan Nugent-Hopkins,265,56,0.2113,0.1665,0.2644,10,0.1786,True
8477497,Sean Monahan,237,50,0.211,0.1638,0.2673,14,0.28,True
8473994,Jamie Benn,242,51,0.2107,0.1641,0.2664,8,0.1569,True
8481237,Kyle MacLean,114,24,0.2105,0.1458,0.2942,3,0.125,True
8476456,Jonathan Huberdeau,209,44,0.2105,0.1607,0.2708,3,0.0682,True
8475722,Jason Zucker,276,58,0.2101,0.1662,0.262,11,0.1897,True
8481554,Kaapo Kakko,200,42,0.21,0.1593,0.2716,5,0.119,True
8480813,Joe Veleno,162,34,0.2099,0.1543,0.2789,4,0.1176,True
8478115,Pierre Engvall,158,33,0.2089,0.1528,0.2788,3,0.0909,True
8478904,Steven Lorentz,144,30,0.2083,0.15,0.2818,2,0.0667,True
8481656,Aliaksei Protas,298,62,0.2081,0.1658,0.2577,10,0.1613,True
8475794,Tyler Seguin,149,31,0.2081,0.1506,0.2802,6,0.1935,True
8478434,Keegan Kolesar,197,41,0.2081,0.1573,0.2701,12,0.2927,True
8476461,Sean Couturier,274,57,0.208,0.1642,0.26,9,0.1579,True
