player_id,player_name,current_team,seasons_in_db,peak_season,peak_nf_rate,league_avg_peak,current_nf_rate,drop_pct,current_es_shots,season_history
8478115,Pierre Engvall,NYI,5,20222023,0.1807,0.1558,0.1173,0.351,162,2021:0.107(103es) | 2022:0.107(271es) | 2023:0.181(249es) | 2024:0.174(242es) | 2025:0.117(162es)
8480281,Alexey Toropchenko,STL,4,20232024,0.3408,0.1445,0.2222,0.3479,171,2021:— | 2022:0.288(66es) | 2023:0.287(129es) | 2024:0.341(179es) | 2025:0.222(171es)
8474709,Matt Martin,NYI,5,20212022,0.2736,0.1459,0.1795,0.3439,39,2021:0.237(93es) | 2022:0.274(106es) | 2023:0.178(163es) | 2024:0.267(75es) | 2025:0.179(39es)
8477353,Tyler Motte,DET,5,20222023,0.2609,0.1558,0.1716,0.342,134,2021:0.164(73es) | 2022:0.096(178es) | 2023:0.261(184es) | 2024:0.158(177es) | 2025:0.172(134es)
8482078,Lucas Raymond,DET,4,20222023,0.224,0.1558,0.1481,0.3391,385,2021:— | 2022:0.206(291es) | 2023:0.224(250es) | 2024:0.200(315es) | 2025:0.148(385es)
8482116,Tim Stützle,OTT,5,20212022,0.2069,0.1459,0.1368,0.3389,329,2021:0.079(190es) | 2022:0.207(319es) | 2023:0.175(445es) | 2024:0.146(370es) | 2025:0.137(329es)
8476479,Phillip Danault,LAK,5,20212022,0.3144,0.1459,0.2083,0.3373,240,2021:0.150(140es) | 2022:0.314(299es) | 2023:0.221(253es) | 2024:0.222(279es) | 2025:0.208(240es)
8478458,Jack Roslovic,CAR,5,20202021,0.1985,0.1381,0.1319,0.3352,288,2021:0.198(131es) | 2022:0.177(220es) | 2023:0.142(218es) | 2024:0.183(197es) | 2025:0.132(288es)
8477573,Nathan Walker,STL,5,20202021,0.2353,0.1381,0.1567,0.334,134,2021:0.235(17es) | 2022:0.203(64es) | 2023:0.154(78es) | 2024:0.132(76es) | 2025:0.157(134es)
8478519,Anthony Cirelli,TBL,5,20222023,0.3545,0.1558,0.2363,0.3334,292,2021:0.297(111es) | 2022:0.253(261es) | 2023:0.354(189es) | 2024:0.266(241es) | 2025:0.236(292es)
8480829,Jesperi Kotkaniemi,CAR,5,20212022,0.274,0.1459,0.1826,0.3333,219,2021:0.145(159es) | 2022:0.274(146es) | 2023:0.250(244es) | 2024:0.197(259es) | 2025:0.183(219es)
8477942,Kevin Fiala,LAK,5,20222023,0.1841,0.1558,0.1231,0.3313,520,2021:0.120(292es) | 2022:0.169(462es) | 2023:0.184(364es) | 2024:0.140(470es) | 2025:0.123(520es)
8482093,Seth Jarvis,CAR,4,20232024,0.3344,0.1445,0.2239,0.3303,393,2021:— | 2022:0.255(204es) | 2023:0.327(327es) | 2024:0.334(320es) | 2025:0.224(393es)
8476882,Teuvo Teravainen,CHI,5,20202021,0.1548,0.1381,0.1043,0.3258,230,2021:0.155(84es) | 2022:0.095(326es) | 2023:0.125(240es) | 2024:0.101(286es) | 2025:0.104(230es)
8478472,Mathieu Joseph,STL,5,20212022,0.2667,0.1459,0.1799,0.3255,139,2021:0.250(92es) | 2022:0.267(150es) | 2023:0.202(124es) | 2024:0.162(235es) | 2025:0.180(139es)
8480355,Mark Kastelic,BOS,4,20222023,0.3109,0.1558,0.2101,0.3243,119,2021:— | 2022:0.273(22es) | 2023:0.311(119es) | 2024:0.222(90es) | 2025:0.210(119es)
8478434,Keegan Kolesar,VGK,5,20222023,0.354,0.1558,0.2395,0.3234,167,2021:0.237(76es) | 2022:0.310(142es) | 2023:0.354(113es) | 2024:0.184(141es) | 2025:0.240(167es)
8475168,Matt Duchene,DAL,5,20202021,0.2756,0.1381,0.1867,0.3227,300,2021:0.276(127es) | 2022:0.183(389es) | 2023:0.132(326es) | 2024:0.173(352es) | 2025:0.187(300es)
8479368,Max Jones,EDM,4,20202021,0.3008,0.1381,0.2045,0.3199,44,2021:0.301(133es) | 2022:— | 2023:0.270(185es) | 2024:0.271(133es) | 2025:0.205(44es)
8478047,Michael Bunting,PIT,5,20202021,0.371,0.1381,0.2524,0.3196,313,2021:0.371(62es) | 2022:0.307(296es) | 2023:0.318(299es) | 2024:0.219(333es) | 2025:0.252(313es)
8475151,Kyle Palmieri,NYI,5,20232024,0.2706,0.1445,0.1848,0.3172,368,2021:0.213(225es) | 2022:0.234(269es) | 2023:0.198(243es) | 2024:0.271(388es) | 2025:0.185(368es)
8480801,Brady Tkachuk,OTT,5,20222023,0.35,0.1558,0.2391,0.3168,506,2021:0.338(320es) | 2022:0.274(464es) | 2023:0.350(560es) | 2024:0.266(576es) | 2025:0.239(506es)
8479314,Matthew Tkachuk,FLA,5,20222023,0.3154,0.1558,0.2177,0.3099,317,2021:0.311(264es) | 2022:0.283(459es) | 2023:0.315(539es) | 2024:0.311(502es) | 2025:0.218(317es)
8478432,Christian Fischer,DET,5,20202021,0.3059,0.1381,0.2121,0.3065,66,2021:0.306(85es) | 2022:0.260(123es) | 2023:0.206(204es) | 2024:0.273(139es) | 2025:0.212(66es)
8474150,Mikael Backlund,CGY,5,20222023,0.1776,0.1558,0.1236,0.3041,348,2021:0.135(244es) | 2022:0.112(357es) | 2023:0.178(428es) | 2024:0.148(391es) | 2025:0.124(348es)
8475794,Tyler Seguin,DAL,5,20232024,0.2308,0.1445,0.1613,0.3011,93,2021:0.167(12es) | 2022:0.166(349es) | 2023:0.225(306es) | 2024:0.231(273es) | 2025:0.161(93es)
