player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend
Brayden Schenn,8475170,BOS,0.6103,0.5637,0.5917,25.5120,False,rising
William Eklund,8482667,SJS,0.5747,0.6169,0.5916,24.4348,False,stable
Evan Rodrigues,8478542,FLA,0.4769,0.7624,0.5911,21.4871,False,stable
Dawson Mercer,8482110,NJD,0.6441,0.5111,0.5909,26.5761,False,stable
Tyson Jost,8479370,NSH,0.7192,0.3982,0.5908,28.8628,False,stable
Charlie Coyle,8475745,CBJ,0.7158,0.4013,0.5900,28.8015,True,rising
Ross Colton,8479525,COL,0.5668,0.6225,0.5891,24.3219,False,declining
Nathan MacKinnon,8477492,NYI,0.4510,0.7948,0.5885,20.8316,False,rising
Kyle Connor,8478398,WPG,0.5262,0.6816,0.5884,23.1234,False,declining
Morgan Barron,8480289,WPG,0.6312,0.5225,0.5877,26.3470,False,stable
Anthony Cirelli,8478519,TBL,0.6664,0.4649,0.5858,27.5131,True,rising
Jack Eichel,8478403,VGK,0.5258,0.6732,0.5848,23.2944,False,declining
Tyler Johnson,8474870,BOS,0.5792,0.5930,0.5847,24.9186,False,stable
Sam Reinhart,8477933,FLA,0.4784,0.7429,0.5842,21.8831,False,stable
Blake Coleman,8476399,CGY,0.5823,0.5870,0.5842,25.0400,False,rising
Bo Horvat,8477500,NYI,0.5970,0.5649,0.5842,25.4876,False,declining
John Tavares,8475166,TOR,0.5724,0.5984,0.5828,24.8088,False,stable
Sean Couturier,8476461,PHI,0.5043,0.7004,0.5827,22.7435,False,stable
Matt Boldy,8481557,MIN,0.5052,0.6977,0.5822,22.7981,False,rising
Jake DeBrusk,8478498,VAN,0.5760,0.5886,0.5811,25.0067,False,stable
Robert Thomas,8480023,STL,0.5865,0.5698,0.5798,25.3887,False,stable
Kirill Marchenko,8480893,CBJ,0.5224,0.6657,0.5797,23.4461,False,declining
Kailer Yamamoto,8479977,UTA,0.5906,0.5576,0.5774,25.6352,False,stable
Kevin Stenlund,8478831,VAN,0.6148,0.5193,0.5766,26.4102,False,stable
Noah Cates,8480220,PIT,0.5585,0.6033,0.5764,24.7103,False,stable
Jason Zucker,8475722,BUF,0.5155,0.6677,0.5764,23.4053,False,rising
Nico Hischier,8480002,NJD,0.5749,0.5751,0.5750,25.2808,False,stable
Kiefer Sherwood,8480748,VAN,0.5219,0.6509,0.5735,23.7450,False,stable
Jack Roslovic,8478458,EDM,0.5954,0.5374,0.5722,26.0438,False,stable
Garnet Hathaway,8477903,PHI,0.6510,0.4504,0.5708,27.8057,True,stable
Dylan Cozens,8481528,OTT,0.5771,0.5608,0.5706,25.5715,False,rising
Gustav Nyquist,8474679,WPG,0.6489,0.4520,0.5702,27.7735,False,rising
Keegan Kolesar,8478434,VGK,0.5605,0.5845,0.5701,25.0907,False,stable
Alex Newhook,8481618,MTL,0.5399,0.6142,0.5696,24.4885,False,rising
Ivan Barbashev,8477964,VGK,0.6062,0.5146,0.5696,26.5067,False,stable
Ryan McLeod,8480802,WPG,0.5762,0.5593,0.5694,25.6010,False,declining
William Karlsson,8476448,VGK,0.5121,0.6544,0.5690,23.6754,False,stable
Mathieu Joseph,8478472,BOS,0.6073,0.5092,0.5680,26.6165,False,rising
Quinton Byfield,8482124,LAK,0.4623,0.7266,0.5680,22.2131,False,stable
Ridly Greig,8482092,OTT,0.5399,0.6083,0.5673,24.6082,False,stable
Ryan Lomberg,8479066,CGY,0.5828,0.5436,0.5671,25.9181,False,declining
Joel Eriksson Ek,8478493,MIN,0.6191,0.4877,0.5666,27.0500,False,stable
Pavel Buchnevich,8477402,STL,0.5675,0.5647,0.5664,25.4919,False,stable
Ondrej Palat,8476292,NJD,0.5383,0.6018,0.5637,24.7401,False,stable
Mika Zibanejad,8476459,NYR,0.5206,0.6258,0.5627,24.2541,False,stable
Josh Norris,8480064,BUF,0.5472,0.5858,0.5626,25.0652,False,declining
Matias Maccelli,8481711,TOR,0.5608,0.5609,0.5608,25.5685,False,rising
William Carrier,8477478,CAR,0.4429,0.7369,0.5605,22.0046,False,stable
Craig Smith,8475225,CHI,0.5479,0.5787,0.5602,25.2074,True,stable
Marcus Foligno,8475220,MIN,0.6134,0.4797,0.5599,27.2122,False,stable
Alex Killorn,8473986,ANA,0.5687,0.5450,0.5592,25.8915,False,rising
Cole Smith,8482062,NSH,0.6294,0.4498,0.5576,27.8183,False,rising
Tanner Jeannot,8479661,STL,0.6566,0.4070,0.5568,28.6848,False,stable
Robby Fabbri,8477952,STL,0.6164,0.4657,0.5561,27.4956,False,stable
Anze Kopitar,8471685,LAK,0.4528,0.7097,0.5556,22.5554,False,rising
Mark Jankowski,8476873,CAR,0.5564,0.5503,0.5540,25.7822,False,rising
Eetu Luostarinen,8480185,FLA,0.5608,0.5426,0.5535,25.9384,False,rising
Drew O'Connor,8482055,UTA,0.5574,0.5463,0.5530,25.8644,False,rising
Alex Tuch,8477949,BUF,0.4966,0.6364,0.5525,24.0386,False,stable
Cody Glass,8479996,NJD,0.4913,0.6417,0.5515,23.9326,False,rising
Filip Forsberg,8476887,NSH,0.4744,0.6667,0.5513,23.4264,False,declining
Jeff Carter,8470604,TOR,0.6466,0.4047,0.5498,28.7326,False,stable
Connor McMichael,8481580,WSH,0.5991,0.4750,0.5495,27.3087,False,stable
Brandon Saad,8476438,VGK,0.5712,0.5167,0.5494,26.4638,False,rising
Trevor Moore,8479675,CHI,0.4829,0.6484,0.5491,23.7959,False,stable
Timo Meier,8478414,NJD,0.4931,0.6317,0.5486,24.1339,False,stable
Mason Appleton,8478891,DET,0.6062,0.4608,0.5480,27.5965,True,stable
Linus Karlsson,8481024,VAN,0.5456,,0.5456,,defensive data insufficient,stable
Mikael Granlund,8475798,ANA,0.6318,0.4152,0.5451,28.5202,False,stable
Warren Foegele,8477998,LAK,0.4991,0.6110,0.5439,24.5531,False,stable
JJ Peterka,8482175,UTA,0.4823,0.6343,0.5431,24.0823,False,stable
Claude Giroux,8473512,NYR,0.4519,0.6772,0.5420,23.2123,False,rising
Matthew Knies,8482720,TOR,0.5462,0.5353,0.5418,26.0866,False,stable
Logan Couture,8474053,SJS,0.6483,0.3782,0.5403,29.2688,False,stable
Jake Neighbours,8482089,STL,0.4785,0.6327,0.5402,24.1143,False,stable
Brandon Hagel,8479542,TBL,0.5197,0.5686,0.5393,25.4118,True,stable
Mason Marchment,8478975,LAK,0.4308,0.7019,0.5393,22.7122,False,stable
Alexey Toropchenko,8480281,STL,0.5794,0.4785,0.5390,27.2375,False,stable
Brandon Tanev,8479293,LAK,0.6683,0.3444,0.5387,29.9529,False,stable
Reilly Smith,8475191,VGK,0.4866,0.6163,0.5385,24.4460,False,stable
Barrett Hayton,8480849,UTA,0.4747,0.6329,0.5380,24.1098,False,stable
Jaden Schwartz,8475768,NYI,0.4626,0.6505,0.5378,23.7543,False,stable
Matty Beniers,8482665,SEA,0.4421,0.6807,0.5375,23.1426,False,rising
Oliver Bjorkstrand,8477416,TBL,0.4709,0.6368,0.5373,24.0315,False,rising
Jimmy Vesey,8476918,STL,0.6035,0.4378,0.5372,28.0606,False,stable
Carl Grundstrom,8479336,PHI,0.5040,0.5870,0.5372,25.0407,False,rising
Bryan Rust,8475810,PIT,0.5550,0.5100,0.5370,26.5998,False,stable
Sidney Crosby,8471675,PIT,0.4792,0.6220,0.5363,24.3316,False,stable
J.T. Compher,8477456,DET,0.6211,0.4052,0.5348,28.7213,False,rising
Boone Jenner,8476432,CBJ,0.6584,0.3489,0.5346,29.8625,False,stable
Tim StÃ¼tzle,8482116,OTT,0.3808,0.7627,0.5335,21.4825,False,rising
Nick Cousins,8476393,OTT,0.4728,0.6235,0.5331,24.3012,False,rising
Jamie Benn,8473994,DAL,0.5276,0.5404,0.5327,25.9829,False,rising
Mason McTavish,8482745,ANA,0.5509,0.5054,0.5327,26.6923,False,stable
Tyler Seguin,8475794,DAL,0.4925,0.5917,0.5322,24.9446,False,declining
David Pastrnak,8477956,BOS,0.3799,0.7599,0.5319,21.5388,False,stable
Radek Faksa,8476889,DAL,0.5458,0.5109,0.5318,26.5808,False,rising
Max Pacioretty,8474157,TOR,0.4082,0.7167,0.5316,22.4142,False,stable
Conor Garland,8478856,VAN,0.4267,0.6876,0.5311,23.0028,False,rising
Vladimir Tarasenko,8475765,MIN,0.5060,0.5659,0.5300,25.4671,False,rising
Connor Bedard,8484144,CHI,0.5001,0.5746,0.5299,25.2913,False,stable
Ryan Strome,8476458,WSH,0.4968,0.5787,0.5295,25.2086,False,stable
Lawson Crouse,8478474,UTA,0.6104,0.4075,0.5292,28.6757,False,rising
Ryan Hartman,8477451,MIN,0.5334,0.5229,0.5292,26.3386,False,rising
Evander Kane,8475169,COL,0.5009,0.5676,0.5276,25.4333,False,stable
Elias Lindholm,8477496,BOS,0.5229,0.5325,0.5267,26.1434,False,stable
Dylan Holloway,8482077,STL,0.3862,0.7375,0.5267,21.9929,False,declining
Will Cuylle,8482157,OTT,0.4924,0.5777,0.5265,25.2276,False,stable
Colton Sissons,8476925,VGK,0.6334,0.3645,0.5259,29.5452,False,stable
Juraj SlafkovskÃ½,8483515,MTL,0.4088,0.7009,0.5256,22.7332,False,declining
Alex Laferriere,8482155,LAK,0.3884,0.7312,0.5255,22.1193,False,stable
Yakov Trenin,8478508,MIN,0.5756,0.4492,0.5250,27.8305,False,rising
Joel Kiviranta,8481641,NYI,0.4566,0.6262,0.5244,24.2467,False,stable
Michael McCarron,8477446,NSH,0.6059,0.4019,0.5243,28.7890,False,rising
Michael Carcone,8479619,UTA,0.4496,0.6348,0.5237,24.0721,False,stable
Miles Wood,8477425,CBJ,0.6169,0.3832,0.5234,29.1664,False,rising
Bobby McMann,8482259,TOR,0.5304,0.5122,0.5231,26.5541,False,declining
Adam Lowry,8476392,WPG,0.5833,0.4319,0.5227,28.1815,False,rising
Patrick Kane,8474141,DET,0.4308,0.6604,0.5227,23.5529,False,stable
Tanner Pearson,8476871,WPG,0.5718,0.4463,0.5216,27.8899,False,stable
Kasperi Kapanen,8477953,DET,0.4721,0.5944,0.5210,24.8903,False,stable
Connor Brown,8477015,NJD,0.5224,0.5184,0.5208,26.4284,False,rising
Taylor Raddysh,8479390,NYR,0.4991,0.5484,0.5188,25.8209,False,rising
Luke Glendening,8476822,NJD,0.6285,0.3506,0.5174,29.8266,False,rising
Colin Blackwell,8476278,DAL,0.5197,0.5131,0.5171,26.5368,False,stable
Kyle Palmieri,8475151,SEA,0.5073,0.5305,0.5166,26.1845,True,stable
Casey Cizikas,8475231,NYI,0.6243,0.3539,0.5161,29.7613,False,rising
Fabian Zetterlund,8480188,NYR,0.4964,0.5449,0.5158,25.8929,False,rising
Scott Laughton,8476872,TOR,0.6097,0.3744,0.5156,29.3462,False,stable
A.J. Greer,8478421,FLA,0.4360,0.6333,0.5149,24.1023,False,stable
Joseph Veleno,8480813,MTL,0.4720,0.5784,0.5145,25.2149,False,stable
Justin Danforth,8479941,BUF,0.6518,0.3071,0.5139,30.7088,False,stable
Anthony Beauvillier,8478463,ANA,0.5442,0.4665,0.5131,27.4813,False,stable
Yegor Sharangovich,8481068,CGY,0.5043,0.5258,0.5129,26.2789,False,stable
Jean-Gabriel Pageau,8476419,NYI,0.5994,0.3790,0.5112,29.2531,False,rising
Barclay Goodrow,8476624,SJS,0.6004,0.3730,0.5094,29.3739,False,rising
Nic Dowd,8475343,WSH,0.6158,0.3462,0.5080,29.9172,False,stable
Paul Cotter,8481032,NJD,0.5407,0.4558,0.5067,27.6980,False,stable
Jack Drury,8480835,COL,0.2719,0.8588,0.5066,19.5359,False,stable
Alexander Kerfoot,8477021,UTA,0.5257,0.4758,0.5057,27.2930,False,declining
Pavel Zacha,8478401,BOS,0.5062,0.5019,0.5045,26.7644,False,stable
Kevin Hayes,8475763,PIT,0.4885,0.5274,0.5041,26.2462,False,rising
Andrew Copp,8477429,DET,0.5195,0.4748,0.5016,27.3122,False,rising
Drake Batherson,8480208,OTT,0.3674,0.7019,0.5012,22.7122,False,rising
Brett Howden,8479353,VGK,0.5521,0.4214,0.4998,28.3939,False,stable
Rickard Rakell,8476483,PIT,0.4027,0.6446,0.4995,23.8726,False,rising
Steven Lorentz,8478904,TOR,0.4677,0.5460,0.4990,25.8697,False,stable
Trevor Lewis,8473453,LAK,0.5520,0.4159,0.4976,28.5050,False,stable
Kaapo Kakko,8481554,EDM,0.3982,0.6439,0.4965,23.8870,False,rising
Mitch Marner,8478483,VGK,0.4025,0.6359,0.4958,24.0502,False,rising
Chandler Stephenson,8476905,SEA,0.4660,0.5405,0.4958,25.9815,False,stable
Nico Sturm,8481477,MIN,0.6596,0.2492,0.4955,31.8803,False,stable
Mattias Janmark,8477406,EDM,0.4799,0.5181,0.4952,26.4348,False,stable
Jack McBain,8480855,UTA,0.5901,0.3527,0.4951,29.7860,False,rising
Trevor Zegras,8481533,PHI,0.3657,0.6878,0.4945,22.9993,False,stable
Logan O'Connor,8481186,CGY,0.4578,0.5472,0.4935,25.8466,False,declining
Mathieu Olivier,8479671,CBJ,0.5930,0.3420,0.4926,30.0010,False,stable
Michael Eyssimont,8479591,STL,0.4050,0.6236,0.4924,24.2986,False,stable
Eric Robinson,8480762,CAR,0.5566,0.3927,0.4911,28.9744,False,stable
Viktor Arvidsson,8478042,BOS,0.3012,0.7753,0.4908,21.2274,False,rising
Adam Henrique,8474641,EDM,0.4955,0.4830,0.4905,27.1460,False,stable
Cam Atkinson,8474715,TBL,0.4829,0.4990,0.4893,26.8228,False,stable
Ilya Mikheyev,8481624,CHI,0.4207,0.5912,0.4889,24.9547,False,stable
Erik Haula,8475287,NSH,0.5081,0.4600,0.4889,27.6123,False,stable
Nathan Bastian,8479414,DAL,0.5144,0.4449,0.4866,27.9168,False,stable
Troy Terry,8478873,ANA,0.3478,0.6933,0.4860,22.8862,False,stable
Mikael Backlund,8474150,CGY,0.4403,0.5539,0.4857,25.7102,False,rising
Jordan Greenway,8478413,BUF,0.5566,0.3708,0.4823,29.4187,False,declining
Jordan Kyrou,8479385,STL,0.3469,0.6838,0.4817,23.0789,False,stable
Nikolaj Ehlers,8477940,TOR,0.2844,0.7767,0.4813,21.1988,False,stable
Alexander Wennberg,8477505,SJS,0.4399,0.5422,0.4808,25.9470,False,stable
Cutter Gauthier,8483445,ANA,0.4484,0.5273,0.4800,26.2495,False,stable
Matt Duchene,8475168,PIT,0.3847,0.6217,0.4795,24.3370,False,stable
Alex DeBrincat,8479337,DET,0.3322,0.6919,0.4761,22.9150,False,stable
Philipp Kurashev,8480798,DAL,0.4506,0.5095,0.4742,26.6085,False,stable
Nick Bonino,8474009,EDM,0.6000,0.2844,0.4738,31.1679,False,stable
Nicolas Aube-Kubel,8477979,MIN,0.4431,0.5156,0.4721,26.4866,False,declining
Conor Sheary,8477839,NYR,0.4211,0.5431,0.4699,25.9299,False,stable
Jason Dickinson,8477450,CHI,0.4513,0.4964,0.4693,26.8745,False,stable
Noah Gregor,8479393,NSH,0.5529,0.3437,0.4692,29.9671,False,stable
Curtis Lazar,8477508,EDM,0.5930,0.2751,0.4658,31.3568,False,rising
Teuvo Teravainen,8476882,LAK,0.2109,0.8421,0.4634,19.8745,False,declining
Matt Martin,8474709,NYI,0.4160,0.5324,0.4625,26.1466,False,stable
Isac LundestrÃ¶m,8480806,DET,0.5593,0.3145,0.4614,30.5584,False,declining
Victor Olofsson,8478109,COL,0.3154,0.6797,0.4611,23.1628,False,rising
Taylor Hall,8475791,CAR,0.2838,0.7261,0.4607,22.2222,False,rising
Mark Kastelic,8480355,NJD,0.4656,0.4518,0.4601,27.7775,False,stable
Owen Tippett,8480015,PHI,0.3132,0.6776,0.4590,23.2042,False,stable
Max Domi,8477503,TOR,0.4222,0.5130,0.4585,26.5392,False,declining
Jansen Harkins,8478424,ANA,0.4291,0.4984,0.4568,26.8339,False,rising
Zemgus Girgensons,8476878,TBL,0.4237,0.5045,0.4560,26.7101,False,rising
Zach Aston-Reese,8479944,PIT,0.5194,0.3601,0.4557,29.6350,False,rising
Teddy Blueger,8476927,VAN,0.4797,0.4136,0.4533,28.5510,False,stable
David Kampf,8480144,UTA,0.5610,0.2890,0.4522,31.0747,False,rising
Zach Parise,8470610,COL,0.5341,0.3285,0.4519,30.2742,False,stable
Derek Ryan,8478585,MIN,0.4603,0.4309,0.4485,28.2023,False,stable
Nick Bjugstad,8475760,STL,0.5046,0.3621,0.4476,29.5941,False,stable
Frank Vatrano,8478366,ANA,0.4452,0.4484,0.4465,27.8461,False,stable
Alexander Barabanov,8482222,SJS,0.4036,0.4984,0.4415,26.8338,False,stable
Joel Armia,8476469,CHI,0.4267,0.4633,0.4414,27.5444,False,declining
Christian Fischer,8478432,DET,0.5406,0.2916,0.4410,31.0231,False,stable
Anthony Duclair,8477407,NYI,0.3763,0.5354,0.4399,26.0850,False,declining
Noel Acciari,8478569,PIT,0.5318,0.2969,0.4378,30.9154,False,stable
William Nylander,8477939,TOR,0.3205,0.6134,0.4377,24.5055,False,rising
Eeli Tolvanen,8480009,SEA,0.3388,0.5835,0.4367,25.1101,False,stable
Brandon Duhaime,8479520,WSH,0.4829,0.3619,0.4345,29.5982,False,stable
Tage Thompson,8479420,BUF,0.3133,0.6143,0.4337,24.4876,False,stable
Michael Rasmussen,8479992,DET,0.4153,0.4591,0.4328,27.6305,False,stable
Ryan Reaves,8471817,UTA,0.3533,0.5516,0.4326,25.7575,False,rising
Filip Zadina,8480821,SJS,0.4073,0.4597,0.4283,27.6185,False,stable
Dylan Larkin,8477946,DET,0.2935,0.6272,0.4270,24.2266,False,stable
Jake Evans,8478133,TOR,0.4755,0.3494,0.4251,29.8515,False,rising
Ryan Poehling,8480068,WSH,0.4440,0.3963,0.4249,28.9011,False,stable
Travis Konecny,8478439,PIT,0.3233,0.5614,0.4185,25.5583,False,rising
Cole Sillinger,8482705,CBJ,0.4723,0.3375,0.4184,30.0934,False,stable
Christian Dvorak,8477989,PHI,0.4344,0.3861,0.4151,29.1093,False,rising
Lars Eller,8474189,MTL,0.3425,0.5182,0.4128,26.4331,False,rising
Nicolas Deslauriers,8475235,PHI,0.3852,0.4536,0.4126,27.7421,False,stable
Dominik Kubalik,8477330,OTT,0.2520,0.6510,0.4116,23.7431,False,stable
Nick Paul,8477426,TBL,0.3319,0.5047,0.4010,26.7068,False,rising
Mats Zuccarello,8475692,MIN,0.1819,0.7098,0.3930,22.5536,False,rising
Marcus Johansson,8475149,MIN,0.2509,0.5658,0.3768,25.4702,False,stable
Nicholas Robertson,8481582,TOR,0.2394,0.5793,0.3754,25.1963,False,rising
Jordan Spence,8481606,OTT,0.0000,0.8771,0.3508,19.1646,,
Jalen Chatfield,8478970,TOR,0.0000,0.8636,0.3454,19.4391,,
Patric Hornqvist,8471887,FLA,0.0000,0.8352,0.3341,20.0139,,
Tomas Nosek,8477931,FLA,0.3186,0.3567,0.3338,29.7041,False,stable
Sam Carrick,8475842,NYR,0.3116,0.3620,0.3317,29.5976,False,rising
Joe Thornton,8466138,FLA,0.0000,0.8225,0.3290,20.2712,,
Dustin Brown,8470606,LAK,0.0000,0.8138,0.3255,20.4457,,
Zachary Bolduc,8482737,MTL,0.0000,0.7948,0.3179,20.8320,,
Lane Hutson,8483457,MTL,0.0000,0.7929,0.3171,20.8705,,
Evan Bouchard,8480803,EDM,0.0000,0.7886,0.3155,20.9562,,
Artemi Panarin,8478550,NYR,0.0000,0.7880,0.3152,20.9683,,
Shea Theodore,8477447,VGK,0.0000,0.7837,0.3135,21.0560,,
Bobby Brink,8481553,PHI,0.0000,0.7815,0.3126,21.1016,,
Quinn Hughes,8480800,VAN,0.0000,0.7810,0.3124,21.1108,,
Gage Goncalves,8482201,TBL,0.0000,0.7779,0.3112,21.1740,,
Matvei Michkov,8484387,PHI,0.0000,0.7767,0.3107,21.1980,,
Luke Hughes,8482684,BOS,0.0000,0.7742,0.3097,21.2477,,
