shooter_player_id,player_name,rebound_shots,rebound_goals,rebound_goal_rate,reb_gr_ci_lo,reb_gr_ci_hi,avg_x_coord_norm,avg_y_coord_norm,avg_time_gap_secs,current_team
8477498,Darnell Nurse,38,3,0.0789,0.0272,0.208,68.4,15.4,2.0,EDM
8478038,Devon Toews,21,3,0.1429,0.0498,0.3464,67.2,4.0,1.81,COL
8478460,Zach Werenski,37,3,0.0811,0.028,0.213,67.6,5.7,2.03,CBJ
8478469,Thomas Chabot,25,3,0.12,0.0417,0.2996,64.2,11.2,2.04,OTT
8478472,Mathieu Joseph,31,3,0.0968,0.0335,0.249,81.0,0.5,1.42,STL
8478500,Ivan Provorov,27,3,0.1111,0.0385,0.2806,60.8,13.9,2.0,CBJ
8478874,Adam Gaudette,24,3,0.125,0.0434,0.31,72.5,5.0,2.12,SJS
8479325,Charlie McAvoy,40,3,0.075,0.0258,0.1986,56.4,-11.5,2.27,BOS
8479359,Beck Malenstyn,24,3,0.125,0.0434,0.31,83.6,-2.1,1.58,BUF
8479407,Jesper Bratt,65,3,0.0462,0.0158,0.1271,79.8,1.4,1.35,NJD
8479619,Michael Carcone,32,3,0.0938,0.0324,0.2422,80.1,2.6,1.66,UTA
8479980,Nicolas Hague,31,3,0.0968,0.0335,0.249,62.0,10.2,2.42,NSH
8479981,Jonah Gadjovich,29,3,0.1034,0.0358,0.2639,80.4,1.2,1.79,FLA
8479983,Mario Ferraro,29,3,0.1034,0.0358,0.2639,68.7,10.1,2.03,SJS
8480068,Ryan Poehling,41,3,0.0732,0.0252,0.1943,81.0,-1.2,1.71,ANA
8480144,David Kampf,38,3,0.0789,0.0272,0.208,81.4,0.2,1.45,VAN
8480980,Connor Dewar,28,3,0.1071,0.0371,0.272,80.6,2.9,1.64,PIT
8481523,Kirby Dach,28,3,0.1071,0.0371,0.272,79.6,-1.0,1.64,MTL
8481546,Cam York,20,3,0.15,0.0524,0.3604,72.2,8.3,2.0,PHI
8481577,Philip Tomasino,22,3,0.1364,0.0475,0.3334,81.7,0.7,1.82,PIT
8481582,Nicholas Robertson,33,3,0.0909,0.0314,0.2357,75.4,5.5,1.73,TOR
8481617,Vasily Podkolzin,39,3,0.0769,0.0265,0.2032,80.3,-0.4,1.54,EDM
8482062,Cole Smith,34,3,0.0882,0.0305,0.2296,79.3,0.7,1.35,NSH
8482124,Quinton Byfield,45,3,0.0667,0.0229,0.1786,80.1,1.8,1.62,LAK
8482125,Alexander Holtz,26,3,0.1154,0.04,0.2898,78.8,3.2,1.77,VGK
8482660,Kent Johnson,24,3,0.125,0.0434,0.31,78.8,-0.0,1.83,CBJ
8483445,Cutter Gauthier,38,3,0.0789,0.0272,0.208,81.0,1.9,1.66,ANA
8484144,Connor Bedard,35,3,0.0857,0.0296,0.2238,81.9,-0.5,1.57,CHI
8484145,Zach Benson,38,3,0.0789,0.0272,0.208,81.0,-1.8,1.53,BUF
8471817,Ryan Reaves,34,2,0.0588,0.0163,0.1909,79.6,3.7,1.68,SJS
8471887,Patric Hornqvist,21,2,0.0952,0.0265,0.2891,81.5,1.3,1.29,—
8474040,Sam Gagner,22,2,0.0909,0.0253,0.2782,83.8,1.7,1.95,—
8474613,Derek Stepan,27,2,0.0741,0.0206,0.2337,79.0,2.6,1.52,—
8475177,Calvin de Haan,23,2,0.087,0.0242,0.268,55.3,20.0,2.13,—
8475279,Ben Chiarot,24,2,0.0833,0.0232,0.2585,60.7,11.3,1.92,DET
8475714,Calle Jarnkrok,28,2,0.0714,0.0198,0.2265,78.0,-0.7,1.5,TOR
8475752,Tyler Pitlick,25,2,0.08,0.0222,0.2497,76.2,2.7,1.76,MIN
8475842,Sam Carrick,30,2,0.0667,0.0185,0.2132,82.5,4.5,1.67,NYR
8476457,Adam Larsson,24,2,0.0833,0.0232,0.2585,56.5,-9.7,2.12,SEA
8476869,Brady Skjei,49,2,0.0408,0.0113,0.1371,60.2,20.8,2.1,NSH
8476875,Mike Matheson,20,2,0.1,0.0279,0.301,55.0,7.8,2.35,MTL
8476917,Adam Pelech,39,2,0.0513,0.0142,0.1689,59.6,13.8,2.08,NYI
8476967,Brett Kulak,24,2,0.0833,0.0232,0.2585,61.6,15.7,2.21,EDM
8476994,Vinnie Hinostroza,22,2,0.0909,0.0253,0.2782,79.0,0.2,1.82,MIN
8477369,Carson Soucy,20,2,0.1,0.0279,0.301,58.5,15.8,2.3,NYR
8477454,Adam Erne,24,2,0.0833,0.0232,0.2585,77.9,-1.5,1.79,DAL
8477488,Brett Pesce,31,2,0.0645,0.0179,0.2072,54.9,-14.9,2.39,NJD
8477931,Tomas Nosek,37,2,0.0541,0.015,0.177,76.9,0.4,1.81,FLA
8477948,Travis Sanheim,34,2,0.0588,0.0163,0.1909,56.4,3.4,2.12,PHI
8478133,Jake Evans,33,2,0.0606,0.0168,0.1961,79.5,1.6,1.58,MTL
8478211,Dryden Hunt,24,2,0.0833,0.0232,0.2585,78.2,2.0,2.08,CGY
8478397,Rasmus Andersson,28,2,0.0714,0.0198,0.2265,56.8,-23.7,2.04,CGY
8478407,Vince Dunn,30,2,0.0667,0.0185,0.2132,52.8,16.7,2.27,SEA
8478507,John Marino,24,2,0.0833,0.0232,0.2585,62.2,-12.5,1.75,UTA
8478585,Derek Ryan,32,2,0.0625,0.0173,0.2015,78.1,-0.7,1.59,—
8479345,Jakob Chychrun,37,2,0.0541,0.015,0.177,56.9,11.3,2.46,WSH
8479346,Dillon Dube,25,2,0.08,0.0222,0.2497,79.7,2.8,1.68,—
8479591,Michael Eyssimont,48,2,0.0417,0.0115,0.1398,79.0,1.9,1.65,BOS
8479772,Zack MacEwen,20,2,0.1,0.0279,0.301,80.7,-2.1,1.75,NJD
8480355,Mark Kastelic,44,2,0.0455,0.0126,0.1514,79.7,1.3,1.59,BOS
8480817,K'Andre Miller,27,2,0.0741,0.0206,0.2337,56.1,16.7,2.33,CAR
8480821,Filip Zadina,31,2,0.0645,0.0179,0.2072,81.3,-1.4,1.74,—
8480835,Jack Drury,43,2,0.0465,0.0128,0.1546,77.2,3.5,1.77,COL
8480995,Pontus Holmberg,25,2,0.08,0.0222,0.2497,83.0,3.0,1.44,TBL
8481028,Martin Pospisil,28,2,0.0714,0.0198,0.2265,81.8,5.8,1.54,CGY
8481522,Peyton Krebs,26,2,0.0769,0.0214,0.2414,73.9,2.7,1.31,BUF
8481532,Alex Turcotte,31,2,0.0645,0.0179,0.2072,79.6,-1.2,1.35,LAK
8481716,Dmitri Voronkov,55,2,0.0364,0.01,0.1232,81.4,0.3,1.29,CBJ
8482077,Dylan Holloway,33,2,0.0606,0.0168,0.1961,78.0,-0.7,1.76,STL
8482097,Jack Quinn,26,2,0.0769,0.0214,0.2414,78.2,0.6,1.96,BUF
8482159,Tyson Foerster,23,2,0.087,0.0242,0.268,84.0,1.2,1.13,PHI
8482655,J.J. Moser,31,2,0.0645,0.0179,0.2072,64.5,12.3,2.13,TBL
8483516,Jimmy Snuggerud,22,2,0.0909,0.0253,0.2782,79.4,1.0,1.68,STL
8484153,Leo Carlsson,26,2,0.0769,0.0214,0.2414,79.0,0.8,1.58,ANA
8484166,Adam Fantilli,27,2,0.0741,0.0206,0.2337,80.3,-0.7,1.48,CBJ
8484801,Macklin Celebrini,26,2,0.0769,0.0214,0.2414,79.2,-1.9,1.85,SJS
8470600,Ryan Suter,26,1,0.0385,0.0068,0.1889,66.2,19.4,2.35,—
8470613,Brent Burns,45,1,0.0222,0.0039,0.1157,54.0,-14.7,2.44,COL
8473604,Jonathan Toews,21,1,0.0476,0.0085,0.2267,80.6,0.7,1.57,WPG
8474013,Ian Cole,26,1,0.0385,0.0068,0.1889,61.5,8.1,2.38,UTA
8474578,Erik Karlsson,33,1,0.0303,0.0054,0.1532,62.3,-6.6,2.0,PIT
8474590,John Carlson,31,1,0.0323,0.0057,0.1619,63.7,-5.3,1.94,WSH
8474600,Roman Josi,25,1,0.04,0.0071,0.1954,58.9,10.3,2.2,NSH
8475149,Marcus Johansson,35,1,0.0286,0.0051,0.1453,78.9,-4.3,1.77,MIN
8475167,Victor Hedman,41,1,0.0244,0.0043,0.126,60.2,16.3,2.17,TBL
8475188,Brayden McNabb,24,1,0.0417,0.0074,0.2024,60.5,18.0,2.46,VGK
8475462,Radko Gudas,20,1,0.05,0.0089,0.2361,44.0,-14.6,2.3,ANA
8475753,Justin Faulk,25,1,0.04,0.0071,0.1954,64.1,-7.8,2.0,STL
8476878,Zemgus Girgensons,42,1,0.0238,0.0042,0.1232,78.9,1.8,1.55,TBL
8476906,Shayne Gostisbehere,27,1,0.037,0.0066,0.1828,57.5,10.1,2.11,CAR
8477346,MacKenzie Weegar,28,1,0.0357,0.0063,0.1771,56.9,-4.9,2.11,CGY
8477392,Hudson Fasching,21,1,0.0476,0.0085,0.2267,81.1,-0.9,1.52,—
8477495,Seth Jones,25,1,0.04,0.0071,0.1954,55.3,-11.2,1.76,FLA
8477919,Frederick Gaudreau,28,1,0.0357,0.0063,0.1771,79.4,1.5,1.61,SEA
8477932,Aaron Ekblad,29,1,0.0345,0.0061,0.1718,56.9,-10.3,2.28,FLA
8478136,Jake Middleton,31,1,0.0323,0.0057,0.1619,71.5,11.2,1.9,MIN
8478911,Matt Roy,24,1,0.0417,0.0074,0.2024,65.7,-9.1,1.96,WSH
8478970,Jalen Chatfield,25,1,0.04,0.0071,0.1954,63.0,-14.1,2.52,CAR
8479324,Ryan Lindgren,24,1,0.0417,0.0074,0.2024,65.5,13.6,2.21,SEA
8479410,Mikhail Sergachev,20,1,0.05,0.0089,0.2361,57.9,13.2,1.65,UTA
8479638,Justin Brazeau,27,1,0.037,0.0066,0.1828,81.7,0.3,1.48,PIT
8479996,Cody Glass,33,1,0.0303,0.0054,0.1532,80.9,1.7,1.42,NJD
8479998,Mikey Anderson,29,1,0.0345,0.0061,0.1718,65.3,7.6,1.93,LAK
8480336,Sean Walker,31,1,0.0323,0.0057,0.1619,56.3,-10.5,2.32,CAR
8480448,Parker Kelly,20,1,0.05,0.0089,0.2361,78.7,2.4,1.75,COL
8480796,Martin Fehérváry,21,1,0.0476,0.0085,0.2267,70.0,7.2,1.9,WSH
8480803,Evan Bouchard,25,1,0.04,0.0071,0.1954,50.7,-15.9,2.28,EDM
8482475,Egor Chinakhov,26,1,0.0385,0.0068,0.1889,72.2,-0.7,1.85,PIT
8482476,Emil Heineman,22,1,0.0455,0.0081,0.218,79.6,2.2,1.5,NYI
8482705,Cole Sillinger,53,1,0.0189,0.0033,0.0994,79.9,0.7,1.55,CBJ
8482809,Jackson Blake,32,1,0.0312,0.0055,0.1574,82.6,0.9,1.31,CAR
8483464,Marco Kasper,27,1,0.037,0.0066,0.1828,82.5,1.3,1.3,DET
8483512,Matt Savoie,20,1,0.05,0.0089,0.2361,79.4,0.6,1.55,EDM
8483515,Juraj Slafkovský,41,1,0.0244,0.0043,0.126,81.6,1.8,1.56,MTL
8484387,Matvei Michkov,27,1,0.037,0.0066,0.1828,81.9,0.3,1.78,PHI
8471724,Kris Letang,29,0,0.0,0.0,0.117,60.3,-6.5,2.07,PIT
8473473,Milan Lucic,20,0,0.0,0.0,0.1611,77.1,1.0,1.55,—
8474568,Luke Schenn,20,0,0.0,0.0,0.1611,69.1,-5.7,1.75,WPG
8476372,Nick Seeler,27,0,0.0,0.0,0.1246,52.9,15.6,2.33,PHI
8476429,Scott Mayfield,21,0,0.0,0.0,0.1546,54.4,-18.2,2.43,NYI
8476441,Joel Edmundson,21,0,0.0,0.0,0.1546,60.6,16.1,2.05,LAK
8476462,Dougie Hamilton,42,0,0.0,0.0,0.0838,61.1,-17.4,2.19,NJD
8476853,Morgan Rielly,24,0,0.0,0.0,0.138,63.8,9.0,2.08,TOR
8477507,Nikita Zadorov,21,0,0.0,0.0,0.1546,52.5,11.7,2.19,BOS
8478859,Niko Mikkola,26,0,0.0,0.0,0.1287,60.3,17.9,2.38,FLA
8480036,Miro Heiskanen,42,0,0.0,0.0,0.0838,63.0,6.6,2.21,DAL
8480839,Rasmus Dahlin,33,0,0.0,0.0,0.1043,59.8,8.2,2.15,BUF
8480848,Ty Dellandrea,24,0,0.0,0.0,0.138,80.6,-1.4,1.42,SJS
8481014,Alexander Romanov,22,0,0.0,0.0,0.1487,55.0,18.1,2.27,NYI
8481789,Tye Kartye,22,0,0.0,0.0,0.1487,81.5,-1.2,1.55,SEA
8482713,Mackie Samoskevich,25,0,0.0,0.0,0.1332,81.7,2.0,1.72,FLA
