player_id,player_name,seasons,total_toi_mins,rush_against_per60_career,rush_against_per60_by_season,team_2526
8482142.0000,Jamie Drysdale,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5355.6000,25.0504,"{""20202021"": 27.9584, ""20212022"": 25.2915, ""20222023"": 32.7737, ""20232024"": 23.3569, ""20242025"": 24.8532, ""20252026"": 23.7627}",
8479336.0000,Carl Grundstrom,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",3433.6167,25.0407,"{""20202021"": 24.4179, ""20212022"": 24.6333, ""20222023"": 26.3576, ""20232024"": 22.2575, ""20242025"": 28.8039, ""20252026"": 23.8845}",
8476399.0000,Blake Coleman,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7399.3500,25.0400,"{""20202021"": 26.7062, ""20212022"": 25.2981, ""20222023"": 24.5939, ""20232024"": 24.9135, ""20242025"": 24.524, ""20252026"": 23.8411}",
8475906.0000,John Klingberg,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6024.6000,25.0075,"{""20202021"": 22.1922, ""20212022"": 27.0613, ""20222023"": 26.3206, ""20232024"": 18.977, ""20242025"": 24.9518, ""20252026"": 24.4963}",
8478498.0000,Jake DeBrusk,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6888.5667,25.0067,"{""20202021"": 27.748, ""20212022"": 27.492, ""20222023"": 23.1198, ""20232024"": 27.0392, ""20242025"": 22.2467, ""20252026"": 21.7234}",
8479325.0000,Charlie McAvoy,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9680.9167,24.9956,"{""20202021"": 25.0678, ""20212022"": 26.9947, ""20222023"": 25.2158, ""20232024"": 24.9344, ""20242025"": 22.3064, ""20252026"": 23.7404}",
8481725.0000,Elmer Soderblom,"[20222023, 20242025, 20252026]",1051.8833,24.9838,"{""20222023"": 21.5356, ""20242025"": 26.5853, ""20252026"": 25.7059}",
8474578.0000,Erik Karlsson,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9478.0833,24.9671,"{""20202021"": 27.4586, ""20212022"": 28.7341, ""20222023"": 22.9953, ""20232024"": 23.0944, ""20242025"": 25.786, ""20252026"": 23.9292}",
8478115.0000,Pierre Engvall,"[20202021, 20212022, 20222023, 20232024, 20242025]",4737.1333,24.9645,"{""20202021"": 27.8097, ""20212022"": 26.7779, ""20222023"": 23.9203, ""20232024"": 24.3493, ""20242025"": 22.3288}",
8481624.0000,Ilya Mikheyev,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5864.2167,24.9547,"{""20202021"": 27.9809, ""20212022"": 24.7732, ""20222023"": 25.1209, ""20232024"": 21.1499, ""20242025"": 24.9147, ""20252026"": 27.5218}",
8475794.0000,Tyler Seguin,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5392.7500,24.9446,"{""20202021"": 30.4588, ""20212022"": 26.856, ""20222023"": 23.2172, ""20232024"": 25.9454, ""20242025"": 22.4937, ""20252026"": 20.7921}",
8470613.0000,Brent Burns,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",10857.6167,24.9392,"{""20202021"": 30.1058, ""20212022"": 31.177, ""20222023"": 18.9959, ""20232024"": 21.9992, ""20242025"": 23.3267, ""20252026"": 26.8286}",
8480901.0000,Karson Kuhlman,"[20202021, 20212022, 20222023]",1333.2500,24.9316,"{""20202021"": 23.9285, ""20212022"": 25.0883, ""20222023"": 25.2117}",
8479425.0000,Filip Hronek,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9190.9500,24.9245,"{""20202021"": 26.6365, ""20212022"": 25.8086, ""20222023"": 24.7987, ""20232024"": 23.7331, ""20242025"": 24.2356, ""20252026"": 24.8851}",
8482740.0000,Wyatt Johnston,"[20222023, 20232024, 20242025, 20252026]",6206.6833,24.9215,"{""20222023"": 26.0419, ""20232024"": 24.0367, ""20242025"": 25.7274, ""20252026"": 23.2363}",
8482482.0000,Adam Wilsby,"[20242025, 20252026]",1081.0667,24.9198,"{""20242025"": 24.9359, ""20252026"": 24.9097}",
8474870.0000,Tyler Johnson,"[20202021, 20212022, 20222023, 20232024, 20242025]",3414.3167,24.9186,"{""20202021"": 23.1624, ""20212022"": 29.4791, ""20222023"": 25.0939, ""20232024"": 25.06, ""20242025"": 23.9592}",
8475167.0000,Victor Hedman,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",10823.9000,24.9171,"{""20202021"": 24.9922, ""20212022"": 25.0943, ""20222023"": 27.5787, ""20232024"": 23.6979, ""20242025"": 23.3735, ""20252026"": 24.1661}",
8478099.0000,Kevin Labanc,"[20202021, 20212022, 20222023, 20232024, 20242025]",3128.3667,24.8948,"{""20202021"": 24.863, ""20212022"": 25.1508, ""20222023"": 25.6375, ""20232024"": 25.0863, ""20242025"": 22.3602}",
8482964.0000,Arber Xhekaj,"[20222023, 20232024, 20242025, 20252026]",3005.7333,24.8924,"{""20222023"": 24.3446, ""20232024"": 25.4907, ""20242025"": 25.9645, ""20252026"": 22.4783}",
8477953.0000,Kasperi Kapanen,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5308.1000,24.8903,"{""20202021"": 20.4791, ""20212022"": 24.7371, ""20222023"": 26.1751, ""20232024"": 28.676, ""20242025"": 23.8555, ""20252026"": 23.0184}",
8473618.0000,Mathieu Perreault,"[20202021, 20212022]",1036.6833,24.8871,"{""20202021"": 23.4339, ""20212022"": 28.7881}",
8476462.0000,Dougie Hamilton,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7762.0667,24.8825,"{""20202021"": 23.1289, ""20212022"": 29.7721, ""20222023"": 23.4508, ""20232024"": 22.5876, ""20242025"": 25.1427, ""20252026"": 24.5529}",
8478400.0000,Colin White,"[20202021, 20212022, 20222023, 20232024, 20242025]",2129.9667,24.8736,"{""20202021"": 27.5445, ""20212022"": 18.9079, ""20222023"": 25.0765, ""20232024"": 26.1033, ""20242025"": 21.9011}",
8482516.0000,Matthew Kessel,"[20222023, 20232024, 20242025, 20252026]",1240.3167,24.8646,"{""20222023"": 15.8329, ""20232024"": 25.452, ""20242025"": 22.6732, ""20252026"": 29.035}",
8482105.0000,Jake Sanderson,"[20222023, 20232024, 20242025, 20252026]",6439.1167,24.8606,"{""20222023"": 28.2961, ""20232024"": 24.3382, ""20242025"": 24.3229, ""20252026"": 20.5706}",
8476480.0000,Vladislav Namestnikov,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6063.9167,24.8453,"{""20202021"": 29.66, ""20212022"": 28.0505, ""20222023"": 23.0583, ""20232024"": 23.1305, ""20242025"": 22.9749, ""20252026"": 21.1296}",
8477573.0000,Nathan Walker,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",2752.2167,24.8309,"{""20202021"": 20.2053, ""20212022"": 23.1162, ""20222023"": 26.9066, ""20232024"": 24.9126, ""20242025"": 24.7818, ""20252026"": 24.9307}",
8475314.0000,Anders Lee,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6801.1167,24.8165,"{""20202021"": 23.0379, ""20212022"": 27.5922, ""20222023"": 22.3246, ""20232024"": 25.9925, ""20242025"": 24.5728, ""20252026"": 24.5573}",
8480840.0000,Oskar BÃ¤ck,"[20242025, 20252026]",1528.2167,24.8132,"{""20242025"": 25.6264, ""20252026"": 23.5094}",
8475166.0000,John Tavares,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8259.1500,24.8088,"{""20202021"": 24.2071, ""20212022"": 25.7839, ""20222023"": 23.1216, ""20232024"": 22.8992, ""20242025"": 27.0001, ""20252026"": 26.3613}",
8483493.0000,Frank Nazar,"[20232024, 20242025, 20252026]",1628.1000,24.8019,"{""20232024"": 29.2881, ""20242025"": 26.8297, ""20252026"": 22.591}",
